games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-256,3840,17,256,3840,17,0,0,93
-256,3840,17,256,3840,17,0,0,93
-256,3840,17,256,3840,17,0,0,93
-256,3840,17,256,3840,17,0,0,93
-256,3840,17,256,3840,17,0,0,93
-256,3840,17,256,3840,17,0,0,93
-219,3624,17,350,3649,17,0,0,93
-31,2753,17,1146,3519,17,0,0,93
-28,1307,17,2229,3841,17,0,0,93
-72,37,95,3167,4030,17,-259,-240,182
-292,-336,45,2963,3166,17,-1224,-1274,210
-847,-558,17,1809,2186,17,-2108,-2208,143
-1977,-350,100,517,1086,17,-2922,-3045,111
-3353,-156,63,-191,-21,17,-3619,-3750,94
-4080,280,407,-253,-175,17,-3848,-4071,369
-4078,1136,277,-645,-435,17,-3778,-4153,481
-3401,1065,17,-1226,-1162,17,-3704,-4227,266
-3260,156,17,-2066,-2378,17,-3969,-3828,311
-3760,-588,17,-3512,-2884,17,-3974,-3390,169
-3615,-1410,17,-4058,-3792,332,-3601,-4198,365
-2533,-2253,17,-3408,-4338,19,-2784,-4716,352
-1250,-2480,17,-2280,-4466,17,-1983,-4978,166
-1085,-3438,17,-1641,-4567,17,-2852,-4670,664
-1937,-3624,17,-1493,-3977,17,-3631,-4291,782
-2966,-3360,122,-1977,-3343,17,-3971,-3698,589
-3941,-3298,238,-2071,-2473,17,-3608,-3511,476
-3563,-3197,179,-1882,-1476,17,-2480,-3852,551
-3212,-3012,17,-1484,-513,17,-1338,-4197,279
-2530,-2821,17,-357,-489,32,-428,-4493,235
-1317,-3437,17,1093,-1387,83,337,-4756,183
-43,-4233,17,2603,-2137,17,1344,-4953,162
1611,-4792,17,3735,-1432,17,2730,-4545,117
3259,-4483,20,3642,-44,17,3787,-4142,241
4081,-3250,293,3214,1256,17,3989,-2747,447
3982,-2024,64,2945,2371,17,3966,-1413,297
3799,-617,19,3039,3174,17,3835,208,322
3787,960,103,3358,2805,17,3609,1853,192
3834,2065,18,3826,2593,95,3009,1492,382
3735,2482,52,4000,3506,127,2292,347,480
3294,3268,96,3972,3880,107,1786,-362,455
2732,4105,17,3613,3621,17,2186,801,1029
1818,4155,17,3083,4099,17,2572,1925,1237
1152,3388,17,2953,4298,17,2945,3012,1097
356,3100,17,2986,4694,18,3314,4086,616
79,3892,17,3001,4261,76,3052,4365,181
372,4825,17,3547,3674,100,2476,4138,324
1204,4727,17,3803,3038,17,1627,4281,452
976,3913,17,3041,2939,17,502,4863,633
271,4197,17,2041,3511,17,-415,5011,231
-415,4828,17,1007,4498,17,-1048,4935,346
-1447,4858,199,-99,4931,17,-1621,4855,362
-3115,4803,211,-1078,4716,17,-3196,4507,730
-3534,4506,532,-1604,4530,17,-3425,3300,632
-3990,3986,322,-1973,3995,17,-3657,2079,194
-3796,2969,24,-1756,3328,17,-3623,2518,221
-3533,2527,91,-1161,3559,17,-2984,2546,771
-3425,2226,17,-714,4298,17,-2216,2397,1137
-3266,1705,17,-312,3915,17,-1439,2248,1152
-2589,1926,17,253,3870,17,-645,2137,877
-2147,2766,17,961,4461,17,1167,2541,1176
-1165,3356,100,2319,4378,17,3000,2948,1131
16,4013,16,3143,4060,17,3574,3332,815
1367,4177,17,2881,3537,17,2592,3693,287
2625,3952,310,1936,4125,17,2109,4780,385
3976,3686,339,1197,4607,17,1865,4419,454
3983,3113,70,779,4232,17,1630,3668,176
3568,2557,17,1012,3650,17,1385,3141,223
3649,1545,17,1241,2376,95,1233,2172,322
3749,417,17,1369,882,30,1201,658,371
3319,-1005,17,1193,-708,93,1253,-814,209
2070,-1764,17,1001,-1673,31,3028,-1945,994
667,-1152,17,424,-2406,17,3527,-2916,1352
-441,-1636,17,285,-3197,17,2485,-3648,1244
-829,-2956,17,555,-3951,17,1478,-4355,799
-1240,-4396,17,692,-5005,162,684,-5196,169
-2047,-4221,213,651,-4065,1279,684,-5196,169
-3379,-3653,191,612,-3065,1957,684,-5196,169
-4079,-3061,413,582,-2329,1697,684,-5196,169
-3803,-2574,711,550,-1511,1053,684,-5196,169
2048,2560,16,-256,3840,17,0,0,93
2048,2560,16,-256,3840,17,0,0,93
2048,2560,16,-256,3840,17,0,0,93
2048,2560,16,-256,3840,17,0,0,93
2048,2560,16,-256,3840,17,0,0,93
