games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
0,-4608,17,-256,-3840,17,0,0,92
0,-4608,17,-256,-3840,17,0,0,92
0,-4608,17,-256,-3840,17,0,0,92
0,-4608,17,-256,-3840,17,0,0,92
0,-4608,17,-256,-3840,17,0,0,92
0,-4608,17,-256,-3840,17,0,0,92
0,-4587,17,-253,-3804,17,0,0,92
257,-3898,17,-80,-3025,17,0,0,92
1400,-3478,17,72,-1659,17,0,0,92
2873,-3916,17,1,-284,117,-256,-116,108
3114,-4918,254,-116,-524,103,-2572,-182,102
2033,-5101,154,-254,-671,17,-4001,-228,504
1023,-5100,95,-819,-748,17,-3988,-259,1367
172,-5074,17,-1776,-938,17,-3890,-287,1802
454,-5193,17,-2535,-1484,17,-3700,-311,1861
267,-5101,17,-2836,-2735,17,-3502,-335,1571
-413,-5068,17,-2980,-4102,17,-3320,-357,971
-1240,-4879,17,-2285,-4716,17,-3145,-380,134
-1816,-3904,17,-1938,-4021,17,-3130,-394,582
-2215,-2441,81,-1908,-4111,17,-3115,-408,680
-2786,-1033,251,-1729,-4542,17,-3101,-421,441
-3727,345,282,-1845,-4220,17,-2811,407,1019
-4076,1000,246,-1555,-3426,17,-2384,1317,1681
-4079,1173,457,-1140,-1934,100,-1952,2222,1883
-4079,1737,539,-721,-397,17,-1567,2990,1437
-4009,2445,86,-360,921,17,-1191,3741,656
-3045,2234,17,-182,1724,17,-776,3652,282
-2143,1450,95,-217,1902,220,-322,2700,338
-1046,305,55,22,2421,298,146,2108,120
86,-221,17,343,2914,156,493,1554,149
895,779,22,758,3441,17,801,1063,111
1690,1150,116,1556,3949,17,-51,1072,96
2587,1406,16,2721,4183,17,-891,1130,95
3321,1105,17,3905,3041,27,-1603,1171,93
3499,-147,17,4074,1387,220,-2255,1086,134
2583,-1342,17,4079,-139,370,-3683,-336,424
1897,-2699,17,4079,-1637,301,-3390,-1405,388
1077,-3991,17,3846,-3339,17,-2583,-2381,128
492,-4527,17,2767,-4533,17,-1934,-3145,201
-175,-4690,66,1443,-5044,48,-954,-4385,155
-1341,-5034,142,-17,-5109,159,-1915,-4891,252
-1770,-5103,349,-916,-5005,287,-3157,-4738,207
-2374,-5103,325,-1116,-4781,447,-3717,-3948,122
-2963,-4526,17,-1335,-4544,294,-3993,-3362,226
-2626,-3750,17,-1514,-4305,16,-3095,-4504,828
-1744,-3910,17,-1323,-4244,17,-2229,-4727,1007
-1462,-4223,229,-842,-4584,17,-1457,-4241,764
-1352,-4260,211,-323,-5036,17,-724,-4416,380
-1191,-4285,16,-453,-4720,106,-324,-4336,239
-638,-3887,17,-622,-4212,22,-230,-3451,147
-93,-2828,17,-430,-3560,17,-155,-2681,184
-689,-1392,17,-190,-2643,17,-179,-1354,273
-615,-185,17,-47,-1603,17,-205,-128,129
-38,876,95,-67,-678,17,-138,1179,258
372,2118,37,-461,47,17,-244,1928,556
118,3539,17,-1148,-303,17,-856,1142,1225
-1518,4108,17,-1552,-1222,17,-1455,373,1542
-3065,4098,17,-1962,-2196,17,-2060,-404,1506
-3943,2884,42,-2627,-2868,17,-2638,-1147,1123
-3811,1143,17,-3218,-2464,68,-3171,-1833,452
-3261,-348,17,-3701,-1420,307,-2196,-2576,549
-2305,-1810,17,-3988,-620,191,-958,-3134,575
-1162,-2924,17,-3643,8,17,296,-3700,262
22,-4150,17,-2884,-145,17,1317,-4204,251
1502,-4959,18,-2187,-978,17,2220,-4674,189
2989,-4962,113,-973,-2071,17,3184,-4705,177
3427,-3653,17,180,-3164,17,3994,-3706,332
3992,-3344,72,336,-4437,17,3102,-4476,282
3979,-4004,253,1105,-4807,17,2117,-4549,105
3126,-4183,17,1527,-4232,84,1344,-3973,551
2090,-4223,30,1398,-3542,82,685,-2960,1513
933,-3837,90,932,-2770,17,119,-2036,1844
-503,-3354,17,105,-1798,40,-280,-1257,1263
-2057,-2753,17,-707,-558,276,-645,-446,411
-2657,-1264,17,-1199,1070,253,-414,1550,353
-1800,-39,17,-1644,2531,21,-195,3367,156
-558,1145,17,-2187,3984,17,24,4950,179
355,2015,17,-2858,4594,66,58,5202,151
1209,2828,17,-3625,4415,349,58,5202,151
1801,3392,17,-3932,4085,586,58,5202,151
2250,3819,32,-4063,3753,558,58,5202,151
2048,-2560,17,0,-4608,17,0,0,92
2048,-2560,17,0,-4608,17,0,0,92
2048,-2560,17,0,-4608,17,0,0,92
2048,-2560,17,0,-4608,17,0,0,92
2048,-2560,17,0,-4608,17,0,0,92
2041,-2553,17,0,-4592,17,0,0,92
1520,-2146,17,0,-3987,98,0,0,92
562,-1421,17,0,-2978,41,0,0,92
112,-133,91,3,-2054,17,303,-35,129
277,282,58,568,-1396,17,1730,158,94
734,311,17,1932,-875,17,2991,330,100
1194,-452,104,3486,-127,17,3991,474,193
1743,-1436,16,4079,486,619,3891,735,576
2358,-2681,17,4079,1601,501,3411,1647,599
2934,-3862,17,3402,2590,17,2937,2549,285
2664,-4847,17,2094,3068,155,2573,3335,252
1749,-4610,17,514,3723,98,2276,4041,219
640,-3515,17,-428,3852,17,1998,4701,157
-356,-2255,17,-867,4100,17,1776,4942,270
-150,-941,17,-411,4575,17,1595,4798,329
761,184,17,509,4278,17,1515,4621,178
1775,1211,17,1782,4278,104,1746,4439,146
2542,2295,17,3147,4778,113,2102,4725,227
2680,3587,19,3287,4226,16,2441,4099,107
2650,4773,173,2632,3522,17,1726,3971,225
2568,4778,79,1493,3546,17,1593,3746,310
2814,4454,17,350,3109,17,2878,3189,421
2967,3497,17,696,2113,17,3884,2648,218
3146,2266,54,1688,1842,17,3286,2325,188
3108,1842,93,1984,873,17,3708,2002,537
3168,1586,17,2980,213,17,3945,1693,516
3520,1346,17,3981,-701,65,3850,642,765
3606,234,17,3995,-2053,77,3564,-681,923
3844,-1331,18,3494,-3067,17,3292,-1945,740
3318,-2703,17,2967,-3622,68,3026,-3181,231
3057,-4285,17,3148,-3510,99,2602,-3185,373
2093,-5089,105,3052,-3531,17,2164,-2873,393
958,-5053,28,2186,-3824,17,1045,-3946,243
-127,-4602,103,1406,-4369,17,-106,-4168,320
-1388,-4011,20,502,-4344,17,-1065,-3119,485
-2206,-2826,17,-584,-3985,17,-1993,-2106,313
-2550,-1178,17,-725,-3920,17,-1917,-1724,251
-1779,189,17,-990,-3067,17,-1460,-1611,127
-1753,1635,17,-1094,-1665,16,-1104,-1515,101
-1638,2963,17,2048,-2560,27,-993,466,641
-1275,3564,247,2048,-2560,17,-879,2518,847
-830,4312,467,2048,-2560,17,-770,4479,695
-779,4796,912,2048,-2560,17,-727,5212,163
-811,4003,1985,2048,-2560,17,-727,5212,163
-833,3226,1853,2048,-2560,17,-727,5212,163
-856,2427,1363,1832,-2344,17,-727,5212,163
256,-3840,26,1047,-1491,17,0,0,92
256,-3840,17,171,-383,98,0,0,92
256,-3840,17,-136,-151,129,0,0,92
256,-3840,17,-412,-171,17,0,0,92
256,-3840,17,-922,-20,17,0,0,92
256,-3840,17,-1607,-477,17,0,0,92
191,-4061,93,-2051,-1336,17,0,0,92
-64,-4611,111,-1743,-2308,17,0,0,92
-234,-4971,17,-1352,-3180,17,0,0,92
-134,-4594,17,-923,-4151,17,-584,180,254
-533,-4088,17,-913,-4275,17,-1343,430,99
-1470,-4185,17,-454,-4283,17,-2415,-357,309
-2374,-4267,17,-507,-4293,91,-3650,-1437,241
-3384,-4177,17,142,-3512,62,-3689,-2207,538
-3281,-4759,412,294,-3328,17,-3294,-2872,764
-2525,-5104,266,114,-3826,17,-2903,-3530,645
-1561,-5103,323,-312,-4405,17,-1677,-4796,280
-1013,-4703,17,-894,-3889,46,-1136,-4759,333
-1000,-4769,17,-1504,-2402,169,-777,-4492,383
-577,-4316,53,-2052,-1049,40,-553,-4384,306
62,-3911,110,-3049,-230,17,-744,-4844,217
700,-3669,17,-3854,857,19,-858,-4472,442
965,-4319,17,-4016,1752,99,-955,-4122,529
