games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
1876.0,2424.0,17.0,243.0,3971.0,17.0,0.0,0.0,93.0
1131.0,1934.0,17.0,41.0,4359.0,17.0,0.0,0.0,93.0
171.0,913.0,17.0,23.0,4089.0,17.0,0.0,0.0,93.0
-25.0,-474.0,94.0,-32.0,3314.0,17.0,-560.0,-517.0,365.0
-340.0,-1818.0,17.0,-401.0,2379.0,17.0,-1529.0,-1631.0,518.0
-1360.0,-2097.0,17.0,-1940.0,2230.0,17.0,-2487.0,-2734.0,326.0
-2379.0,-1162.0,17.0,-2992.0,3284.0,17.0,-2790.0,-3125.0,535.0
-3268.0,-372.0,17.0,-2720.0,4683.0,17.0,-2735.0,-3128.0,834.0
-3671.0,702.0,17.0,-1607.0,4611.0,17.0,-2679.0,-3131.0,793.0
-2983.0,942.0,17.0,-1424.0,3521.0,17.0,-2626.0,-3133.0,411.0
-2846.0,-12.0,17.0,-1749.0,2379.0,17.0,-3495.0,-3109.0,177.0
-3306.0,-943.0,17.0,-1893.0,1301.0,17.0,-3808.0,-3137.0,326.0
-3361.0,-2517.0,49.0,-1792.0,258.0,17.0,-3351.0,-3153.0,304.0
-3208.0,-4180.0,130.0,-1541.0,-1241.0,17.0,-2413.0,-4082.0,648.0
-2967.0,-5009.0,257.0,-1183.0,-1990.0,17.0,-1415.0,-4872.0,860.0
-3026.0,-4679.0,16.0,-580.0,-2740.0,151.0,-702.0,-4132.0,614.0
-2480.0,-3831.0,17.0,-75.0,-3996.0,279.0,-567.0,-3046.0,421.0
-1687.0,-2410.0,17.0,482.0,-5037.0,207.0,-881.0,-1644.0,202.0
-1081.0,-922.0,17.0,825.0,-5924.0,145.0,-1131.0,-445.0,207.0
-815.0,765.0,17.0,879.0,-5607.0,180.0,-1054.0,701.0,132.0
-591.0,2332.0,17.0,490.0,-4846.0,17.0,-232.0,1863.0,95.0
256.0,3172.0,66.0,-119.0,-3789.0,17.0,487.0,2918.0,93.0
1034.0,3975.0,90.0,37.0,-2187.0,17.0,1275.0,3633.0,105.0
1630.0,4460.0,17.0,267.0,-602.0,17.0,1995.0,4236.0,93.0
2359.0,4749.0,17.0,1618.0,-311.0,17.0,2590.0,4765.0,93.0
3064.0,4954.0,285.0,3297.0,-239.0,17.0,3160.0,4772.0,404.0
3661.0,4379.0,558.0,3931.0,1044.0,38.0,3622.0,4192.0,683.0
4075.0,3680.0,667.0,3297.0,2417.0,17.0,3957.0,3444.0,659.0
4026.0,2616.0,327.0,2148.0,3647.0,17.0,3969.0,2447.0,297.0
3863.0,1447.0,261.0,792.0,4284.0,17.0,3617.0,2013.0,99.0
3804.0,412.0,113.0,585.0,3502.0,17.0,2964.0,3512.0,133.0
3609.0,-487.0,17.0,1535.0,3757.0,17.0,2358.0,4909.0,94.0
3690.0,-1378.0,30.0,1668.0,5097.0,132.0,2039.0,5024.0,632.0
3457.0,-2713.0,101.0,1962.0,5001.0,857.0,2081.0,4990.0,1283.0
3133.0,-3993.0,17.0,2456.0,4903.0,797.0,2577.0,4689.0,1851.0
1923.0,-4291.0,17.0,2890.0,4818.0,483.0,2964.0,4175.0,1762.0
1243.0,-2935.0,79.0,3201.0,4601.0,31.0,3366.0,3643.0,1333.0
966.0,-1206.0,65.0,3398.0,3920.0,17.0,3767.0,3111.0,546.0
952.0,364.0,17.0,3705.0,3438.0,17.0,3620.0,2723.0,311.0
131.0,1549.0,17.0,3250.0,3078.0,17.0,3073.0,2427.0,383.0
-1193.0,1436.0,17.0,2607.0,2319.0,17.0,2550.0,2145.0,119.0
-2040.0,745.0,17.0,1897.0,1271.0,17.0,1716.0,779.0,93.0
-2637.0,-793.0,17.0,788.0,104.0,17.0,953.0,-454.0,93.0
-3335.0,-2150.0,17.0,113.0,-1315.0,106.0,225.0,-1569.0,94.0
-4080.0,-2152.0,422.0,-339.0,-2711.0,83.0,1020.0,-720.0,102.0
-4079.0,-1208.0,543.0,-1167.0,-3927.0,17.0,1800.0,18.0,93.0
-3557.0,101.0,17.0,-2606.0,-4090.0,17.0,2570.0,680.0,105.0
-2701.0,1600.0,17.0,-3563.0,-3572.0,17.0,3709.0,1399.0,93.0
-1960.0,2986.0,17.0,-3522.0,-2179.0,101.0,3820.0,2088.0,718.0
-1434.0,4427.0,17.0,-3742.0,-462.0,76.0,3405.0,2933.0,1330.0
-963.0,4885.0,17.0,-4065.0,965.0,181.0,3003.0,3749.0,1590.0
-784.0,4944.0,17.0,-4079.0,2563.0,449.0,2597.0,4575.0,1505.0
-264.0,4885.0,17.0,-3699.0,3780.0,16.0,1745.0,4887.0,1142.0
-50.0,4803.0,144.0,-2527.0,4724.0,17.0,142.0,4567.0,455.0
-435.0,4722.0,147.0,-1309.0,5045.0,50.0,-1081.0,4295.0,358.0
-596.0,4264.0,17.0,-800.0,4332.0,17.0,-2151.0,4033.0,560.0
-576.0,4030.0,17.0,-1944.0,4055.0,17.0,-3197.0,3776.0,411.0
-757.0,3595.0,17.0,-3448.0,4061.0,17.0,-3991.0,3542.0,302.0
-1008.0,2830.0,17.0,-3944.0,3316.0,651.0,-3756.0,3382.0,707.0
-749.0,1996.0,17.0,-3166.0,2139.0,693.0,-2477.0,3220.0,1051.0
-17.0,2053.0,17.0,-2397.0,983.0,401.0,-1296.0,3070.0,1036.0
114.0,2664.0,235.0,-1750.0,-15.0,33.0,-100.0,2919.0,680.0
610.0,3453.0,338.0,-967.0,-784.0,17.0,1369.0,2535.0,618.0
1237.0,4347.0,188.0,-133.0,-101.0,17.0,2855.0,2074.0,516.0
1583.0,4911.0,17.0,39.0,1239.0,17.0,3751.0,1616.0,240.0
1388.0,4711.0,17.0,1472.0,1585.0,17.0,2815.0,1230.0,109.0
1440.0,4721.0,17.0,2839.0,999.0,299.0,3540.0,1133.0,454.0
1189.0,4282.0,17.0,4085.0,477.0,428.0,2768.0,1079.0,684.0
517.0,3378.0,17.0,4079.0,632.0,339.0,1318.0,1013.0,520.0
-551.0,2942.0,17.0,3639.0,620.0,17.0,-75.0,946.0,132.0
-1166.0,3629.0,17.0,2716.0,645.0,17.0,-185.0,2115.0,575.0
-758.0,4264.0,17.0,1750.0,1352.0,17.0,193.0,3887.0,804.0
-272.0,4269.0,17.0,1679.0,2873.0,17.0,527.0,4676.0,687.0
232.0,3962.0,152.0,952.0,3668.0,170.0,729.0,3855.0,336.0
786.0,3512.0,46.0,1188.0,5076.0,526.0,408.0,4777.0,866.0
1202.0,3831.0,17.0,1106.0,5040.0,310.0,198.0,3762.0,908.0
1021.0,4653.0,17.0,975.0,5009.0,19.0,-3.0,2792.0,598.0
327.0,4851.0,17.0,396.0,5031.0,17.0,-195.0,1915.0,165.0
-373.0,4354.0,17.0,-375.0,4876.0,17.0,-381.0,1337.0,379.0
-849.0,3381.0,17.0,-1318.0,4577.0,17.0,-556.0,790.0,254.0
-1412.0,2280.0,17.0,-2485.0,4452.0,17.0,-1160.0,832.0,157.0
-1657.0,620.0,113.0,-3223.0,3564.0,17.0,-1482.0,443.0,308.0
-1562.0,-777.0,103.0,-2773.0,2620.0,17.0,-1059.0,-1215.0,737.0
-1221.0,-2183.0,17.0,-1992.0,1897.0,17.0,-639.0,-2856.0,834.0
328.0,-2494.0,17.0,-1359.0,1123.0,17.0,-229.0,-4501.0,683.0
