games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048,-2560,17,0,-4608,17,0,0,93
2048,-2560,17,0,-4608,17,0,0,93
2048,-2560,17,0,-4608,17,0,0,93
2048,-2560,17,0,-4608,17,0,0,93
2048,-2560,17,0,-4608,17,0,0,93
2048,-2560,17,0,-4608,17,0,0,93
1935,-2462,17,0,-4489,17,0,0,93
1144,-1863,17,0,-3843,17,0,0,93
123,-864,17,0,-3019,17,0,0,93
-148,470,83,90,-2020,17,128,698,625
-504,1834,17,440,-913,17,331,2012,1209
-1403,2968,17,606,675,17,523,3254,1439
-2670,3895,17,663,2061,17,722,4541,1334
-3992,3629,73,793,2928,17,862,4567,877
-3986,2493,69,951,3841,227,933,4199,152
-3022,2101,17,841,4886,191,434,4824,343
-1969,2884,17,826,5798,56,-439,4401,294
-1086,4240,122,790,5557,27,-914,4545,202
-1065,4042,530,916,4955,163,-654,5212,283
-1359,2693,1021,1143,4390,313,-654,5212,283
-1681,1217,1193,1374,3818,125,-654,5212,283
-1971,-115,1020,1526,3424,17,-654,5212,283
-256,-3840,16,2048,-2560,16,0,0,93
-256,-3840,16,2048,-2560,16,0,0,93
-256,-3840,16,2048,-2560,16,0,0,93
-256,-3840,16,2048,-2560,16,0,0,93
-256,-3840,16,2048,-2560,16,0,0,93
-256,-3839,17,2048,-2560,17,0,0,93
-554,-3473,17,1648,-2116,17,0,0,93
-1668,-3669,17,926,-1259,17,0,0,93
-2916,-4156,17,81,-112,103,19,-4,108
-3704,-3423,17,115,-302,83,-39,-14,97
-3159,-2750,17,16,-314,17,-98,-38,93
-2171,-2364,17,-248,179,103,53,199,203
-1219,-1937,17,-870,203,51,1107,519,344
220,-1228,17,-1010,477,17,2091,817,138
1849,-620,17,-401,793,17,2906,1017,176
3222,34,17,-42,976,17,3585,1171,124
4071,1382,201,14,1042,17,3898,1660,326
3212,2479,17,180,1612,17,3490,3402,717
1960,2849,17,-51,2309,17,2964,4823,753
1683,4009,17,-20,2646,17,1976,4976,494
1661,4927,55,230,2841,17,1863,4646,227
1960,4907,17,967,2494,17,3045,4051,90
2461,4963,19,1658,1641,17,3950,3558,172
3138,3978,17,2042,663,17,3881,3295,530
3354,2922,17,2370,-207,17,3733,3064,533
3614,1827,17,2566,-1262,17,3587,2839,205
3640,289,104,3132,-1171,17,3544,2621,253
3646,-1300,16,3306,-135,17,3531,2413,143
3542,-2763,17,3508,1074,17,3518,2215,143
3041,-4332,17,3416,2357,100,3960,1607,182
1792,-4790,17,3115,3917,35,3756,1136,174
1295,-3687,17,3226,4814,508,3805,505,146
2242,-2802,17,3516,4523,685,3919,-433,128
3459,-3313,17,3257,4378,13,3611,-1556,95
3212,-4460,17,3132,3500,17,3045,-2682,115
2156,-4856,17,3470,2315,96,1753,-3614,161
578,-4485,93,3780,1111,21,468,-4118,253
-946,-3940,94,3382,-152,17,-1193,-2877,491
-2441,-3148,17,1829,-580,17,-2799,-1678,365
-3537,-1778,17,615,-688,17,-3987,-678,312
-4079,-541,474,278,-273,17,-3855,-131,860
-3553,797,935,125,294,17,-3727,398,1059
-2664,2183,858,-780,748,17,-3601,922,919
-1778,3596,449,-2246,496,17,-3474,1451,422
-1017,4672,16,-2448,-740,17,-3442,1600,415
-190,4255,17,-2128,-2155,17,-3515,1055,948
-336,3029,88,-2219,-3555,17,-3588,510,1123
-566,1659,16,-2867,-4266,17,-3656,-4,944
-853,236,93,-2949,-3678,17,-3516,-70,407
-1218,-1473,16,-2735,-2422,17,-3229,254,357
-1288,-2978,17,-2872,-742,99,-2992,547,485
-194,-3490,17,-2789,796,240,-2708,1090,331
494,-2509,82,-2312,2299,181,-2096,3154,194
877,-1216,87,-1859,3424,17,-1562,4913,177
1122,363,17,-1165,3919,196,-1096,4096,211
549,1942,17,-680,4265,323,-453,5213,145
1240,1929,73,-700,2976,857,-453,5213,145
1952,1534,66,-724,1453,1143,-453,5213,145
2560,1212,29,-747,-20,1065,-453,5213,145
256,-3840,34,-256,-3840,33,0,0,95
256,-3840,16,-256,-3840,17,0,0,93
256,-3840,16,-256,-3840,17,0,0,93
256,-3840,16,-256,-3840,17,0,0,93
256,-3840,16,-256,-3840,17,0,0,93
256,-3840,16,-256,-3840,17,0,0,93
218,-3625,17,-350,-3649,17,0,0,93
0,-2612,17,-1295,-3483,17,0,0,93
-40,-1340,17,-2451,-3935,17,0,0,93
-30,-124,124,-3454,-3645,17,428,-9,93
-92,-26,37,-3028,-2784,17,1948,123,93
279,20,17,-2196,-3164,80,3279,230,93
1328,-11,94,-1133,-4139,66,4000,303,376
2481,-27,17,-217,-4949,17,3986,348,697
3476,-36,17,438,-5139,17,3972,392,665
3948,143,47,469,-5049,17,3960,432,306
3943,857,42,240,-4531,17,3496,1050,107
3106,1608,17,-58,-3730,17,2902,1829,94
1940,2377,125,-78,-2781,17,1158,2984,399
778,2797,277,-584,-1965,17,-888,4014,527
-402,3201,106,-1446,-1313,17,-2849,4972,313
-1421,3526,17,-2269,-938,17,-3588,3795,142
2300,-4594,17,-3000,-868,17,-3892,2822,289
2098,-4303,17,-3002,-772,17,-3662,2023,312
1358,-4256,17,-3011,-751,17,-3442,1259,142
406,-4324,17,-2882,-599,17,-2601,266,442
-302,-3819,17,-2062,-816,22,-1787,-693,399
124,-3027,17,-916,-1764,171,-768,-1481,115
1031,-2034,97,372,-2856,90,-263,-1673,351
2292,-1040,77,956,-3027,17,99,-1804,316
3513,68,17,539,-2209,78,477,-1922,160
3503,1592,17,391,-1349,181,844,-370,631
3073,2649,212,135,-799,45,1212,1357,808
2414,3864,412,-11,-402,17,1567,3028,640
1614,5111,361,-23,-156,17,1917,4679,130
2358,4635,606,-12,346,17,2168,4563,441
3519,3952,711,9,1233,17,2398,3903,518
4079,3240,466,30,2115,17,1697,4045,304
3849,2980,18,-166,2988,17,-129,5169,197
-2048,-2560,17,-920,2635,54,-186,5204,201
-2048,-2560,17,-1692,1974,17,-186,5204,201
-2048,-2560,17,-2214,1620,17,-186,5204,201
-2048,-2560,17,-2579,1372,17,-186,5204,201
-2048,-2560,17,256,-3840,16,0,0,93
-1983,-2504,17,256,-3840,16,0,0,93
-1302,-2129,17,256,-3840,16,0,0,93
-254,-1258,17,256,-3840,16,0,0,93
41,-100,149,256,-3840,16,0,0,93
416,21,227,240,-3790,17,0,0,93
771,131,19,57,-3366,17,0,0,93
1314,279,17,10,-2520,17,0,0,93
1893,906,17,5,-1786,17,464,145,298
2832,1198,17,515,-1088,17,2140,1133,732
3056,1934,17,1748,-335,17,3688,2045,809
2253,2053,17,2816,872,17,3262,2832,578
1628,1085,104,3308,2301,17,2395,3581,141
962,-366,67,3217,3761,17,3191,4151,402
301,-1845,17,2301,4323,17,2435,3142,268
-494,-3107,17,1377,3800,17,1267,2287,279
