games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
1883.0,-2425.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
1155.0,-1893.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
133.0,-941.0,17.0,256.0,-3914.0,17.0,0.0,0.0,93.0
412.0,-322.0,99.0,257.0,-4345.0,17.0,1194.0,-592.0,635.0
1054.0,-611.0,17.0,162.0,-4181.0,17.0,3279.0,-1510.0,1334.0
1565.0,-808.0,17.0,268.0,-4498.0,17.0,3261.0,-2272.0,1459.0
1973.0,-2215.0,173.0,229.0,-4631.0,17.0,2101.0,-2945.0,1133.0
2366.0,-3692.0,92.0,638.0,-4133.0,246.0,980.0,-3595.0,486.0
2482.0,-4324.0,17.0,682.0,-3467.0,279.0,433.0,-3079.0,100.0
2962.0,-4371.0,17.0,727.0,-2824.0,69.0,152.0,-2244.0,96.0
2981.0,-4855.0,41.0,399.0,-2477.0,17.0,-63.0,-1564.0,96.0
2193.0,-5047.0,51.0,-113.0,-1817.0,118.0,-383.0,-1588.0,275.0
1164.0,-5008.0,24.0,-467.0,-693.0,105.0,-1040.0,-3241.0,716.0
241.0,-4788.0,17.0,-1042.0,79.0,17.0,-1684.0,-4858.0,816.0
-780.0,-4435.0,17.0,-2376.0,-47.0,17.0,-2159.0,-4161.0,497.0
-1821.0,-4167.0,17.0,-3619.0,-38.0,17.0,-2170.0,-3576.0,180.0
-2453.0,-4769.0,17.0,-3342.0,-975.0,17.0,-1551.0,-3582.0,105.0
-1937.0,-5103.0,336.0,-2431.0,-2241.0,17.0,-638.0,-4417.0,324.0
-1294.0,-4913.0,425.0,-1457.0,-3342.0,27.0,76.0,-5212.0,372.0
-2413.0,-3822.0,791.0,-2193.0,-2007.0,17.0,76.0,-5212.0,372.0
-3456.0,-2805.0,825.0,-2771.0,-961.0,17.0,76.0,-5212.0,372.0
-4079.0,-1762.0,598.0,-3277.0,-45.0,17.0,76.0,-5212.0,372.0
-256.0,-3840.0,26.0,2048.0,-2560.0,27.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-381.0,-3599.0,17.0,1925.0,-2437.0,17.0,0.0,0.0,93.0
-1326.0,-3487.0,17.0,1310.0,-1710.0,17.0,0.0,0.0,93.0
-2566.0,-4016.0,17.0,444.0,-579.0,49.0,0.0,0.0,93.0
-3581.0,-3791.0,17.0,549.0,-367.0,90.0,1814.0,-665.0,93.0
-3789.0,-2711.0,17.0,999.0,-473.0,17.0,3629.0,-1333.0,93.0
-2999.0,-2190.0,17.0,1608.0,-632.0,17.0,3994.0,-1740.0,766.0
-2278.0,-3062.0,17.0,2178.0,-1367.0,77.0,3979.0,-2079.0,1238.0
-1737.0,-4126.0,17.0,2695.0,-2462.0,90.0,3965.0,-2419.0,1368.0
-587.0,-4739.0,17.0,3150.0,-3740.0,17.0,3944.0,-2753.0,1163.0
211.0,-5151.0,17.0,2535.0,-4533.0,17.0,2895.0,-3903.0,1331.0
405.0,-5004.0,17.0,1828.0,-4902.0,17.0,1916.0,-4977.0,1149.0
567.0,-4632.0,100.0,1269.0,-5009.0,29.0,1304.0,-4430.0,706.0
994.0,-3834.0,196.0,697.0,-4679.0,17.0,975.0,-3446.0,102.0
1489.0,-2975.0,95.0,646.0,-3725.0,17.0,1081.0,-2082.0,226.0
1771.0,-1729.0,17.0,449.0,-2960.0,17.0,1179.0,-805.0,126.0
1237.0,-130.0,120.0,-450.0,-2714.0,17.0,1261.0,310.0,107.0
1081.0,1264.0,139.0,-542.0,-1934.0,17.0,1673.0,1925.0,749.0
982.0,2542.0,16.0,299.0,-896.0,17.0,2236.0,3934.0,1209.0
1656.0,2693.0,17.0,1430.0,332.0,17.0,2656.0,4581.0,1256.0
2348.0,2590.0,161.0,2335.0,1413.0,17.0,2945.0,3428.0,889.0
3403.0,2640.0,351.0,3361.0,2842.0,251.0,3787.0,2693.0,591.0
3993.0,2599.0,432.0,4043.0,3847.0,311.0,2927.0,2628.0,655.0
3917.0,2482.0,319.0,3857.0,4182.0,536.0,1716.0,2554.0,360.0
3855.0,2407.0,19.0,3274.0,4349.0,12.0,820.0,2135.0,327.0
3539.0,2604.0,17.0,2484.0,3163.0,17.0,738.0,73.0,808.0
3079.0,1938.0,17.0,2188.0,1636.0,17.0,661.0,-1875.0,934.0
3463.0,591.0,99.0,1680.0,-49.0,17.0,583.0,-3849.0,722.0
3877.0,-893.0,21.0,1176.0,-1695.0,17.0,332.0,-5205.0,330.0
3615.0,-2543.0,17.0,724.0,-3172.0,17.0,332.0,-5205.0,330.0
2992.0,-4114.0,17.0,351.0,-4392.0,17.0,332.0,-5205.0,330.0
1561.0,-4447.0,123.0,71.0,-5306.0,17.0,332.0,-5205.0,330.0
0.0,-4608.0,34.0,-256.0,-3840.0,34.0,0.0,0.0,97.0
0.0,-4608.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
0.0,-4608.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
0.0,-4608.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
0.0,-4608.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
0.0,-4608.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
4.0,-4386.0,17.0,-220.0,-3641.0,17.0,0.0,0.0,93.0
449.0,-3620.0,17.0,-40.0,-2607.0,17.0,0.0,0.0,93.0
1788.0,-3487.0,17.0,-13.0,-1286.0,17.0,0.0,0.0,93.0
3126.0,-4030.0,17.0,-90.0,304.0,142.0,-26.0,567.0,93.0
3840.0,-2969.0,18.0,-296.0,1664.0,74.0,-103.0,2331.0,93.0
3309.0,-1942.0,17.0,-3.0,3220.0,167.0,-406.0,2548.0,541.0
2161.0,-1820.0,17.0,249.0,4857.0,119.0,-910.0,1393.0,1144.0
1635.0,-2903.0,17.0,336.0,5929.0,114.0,-1432.0,197.0,1417.0
2056.0,-3975.0,17.0,371.0,5681.0,29.0,-1930.0,-946.0,1328.0
1609.0,-4607.0,17.0,600.0,4942.0,17.0,-2332.0,-1972.0,1098.0
806.0,-4914.0,17.0,1509.0,4662.0,17.0,-2081.0,-2321.0,1862.0
241.0,-4618.0,17.0,2427.0,4450.0,17.0,-1809.0,-2581.0,1116.0
-656.0,-3702.0,169.0,3221.0,3785.0,17.0,-1548.0,-2831.0,124.0
-1658.0,-2667.0,454.0,3604.0,2541.0,17.0,-1785.0,-2789.0,913.0
-2762.0,-1564.0,665.0,3709.0,831.0,17.0,-2744.0,-2445.0,1854.0
-3740.0,-618.0,549.0,3063.0,-763.0,17.0,-3542.0,-2111.0,1446.0
-4079.0,-116.0,393.0,2411.0,-2131.0,17.0,-3847.0,-1832.0,638.0
-4074.0,-578.0,219.0,1668.0,-3683.0,17.0,-3413.0,-1650.0,341.0
-3840.0,-1341.0,17.0,716.0,-4818.0,17.0,-3003.0,-1520.0,646.0
