games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
-198.0,-3973.0,96.0,1941.0,-2453.0,17.0,0.0,0.0,93.0
73.0,-4327.0,94.0,1301.0,-1731.0,17.0,0.0,0.0,93.0
227.0,-4482.0,17.0,409.0,-616.0,22.0,0.0,0.0,93.0
121.0,-3951.0,17.0,-325.0,-128.0,86.0,479.0,309.0,241.0
716.0,-3206.0,17.0,-790.0,-37.0,17.0,1233.0,852.0,177.0
1902.0,-3530.0,17.0,-1538.0,6.0,17.0,1910.0,1303.0,148.0
3309.0,-4076.0,17.0,-2487.0,-38.0,17.0,2503.0,1657.0,106.0
4004.0,-2973.0,86.0,-3565.0,-27.0,17.0,3256.0,2569.0,98.0
3852.0,-1439.0,18.0,-3914.0,925.0,31.0,3955.0,3444.0,145.0
3392.0,199.0,17.0,-3633.0,2400.0,17.0,3919.0,3953.0,430.0
2280.0,940.0,17.0,-3295.0,4028.0,17.0,3864.0,3037.0,743.0
2447.0,1455.0,17.0,-2089.0,4055.0,17.0,3867.0,1745.0,810.0
3215.0,1006.0,17.0,-1624.0,2603.0,17.0,3694.0,312.0,571.0
3264.0,-244.0,17.0,-1455.0,1315.0,17.0,3032.0,-1456.0,142.0
3420.0,-1971.0,17.0,-1020.0,-210.0,61.0,2478.0,-3050.0,298.0
3696.0,-3698.0,17.0,-570.0,-1692.0,103.0,1979.0,-4500.0,178.0
3120.0,-4906.0,215.0,-277.0,-3281.0,17.0,1627.0,-4973.0,566.0
1816.0,-5103.0,971.0,-801.0,-4706.0,17.0,1370.0,-4880.0,962.0
215.0,-4543.0,1014.0,-427.0,-5025.0,17.0,921.0,-3906.0,913.0
-1172.0,-3952.0,880.0,-158.0,-4221.0,17.0,389.0,-2526.0,465.0
-2724.0,-3285.0,380.0,-16.0,-2817.0,169.0,-16.0,-1924.0,324.0
-3630.0,-2672.0,17.0,151.0,-1163.0,237.0,-221.0,-3054.0,689.0
-2930.0,-2370.0,17.0,300.0,312.0,14.0,-408.0,-4087.0,687.0
-2124.0,-3345.0,17.0,451.0,1803.0,17.0,-597.0,-5132.0,346.0
-2521.0,-3341.0,95.0,564.0,2919.0,17.0,-612.0,-5214.0,305.0
-3286.0,-2459.0,17.0,646.0,3725.0,17.0,-612.0,-5214.0,305.0
-2922.0,-2578.0,17.0,707.0,4329.0,17.0,-612.0,-5214.0,305.0
-2489.0,-3550.0,106.0,740.0,4655.0,17.0,-612.0,-5214.0,305.0
-2048.0,-2560.0,16.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,16.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,16.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,16.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,16.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
-2017.0,-2532.0,17.0,-256.0,-3814.0,17.0,0.0,0.0,93.0
-1320.0,-2095.0,17.0,-205.0,-3178.0,17.0,0.0,0.0,93.0
-300.0,-1265.0,17.0,-50.0,-2348.0,17.0,0.0,0.0,93.0
-87.0,178.0,89.0,-76.0,-2207.0,17.0,70.0,248.0,388.0
-17.0,1501.0,39.0,-132.0,-1668.0,17.0,471.0,1509.0,1001.0
373.0,2875.0,17.0,216.0,-864.0,17.0,868.0,2757.0,1263.0
1218.0,4039.0,17.0,749.0,-17.0,17.0,1247.0,3949.0,1179.0
2325.0,4242.0,17.0,1519.0,14.0,17.0,1621.0,4957.0,752.0
3210.0,3437.0,17.0,2747.0,-212.0,17.0,2107.0,4269.0,206.0
3510.0,2456.0,17.0,3525.0,83.0,17.0,3140.0,3690.0,144.0
4018.0,1739.0,96.0,3531.0,194.0,17.0,3993.0,3171.0,204.0
4079.0,2198.0,591.0,3487.0,399.0,17.0,4000.0,2893.0,504.0
4007.0,3244.0,82.0,2964.0,1134.0,17.0,3390.0,3715.0,287.0
2865.0,3353.0,17.0,2069.0,1782.0,17.0,2641.0,4874.0,243.0
2190.0,4105.0,78.0,1128.0,1711.0,17.0,2150.0,4502.0,270.0
2008.0,4942.0,144.0,203.0,1985.0,17.0,884.0,4988.0,543.0
1617.0,5035.0,42.0,-282.0,2897.0,17.0,-169.0,5101.0,160.0
804.0,4979.0,17.0,-765.0,3762.0,17.0,-823.0,5064.0,396.0
-47.0,4712.0,17.0,-1696.0,4304.0,17.0,-853.0,4612.0,347.0
-858.0,4055.0,74.0,-1610.0,4161.0,17.0,-898.0,4186.0,154.0
-1243.0,3995.0,99.0,-1390.0,3812.0,17.0,-1005.0,4417.0,382.0
-1765.0,3918.0,17.0,-1547.0,3992.0,17.0,-1312.0,4289.0,489.0
-2239.0,3437.0,17.0,-2187.0,3850.0,17.0,-1835.0,3737.0,520.0
-2471.0,3068.0,128.0,-2429.0,3211.0,80.0,-2372.0,3161.0,210.0
-2754.0,2577.0,134.0,-2307.0,2183.0,85.0,-2074.0,2252.0,512.0
-2999.0,2044.0,17.0,-2127.0,1288.0,17.0,-1781.0,1353.0,466.0
-3332.0,1156.0,89.0,-1558.0,610.0,165.0,-1399.0,758.0,315.0
-3727.0,14.0,16.0,-1090.0,207.0,107.0,-793.0,643.0,237.0
-3361.0,-1280.0,17.0,-452.0,343.0,156.0,-324.0,535.0,172.0
-2076.0,-1588.0,17.0,171.0,1035.0,169.0,520.0,1536.0,508.0
-830.0,-765.0,17.0,954.0,2075.0,68.0,1401.0,2676.0,581.0
-167.0,666.0,17.0,2087.0,3088.0,17.0,2273.0,3804.0,310.0
419.0,2121.0,17.0,3385.0,4128.0,17.0,3007.0,4747.0,232.0
1865.0,2431.0,17.0,3912.0,3562.0,31.0,2748.0,4497.0,458.0
2321.0,3385.0,17.0,3064.0,3639.0,189.0,2450.0,4000.0,558.0
1630.0,4045.0,17.0,2118.0,3831.0,194.0,2385.0,3229.0,852.0
898.0,3226.0,43.0,1247.0,3793.0,32.0,2317.0,2431.0,804.0
672.0,1587.0,90.0,1431.0,2952.0,62.0,2256.0,1694.0,428.0
478.0,94.0,17.0,1515.0,2199.0,17.0,2189.0,1058.0,253.0
1213.0,-1194.0,17.0,1698.0,1096.0,99.0,2116.0,538.0,352.0
2039.0,-2442.0,17.0,1958.0,-162.0,41.0,1850.0,-434.0,240.0
1765.0,-3620.0,17.0,2046.0,-578.0,17.0,1254.0,-2199.0,121.0
848.0,-3736.0,15.0,2238.0,-241.0,17.0,652.0,-3618.0,141.0
-474.0,-4083.0,17.0,2320.0,-85.0,81.0,-727.0,-3506.0,405.0
-2008.0,-4165.0,17.0,2301.0,96.0,17.0,-2075.0,-3396.0,317.0
-3443.0,-3964.0,43.0,2737.0,121.0,17.0,-3237.0,-3322.0,167.0
