games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-2048,2560,17,0,4608,17,0,0,93
-2048,2560,17,0,4608,17,0,0,93
-2048,2560,17,0,4608,17,0,0,93
-2048,2560,17,0,4608,17,0,0,93
-2048,2560,17,0,4608,17,0,0,93
-2048,2560,17,0,4608,17,0,0,93
-1911,2449,17,0,4499,60,0,0,93
-1099,1824,17,0,3803,77,0,0,93
-179,969,17,0,3084,17,0,0,93
111,-146,92,-144,2198,17,-1278,-80,168
333,-679,18,-969,2178,17,-3558,-333,108
988,-878,17,-1740,2912,17,-3807,-504,977
2065,-591,89,-2962,3976,17,-3247,-537,1659
3261,-260,16,-2522,5045,47,-2032,-317,1851
3753,594,17,-1393,4647,17,-968,-121,1335
3472,1647,17,-867,3278,17,73,70,485
2786,1609,49,122,2583,17,836,210,440
2167,993,292,1371,2031,17,1443,320,721
1723,111,539,2288,1471,17,2023,426,656
1512,-922,468,2666,738,102,2603,531,250
1302,-1998,75,3096,-643,114,1980,-523,489
1040,-2538,17,3373,-1575,17,1342,-1572,407
636,-2293,17,3081,-1193,17,275,-1162,248
567,-1135,76,2371,-255,17,-1205,720,125
665,375,93,2550,1412,17,-2538,2425,98
932,1846,17,2805,3040,17,-3745,3978,97
1084,3550,17,2460,4446,17,-3681,4251,931
595,4692,17,1460,4124,17,-3521,4408,1408
542,4766,17,393,4010,17,-3358,4569,1550
352,5124,17,-451,4480,17,-2961,4809,1387
-50,5083,22,-736,4634,46,-1885,4847,1145
-527,4646,295,-795,4676,258,-922,4532,610
-1314,4324,379,-648,4695,202,-1379,4648,1464
-2198,4006,217,-613,4692,17,-2003,4644,1576
-2980,3858,17,-1122,4539,17,-2499,4397,688
-3329,4597,78,-1971,4752,17,-2916,4663,465
-2704,5095,217,-2060,4755,17,-2684,4624,862
-2283,4677,87,-1578,4642,17,-2241,4241,855
-1871,3999,377,-1633,4108,17,-1799,3819,542
-810,3129,409,-1636,4064,17,-1188,2317,709
268,2262,176,-1261,4365,17,-597,865,538
794,1139,17,-681,3907,17,-19,-573,128
706,-574,17,-106,3111,17,364,-1676,305
849,-2221,17,293,2237,17,742,-2767,136
1163,-3942,182,678,1383,17,725,-3895,284
1474,-5020,40,923,839,17,405,-5212,280
2604,-4586,293,1047,565,17,405,-5212,280
3947,-3953,424,1074,506,17,405,-5212,280
4079,-3172,291,1074,506,17,405,-5212,280
4043,-2406,134,1074,506,17,405,-5212,280
256,3840,16,-2048,2560,17,0,0,93
256,3840,16,-2048,2560,17,0,0,93
256,3840,16,-2048,2560,17,0,0,93
256,3840,16,-2048,2560,17,0,0,93
256,3840,16,-2048,2560,17,0,0,93
258,3878,27,-2003,2515,17,0,0,93
-9,4327,98,-1444,1914,17,0,0,93
-250,4668,17,-654,906,17,0,0,93
-136,4310,17,76,-107,113,-540,-523,103
-410,3687,17,350,-664,26,-1815,-1816,93
-1210,3827,17,-62,-985,17,-2466,-2169,432
-1275,4381,17,-872,-586,17,-2081,-845,1234
-706,4768,17,-1914,-205,17,-1697,480,1694
-320,5233,17,-2371,600,85,-1317,1790,1797
-516,5185,17,-2693,2033,82,-958,3028,1559
-190,5298,17,-2964,3330,17,-589,4301,964
112,5067,158,-2557,4563,17,-327,5207,320
810,3957,119,-3669,3953,60,-327,5207,320
1687,3080,17,-4079,3188,675,-327,5207,320
2483,2612,17,-4079,2509,1096,-327,5207,320
-256,3840,36,256,3840,37,0,0,98
-256,3840,17,256,3840,16,0,0,93
-256,3840,17,256,3840,16,0,0,93
-256,3840,17,256,3840,16,0,0,93
-256,3840,17,256,3840,16,0,0,93
-256,3840,17,256,3840,16,0,0,93
-219,3623,17,328,3680,17,0,0,93
-42,2718,17,1088,3603,17,0,0,93
12,1312,17,2223,4016,17,0,0,93
7,27,88,3155,4091,17,519,74,129
80,-458,18,3608,3086,17,2421,375,105
-195,-996,17,4080,1578,349,4000,645,226
-640,-1771,17,4079,133,723,3450,9,725
33,-2309,17,3890,-1071,19,2434,-1325,678
1158,-2638,49,2647,-2270,17,1462,-2601,307
1496,-2998,100,1015,-2520,17,815,-4511,476
1732,-2976,17,-317,-2541,17,617,-5197,502
1617,-2563,17,-372,-2564,17,617,-5197,502
1579,-2424,17,-372,-2564,17,617,-5197,502
1578,-2422,17,-372,-2564,17,617,-5197,502
2048,2560,17,-256,3840,17,0,0,93
2048,2560,17,-256,3840,17,0,0,93
2048,2560,17,-256,3840,17,0,0,93
2048,2560,17,-256,3840,17,0,0,93
2048,2560,17,-256,3840,17,0,0,93
2048,2560,17,-256,3840,17,0,0,93
1618,2252,17,-130,4097,17,0,0,93
638,1579,17,56,4225,17,0,0,93
56,321,84,26,3709,17,0,0,93
178,-903,76,78,2887,17,1196,-1505,93
370,-1912,17,981,2733,17,2321,-3006,93
1414,-2049,17,1139,3590,17,3353,-4375,95
2384,-1119,98,528,3614,17,3354,-4566,807
3362,-117,61,756,2861,17,3260,-4643,1175
3788,1260,16,1574,2419,17,3267,-4236,1486
3044,1695,17,2296,1821,17,3385,-3279,1777
2857,1153,17,2620,1354,17,3500,-2354,1718
3323,387,244,2463,1759,17,3614,-1439,1317
3718,-483,595,2383,1963,17,3754,-780,647
3961,-1690,599,2324,1501,17,3897,-2715,417
4079,-2839,408,1875,767,17,3595,-4318,252
3462,-3592,17,1251,-249,17,2965,-4926,677
2367,-3942,17,432,-1583,17,2318,-5015,756
1406,-3990,17,169,-2119,17,1452,-4741,707
477,-3508,17,6,-2771,17,-16,-3898,785
-990,-2735,17,-1041,-2706,43,-1419,-3092,525
-2251,-2005,17,-2240,-1803,66,-2746,-2315,176
-2993,-910,17,-2895,-882,54,-3796,-1651,334
-3571,519,17,-3515,-207,17,-3542,-1164,245
-3509,2172,17,-3527,-115,17,-3036,-750,168
-3350,3785,17,-3039,156,113,-2511,921,381
-2360,4306,17,-2446,617,16,-1991,2604,255
-1300,3421,93,-2011,1204,17,-1275,3139,501
-363,2644,95,-2319,2128,17,-220,1933,1241
787,1534,17,-2818,3247,17,834,726,1640
1712,32,226,-3035,4279,17,1877,-467,1682
2515,-1255,558,-2246,4508,17,2828,-1556,1402
3473,-2652,977,-1728,3701,96,3837,-2710,757
3994,-3853,1020,-1411,2358,90,3535,-3523,148
3788,-4252,732,-1061,1176,17,3078,-4021,436
3362,-4678,286,61,937,17,2620,-4519,383
2618,-4934,14,1256,1199,17,3082,-3561,662
2027,-4181,17,2457,811,17,3600,-2517,644
1339,-3469,93,3639,-456,17,3945,-1562,304
826,-2362,79,3667,-1819,121,3184,-1901,591
115,-1313,17,3303,-2804,45,1717,-2760,1356
-940,-1753,17,2584,-3485,17,265,-3610,1768
-1806,-2897,17,1798,-2976,17,-1154,-4441,1825
-2879,-4174,17,1491,-2059,17,-2411,-4949,1475
-4047,-3724,157,822,-1314,17,-3219,-4594,658
