games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-2048,2560,17,2048,2560,17,0,0,92
-2048,2560,17,2048,2560,17,0,0,92
-2048,2560,17,2048,2560,17,0,0,92
-2048,2560,17,2048,2560,17,0,0,92
-2048,2560,17,2048,2560,17,0,0,92
-2048,2560,17,2048,2560,17,0,0,92
-1894,2422,17,2137,2658,17,0,0,92
-1143,1888,17,2514,3164,96,0,0,92
-217,832,22,3153,4023,58,0,0,92
-292,-256,102,3368,4316,18,-822,-912,195
-751,-1066,17,2914,4191,17,-2025,-2582,114
-1607,-948,17,2062,4288,17,-3113,-4101,100
-2402,-506,17,1210,4105,17,-3334,-4587,674
-3280,23,17,415,3442,17,-3213,-4688,1170
-3964,-267,54,23,2508,17,-3095,-4785,1309
-3763,-1069,16,-106,1852,17,-2675,-4523,1548
-3077,-1657,239,-96,1291,17,-2194,-4168,1574
-2211,-2361,624,127,964,17,-1707,-3810,1262
-1321,-3173,713,389,710,17,-1230,-3459,611
-267,-4353,204,483,618,17,-994,-4334,430
209,-5155,17,516,533,17,-803,-4944,793
192,-4738,17,465,194,17,-651,-4452,837
-330,-3974,17,380,34,17,-505,-3977,541
-983,-3148,17,-121,22,17,-1074,-2622,641
-2139,-2293,17,-1070,275,17,-1742,-1139,497
-2805,-775,17,-2539,103,99,-2326,-132,99
-3094,521,17,-3977,520,80,-2383,-939,157
-2973,1584,17,-4068,868,198,-1954,-1021,225
-2931,2674,17,-3995,422,78,-1435,-1101,155
-2364,3436,17,-3332,-46,17,181,-872,248
-1110,3697,92,-2383,938,72,1662,-672,131
326,3908,16,-1365,2324,65,2985,-522,100
1614,4064,17,-430,3434,17,3995,-415,203
3029,4088,17,340,4726,17,3772,280,1008
3399,4643,318,444,5148,17,3516,1043,1499
2782,5078,274,154,5420,20,3038,1932,1644
1946,5094,120,213,5376,18,2186,3086,1475
1268,5103,579,474,5111,248,1334,4241,949
692,4761,543,994,4770,402,1412,4018,584
37,4195,464,1676,4462,323,2643,2047,485
-662,3623,50,2368,4092,16,3844,118,118
-1127,2828,17,3035,3003,17,3936,-1234,657
-1351,1295,96,3490,1570,17,3839,-2432,882
-1666,-422,16,3644,-153,17,3736,-3716,761
-2624,-1621,17,3649,-1864,17,3265,-4342,435
-2694,-2472,17,3317,-3355,17,2489,-4504,206
-1921,-2414,17,2804,-4744,17,3316,-3575,427
-1487,-1226,92,2378,-4270,17,3645,-2508,331
-1133,261,91,3029,-3129,17,2953,-1786,184
-945,1863,17,3158,-1701,17,2384,-1207,167
-1586,2986,17,3368,-448,17,1899,-714,133
-1023,3594,17,3230,872,17,1481,-290,93
-160,2843,17,2045,1405,17,1156,40,93
543,1280,17,1047,1017,17,870,330,93
384,-53,17,742,-172,31,533,-853,434
