games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-192,-3986,99,1890,-2402,17,0,0,93
62,-4372,95,1219,-1628,17,0,0,93
342,-4881,17,368,-564,49,0,0,93
290,-4753,17,-326,191,100,746,720,144
610,-4260,17,-771,664,17,1796,1745,103
1499,-4083,17,-1505,625,17,2755,2680,93
2376,-4168,17,-2283,235,17,3576,3480,93
3163,-3644,17,-3382,-102,17,3902,3848,444
2690,-2966,17,-3721,176,17,3787,3052,930
2102,-2761,17,-3101,107,17,3671,2247,1074
1847,-2021,17,-2560,-537,17,3562,1486,874
2593,-820,17,-1910,-1317,17,3454,742,348
3448,441,186,-1152,-1977,17,1986,-246,172
4023,1744,162,-17,-1639,59,-3,-1333,122
3672,2691,17,440,-675,133,-1766,-2311,97
2518,2524,17,309,-279,31,-3394,-3221,93
1459,1598,17,591,-6,17,-3965,-3835,612
1735,-100,90,920,-745,17,-3747,-4184,1059
2107,-1614,24,468,-1902,17,-3481,-4448,1140
2103,-3346,17,42,-3542,17,-2886,-4256,1628
1552,-4358,17,-383,-4786,17,-2227,-3933,1915
1054,-4298,17,-622,-4450,17,-1699,-3683,1527
-21,-3854,17,-829,-3915,194,-1147,-3420,764
-582,-2997,17,-1281,-2672,212,-707,-3209,280
-1365,-2383,17,-1761,-1335,42,-427,-3072,661
-1941,-3011,17,-1603,-1074,17,-145,-2932,700
-1793,-4064,17,-936,-1761,17,148,-2924,597
-906,-4454,17,-228,-2565,17,490,-3363,910
5,-4607,38,354,-3351,17,848,-3824,888
1123,-4407,340,1313,-4259,17,1193,-4269,512
1923,-3882,361,2555,-4348,17,2363,-3339,947
2818,-3290,155,3382,-3736,17,3535,-2374,1093
3370,-2537,21,3164,-2763,17,3563,-1535,911
3092,-1045,39,2633,-1852,17,2883,-848,414
3268,424,17,2125,-1036,17,1973,202,336
4080,656,384,1237,-373,17,775,1699,487
4079,153,727,-63,-366,96,-369,3130,298
3971,-307,53,-1699,-366,40,-1792,3849,244
3153,190,17,-3103,-261,17,-3947,3077,319
2266,46,17,-3612,194,17,-2795,2524,335
1166,-262,17,-2809,230,17,-1586,2004,128
-71,886,17,-1226,277,17,-582,1590,157
-700,2241,125,125,730,17,-85,3096,320
-1262,3397,17,403,1545,17,379,4903,522
-1214,3424,17,732,2151,17,1272,4864,1033
-461,3215,17,1764,2484,17,2041,4643,1161
401,2676,17,2725,2515,17,2820,4419,942
1067,1861,17,3482,2890,17,3539,4212,416
1835,1430,17,3482,2879,17,3728,3653,123
2263,2114,17,3715,3424,17,3629,3643,293
1574,2393,17,3193,3892,17,3489,4372,472
702,2337,17,3079,4230,17,3072,4562,254
721,3180,17,3130,4803,182,3050,4692,515
1586,3742,17,2973,5007,283,2689,4550,531
2370,4398,93,2471,5033,42,2296,4423,258
2490,4748,93,1902,4412,17,1669,4611,523
2576,4892,17,1177,4552,82,1033,4801,452
2395,4391,17,592,4670,222,276,5219,468
2476,4181,17,864,3037,372,276,5219,468
2173,3884,99,1142,1369,163,276,5219,468
1788,3506,230,1517,397,18,276,5219,468
-2048,-2560,36,-256,-3840,37,0,0,100
-2048,-2560,17,-256,-3840,17,0,0,93
