games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-2048,-2560,17,256,-3840,17,0,0,93
-2048,-2560,17,256,-3840,17,0,0,93
-2048,-2560,17,256,-3840,17,0,0,93
-2048,-2560,17,256,-3840,17,0,0,93
-2048,-2560,17,256,-3840,17,0,0,93
-2048,-2560,17,256,-3840,17,0,0,93
-1874,-2427,17,246,-3962,17,0,0,93
-1110,-1942,17,-197,-4183,17,0,0,93
-108,-954,17,-256,-4142,17,0,0,93
-80,69,88,-158,-3582,17,-1087,-452,381
-143,698,17,-146,-2672,17,-2989,-1079,609
578,1113,17,-937,-2392,17,-3546,-1626,510
1753,734,85,-2413,-2282,131,-2714,-2428,319
3246,267,53,-3330,-2160,110,-2694,-4161,484
4078,-887,252,-3837,-2195,18,-2477,-4490,321
3818,-2326,16,-3489,-2840,17,-2127,-3638,188
3171,-4035,17,-3057,-4124,17,-1802,-2916,168
1759,-4793,17,-1825,-4634,17,-1544,-2926,399
743,-4641,145,-1369,-4568,143,-1296,-3421,636
-612,-4268,380,-1048,-4185,354,-1073,-3868,521
-1737,-3304,436,-1167,-3756,304,-1901,-3169,400
-2700,-2418,265,-1293,-3396,14,-2905,-2247,110
-3746,-1290,39,-996,-3415,17,-4000,-1411,229
-4079,-634,569,-419,-3844,17,-3996,-905,720
-4079,-755,789,-540,-4421,17,-3822,-656,1002
-4079,-1329,456,-902,-3756,17,-3559,-547,999
-3529,-1320,17,-1455,-2822,17,-3312,-443,660
-2757,-772,17,-1711,-2418,17,-2640,-843,876
-2063,-1262,17,-1476,-2045,17,-1840,-1412,1079
-1886,-2503,104,-1166,-2385,17,-1030,-1988,938
-1721,-3868,16,-609,-2988,22,-265,-2532,468
-995,-4904,17,597,-3034,148,452,-2935,580
300,-4788,17,1944,-2958,39,1291,-2847,877
1889,-4256,17,2510,-3688,17,2065,-2766,826
2955,-3128,101,3055,-4122,17,2867,-2682,431
3387,-1580,126,2892,-3608,17,2864,-1742,518
3693,-71,21,2494,-2624,17,2598,-584,549
3264,1449,17,1772,-1515,17,2309,671,223
2078,1468,17,857,-2054,17,1119,653,367
1514,164,95,218,-2799,17,-256,347,365
1047,-1404,29,-454,-3623,17,-1599,53,126
1214,-2810,17,-1058,-4418,17,-2679,-150,185
1787,-4201,17,-1747,-4247,17,-3693,-329,131
989,-4946,17,-2609,-4362,17,-3951,-573,661
101,-5151,17,-2742,-4274,17,-3726,-939,1253
362,-5080,17,-2720,-4190,17,-3503,-1300,1495
267,-5142,17,-2648,-3988,17,-3123,-2225,1526
-329,-5106,17,-2320,-3905,17,-2646,-3518,1320
-1086,-4964,17,-1561,-3824,17,-2164,-4827,765
-1510,-4686,22,-741,-3821,17,-1755,-4412,102
-984,-4445,94,-595,-4537,17,-188,-4395,1092
-167,-4455,17,112,-4841,17,1593,-4361,1934
676,-4330,17,1450,-4697,17,2974,-4285,1435
1668,-4216,17,2883,-4247,17,3763,-3796,641
2569,-3883,17,3664,-3097,165,3816,-2982,329
3147,-3059,17,3990,-2288,292,3751,-2338,618
3507,-2055,233,3856,-1510,153,3688,-1708,570
3846,-629,385,3636,-880,17,3866,-104,628
4079,746,371,2616,-142,17,3892,1997,575
4079,1130,597,1917,1132,17,3710,3888,182
3978,1843,61,1029,2298,17,2626,5022,382
3325,2601,17,436,3209,17,1385,5009,340
2117,2517,102,-51,4690,117,235,4964,174
872,2246,41,-316,5873,380,429,5212,260
309,1187,17,-854,5430,282,429,5212,260
39,369,17,-845,5112,32,429,5212,260
-180,-299,27,-911,4906,17,429,5212,260
-256,-3840,25,-2048,-2560,28,0,0,93
-256,-3840,17,-2048,-2560,16,0,0,93
-256,-3840,17,-2048,-2560,16,0,0,93
-256,-3840,17,-2048,-2560,16,0,0,93
