games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
256,3840,17,0,4608,17,0,0,92
256,3840,17,0,4608,17,0,0,92
256,3840,17,0,4608,17,0,0,92
256,3840,17,0,4608,17,0,0,92
256,3840,17,0,4608,17,0,0,92
256,3840,17,0,4608,17,0,0,92
228,3682,17,0,4475,17,0,0,92
18,2699,17,0,3915,17,0,0,92
28,1260,17,-45,2990,17,0,0,92
-84,83,94,-101,1951,17,74,-99,93
-362,-31,27,242,962,17,349,-431,93
-170,-40,17,450,-389,111,1230,-502,349
393,322,17,361,-1715,57,3068,-1473,758
871,-369,38,924,-2850,17,3419,-2395,838
806,-1668,100,1999,-3649,17,2340,-3170,575
692,-3115,38,3239,-4215,17,1301,-3911,159
583,-4327,230,3579,-4001,17,680,-4526,391
734,-4419,446,3192,-3440,17,785,-5205,514
728,-2839,801,3642,-3263,17,785,-5205,514
722,-1469,813,3837,-3201,19,785,-5205,514
716,129,480,3811,-3203,131,785,-5205,514
2048,2560,18,256,3840,26,0,0,92
2048,2560,16,256,3840,17,0,0,92
2048,2560,16,256,3840,17,0,0,92
2048,2560,16,256,3840,17,0,0,92
2048,2560,16,256,3840,17,0,0,92
2048,2560,16,256,3840,17,0,0,92
1737,2335,17,178,4055,17,0,0,92
770,1658,17,-16,4591,17,0,0,92
115,377,80,-20,4624,17,0,0,92
-200,-598,72,201,4054,17,2608,-421,288
-431,-1365,17,1251,4163,17,3050,-976,340
-1329,-1720,17,2630,4306,17,1661,-1562,303
-2240,-1638,17,3348,3168,17,2144,-2440,509
-2808,-2431,17,3582,1521,17,2632,-3327,362
-3054,-3362,17,3640,-154,17,3020,-4090,180
-2938,-4363,17,3672,-1105,17,3165,-4652,368
-2142,-4328,17,3484,-1931,17,2686,-4750,1059
-1691,-3644,17,2983,-2423,17,2228,-4844,1402
-1547,-2790,17,2138,-2572,17,1467,-4715,1680
-1030,-2663,17,1130,-2460,17,567,-4434,1789
-997,-3033,43,114,-2355,17,-333,-4153,1557
-1286,-3449,298,-816,-1963,17,-1223,-3875,975
-2136,-3855,444,-1446,-1523,17,-1831,-4002,535
-3221,-4312,309,-2224,-1584,17,-2188,-4549,223
-3602,-4361,110,-1988,-2323,17,-1475,-4617,351
-3070,-4177,38,-896,-2940,17,-443,-4542,414
-2083,-3425,100,561,-3712,17,614,-4466,125
-1005,-2580,17,1759,-4125,151,1752,-4417,624
167,-1536,17,2662,-4644,72,2504,-4885,1144
1445,-967,17,2959,-4670,17,3066,-4396,1145
3041,-1495,17,2921,-4069,17,3622,-3912,810
3783,-2866,49,3337,-3330,17,3908,-3441,212
3881,-4125,199,3715,-2668,17,3497,-4431,244
3330,-4710,630,2886,-2370,17,2767,-5002,555
2485,-5104,596,1610,-2920,17,2050,-5026,521
1722,-4900,14,1010,-4447,17,1333,-5022,141
1008,-4613,46,1055,-5005,64,1158,-4720,169
70,-4895,144,1597,-4868,17,1394,-4407,107
-830,-5073,27,2290,-4615,17,1514,-4141,103
-1735,-4762,107,2153,-4326,17,1631,-3881,93
-2663,-4242,17,2101,-3268,81,2779,-2439,93
-2958,-3588,17,2344,-1768,91,3941,-981,128
-3175,-2475,127,2497,-281,89,3989,76,768
-3419,-1165,44,2869,1353,81,3972,1079,1045
-3595,164,17,3155,2771,17,3956,2038,974
-3284,1536,17,2848,4348,17,3903,3324,759
-3397,3238,17,2080,4543,17,3373,4299,545
-2445,4582,17,2157,4500,108,2398,4771,133
-1108,4820,17,2440,4120,111,1500,4738,489
-138,4366,146,2546,3887,17,577,4173,575
348,3378,232,2149,3336,17,-275,3651,316
861,2236,32,1003,3023,17,-992,3239,231
1624,2100,17,-486,3262,17,-1560,2938,217
1687,2924,17,-1617,2792,17,-2056,2628,133
752,3258,17,-2750,1990,99,-2896,1892,282
-333,2556,17,-3609,942,45,-3919,956,271
