games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
0,4608,17,-2048,2560,17,0,0,92
0,4608,17,-2048,2560,17,0,0,92
0,4608,17,-2048,2560,17,0,0,92
0,4608,17,-2048,2560,17,0,0,92
0,4608,17,-2048,2560,17,0,0,92
0,4608,17,-2048,2560,17,0,0,92
-1,4400,17,-1931,2443,17,0,0,92
-510,3679,17,-1284,1636,17,0,0,92
-1919,3449,17,-392,623,22,0,0,92
-3019,4118,17,355,-566,115,819,-799,692
-3891,3452,25,1101,-1635,16,2032,-1985,1295
-3832,1905,17,1847,-2335,17,3205,-3133,1546
-3276,333,17,-2159,4412,17,3607,-3918,1424
-3790,-1053,17,-1561,4171,17,2636,-4033,912
-3592,-2698,17,-716,4472,17,1681,-4145,104
-2848,-4208,17,527,4585,17,1014,-4146,518
-1264,-4250,43,2139,4459,17,361,-4146,584
300,-4220,211,3270,3926,17,-292,-4147,302
1790,-4477,162,2769,3858,17,-860,-4148,233
3340,-4445,26,2018,4402,17,-1410,-4149,213
3732,-2978,17,1087,4805,17,-1998,-4198,150
2525,-2108,17,188,4903,17,-2671,-4308,113
961,-2187,17,37,4787,17,-3278,-4334,106
-519,-1737,17,37,4787,17,-3986,-3755,312
-2228,-1408,17,31,4784,17,-3852,-2544,558
-3349,-910,17,77,4832,17,-3676,-1325,497
-3563,539,17,134,5206,17,-3502,-119,100
-3321,2286,17,106,5222,17,-3362,764,260
-3144,4017,17,106,5222,17,-3224,1626,96
-2438,4714,17,106,5222,17,-2314,2498,553
-1359,4546,287,106,5222,17,-1042,3426,869
-36,4457,603,106,5222,17,215,4343,838
1635,4563,642,106,5222,17,1349,4913,517
3383,4657,394,236,5152,17,2197,4406,132
3511,4529,368,899,4976,133,2770,4017,297
3861,4176,408,1782,4873,217,3344,3627,120
3967,3420,86,2569,4718,16,3823,3417,187
3340,2989,17,3226,4380,17,3283,4463,624
2651,3785,17,3651,3877,22,2591,5018,759
1849,4323,17,4051,3347,231,1849,4979,587
806,4679,17,4077,3309,250,1952,4963,616
-217,4964,17,4079,3135,489,2851,4742,830
-1171,4774,17,4020,2618,99,3413,4353,720
-1711,3746,104,3235,2714,17,3665,3704,271
-2295,2498,16,2258,3162,17,3263,2827,537
-2898,1331,17,1390,3577,17,2143,2019,691
-3543,270,17,661,3925,17,1021,1211,503
-3321,-788,17,195,4148,17,-210,290,99
-2170,-915,17,-33,4257,17,-1746,-935,95
-990,-952,72,-48,4264,17,-1147,-3084,471
-408,-1000,17,0,4608,16,-391,-5170,404
-321,-1345,17,0,4608,16,-355,-5209,327
-269,-1494,17,0,4608,16,-355,-5209,327
-268,-1498,17,0,4608,16,-355,-5209,327
-268,-1498,17,0,4608,16,-355,-5209,327
-256,3840,17,0,4572,17,0,0,92
-256,3840,17,0,4324,17,0,0,92
-256,3840,17,0,4732,17,0,0,92
-256,3840,17,0,5461,21,0,0,92
-256,3840,17,57,5322,17,0,0,92
-252,3805,17,745,4842,17,0,0,92
-43,3043,17,2070,4278,17,0,0,92
37,1742,17,3492,4356,39,0,0,92
-13,299,90,3141,4895,624,0,0,92
155,126,59,2388,5103,207,1598,344,93
364,343,17,2168,5056,63,3244,719,93
700,969,119,2244,4958,155,4002,977,469
1075,1795,39,2487,4910,117,4001,1164,929
793,2649,17,2648,4789,17,3990,1363,1040
440,3548,17,2322,4153,17,3439,2588,1096
-233,4233,17,1286,4232,17,2906,3773,802
-1167,4069,17,374,4406,17,2393,4929,173
-1395,3224,17,-71,4057,17,3163,4612,251
-530,3104,17,-7,3317,17,2932,4259,179
-187,3881,17,-83,2316,102,1662,4087,131
898,4019,71,-195,1002,22,1027,3545,263
2203,3720,78,-140,-320,17,1904,1988,629
3268,3227,17,51,-1250,17,2791,412,653
3690,1822,103,178,-1994,17,3609,-1043,350
3975,220,61,116,-2221,17,3749,-2304,396
3759,-1502,17,203,-2567,17,3460,-3284,522
3451,-3134,17,519,-3005,246,3157,-4310,304
2797,-4724,201,1041,-3601,589,2778,-4965,306
2494,-5103,512,1485,-3654,594,2307,-4935,1256
2960,-5015,626,1885,-3707,286,1868,-4775,1889
3338,-4448,24,2407,-3617,17,1498,-4312,1683
2825,-3534,17,2608,-2627,17,1157,-3886,1169
2455,-2663,17,2837,-1273,17,959,-3439,826
2173,-1913,17,3343,-157,17,1012,-3004,1003
1570,-1956,192,3956,422,51,1062,-2584,835
1021,-2272,431,3934,162,40,1095,-2668,606
671,-2705,373,3910,-3,30,1095,-3786,630
348,-3138,36,3894,-5,27,1095,-4918,314
646,-3538,17,3875,-3,23,1021,-4476,212
1133,-4096,177,3856,-2,19,756,-4287,242
1313,-4526,121,-256,3840,16,98,-4878,93
1094,-4843,17,-256,3840,16,-337,-5212,136
2081,-4202,386,-256,3840,16,-337,-5212,136
3202,-3471,513,-256,3840,16,-337,-5212,136
4053,-2819,297,-256,3840,16,-337,-5212,136
256,3840,16,-226,3624,17,0,0,99
256,3840,16,-4,2648,17,0,0,92
256,3840,16,23,1368,17,0,0,92
256,3840,16,59,140,131,0,0,92
256,3840,16,345,252,91,0,0,92
352,3651,17,731,215,17,0,0,92
1155,3449,17,1240,-398,17,0,0,92
2395,4032,17,1166,-1528,77,0,0,92
3377,3821,17,891,-3064,74,0,0,92
3182,2779,17,1205,-4149,17,93,0,95
2553,1509,17,2469,-4336,17,494,-219,93
1685,15,17,3646,-3539,17,858,-381,93
999,-1302,17,4080,-2769,378,1139,-765,138
424,-2785,17,4079,-2907,577,1363,-1950,198
-856,-3182,17,3722,-3239,14,1716,-3251,135
-2393,-2493,17,3003,-2665,17,2235,-4317,94
-3141,-1083,17,2170,-2096,17,2641,-5023,224
-3521,240,17,1879,-1250,17,2859,-4973,492
-2317,966,17,2379,-352,17,3039,-4878,423
-1315,-321,17,3012,393,17,2003,-5020,383
-1298,-2006,17,3567,409,17,1001,-4945,124
-1251,-3666,25,3516,134,17,280,-4917,194
-1934,-4928,96,3607,560,17,-384,-4891,133
-2221,-4935,15,3523,599,17,130,-4357,556
-2421,-4068,60,2589,473,17,1329,-3512,975
-2697,-2868,95,1377,-34,96,2462,-2714,1036
-2987,-1526,76,227,-878,57,3595,-1916,754
-3313,151,92,-599,-1781,17,3593,-1281,166
-3539,1670,17,-27,-3058,55,3051,-894,359
-3377,3317,17,281,-4092,104,2513,-519,333
-2502,4643,17,464,-4792,17,2025,-178,144
-1174,4085,17,906,-4570,17,1574,-144,296
-83,2853,17,1961,-4338,17,1140,-1201,607
996,1853,17,2994,-4150,17,720,-2223,569
920,296,17,3281,-3122,17,305,-3233,187
-490,-577,17,2395,-2403,17,-900,-4408,367
-1830,-1345,17,1329,-1876,17,-2023,-4691,339
-3287,-2379,17,477,-1086,17,-2930,-4013,142
-4061,-3015,429,-691,-1319,22,-3683,-3441,158
-4079,-3111,836,-1814,-2038,229,-3573,-3088,844
-4071,-3711,659,-2911,-2742,108,-2579,-3290,1930
-3838,-3443,16,-4050,-3041,140,-1855,-3506,1270
-3478,-2236,17,-4079,-2170,422,-1181,-3710,268
-2344,-1256,17,-3909,-694,29,-1031,-2821,314
-906,-431,17,-3050,820,17,-920,-1850,123
-584,-512,17,-2026,2168,17,-764,-1068,159
-265,-425,17,-978,3378,17,-719,-559,219
-336,277,17,182,4499,17,-916,-426,310
-1018,450,17,660,4459,17,-1113,-279,114
-1540,-376,102,334,3948,17,-1223,-80,143
-2024,-1271,16,-492,4333,17,-1807,-222,584
-2883,-1135,17,-1813,4841,17,-2715,-344,1068
-3205,-600,25,-3118,4898,171,-3613,-464,1211
-3265,-528,151,-4004,3959,273,-3710,-528,1022
-3219,-529,34,-3404,3418,17,-3189,-546,500
-3368,-124,17,-3245,4118,17,-3135,296,166
-3294,888,17,-2585,4745,17,-3428,1714,120
-2698,1821,17,-1644,4942,18,-3704,3088,96
-1753,2345,17,-1485,4422,17,-3826,4097,232
-1611,3264,17,-999,3899,17,-3773,3263,543
-2656,4048,17,-230,3254,17,-3957,1595,521
-3478,3647,17,84,2264,17,-3991,750,501
-3819,2802,233,105,1254,17,-3969,1311,773
-3883,1786,443,77,314,17,-3926,1878,694
-3783,798,358,394,-636,17,-3618,1309,767
-3677,-124,19,1419,-830,17,-3064,-301,966
-2813,-662,17,2153,-551,17,-2517,-1894,820
-1986,-1220,17,1859,-125,17,-1988,-3434,339
-1777,-2232,158,1263,778,17,-1559,-4667,310
-1146,-3775,236,296,2165,17,-1277,-4592,418
-928,-4666,184,-1091,2997,78,-1049,-3954,199
-526,-5403,19,-2555,3462,186,-289,-3182,110
205,-5026,17,-3957,3873,86,372,-2488,105
203,-3797,17,-3641,4051,17,620,-1632,223
108,-2131,92,-2980,3976,49,-66,-135,474
125,-440,60,-2462,3392,226,-752,1364,383
259,1220,17,-2000,2261,208,-1366,2744,153
976,2475,17,-1302,905,43,-2459,2937,533
1344,3930,17,-520,-197,84,-3614,2918,619
287,4979,17,851,-812,45,-3559,2968,384
-696,4775,17,1858,-1645,16,-2939,3060,208
-1180,4006,17,1542,-1782,17,-2414,3147,247
-635,3540,17,1731,-2390,17,-1788,1750,113
-36,4071,17,2368,-3245,17,-1245,604,129
718,4534,17,2974,-4091,17,-402,-773,861
1935,4399,17,3825,-3938,30,611,-2271,1896
3458,3873,17,3512,-3191,17,1294,-3417,1382
3740,2268,17,2864,-2676,17,1951,-4537,425
3650,507,17,2152,-1901,17,2363,-4875,487
3578,-1020,17,1670,-966,17,2646,-4497,744
3632,-1894,17,1237,-1,17,2903,-4152,653
3175,-2721,17,951,909,17,3351,-4447,226
2439,-3520,17,672,1926,17,2826,-4024,185
1616,-3610,17,385,2845,17,2335,-3648,109
314,-4056,17,461,3903,17,1253,-4088,353
-929,-5017,108,526,4931,17,172,-4537,256
-1552,-4823,443,412,5460,21,-784,-4896,180
-2230,-4649,435,406,5140,17,-1665,-3897,156
-2954,-4486,48,674,4766,17,-2506,-2835,120
-3589,-3960,17,909,3579,117,-3201,-1923,98
-3589,-2520,17,554,2832,74,-2404,-337,464
-3765,-822,17,225,2212,17,-1336,1372,584
-3285,744,17,-370,2621,17,-279,3062,351
-1947,1016,17,-389,3871,17,622,4552,211
-982,2185,17,293,4881,141,928,4433,291
-760,3817,17,850,5894,152,987,3459,213
-572,4599,17,495,5882,74,850,3966,1226
-136,4810,17,380,5443,168,716,4461,1886
162,4891,274,-125,5109,191,574,4926,1599
409,4777,455,-644,4786,31,484,4822,929
384,5193,329,-1195,4176,74,418,4565,156
382,5499,22,-1843,3010,103,390,4280,597
382,4969,62,-2557,1653,17,363,3992,694
122,4566,90,-3382,280,17,139,4452,680
-206,4133,17,-3427,-935,17,-182,5032,319
-1234,3942,102,-2200,-1138,17,-721,4450,417
-2311,3551,78,-1169,-1863,17,-1295,3844,236
-3420,2910,17,-300,-3392,17,-2403,2832,360
-4066,1981,175,890,-3586,17,-3512,1820,143
-3947,424,650,979,-2585,17,-3945,1049,412
-3254,-879,657,739,-1334,106,-3787,317,666
-2536,-2277,415,461,122,27,-2582,-1079,576
-1813,-3739,17,195,1605,17,-1430,-2412,163
-696,-4375,17,94,2939,17,-1442,-3698,599
