games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-299,-3659,17,1912,-2424,17,0,0,93
-1054,-3333,17,1208,-1675,17,0,0,93
-2243,-3841,17,348,-623,46,0,0,93
-3482,-3802,17,-121,-173,104,-3,-26,253
-3569,-2405,17,-377,-237,45,-57,-131,181
-2079,-2039,17,-238,-575,100,-56,-819,383
-1181,-2750,25,-93,-876,17,-22,-1896,560
-592,-3304,258,174,-681,17,11,-2961,392
203,-3948,228,777,-985,17,-81,-4019,526
968,-4636,16,646,-1792,101,-179,-5090,336
1607,-4195,90,305,-1591,165,-190,-5209,292
2424,-3722,17,216,-89,91,-190,-5209,292
2444,-3742,17,133,1492,54,-190,-5209,292
2444,-3742,17,-12,2880,17,-190,-5209,292
256,-3840,17,-256,-3840,17,0,0,93
256,-3840,17,-256,-3840,17,0,0,93
256,-3840,17,-256,-3840,17,0,0,93
256,-3840,17,-256,-3840,17,0,0,93
256,-3840,17,-256,-3840,17,0,0,93
256,-3824,17,-258,-3831,17,0,0,93
94,-3132,17,-698,-3540,17,0,0,93
-5,-1767,17,-1797,-3906,17,0,0,93
10,-295,94,-2804,-4070,17,8,-12,95
125,641,78,-3093,-3645,17,2752,-20,331
424,1618,17,-2404,-3813,94,3080,-8,380
1302,2400,98,-1358,-4307,59,1747,-634,504
2511,3440,72,-463,-4615,17,1222,-2550,940
3717,4169,54,183,-5142,17,692,-4489,1034
4069,3067,193,301,-4593,17,352,-4268,802
3674,1588,17,114,-3370,91,87,-3180,243
2882,62,17,-415,-2175,83,-1380,-2530,1182
1574,-973,17,-1065,-1187,17,-2933,-1996,1949
348,-2196,17,-2093,-1268,17,-3901,-1502,1408
-684,-3237,17,-2895,-1177,49,-3269,-1138,548
-1937,-2735,17,-3545,-724,149,-2613,6,151
-1543,-1198,17,-4027,-178,112,-1991,1289,134
-1028,240,95,-3732,380,16,-1419,2426,93
-573,1868,110,-3509,84,17,-898,3440,93
49,3488,17,-3240,-501,17,-433,4281,95
841,4986,107,-2372,-865,17,420,4989,279
1939,4425,272,-1563,-1198,17,443,5210,324
3467,3530,185,-849,-1492,17,443,5210,324
4078,2903,465,-442,-1660,17,443,5210,324
4079,2537,626,-299,-1719,17,443,5210,324
-2048,-2560,17,256,-3840,16,0,0,93
-2048,-2560,17,256,-3840,16,0,0,93
-2048,-2560,17,256,-3840,16,0,0,93
-2048,-2560,17,256,-3840,16,0,0,93
-2048,-2560,17,256,-3840,16,0,0,93
-2037,-2549,17,258,-3849,17,0,0,93
-1479,-2105,17,75,-4185,17,0,0,93
-508,-1365,17,19,-4132,17,0,0,93
-15,-157,86,23,-3468,17,-222,-126,249
20,181,58,-124,-2611,17,-1144,-305,693
278,516,17,-817,-2750,17,-2067,-484,796
1058,466,65,-1231,-3581,17,-2958,-656,556
2213,255,118,-1129,-4611,17,-3791,-810,145
3460,40,17,-1352,-5091,116,-3775,-845,393
4069,-817,194,-1675,-4736,17,-3426,-858,326
3869,-2252,20,-1816,-3898,17,-3128,-666,183
3303,-3902,17,-1776,-2821,17,-2865,534,248
1704,-4029,17,-1833,-1829,17,-2619,1625,138
340,-3170,17,-1996,-668,17,-2388,2561,104
