games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
256,3840,17,-2048,2560,17,0,0,93
256,3840,17,-2048,2560,17,0,0,93
256,3840,17,-2048,2560,17,0,0,93
256,3840,17,-2048,2560,17,0,0,93
256,3840,17,-2048,2560,17,0,0,93
256,3840,17,-2048,2560,17,0,0,93
279,3681,17,-1941,2453,17,0,0,93
1045,3317,17,-1293,1737,17,0,0,93
2328,3868,17,-418,610,46,0,0,93
3361,4010,17,422,-18,87,457,-460,93
3693,2941,17,1095,-277,17,1047,-1083,93
3677,1330,17,1878,-971,96,1572,-1631,93
3672,-205,17,2681,-1768,38,2464,-2497,130
3085,-1686,17,3576,-2949,17,3497,-3491,96
1570,-1977,17,3891,-4144,356,3692,-4214,502
208,-1877,17,3208,-4649,45,3153,-3484,560
-596,-1058,17,3411,-4055,17,2705,-2608,220
-471,226,17,3633,-3021,98,2408,-1859,263
-569,1647,17,3830,-1847,62,2019,-948,285
-1027,3023,17,3785,-327,17,1309,391,310
-929,4158,17,3809,1168,90,580,1783,140
-351,4497,132,3920,2893,32,-59,3150,140
-60,4213,160,3240,4034,17,-784,4806,100
192,3991,16,2205,4296,17,-1101,4596,749
-145,4251,17,1139,4464,17,-1359,4082,1190
-821,3899,226,265,5070,17,-1611,3580,1267
-1629,3401,632,-275,5131,17,-1849,3106,1004
-2206,2547,777,-352,4996,17,-2419,2077,571
-2939,1559,605,-368,4916,17,-3184,760,199
-3598,647,129,-88,4394,17,-3831,-222,391
-3879,-781,23,42,3521,17,-3732,-975,300
-3839,-1844,81,-140,2642,17,-2943,-1499,131
-4055,-2640,226,-344,1548,17,-2050,-1853,101
-3921,-3343,32,419,989,17,-1671,-1243,381
-3192,-4129,17,716,1717,17,-1518,-222,492
-2052,-3888,17,494,2681,17,-1345,829,312
-1100,-2562,61,205,3666,17,-872,2733,142
-333,-1177,84,-729,4001,92,-818,3823,445
469,273,17,-1537,3953,35,-1537,3579,977
1189,1865,17,-2134,4201,17,-2240,3340,1160
2375,2794,17,-2799,4758,17,-2920,3110,1004
2198,4025,17,-3095,4260,17,-3607,2877,500
1054,4808,17,-3043,4478,17,-3205,3415,217
-385,4888,17,-2474,4499,17,-2458,4165,166
-2083,4795,17,-1652,4129,17,-2056,4503,272
-3555,4469,184,-652,3915,17,-2733,3579,820
-4080,3382,565,45,4344,17,-3380,2695,1009
-4023,1847,806,169,4374,17,-3844,1752,959
-3821,414,904,127,3744,17,-3198,593,1166
-3608,-1031,631,104,2598,17,-2551,-568,1038
-3406,-2383,52,112,977,17,-1919,-1704,576
-2750,-3663,17,142,-753,17,-1334,-2712,248
-1559,-4434,17,159,-2010,17,-877,-4357,610
-948,-4012,17,233,-2804,17,-531,-4352,635
-597,-2961,17,-80,-3089,177,-262,-3321,309
43,-2118,17,-941,-3128,193,-517,-3796,240
928,-1051,17,-2066,-3267,62,-758,-4353,154
2297,-533,17,-2358,-4117,17,-917,-4819,111
3539,-136,17,-1281,-4695,46,-1050,-4946,176
4079,701,418,-969,-5044,124,-544,-4579,444
3742,1509,13,-1087,-4853,105,70,-3943,409
2503,1412,17,-1219,-4620,17,687,-3277,149
1899,-156,17,-1988,-4334,17,1617,-2154,98
2262,-1553,104,-2935,-4179,17,3058,-984,202
2947,-2550,52,-3373,-3327,17,2974,158,363
3436,-3428,17,-3585,-1732,17,1335,1220,183
2599,-4264,17,-3428,6,17,-64,2128,187
1462,-3343,17,-3162,1692,17,-1369,2975,120
