games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
0,-4608,17,256,-3840,17,0,0,93
0,-4608,17,256,-3840,17,0,0,93
0,-4608,17,256,-3840,17,0,0,93
0,-4608,17,256,-3840,17,0,0,93
0,-4608,17,256,-3840,17,0,0,93
0,-4608,17,256,-3840,17,0,0,93
0,-4470,17,227,-3640,17,0,0,93
0,-4381,17,58,-2736,17,0,0,93
0,-4982,17,-22,-1269,17,0,0,93
0,-5502,23,-35,-128,96,47,15,95
0,-5366,18,-137,-215,48,165,-56,93
0,-5639,28,64,-252,17,283,-129,93
0,-5231,17,558,-804,104,-497,-210,96
-564,-4525,17,836,-2472,23,-2095,-457,93
-1853,-4193,17,953,-2611,17,-3545,-677,93
-3538,-3771,17,1601,-2798,17,-3995,-822,575
-4079,-2358,556,2383,-3418,17,-3979,-936,907
-4079,-877,856,3085,-4183,17,-3668,-687,912
-3694,324,13,2453,-4880,17,-2506,578,674
-2210,1077,17,1498,-4002,17,-1382,1800,106
-901,2176,17,1845,-2494,17,-582,2707,357
253,3191,17,2985,-1197,17,194,3588,298
743,4654,131,3654,49,17,679,4900,277
1092,4191,812,3114,1296,17,720,5211,294
1535,2800,1450,2648,2230,142,720,5211,294
1973,1425,1728,2149,3228,70,720,5211,294
2372,174,1678,1594,4338,138,720,5211,294
-2048,-2560,17,0,-4608,17,0,0,93
-2048,-2560,17,0,-4608,17,0,0,93
-2048,-2560,17,0,-4608,17,0,0,93
-2048,-2560,17,0,-4608,17,0,0,93
-2048,-2560,17,0,-4608,17,0,0,93
-2038,-2550,17,0,-4608,17,0,0,93
-1554,-2229,17,0,-4608,17,0,0,93
-418,-1472,17,0,-4607,17,0,0,93
-8,-133,97,0,-4263,17,3,39,96
162,1092,67,0,-3582,17,606,1814,112
685,2153,17,374,-2825,17,1360,3642,114
1893,2084,17,1217,-2746,17,1399,2304,910
2727,1172,76,1750,-2721,17,1438,996,1334
3630,0,93,2032,-3000,17,1472,-211,1401
3990,-1456,72,1648,-3572,17,1508,-1477,1122
3556,-2964,17,1405,-3730,20,1542,-2672,515
2776,-4444,17,1536,-3354,119,1781,-3123,392
1381,-4142,17,1632,-2951,16,2392,-2425,818
632,-2900,17,1880,-3002,17,2969,-1765,877
1345,-1874,17,2178,-2354,17,3539,-1113,591
2362,-932,17,2197,-1426,17,3862,-539,198
3087,-386,163,2836,-574,92,3412,-157,225
3883,830,181,3849,736,177,3738,954,570
4079,1681,301,4079,1359,505,3275,1938,1050
3670,2253,16,4079,1858,735,2833,2878,1175
2667,2266,17,3953,2088,45,2390,3818,958
1700,1871,17,3593,1183,17,1978,4697,433
2305,-4604,17,3554,80,91,1110,4436,208
2126,-4354,17,3374,-1219,98,248,3845,201
1383,-4318,17,3068,-2615,17,-486,3340,147
415,-4317,17,2118,-3723,17,-1048,2830,126
-514,-4323,17,1117,-4483,17,-536,915,217
-1347,-4914,17,526,-4038,17,-83,-820,134
-1954,-5044,49,398,-2897,22,302,-2377,109
-1995,-5036,46,195,-1447,100,-54,-2490,955
-2084,-5032,41,-151,-82,17,-569,-3097,1625
-2663,-4464,112,-1352,198,17,-1050,-3663,1927
-3130,-3810,50,-3066,109,17,-1539,-4248,1845
-3287,-3571,17,-4080,-746,300,-2000,-4804,1398
-3135,-3678,17,-3911,-2039,28,-2319,-4847,722
-3273,-3022,119,-2940,-3008,17,-2529,-4010,139
-3358,-2200,84,-1978,-3976,17,-3103,-3348,448
-3464,-1641,17,-1191,-5047,47,-3859,-3224,664
-2688,-4604,23,-1260,-5103,374,-3635,-3193,564
-2617,-4233,17,-1780,-5084,102,-3332,-3039,383
-1839,-4077,88,-1786,-4911,17,-3552,-2311,795
-771,-4055,81,-1756,-4407,17,-3760,-1623,848
617,-4102,17,-1792,-3566,17,-3967,-934,560
2256,-4176,17,-2051,-2818,17,-3080,-139,806
3553,-3709,17,-1584,-1467,35,-1882,683,997
3802,-2119,17,-704,-136,82,-657,1525,839
3791,-822,17,345,1190,17,489,2311,354
3792,-743,17,1958,1416,17,1495,2931,318
3726,-435,17,3308,2465,17,2390,3438,385
3107,455,17,3330,3843,17,3230,3959,142
2780,1852,83,2748,4158,17,2675,4883,468
2672,3082,88,2149,3979,199,1826,4612,415
2446,4424,17,1035,4091,184,2443,4359,878
