games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3840,17,2048,-2560,17,0,0,93
-256,-3871,17,1901,-2413,17,0,0,93
-18,-4343,99,1238,-1632,17,0,0,93
281,-4882,16,417,-632,43,0,0,93
344,-5088,17,-446,896,110,1539,-581,93
-105,-4876,17,-1334,2245,17,3140,-1186,93
-778,-4423,17,-2651,2107,17,4002,-1653,481
-1424,-4569,17,-3189,891,17,4001,-1964,967
-1175,-5083,77,-3623,-305,17,3998,-2276,1110
-402,-4991,17,-3548,-1855,17,3333,-3725,625
-12,-5069,17,-3398,-3526,17,2645,-4960,274
434,-4845,99,-2245,-4473,17,2016,-4530,597
917,-4292,400,-912,-4950,17,1338,-4125,628
1827,-3540,495,-137,-4548,17,14,-3942,945
2848,-2679,306,-696,-3855,17,-1295,-3762,914
3691,-1866,18,-2043,-3962,17,-2546,-3590,552
3775,-943,16,-3690,-3749,186,-3572,-3595,127
2932,-888,17,-3898,-3507,244,-3831,-2961,108
2781,-1777,17,-3768,-3216,16,-3981,-2505,177
2997,-2900,17,-3877,-1955,67,-3983,-2084,225
3080,-3989,17,-3920,-870,34,-3920,-1504,474
2179,-4863,17,-3864,-867,21,-3827,-938,369
864,-4714,17,-3523,-1170,17,-3761,-437,165
-111,-3915,17,-3379,-822,17,-3757,-52,199
-508,-2659,17,-3688,-119,17,-3753,310,140
44,-1589,17,-3771,777,17,-3762,1038,118
203,-507,17,-3914,1873,125,-3821,1977,151
-657,80,17,-3932,2715,405,-3103,3502,412
-1265,1357,17,-3902,3493,398,-2411,4976,324
-1598,2832,17,-3748,4140,145,-2050,4279,165
-2170,4282,195,-3554,4333,60,-572,3671,688
-2831,5031,97,-3416,4619,229,1261,3117,1029
-3136,4057,17,-3024,4545,16,3034,2582,1026
-2360,2750,17,-3142,3739,17,3512,2116,684
-1494,1430,89,-3341,2764,99,2576,1645,161
-1052,-230,77,-3623,1384,83,2048,82,160
-461,-1753,17,-3787,50,17,1552,-1301,124
886,-2690,17,-3234,-1393,99,1089,-2519,98
2088,-2452,17,-2566,-2887,16,1359,-2230,459
2166,-2030,117,-1236,-3383,17,1702,-1789,526
1790,-1400,342,-254,-2520,17,1728,-958,352
1241,-684,280,-19,-1296,17,1229,581,133
633,70,17,-995,-720,17,404,746,459
-216,470,19,-1497,-248,55,-475,727,481
-1198,605,203,-1281,701,271,-1310,-387,529
-2127,690,42,-2273,2154,220,-2123,-2125,441
-2788,596,17,-3046,3464,17,-2894,-3769,130
-2867,-367,94,-2960,4606,17,-3035,-4527,401
-2826,-1598,32,-2532,3851,17,-2280,-4233,612
-2316,-2790,104,-1820,2625,17,-1559,-3952,473
-1589,-3995,71,-1289,1107,17,-882,-3701,144
-1221,-4410,17,-895,-525,17,-427,-3596,270
-916,-4235,17,-399,-2133,17,30,-3492,110
-180,-4363,17,323,-3290,30,456,-3395,112
728,-4365,17,1709,-3496,91,1491,-3923,96
1745,-4554,17,3065,-3762,17,2447,-4418,94
2564,-4996,26,3370,-4075,17,3063,-4860,253
3289,-4752,495,2919,-4515,17,2084,-5026,897
3426,-4127,15,1748,-4802,17,1160,-5023,1149
2342,-4087,104,380,-5024,17,225,-5019,1057
