games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-256,-3840,17,256,-3840,17,0,0,93
-256,-3840,17,256,-3840,17,0,0,93
-256,-3840,17,256,-3840,17,0,0,93
-256,-3840,17,256,-3840,17,0,0,93
-256,-3840,17,256,-3840,17,0,0,93
-256,-3840,17,256,-3840,17,0,0,93
-328,-3652,17,222,-3641,17,0,0,93
-1089,-3337,17,50,-2748,17,0,0,93
-2424,-3658,17,8,-1272,17,0,0,93
-3043,-4683,19,-115,-235,158,-119,-17,94
-2170,-5059,62,-523,-295,115,-444,140,93
-1789,-4987,22,-753,-191,17,-723,291,93
-1233,-4623,17,-1143,223,111,-1714,554,480
-1527,-3711,17,-1875,161,17,-3431,1042,987
-1724,-2403,17,-2125,683,17,-3388,1465,1114
-2765,-1131,17,-1707,1427,17,-2414,1865,890
-3541,258,17,-1436,2275,199,-1557,2177,386
-2784,1225,17,-1064,2955,172,-1615,1721,92
-1223,1539,122,-649,3688,17,-1317,1926,523
305,2060,49,92,3687,17,-492,3123,1126
1259,1546,17,1074,3511,17,333,4319,1379
2089,1723,17,2304,3960,17,1054,4779,1271
2235,2830,136,3352,3766,17,1653,4123,823
2017,4089,292,3158,2818,17,1297,3972,367
1680,5102,173,2174,2780,17,-271,4502,102
1810,5103,181,415,3102,17,-1703,4961,184
2196,4823,17,-1061,3648,17,-2787,4814,117
1695,3998,101,-2677,4245,17,-3442,4467,280
1008,3141,55,-3518,4523,621,-3881,3827,206
64,2002,17,-4081,3555,758,-3800,2740,326
-415,499,17,-4071,2044,199,-3613,1729,209
92,-881,17,-3688,640,17,-3485,880,175
1158,-1899,17,-3606,-312,17,-3388,136,118
997,-3146,17,-3114,-355,17,-3309,-479,97
95,-3825,17,-3296,-553,17,-3248,-950,93
-1141,-4288,17,-3284,-1127,17,-3197,-1351,93
-2219,-3922,17,-3095,-1848,17,-3057,-2118,98
-3007,-2681,71,-3015,-2115,17,-2247,-2987,279
-3123,-1198,65,-2522,-1855,17,291,-3936,754
-3073,77,17,-1628,-2448,17,2718,-4844,881
-2095,563,17,-501,-3552,17,3362,-3478,638
-1146,-344,96,-214,-5070,17,3782,-1940,115
-168,-1479,18,125,-5067,17,3961,-888,355
1175,-1781,17,162,-5037,17,3786,41,245
2470,-713,17,45,-5201,17,3702,221,98
3817,-13,116,170,-5026,17,3621,207,220
4079,195,336,178,-4390,17,2794,982,819
3902,-230,25,-323,-3244,17,1977,1747,1068
2787,-247,102,-1015,-2102,17,1204,2471,975
1301,-163,33,-2326,-1277,17,404,3220,528
-158,70,17,-3411,-504,17,-1308,3784,171
-1790,267,17,-3645,375,17,-3601,4274,158
-2722,1220,17,-3599,59,17,-3948,3511,1190
-1951,2162,17,-3548,-636,17,-3717,2861,1708
-966,1923,30,-3553,-663,17,-3496,2239,1868
-54,732,84,-3470,-527,17,-3274,1618,1687
801,-472,17,-3220,-126,271,-3061,1017,1172
791,-1662,17,-2898,575,534,-2767,940,450
-342,-1859,17,-2794,1453,504,-2249,2437,255
-805,-857,17,-2677,2385,178,-1844,3644,360
-1030,302,17,-2289,2968,17,-1817,4892,433
-859,1167,17,-1973,3654,22,-1837,4379,292
-1124,1756,17,-1917,4851,220,-2170,3534,671
-1812,1678,17,-2043,4985,24,-2568,2668,910
-2482,962,17,-2499,4826,17,-2967,1802,806
-3355,902,257,-3206,3898,17,-3355,964,370
-4077,448,255,-3524,2411,17,-3588,808,158
-4079,362,342,-3527,731,17,-3696,730,189
-4079,-116,315,-3127,-650,17,-3773,672,124
-4008,-994,90,-2021,-1621,17,-3765,-194,259
-3864,-2002,20,-1310,-2909,17,-3653,-1911,348
-3599,-3635,16,-319,-4134,17,-3510,-3596,131
-2910,-4849,98,53,-5288,17,-3104,-4789,165
-2664,-5023,164,282,-5534,24,-2839,-4923,431
-2396,-4976,22,207,-5494,23,-2660,-4935,357
-2830,-4794,39,12,-5394,19,-2525,-4989,273
-2839,-4654,17,-27,-5374,18,-2428,-4782,240
-2345,-4303,17,-166,-5271,17,-2311,-4641,163
-1621,-4275,17,-1002,-4913,17,-2173,-4562,111
-1512,-4592,17,-2199,-4414,93,-2081,-4069,262
-1943,-4708,17,-3282,-3554,62,-1942,-2097,801
-2176,-3774,17,-3842,-2523,19,-1813,-276,967
