games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
309.0,3704.0,17.0,1941.0,2453.0,17.0,0.0,0.0,93.0
1143.0,3464.0,17.0,1316.0,1720.0,17.0,0.0,0.0,93.0
2336.0,4118.0,17.0,370.0,591.0,51.0,0.0,0.0,93.0
3434.0,3760.0,17.0,-88.0,-106.0,118.0,-1203.0,308.0,939.0
3219.0,2956.0,17.0,-536.0,-561.0,16.0,-2906.0,500.0,1684.0
2297.0,3023.0,17.0,-961.0,-95.0,17.0,-3955.0,626.0,1366.0
1614.0,3885.0,17.0,-1590.0,517.0,17.0,-3593.0,682.0,276.0
1282.0,4677.0,17.0,-2491.0,442.0,17.0,-3219.0,723.0,638.0
966.0,4931.0,17.0,-3367.0,35.0,17.0,-2856.0,761.0,947.0
361.0,5006.0,17.0,-3639.0,838.0,17.0,-2081.0,1840.0,1505.0
547.0,5162.0,17.0,-3115.0,1857.0,93.0,-1239.0,3096.0,1815.0
848.0,5454.0,53.0,-2435.0,3026.0,58.0,-416.0,4324.0,1773.0
658.0,5278.0,17.0,-1577.0,3889.0,17.0,283.0,4762.0,1340.0
591.0,5061.0,62.0,67.0,3956.0,17.0,824.0,4150.0,519.0
723.0,4572.0,244.0,1680.0,3865.0,125.0,1976.0,3472.0,502.0
1183.0,4061.0,208.0,3099.0,3780.0,69.0,3813.0,2680.0,973.0
1652.0,3506.0,17.0,3606.0,3623.0,17.0,3088.0,2143.0,943.0
1482.0,2482.0,17.0,3054.0,3624.0,17.0,2046.0,1633.0,553.0
998.0,1526.0,162.0,2202.0,3773.0,17.0,1385.0,2004.0,776.0
-221.0,1589.0,90.0,1356.0,3999.0,17.0,1272.0,2998.0,1625.0
-922.0,1505.0,17.0,1139.0,4820.0,17.0,1181.0,3869.0,1805.0
-801.0,1754.0,17.0,1031.0,5036.0,32.0,1120.0,4581.0,1204.0
-573.0,2671.0,83.0,1006.0,5086.0,68.0,1077.0,4893.0,360.0
-386.0,3667.0,17.0,1006.0,4923.0,17.0,1065.0,4478.0,433.0
-886.0,4388.0,17.0,792.0,4521.0,17.0,1055.0,4094.0,584.0
-632.0,5293.0,17.0,887.0,3985.0,43.0,1045.0,3707.0,398.0
-112.0,5368.0,18.0,1337.0,3061.0,307.0,902.0,4041.0,902.0
119.0,5295.0,17.0,1726.0,2271.0,244.0,710.0,4626.0,1474.0
164.0,5231.0,17.0,2145.0,1431.0,102.0,494.0,4852.0,1624.0
200.0,4853.0,123.0,2508.0,771.0,19.0,268.0,4476.0,1256.0
143.0,4263.0,391.0,2544.0,901.0,17.0,182.0,4410.0,553.0
-445.0,3570.0,445.0,2120.0,1283.0,17.0,489.0,5214.0,375.0
-1190.0,2303.0,486.0,1841.0,1488.0,17.0,489.0,5214.0,375.0
-1925.0,990.0,331.0,1747.0,1558.0,17.0,489.0,5214.0,375.0
-2795.0,-144.0,17.0,1747.0,1558.0,17.0,489.0,5214.0,375.0
-3812.0,-196.0,17.0,1747.0,1558.0,17.0,489.0,5214.0,375.0
0.0,4608.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
0.0,4608.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
0.0,4608.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
0.0,4608.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
0.0,4608.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
0.0,4531.0,17.0,255.0,3753.0,17.0,0.0,0.0,93.0
-276.0,3735.0,17.0,144.0,3112.0,17.0,0.0,0.0,93.0
-1349.0,3310.0,17.0,90.0,1760.0,17.0,0.0,0.0,93.0
-2666.0,3942.0,17.0,-23.0,177.0,137.0,320.0,115.0,110.0
-3816.0,3423.0,17.0,288.0,-367.0,117.0,1922.0,-302.0,95.0
-3373.0,2346.0,17.0,473.0,-1015.0,17.0,3386.0,-680.0,93.0
-2368.0,2621.0,17.0,1205.0,-1323.0,17.0,4000.0,-937.0,489.0
-1812.0,3426.0,17.0,2068.0,-777.0,17.0,3690.0,-864.0,1168.0
-1001.0,3383.0,17.0,2888.0,-273.0,17.0,3248.0,-664.0,1611.0
-762.0,2991.0,17.0,3629.0,374.0,17.0,2811.0,-467.0,1722.0
-714.0,2158.0,17.0,2994.0,876.0,17.0,2367.0,-267.0,1489.0
-238.0,1280.0,17.0,2290.0,488.0,17.0,1896.0,-14.0,1087.0
858.0,512.0,179.0,1439.0,340.0,181.0,1426.0,244.0,384.0
2105.0,-629.0,91.0,443.0,-387.0,198.0,494.0,493.0,106.0
3332.0,-1067.0,17.0,-424.0,-976.0,15.0,-200.0,643.0,198.0
4002.0,245.0,84.0,-982.0,-191.0,17.0,-862.0,785.0,132.0
3726.0,1986.0,17.0,-1331.0,1200.0,17.0,-1507.0,1473.0,304.0
3219.0,3603.0,17.0,-1468.0,2650.0,17.0,-2268.0,3201.0,641.0
2296.0,4784.0,17.0,-892.0,3674.0,17.0,-2987.0,4835.0,624.0
968.0,4985.0,17.0,-1800.0,4122.0,92.0,-2271.0,4184.0,286.0
133.0,4819.0,17.0,-2872.0,4300.0,388.0,-2915.0,4677.0,196.0
-826.0,4942.0,17.0,-3613.0,4324.0,365.0,-2701.0,4683.0,693.0
-1465.0,5036.0,45.0,-3804.0,3955.0,46.0,-2285.0,4476.0,989.0
-1605.0,4796.0,17.0,-3528.0,3720.0,17.0,-1896.0,4283.0,928.0
-1461.0,4322.0,207.0,-3070.0,4026.0,17.0,-1507.0,4090.0,525.0
-1449.0,3297.0,289.0,-3063.0,4333.0,17.0,-1266.0,2827.0,644.0
-1457.0,2144.0,134.0,-2488.0,4129.0,17.0,-1052.0,1280.0,625.0
-1235.0,1169.0,17.0,-1639.0,4276.0,17.0,-589.0,1286.0,555.0
-302.0,1179.0,17.0,-432.0,4183.0,17.0,32.0,2507.0,397.0
-255.0,2030.0,17.0,664.0,3427.0,88.0,631.0,3378.0,266.0
111.0,2892.0,17.0,1548.0,2160.0,86.0,1111.0,2178.0,1104.0
978.0,2470.0,17.0,2621.0,1036.0,17.0,1595.0,965.0,1597.0
864.0,1472.0,17.0,3412.0,-14.0,17.0,2048.0,-168.0,1719.0
424.0,718.0,17.0,3548.0,-1245.0,17.0,2485.0,-1264.0,1512.0
763.0,-201.0,17.0,3358.0,-2411.0,206.0,2948.0,-2423.0,930.0
1503.0,-966.0,17.0,2830.0,-3347.0,318.0,3359.0,-3453.0,100.0
1976.0,-1888.0,17.0,2089.0,-4300.0,200.0,3658.0,-4106.0,545.0
2557.0,-2916.0,43.0,1643.0,-4815.0,17.0,3404.0,-4101.0,670.0
3006.0,-3776.0,336.0,1769.0,-4266.0,17.0,3013.0,-3942.0,456.0
3506.0,-4398.0,408.0,1556.0,-3415.0,17.0,3605.0,-3926.0,900.0
