games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
256,-3840,17,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
342,-3661,17,-1941,-2453,17,0,0,93
1108,-3446,17,-1249,-1699,17,0,0,93
2347,-3986,17,-419,-604,69,0,0,93
3525,-4047,17,292,-99,256,657,0,93
3756,-2793,17,784,-159,232,1606,46,93
3361,-1322,17,1255,-209,17,2424,100,93
-2304,-4608,25,1781,-733,17,3636,-1013,363
-2277,-4454,17,2083,-1650,17,3399,-2262,425
-1815,-4230,17,1790,-2812,17,2602,-3352,142
-1049,-4551,17,1322,-3767,17,1959,-4221,215
-288,-4536,17,1275,-4897,70,1423,-5017,144
574,-4318,17,1288,-5040,287,1732,-5002,944
1513,-4336,17,1278,-5061,194,2030,-4988,1369
2010,-3581,17,1224,-5020,37,2314,-4975,1440
1331,-3184,17,1373,-5103,248,2602,-4962,1166
471,-3704,17,2027,-5069,74,2878,-4950,561
236,-4201,30,2900,-4761,52,3044,-4573,145
229,-4146,295,3643,-4067,87,3992,-3472,346
533,-3835,372,3991,-3172,76,3434,-2681,133
885,-3541,153,3329,-3227,17,2629,-3298,520
1109,-3524,17,2926,-3987,17,1633,-4608,818
933,-4024,17,1980,-4780,17,913,-4542,716
197,-4196,17,796,-5021,17,709,-4145,386
-803,-3998,17,180,-4856,17,1147,-4349,144
-1583,-3407,17,412,-4618,17,1485,-4521,208
-1153,-2726,17,644,-4717,17,1814,-4689,139
-172,-2962,17,1088,-4867,17,2125,-4846,107
1035,-2821,140,2254,-5063,67,2465,-4966,109
2351,-2102,147,3122,-4590,19,3714,-4111,343
3666,-1281,16,3352,-3979,17,3702,-3209,414
3460,-534,17,3298,-3006,17,2376,-2906,174
2557,-599,56,3540,-1681,17,1243,-2662,251
1226,-1101,81,3642,-435,17,877,-754,457
-80,-1393,17,2786,88,17,560,1310,351
-904,-618,17,2056,-521,76,243,3123,172
-1543,22,17,1576,-1696,98,-2177,3554,621
-2226,50,17,1071,-3042,17,-3736,3711,701
-3292,-10,17,370,-4116,17,-2607,2903,445
-3861,-706,140,207,-4656,17,-2333,1948,239
-4052,-1616,152,152,-5213,17,-3713,684,437
-3507,-1919,17,13,-5022,17,-3378,-184,297
-3099,-1093,17,73,-5072,17,-2699,-845,189
-3540,-56,17,-43,-4851,17,-2135,-1406,141
-3980,930,65,-427,-4013,17,-1658,-1880,118
-3871,1908,21,-1005,-2896,17,-1252,-2283,98
-3152,2651,17,-1159,-1522,110,-1240,-983,586
-2634,2941,17,-1013,-214,19,-1301,683,873
-2238,2391,17,-974,20,17,-1361,2331,813
-2094,1389,17,-932,-515,17,-1419,3925,416
-2258,570,17,-901,-945,17,-2334,3966,350
-2100,208,112,-859,-1135,17,-3447,3507,548
-2256,-62,168,-839,-1191,17,-3700,3120,464
-2485,-377,19,-746,-1434,17,-3101,2655,294
-2029,-944,76,-980,-1242,17,-2631,1631,459
-930,-1630,84,-1606,-619,17,-2154,594,287
-172,-2210,17,-1455,-762,17,-1756,-979,116
-162,-2902,233,-1422,-1369,17,-1433,-2783,93
-241,-3926,558,-1353,-2112,17,-1148,-4367,93
-286,-5000,809,-904,-3242,96,-908,-5021,567
