games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048,-2560,17,-2048,-2560,17,0,0,93
2048,-2560,17,-2048,-2560,17,0,0,93
2048,-2560,17,-2048,-2560,17,0,0,93
2048,-2560,17,-2048,-2560,17,0,0,93
2048,-2560,17,-2048,-2560,17,0,0,93
2048,-2560,17,-2048,-2560,17,0,0,93
1869,-2419,17,-2149,-2661,17,0,0,93
1121,-1868,17,-2557,-3068,17,0,0,93
162,-853,17,-3039,-3821,17,0,0,93
550,-166,131,-3195,-4108,17,-394,-778,274
1584,-413,19,-2668,-3952,17,-1068,-2038,302
2159,-167,17,-1705,-3329,63,-1679,-3147,165
2581,-774,35,-1311,-2121,100,-1544,-1606,1020
2930,-1968,90,-761,-1055,17,-1413,-99,1510
3217,-3237,17,101,-1181,17,-1288,1340,1645
2853,-4382,17,274,-2203,17,-1166,2749,1446
1823,-4274,17,190,-3232,17,-1038,4222,873
922,-2913,17,67,-4282,17,-846,4320,153
328,-1294,17,-139,-5205,17,-679,3302,387
-87,180,17,-557,-5498,23,-533,2371,362
-524,1837,158,-576,-5502,23,-400,2151,151
-849,3062,124,-576,-5502,23,-592,3733,338
-1220,4302,17,-614,-5352,18,-2487,4767,770
-2442,4459,17,-979,-4843,17,-3316,4036,865
-3538,3382,17,-1851,-4886,17,-3890,2812,631
-4078,1872,257,-2702,-4520,17,-3738,1799,156
-3522,410,17,-3033,-3816,17,-3465,1121,298
-3585,-997,17,-3014,-3777,17,-3300,-233,464
-3131,-2345,17,-2994,-3721,17,-3212,-2050,459
-2835,-3617,17,-3094,-4148,46,-3126,-3825,108
-2784,-5065,181,-3270,-4135,100,-3183,-3428,568
-2759,-5082,342,-3396,-4043,17,-3267,-2746,775
-2295,-5103,387,-3520,-3227,17,-3347,-2094,623
-1831,-4713,17,-3502,-1948,19,-3424,-1456,129
-1739,-3549,98,-3227,-310,155,-2802,-349,436
-1554,-2057,56,-2758,1333,25,-1999,937,502
-1216,-531,17,-1828,2205,17,-1177,2254,215
-466,497,17,-1016,1289,17,-525,3315,234
526,1369,17,-957,218,17,-291,4199,299
-30,2195,17,-1204,-927,17,-1245,4796,588
-1378,2579,17,-1967,-1813,17,-2110,4797,579
-2643,3739,17,-2703,-2511,17,-2823,4464,272
-3377,4666,313,-3451,-2292,17,-3218,4685,845
-3604,4436,675,-3000,-1971,17,-3012,4754,1814
-3886,4039,92,-2399,-2418,17,-2570,4473,1930
-2989,3782,132,-1754,-2522,17,-2143,4193,1673
-2050,3672,432,-1762,-2402,17,-1720,3916,1083
-986,3638,809,-1762,-2402,17,-976,4490,644
98,3384,934,-1762,-2402,17,-378,5213,407
822,1993,1281,-1762,-2402,17,-378,5213,407
1504,682,1294,-1762,-2402,17,-378,5213,407
2270,-789,949,-1762,-2402,17,-378,5213,407
256,-3840,25,2048,-2560,26,0,0,93
256,-3840,17,2048,-2560,17,0,0,93
256,-3840,17,2048,-2560,17,0,0,93
256,-3840,17,2048,-2560,17,0,0,93
256,-3840,17,2048,-2560,17,0,0,93
256,-3840,17,2048,-2560,17,0,0,93
381,-3599,17,1844,-2356,17,0,0,93
1277,-3469,17,1195,-1590,17,0,0,93
2534,-4056,17,291,-458,22,0,0,93
3557,-3536,17,-443,-244,89,-292,110,96
3140,-2638,17,-921,-286,49,-704,-62,189
2002,-2981,17,-929,122,147,-1509,-1186,316
781,-4152,17,-915,594,15,-2252,-2225,94
-652,-4451,17,-1375,505,17,-2870,-3031,160
-2367,-4342,17,-1770,-141,17,-3468,-3786,115
-3867,-4163,215,-1966,-1108,76,-3973,-3807,420
-4080,-3576,536,-1701,-2390,93,-3997,-2607,792
-4079,-2442,300,-1295,-3624,17,-3988,-1374,813
-4079,-755,331,-1371,-4531,17,-3980,-234,493
-3942,807,153,-1740,-4252,17,-3734,1186,94
-3637,2492,88,-1585,-3693,17,-3217,2699,93
-3327,3974,17,-814,-3168,17,-2735,4115,93
-2413,5064,164,18,-2579,17,-2048,5025,205
-2190,5103,428,242,-1617,17,504,5020,168
-2664,5097,543,900,-998,17,2791,4701,206
-2915,4615,16,1781,-1197,17,3744,3540,435
-2419,3370,102,2884,-647,17,3827,2272,462
-1789,1913,34,3415,381,25,3516,1229,169
-1026,447,17,3755,1883,97,2422,-91,726
-432,-928,17,3844,3386,18,979,-1908,1271
385,-2442,17,3087,3381,17,-416,-3664,1451
27,-3765,17,3273,2250,17,-1678,-4832,1291
-1557,-3867,17,3652,590,17,-2572,-3825,817
-3061,-3054,125,3365,-962,17,-3411,-2876,122
-4081,-2195,379,2889,-2588,17,-3712,-1899,452
-4079,-1318,301,2072,-4005,17,-2922,-988,393
-3663,-176,17,862,-4817,17,-2166,-108,146
-2297,459,17,-274,-5116,17,-1629,545,209
-1075,1163,17,-242,-5317,17,-1008,1357,187
-445,1961,17,-166,-5681,30,-189,2551,215
355,2784,17,-135,-5657,29,672,3403,234
1281,3363,17,127,-5351,18,2067,2287,761
2531,3917,17,358,-5125,17,3463,1170,945
3655,3662,17,438,-5046,17,3515,214,821
3690,2079,17,349,-5175,17,2732,-612,393
3313,478,38,327,-5257,17,2567,-2330,258
3198,-1229,81,426,-5142,17,2759,-4516,136
3068,-2897,17,351,-5226,17,2498,-4922,805
2858,-4595,17,166,-5431,20,2103,-4810,1382
2403,-5103,651,153,-5446,21,1738,-4706,1590
1409,-4747,1350,158,-5440,20,1355,-4598,1459
357,-4246,1326,210,-5099,17,1219,-4191,1333
-848,-3700,1040,525,-4434,68,1138,-3728,938
-2116,-3133,370,1112,-3281,331,846,-3868,410
-3185,-2787,17,1808,-1943,311,238,-4987,190
-4021,-3740,119,2582,-451,38,129,-5215,237
-2827,-4575,32,3262,844,17,129,-5215,237
-1238,-4724,100,3846,1969,19,129,-5215,237
451,-4876,17,4069,2757,197,129,-5215,237
-256,-3840,16,256,-3840,17,0,0,93
-256,-3840,16,256,-3840,17,0,0,93
-256,-3840,16,256,-3840,17,0,0,93
-256,-3840,16,256,-3840,17,0,0,93
-256,-3840,16,256,-3840,17,0,0,93
-256,-3839,17,256,-3839,17,0,0,93
-660,-3460,17,143,-3258,17,0,0,93
-1783,-3647,17,15,-2140,17,0,0,93
-3002,-4040,17,37,-548,52,0,0,93
-3500,-3376,17,-361,-48,105,-1574,608,450
-3256,-2097,17,-892,-3,17,-3772,1458,656
-2757,-450,17,-918,475,28,-2866,1980,528
-1468,-184,17,-1355,1083,24,-1935,1715,267
-345,-1117,17,-2389,1676,54,-1907,-459,219
-450,-2669,17,-3770,1935,17,-1890,-2540,161
-1198,-4216,17,-4079,1514,712,-1882,-4448,116
-1471,-5103,455,-4074,887,224,-1888,-4927,708
-1735,-5034,1155,-3549,74,22,-1898,-4769,1291
-2315,-4455,1374,-3301,-1317,106,-1912,-4217,1670
-3003,-3774,1234,-3052,-2564,17,-1927,-3348,1804
-3644,-3168,803,-2337,-3768,17,-1941,-2528,1588
-4024,-2384,105,-1335,-4711,17,-1954,-1717,1030
-3139,-2290,17,-280,-5318,35,-1967,-932,151
-2417,-2868,17,236,-5466,21,-1932,-443,529
-1507,-2806,17,0,-5199,17,-1895,18,664
-1628,-1624,17,-61,-4400,17,-1859,480,457
-2282,-512,17,-46,-3516,17,-1825,919,178
-2045,950,46,-70,-2450,17,-1792,1342,282
-1391,2105,160,-53,-1069,17,-883,2398,485
-607,3261,39,328,-215,17,458,3783,553
673,3920,17,1224,-136,17,1686,5011,295
2363,4043,49,2256,-287,17,2477,4270,186
3879,4145,185,3325,-414,17,2970,4308,485
3844,4155,152,3629,159,17,3416,4487,527
3557,4141,17,2859,624,17,3410,4152,195
2854,3799,17,2075,1085,17,2756,3930,107
2075,4193,98,1390,903,17,1845,4301,261
1440,4176,86,645,270,17,819,4713,318
768,4382,17,139,-506,17,732,4905,563
36,3971,17,704,-1200,17,1786,4833,1099
674,3259,17,1703,-1408,17,2853,4760,1284
1900,3064,17,2361,-1023,17,3294,4280,1121
2976,3169,217,2710,-740,17,3439,3572,609
4014,3269,415,2612,-848,17,3780,3862,236
