games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
1885,2436,17,243,3971,17,0,0,93
1144,1885,17,87,4378,17,0,0,93
177,840,22,75,4133,17,0,0,93
40,52,90,37,3390,17,570,143,95
66,-181,17,457,2639,17,1319,343,93
542,97,43,1500,2456,17,2457,817,98
1191,841,83,2484,2993,17,4002,1568,231
1847,1774,17,3015,4082,17,3987,1994,954
1578,2718,17,2496,4925,17,3847,2629,1456
813,3243,17,1821,5020,39,3533,3338,1658
-71,3828,17,1314,5088,105,2592,4122,1547
-437,4387,17,729,5103,52,1618,4933,1074
190,4621,76,447,5120,126,986,4638,468
1100,4697,121,791,4793,146,1555,4926,289
2049,5054,67,1166,4514,17,2446,4210,166
3179,4583,24,1716,4230,17,3204,3615,160
3939,3650,43,1645,4288,17,3888,3083,115
3893,2409,148,1714,3816,17,3976,2278,456
3655,1023,15,1768,3055,17,3904,986,580
3436,-121,17,1747,2040,17,3839,-208,356
3872,-1312,98,2102,1054,17,3952,-1315,323
4079,-2168,308,1622,368,17,3791,-2162,735
4033,-3166,120,671,393,17,3624,-3040,811
3879,-4156,275,838,-69,17,3471,-3840,553
3111,-4594,141,1557,-383,17,3086,-4383,169
2202,-4841,102,1659,-544,17,2373,-4294,316
1290,-5015,34,1744,-683,17,2353,-3979,651
467,-4819,17,2320,-714,17,2857,-3532,997
-184,-4042,93,2948,3,17,3349,-3095,1005
-888,-2857,54,3591,406,17,3842,-2658,671
-1792,-1620,17,3668,-237,17,3803,-2308,122
-2934,-675,17,3674,-1345,206,3447,-2106,332
-3353,749,17,3101,-2481,235,2507,-2706,402
-2091,1418,17,2609,-3468,27,1170,-3875,282
-694,787,17,3200,-3929,17,-86,-4945,188
-920,-591,17,3664,-4366,206,-402,-5206,202
-1362,-1954,17,3552,-4488,599,-402,-5206,202
-1516,-2991,197,3487,-4553,637,-402,-5206,202
-1819,-4227,256,3474,-4566,387,-402,-5206,202
0,4608,17,2048,2560,17,0,0,93
0,4608,17,2048,2560,17,0,0,93
0,4608,17,2048,2560,17,0,0,93
0,4608,17,2048,2560,17,0,0,93
0,4608,17,2048,2560,17,0,0,93
0,4608,17,2048,2560,17,0,0,93
0,4288,17,1627,2115,17,0,0,93
0,4596,17,812,1093,17,0,0,93
0,4737,17,-48,176,98,-97,31,93
-75,4136,17,-517,616,47,-511,169,93
-954,3381,17,-833,522,116,-778,370,103
-1873,3622,17,-998,163,101,404,203,102
-1632,4510,17,-1153,-248,17,1357,342,163
-737,4626,17,-1868,-387,17,1850,989,135
-350,4903,17,-2890,-211,17,2325,1538,104
-196,4999,17,-3209,699,73,2732,1975,95
323,4793,17,-3079,1944,90,2654,2403,160
944,4100,17,-3026,3335,17,2227,2906,95
1770,3447,159,-2720,4547,17,2154,3578,92
2634,3292,109,-1480,4939,18,3760,4145,182
3085,3270,17,-261,5082,17,3978,3795,860
3003,3785,94,-26,5138,17,4002,3424,1151
2899,4650,30,232,4860,17,4002,3079,1082
2347,5026,37,699,4934,17,4000,2738,671
2076,5018,32,644,5046,17,3824,2753,178
1767,4982,22,193,5281,17,2959,4923,384
1508,4695,84,526,5087,52,1588,4791,189
1433,4896,81,1589,4470,175,1140,4658,326
1253,4780,17,2826,3753,55,792,4156,103
551,4113,17,3258,3482,17,469,3834,163
41,3184,17,2856,3722,17,115,2994,196
-98,2084,17,2197,4050,17,-125,1872,105
-262,560,17,1300,4395,17,-282,377,103
-512,-1035,97,483,4540,17,1250,-82,96
