games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
2048.0,2560.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
1930.0,2445.0,17.0,-256.0,3840.0,17.0,0.0,0.0,93.0
1124.0,1839.0,17.0,-145.0,4093.0,17.0,0.0,0.0,93.0
190.0,859.0,17.0,-12.0,4214.0,17.0,0.0,0.0,93.0
58.0,-699.0,82.0,-37.0,3671.0,17.0,-679.0,-902.0,93.0
87.0,-2137.0,17.0,-40.0,2811.0,17.0,-1810.0,-2403.0,93.0
1298.0,-3185.0,17.0,-700.0,2070.0,17.0,-2857.0,-3791.0,93.0
2770.0,-3901.0,17.0,-1628.0,1514.0,17.0,-3369.0,-4557.0,483.0
3903.0,-3309.0,27.0,-2256.0,800.0,17.0,-3268.0,-4626.0,1004.0
3384.0,-1992.0,17.0,-2317.0,-207.0,17.0,-3171.0,-4692.0,1176.0
2059.0,-1032.0,17.0,-2173.0,-1139.0,17.0,-3072.0,-4759.0,1003.0
792.0,-265.0,17.0,-2586.0,-1935.0,17.0,-2979.0,-4823.0,495.0
-747.0,-442.0,17.0,-2782.0,-2996.0,17.0,-2633.0,-4504.0,99.0
-1112.0,-1618.0,17.0,-2189.0,-3823.0,34.0,-1858.0,-3629.0,192.0
-225.0,-2563.0,17.0,-806.0,-3048.0,79.0,298.0,-1779.0,672.0
1072.0,-1942.0,17.0,664.0,-2229.0,17.0,2555.0,158.0,817.0
924.0,-249.0,168.0,1607.0,-783.0,17.0,3617.0,1841.0,635.0
529.0,1295.0,154.0,2399.0,467.0,17.0,2365.0,3224.0,174.0
-130.0,2545.0,17.0,2765.0,1930.0,17.0,1363.0,4314.0,308.0
-854.0,3152.0,17.0,3265.0,3190.0,17.0,542.0,5204.0,264.0
-1470.0,2594.0,76.0,3860.0,3323.0,57.0,542.0,5204.0,264.0
-1768.0,1884.0,17.0,4061.0,3049.0,181.0,542.0,5204.0,264.0
-1704.0,1834.0,17.0,3976.0,2959.0,65.0,542.0,5204.0,264.0
-1704.0,1834.0,17.0,3856.0,2882.0,21.0,542.0,5204.0,264.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
256.0,3840.0,17.0,2048.0,2560.0,17.0,0.0,0.0,93.0
226.0,3696.0,17.0,1948.0,2449.0,17.0,0.0,0.0,93.0
-3.0,2740.0,17.0,1321.0,1684.0,17.0,0.0,0.0,93.0
41.0,1429.0,17.0,404.0,724.0,17.0,0.0,0.0,93.0
-22.0,-110.0,17.0,-93.0,-463.0,17.0,146.0,-808.0,295.0
362.0,-1719.0,14.0,275.0,-1620.0,125.0,416.0,-2287.0,402.0
729.0,-3115.0,17.0,1014.0,-3109.0,107.0,679.0,-3733.0,168.0
918.0,-4748.0,174.0,1565.0,-4503.0,17.0,869.0,-5053.0,185.0
1343.0,-4292.0,874.0,2180.0,-4182.0,425.0,649.0,-5204.0,152.0
1941.0,-3162.0,1564.0,3181.0,-3266.0,720.0,649.0,-5204.0,152.0
2472.0,-2158.0,1869.0,4081.0,-2289.0,699.0,649.0,-5204.0,152.0
3063.0,-1041.0,1870.0,4079.0,-1411.0,588.0,649.0,-5204.0,152.0
-2048.0,2560.0,16.0,256.0,3840.0,17.0,0.0,0.0,93.0
-2048.0,2560.0,16.0,256.0,3840.0,17.0,0.0,0.0,93.0
-2048.0,2560.0,16.0,256.0,3840.0,17.0,0.0,0.0,93.0
-2048.0,2560.0,16.0,256.0,3840.0,17.0,0.0,0.0,93.0
-2048.0,2560.0,16.0,256.0,3840.0,17.0,0.0,0.0,93.0
-2038.0,2550.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
-1496.0,2141.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
-417.0,1319.0,17.0,256.0,3840.0,17.0,0.0,0.0,93.0
-222.0,-30.0,94.0,256.0,3840.0,17.0,47.0,489.0,173.0
-565.0,-1279.0,81.0,232.0,3991.0,17.0,398.0,2211.0,268.0
-1082.0,-2611.0,17.0,85.0,4553.0,17.0,746.0,3921.0,122.0
-2028.0,-3659.0,17.0,543.0,5182.0,17.0,1009.0,4796.0,155.0
-3049.0,-4274.0,17.0,543.0,4963.0,17.0,1132.0,3981.0,114.0
-3803.0,-3551.0,17.0,689.0,3883.0,17.0,1250.0,3274.0,94.0
-3609.0,-2291.0,17.0,1502.0,2737.0,17.0,1552.0,2419.0,173.0
-3681.0,-571.0,17.0,2295.0,1598.0,17.0,2312.0,923.0,227.0
-2810.0,514.0,17.0,3411.0,264.0,17.0,3048.0,-552.0,141.0
-1760.0,-193.0,17.0,3953.0,-1304.0,48.0,3667.0,-1852.0,111.0
-1607.0,-1396.0,17.0,4079.0,-2685.0,369.0,3996.0,-2931.0,268.0
-2005.0,-2668.0,17.0,3975.0,-3867.0,101.0,3680.0,-3875.0,136.0
-2128.0,-3679.0,17.0,3293.0,-4592.0,57.0,3334.0,-4542.0,230.0
-1810.0,-3973.0,17.0,3180.0,-4850.0,222.0,2867.0,-4872.0,192.0
-1347.0,-3845.0,17.0,2517.0,-5048.0,73.0,2477.0,-4949.0,240.0
-710.0,-3429.0,17.0,2851.0,-4655.0,17.0,3393.0,-4446.0,1153.0
165.0,-2729.0,17.0,3062.0,-3945.0,17.0,3805.0,-3630.0,1565.0
498.0,-1582.0,17.0,3383.0,-3158.0,17.0,3880.0,-2908.0,1525.0
159.0,-418.0,17.0,3492.0,-2235.0,17.0,3677.0,-2269.0,1082.0
-637.0,712.0,17.0,3501.0,-1641.0,155.0,3465.0,-1618.0,312.0
-1458.0,1749.0,17.0,3404.0,-1386.0,86.0,3015.0,-1028.0,238.0
-2266.0,2830.0,17.0,2874.0,-855.0,17.0,2636.0,-482.0,172.0
-2210.0,3968.0,17.0,1763.0,-678.0,17.0,2335.0,-1.0,111.0
-1356.0,4180.0,17.0,604.0,-144.0,17.0,2077.0,411.0,102.0
-1.0,3385.0,17.0,508.0,1101.0,17.0,1844.0,783.0,93.0
1386.0,2609.0,17.0,1973.0,1497.0,17.0,2849.0,1468.0,314.0
2716.0,3606.0,17.0,2622.0,2526.0,17.0,3912.0,2155.0,215.0
2775.0,5000.0,45.0,2847.0,3915.0,17.0,3460.0,2624.0,307.0
2044.0,5103.0,256.0,2297.0,4565.0,17.0,2893.0,3065.0,103.0
1482.0,5103.0,186.0,2174.0,3817.0,197.0,2497.0,3468.0,153.0
1305.0,4600.0,17.0,2473.0,2871.0,162.0,2085.0,4133.0,96.0
1885.0,4456.0,17.0,2758.0,1956.0,17.0,1697.0,4874.0,93.0
1983.0,5097.0,128.0,3471.0,1758.0,17.0,1466.0,5024.0,317.0
2056.0,4992.0,503.0,3611.0,2592.0,17.0,1267.0,5020.0,280.0
2203.0,4852.0,563.0,3060.0,3539.0,17.0,1064.0,4942.0,94.0
2349.0,4700.0,240.0,2087.0,4311.0,81.0,854.0,4788.0,93.0
2362.0,4497.0,17.0,654.0,4714.0,106.0,-42.0,5142.0,108.0
2758.0,3992.0,116.0,528.0,3652.0,631.0,-164.0,5209.0,104.0
3893.0,3328.0,24.0,705.0,2312.0,993.0,-164.0,5209.0,104.0
4006.0,3398.0,283.0,909.0,774.0,1042.0,-164.0,5209.0,104.0
