games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-2048.0,-2560.0,17.0,256.0,-3840.0,17.0,0.0,0.0,93.0
-1934.0,-2452.0,17.0,255.0,-3934.0,17.0,0.0,0.0,93.0
-1149.0,-1963.0,17.0,-49.0,-4288.0,17.0,0.0,0.0,93.0
-118.0,-942.0,17.0,-119.0,-3981.0,17.0,0.0,0.0,93.0
105.0,485.0,96.0,-52.0,-3271.0,17.0,-1154.0,-72.0,491.0
307.0,1786.0,17.0,-648.0,-2251.0,17.0,-3059.0,73.0,866.0
1444.0,2573.0,17.0,-1765.0,-1474.0,17.0,-3443.0,246.0,893.0
2585.0,1606.0,91.0,-2008.0,-455.0,184.0,-2375.0,436.0,591.0
3634.0,474.0,52.0,-1558.0,-245.0,263.0,-1375.0,-956.0,595.0
4079.0,-476.0,494.0,-870.0,-1154.0,127.0,-500.0,-2951.0,559.0
4079.0,-1544.0,278.0,-706.0,-2005.0,17.0,405.0,-5016.0,171.0
3991.0,-2504.0,73.0,-909.0,-1824.0,63.0,485.0,-5197.0,120.0
3493.0,-3540.0,17.0,-1148.0,-687.0,17.0,485.0,-5197.0,120.0
2664.0,-4307.0,17.0,-1159.0,-592.0,17.0,485.0,-5197.0,120.0
1805.0,-4700.0,17.0,-1160.0,-586.0,17.0,485.0,-5197.0,120.0
2048.0,-2560.0,17.0,-2048.0,-2560.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-2048.0,-2560.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-2048.0,-2560.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-2048.0,-2560.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-2048.0,-2560.0,17.0,0.0,0.0,93.0
2017.0,-2531.0,17.0,-2067.0,-2579.0,17.0,0.0,0.0,93.0
1466.0,-2099.0,17.0,-2308.0,-2895.0,17.0,0.0,0.0,93.0
394.0,-1242.0,17.0,-2883.0,-3763.0,92.0,0.0,0.0,93.0
240.0,108.0,99.0,-3363.0,-4493.0,47.0,151.0,-171.0,570.0
633.0,1331.0,73.0,-3161.0,-4361.0,17.0,548.0,-620.0,1823.0
1361.0,2035.0,17.0,-2312.0,-4406.0,17.0,896.0,-1033.0,711.0
2268.0,1415.0,80.0,-1443.0,-4654.0,17.0,1891.0,-980.0,113.0
3099.0,510.0,88.0,-409.0,-5053.0,17.0,3362.0,-575.0,93.0
4016.0,-435.0,91.0,94.0,-5754.0,33.0,4002.0,-295.0,487.0
4079.0,-749.0,853.0,196.0,-5799.0,40.0,3997.0,-91.0,871.0
4079.0,-124.0,974.0,198.0,-5464.0,21.0,3994.0,105.0,894.0
4079.0,586.0,285.0,75.0,-4722.0,17.0,3574.0,935.0,422.0
3570.0,1358.0,83.0,-8.0,-3751.0,42.0,3243.0,1699.0,299.0
2798.0,2508.0,301.0,-6.0,-2505.0,87.0,2690.0,2415.0,634.0
1627.0,3781.0,246.0,-53.0,-1068.0,17.0,1683.0,3198.0,916.0
601.0,4800.0,15.0,-340.0,162.0,17.0,731.0,3937.0,853.0
-443.0,4354.0,17.0,-671.0,1525.0,17.0,-211.0,4668.0,463.0
-1273.0,3955.0,17.0,-1473.0,2623.0,17.0,-780.0,4961.0,191.0
-2211.0,4113.0,17.0,-1643.0,3590.0,17.0,-690.0,4376.0,345.0
-2645.0,3497.0,17.0,-1054.0,3428.0,40.0,-655.0,3660.0,204.0
-2174.0,2312.0,17.0,-308.0,3607.0,117.0,714.0,2575.0,484.0
-867.0,1235.0,17.0,616.0,3948.0,17.0,2377.0,1562.0,516.0
-105.0,-49.0,17.0,2142.0,4201.0,17.0,3949.0,605.0,203.0
1203.0,-754.0,17.0,3586.0,3836.0,17.0,3285.0,-45.0,669.0
2415.0,-1458.0,17.0,3747.0,2428.0,17.0,2575.0,-664.0,813.0
2990.0,-3030.0,17.0,3592.0,973.0,17.0,1874.0,-1275.0,611.0
2280.0,-4009.0,17.0,3540.0,-345.0,17.0,1723.0,-2653.0,794.0
1687.0,-4484.0,182.0,3305.0,-1759.0,17.0,1666.0,-4044.0,753.0
1429.0,-5025.0,394.0,2380.0,-2843.0,17.0,1537.0,-4826.0,475.0
1555.0,-4966.0,348.0,1432.0,-3645.0,17.0,497.0,-4808.0,686.0
1657.0,-4902.0,94.0,105.0,-4209.0,134.0,-421.0,-4476.0,498.0
1668.0,-4861.0,45.0,-1537.0,-4255.0,205.0,-1914.0,-4091.0,367.0
1532.0,-4571.0,17.0,-3020.0,-4100.0,103.0,-3970.0,-3638.0,181.0
2163.0,-4093.0,17.0,-4071.0,-3685.0,235.0,-3274.0,-3246.0,892.0
3086.0,-4092.0,17.0,-3646.0,-3040.0,17.0,-2518.0,-2835.0,1298.0
3361.0,-3307.0,17.0,-2761.0,-2706.0,17.0,-1821.0,-2456.0,1341.0
2536.0,-3011.0,17.0,-1842.0,-2618.0,17.0,-1152.0,-2143.0,1119.0
1390.0,-2917.0,17.0,-1141.0,-3147.0,17.0,-944.0,-2501.0,1250.0
676.0,-3240.0,52.0,-1124.0,-4025.0,17.0,-733.0,-2864.0,1043.0
-273.0,-3213.0,296.0,-531.0,-3995.0,17.0,-525.0,-3222.0,488.0
-1630.0,-3624.0,301.0,-44.0,-3660.0,17.0,-1886.0,-3111.0,828.0
-2917.0,-4006.0,62.0,541.0,-4094.0,17.0,-3244.0,-2988.0,858.0
-3828.0,-4204.0,209.0,515.0,-4604.0,17.0,-3672.0,-2884.0,563.0
-4072.0,-3513.0,206.0,74.0,-4320.0,17.0,-2743.0,-3188.0,216.0
-3278.0,-3120.0,17.0,-814.0,-4415.0,20.0,-1600.0,-4162.0,120.0
-3325.0,-2342.0,17.0,-1727.0,-4710.0,119.0,-2282.0,-4236.0,415.0
-3993.0,-2430.0,75.0,-2331.0,-4834.0,17.0,-3688.0,-3982.0,520.0
-4077.0,-3283.0,235.0,-2651.0,-4021.0,17.0,-3634.0,-3288.0,320.0
-3806.0,-4215.0,182.0,-3248.0,-2734.0,116.0,-3301.0,-2571.0,217.0
-3116.0,-4351.0,17.0,-3374.0,-1158.0,157.0,-3599.0,-771.0,770.0
-2650.0,-3276.0,17.0,-3456.0,527.0,16.0,-3899.0,1051.0,980.0
-1606.0,-1949.0,92.0,-3541.0,2245.0,17.0,-3895.0,2710.0,818.0
-668.0,-778.0,17.0,-3425.0,3810.0,129.0,-3682.0,4216.0,311.0
-474.0,734.0,17.0,-3176.0,4787.0,330.0,-3432.0,4184.0,838.0
-1113.0,1400.0,17.0,-2691.0,5094.0,490.0,-3264.0,4006.0,1263.0
-1713.0,1840.0,17.0,-2813.0,5069.0,1009.0,-3106.0,3837.0,1337.0
-2194.0,1323.0,17.0,-3401.0,4638.0,1141.0,-2945.0,3666.0,1072.0
-1679.0,628.0,17.0,-3968.0,4029.0,1266.0,-3040.0,3243.0,625.0
-1121.0,1032.0,17.0,-4079.0,2935.0,1413.0,-3998.0,1970.0,486.0
-1731.0,1581.0,17.0,-4079.0,1518.0,1195.0,-3417.0,1144.0,152.0
-2523.0,686.0,17.0,-4079.0,-169.0,862.0,-2968.0,558.0,244.0
-2484.0,-993.0,17.0,-4079.0,-1934.0,783.0,-2164.0,-820.0,584.0
-2039.0,-2503.0,17.0,-4079.0,-3435.0,390.0,-1323.0,-2275.0,612.0
