games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
2048.0,-2560.0,17.0,-256.0,-3840.0,17.0,0.0,0.0,93.0
1885.0,-2435.0,17.0,-246.0,-3962.0,17.0,0.0,0.0,93.0
1139.0,-1891.0,17.0,-22.0,-4357.0,17.0,0.0,0.0,93.0
53.0,-924.0,17.0,-33.0,-4111.0,17.0,0.0,0.0,93.0
113.0,-140.0,98.0,-60.0,-3442.0,17.0,950.0,-334.0,169.0
325.0,45.0,31.0,528.0,-2736.0,17.0,2694.0,-886.0,105.0
748.0,-120.0,17.0,1787.0,-3255.0,17.0,4002.0,-1354.0,307.0
434.0,-911.0,93.0,3062.0,-4113.0,17.0,3981.0,-1641.0,919.0
-183.0,-1739.0,59.0,4080.0,-3457.0,514.0,3961.0,-1919.0,1170.0
-570.0,-2732.0,17.0,3964.0,-2114.0,1152.0,3706.0,-1813.0,1090.0
-419.0,-3690.0,17.0,3514.0,-686.0,1140.0,2431.0,-121.0,711.0
580.0,-4334.0,17.0,3045.0,806.0,852.0,1139.0,1607.0,172.0
1928.0,-4109.0,17.0,2597.0,2234.0,222.0,239.0,2869.0,440.0
2531.0,-3018.0,83.0,2395.0,3355.0,17.0,-652.0,4118.0,376.0
2891.0,-1386.0,92.0,1655.0,4169.0,17.0,-2163.0,4554.0,247.0
2748.0,-283.0,17.0,825.0,3672.0,17.0,-3679.0,4222.0,335.0
1867.0,-683.0,83.0,590.0,2715.0,17.0,-3948.0,3509.0,720.0
1284.0,-1765.0,98.0,418.0,1674.0,17.0,-3807.0,2808.0,757.0
519.0,-2953.0,17.0,23.0,705.0,17.0,-3674.0,2145.0,448.0
-901.0,-3260.0,17.0,-453.0,-232.0,17.0,-3504.0,1116.0,97.0
-2234.0,-3454.0,17.0,-765.0,-1074.0,17.0,-3284.0,-436.0,93.0
-3296.0,-4260.0,17.0,-631.0,-2338.0,17.0,-3088.0,-1848.0,93.0
-2578.0,-5090.0,103.0,-642.0,-3341.0,17.0,-1773.0,-3088.0,302.0
-963.0,-4848.0,17.0,-881.0,-4261.0,190.0,-959.0,-4206.0,469.0
202.0,-4145.0,17.0,-1193.0,-5075.0,142.0,-1267.0,-5005.0,719.0
631.0,-2951.0,17.0,-1627.0,-5058.0,64.0,-1508.0,-4449.0,627.0
1508.0,-3020.0,17.0,-1723.0,-4177.0,17.0,-1727.0,-3941.0,201.0
1448.0,-3984.0,17.0,-2017.0,-2942.0,66.0,-2175.0,-2605.0,93.0
913.0,-4692.0,17.0,-2965.0,-1480.0,80.0,-3598.0,-2569.0,574.0
-251.0,-4584.0,17.0,-3599.0,-147.0,17.0,-3307.0,-2704.0,713.0
-1484.0,-3574.0,140.0,-3206.0,272.0,17.0,-2414.0,-2839.0,483.0
-2518.0,-2456.0,224.0,-2961.0,-476.0,17.0,-1918.0,-1488.0,145.0
-3693.0,-1205.0,111.0,-2171.0,-484.0,17.0,-1726.0,746.0,164.0
-3818.0,-211.0,16.0,-1341.0,399.0,17.0,-1552.0,2761.0,118.0
-2809.0,105.0,17.0,-510.0,-57.0,17.0,-1406.0,4647.0,106.0
-2394.0,834.0,17.0,-913.0,-439.0,17.0,-2419.0,5005.0,464.0
-2886.0,1894.0,17.0,-1317.0,131.0,17.0,-3200.0,4702.0,508.0
-3337.0,3055.0,17.0,-2087.0,-17.0,17.0,-3471.0,4111.0,245.0
-3838.0,3914.0,285.0,-3060.0,-281.0,17.0,-3636.0,3715.0,635.0
-3962.0,4036.0,577.0,-3751.0,122.0,17.0,-2640.0,3393.0,1713.0
-3666.0,4374.0,681.0,-2904.0,622.0,17.0,-1791.0,3137.0,1548.0
-3426.0,4373.0,26.0,-1536.0,1363.0,17.0,-1017.0,2911.0,696.0
-3397.0,3196.0,97.0,-229.0,964.0,17.0,-1383.0,2349.0,773.0
-3447.0,1915.0,58.0,-626.0,107.0,17.0,-2063.0,1715.0,876.0
-3355.0,282.0,76.0,-2036.0,118.0,43.0,-2729.0,1095.0,646.0
-3152.0,-1206.0,100.0,-3448.0,807.0,217.0,-3659.0,1151.0,351.0
-3045.0,-2908.0,17.0,-3934.0,1620.0,160.0,-3289.0,2327.0,224.0
-2897.0,-4497.0,17.0,-3731.0,2340.0,16.0,-2504.0,3234.0,187.0
-1892.0,-5103.0,191.0,-3020.0,2564.0,17.0,-2566.0,2728.0,106.0
-1055.0,-4885.0,16.0,-2036.0,2229.0,78.0,-2324.0,2855.0,367.0
-928.0,-3983.0,74.0,-1592.0,2145.0,17.0,-1913.0,3241.0,418.0
-1083.0,-2679.0,87.0,-1559.0,2898.0,182.0,-1505.0,3623.0,141.0
-1288.0,-1422.0,17.0,-1325.0,4187.0,176.0,-2091.0,4122.0,95.0
-2437.0,-819.0,17.0,-1145.0,5077.0,68.0,-2877.0,4925.0,127.0
-3390.0,-721.0,17.0,-1548.0,4939.0,17.0,-2991.0,4910.0,527.0
-3509.0,-179.0,17.0,-2194.0,4607.0,17.0,-3070.0,4851.0,570.0
-3467.0,476.0,17.0,-3062.0,4158.0,17.0,-3076.0,4170.0,989.0
-3425.0,751.0,265.0,-3505.0,3282.0,56.0,-3073.0,3408.0,1152.0
-3352.0,1227.0,444.0,-3628.0,1835.0,90.0,-3070.0,2663.0,966.0
-3146.0,2071.0,502.0,-3690.0,555.0,17.0,-2807.0,2273.0,578.0
-2856.0,3037.0,46.0,-3429.0,-824.0,17.0,-1513.0,3226.0,411.0
-2483.0,3680.0,17.0,-3089.0,-2199.0,17.0,-546.0,3430.0,299.0
-1403.0,3482.0,17.0,-3105.0,-3581.0,17.0,-390.0,2127.0,605.0
-1115.0,2077.0,93.0,-2367.0,-4573.0,17.0,-242.0,881.0,564.0
-942.0,338.0,32.0,-1206.0,-4658.0,17.0,-94.0,-365.0,182.0
-749.0,-1184.0,17.0,-914.0,-4721.0,17.0,58.0,-1637.0,359.0
-189.0,-2852.0,17.0,-478.0,-4640.0,40.0,194.0,-3044.0,411.0
78.0,-4384.0,17.0,487.0,-4098.0,225.0,639.0,-3807.0,238.0
922.0,-5069.0,56.0,1584.0,-3498.0,202.0,1900.0,-2771.0,122.0
1361.0,-5103.0,252.0,2809.0,-2626.0,17.0,2759.0,-2062.0,195.0
1229.0,-5103.0,731.0,2832.0,-1353.0,178.0,2076.0,-2498.0,719.0
648.0,-5117.0,460.0,2750.0,-154.0,73.0,1431.0,-2910.0,877.0
143.0,-5216.0,66.0,2924.0,949.0,17.0,785.0,-3323.0,694.0
1.0,-5113.0,17.0,3427.0,574.0,17.0,155.0,-3725.0,169.0
-185.0,-4621.0,182.0,3329.0,-629.0,17.0,-224.0,-3946.0,334.0
-547.0,-3985.0,224.0,2871.0,-1920.0,17.0,-168.0,-4939.0,431.0
-887.0,-2929.0,265.0,2246.0,-3110.0,17.0,-95.0,-5199.0,435.0
-1380.0,-1274.0,72.0,1696.0,-4063.0,17.0,-95.0,-5199.0,435.0
-1573.0,93.0,17.0,1138.0,-4613.0,22.0,-95.0,-5199.0,435.0
-1659.0,1310.0,17.0,603.0,-4954.0,193.0,-95.0,-5199.0,435.0
256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
256.0,-3840.0,17.0,2048.0,-2560.0,17.0,0.0,0.0,93.0
