games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
256,-3840,17,0,-4608,17,0,0,93
256,-3840,17,0,-4608,17,0,0,93
256,-3840,17,0,-4608,17,0,0,93
256,-3840,17,0,-4608,17,0,0,93
256,-3840,17,0,-4608,17,0,0,93
256,-3840,17,0,-4608,17,0,0,93
239,-3692,17,0,-4480,17,0,0,93
38,-2753,17,0,-4356,17,0,0,93
-20,-1288,17,0,-4665,17,0,0,93
-78,-145,102,0,-4271,17,318,-54,388
-298,294,30,441,-3670,17,1298,314,958
-22,526,17,1644,-3767,17,2245,670,1170
804,109,99,2967,-4004,17,3182,1022,1035
1714,-451,36,3377,-3013,17,3955,1363,579
2474,-430,17,3092,-1913,17,3432,1673,182
2590,537,17,2634,-700,17,2976,1873,378
2544,1868,170,2105,685,17,2404,1715,618
2397,3564,151,1204,1137,17,1650,1080,1009
2552,4913,17,745,223,17,937,481,1034
3126,4495,17,400,-789,17,248,-98,727
3252,3277,95,-335,-858,70,-433,-671,87
3362,2076,16,-1233,-272,96,-1537,422,540
3497,527,94,-2178,510,17,-2689,1597,651
3647,-1174,16,-3194,1797,17,-3778,2707,413
3603,-2907,17,-3600,3134,17,-3502,3526,135
2988,-4198,17,-3212,3947,55,-2979,4070,182
1566,-4250,17,-2487,4687,92,-2719,4836,370
64,-4270,17,-2391,4984,26,-3071,4408,550
-1640,-4262,17,-2568,4472,17,-3310,3734,359
-3125,-4071,17,-3569,4271,40,-3514,3191,195
-3829,-2839,18,-3835,3038,18,-3404,2352,475
-2870,-2055,17,-3613,1489,17,-2802,823,832
-2116,-2278,92,-3642,-294,17,-2220,-655,837
-1567,-2385,312,-3673,-2019,17,-1658,-2084,510
-1213,-2292,276,-3688,-3551,17,-1860,-2937,480
-792,-2163,48,-3172,-4560,20,-2207,-3625,253
-305,-1929,17,-2369,-4129,114,-2426,-3922,341
280,-1549,17,-1562,-3433,62,-2275,-2868,837
-189,-893,17,-985,-2674,17,-2129,-1849,976
-1325,-641,279,-1377,-1626,143,-1985,-841,770
-2667,2,454,-1665,-455,221,-2487,416,1131
-3981,810,384,-1904,914,107,-3417,1820,1763
-3826,1572,14,-1874,2301,17,-3944,2934,1484
-2908,1270,17,-707,2951,17,-3862,3835,547
-2245,714,17,-295,2129,17,-3215,4033,158
-2629,194,17,-417,1100,17,-2454,3921,108
-3394,-6,17,-162,78,17,-1814,3826,95
-3681,202,17,-55,-988,17,-2558,2775,571
-3570,-164,103,-27,-2055,17,-3761,1382,914
-3360,-849,79,-1,-3154,17,-3451,355,797
-3028,-1729,110,73,-4125,17,-2793,-535,340
-2464,-2866,68,117,-4634,17,-1485,-1918,421
-1804,-3902,68,462,-4823,17,-224,-3242,185
-909,-5061,104,688,-4225,139,899,-4067,316
-365,-5042,333,900,-3379,95,2226,-3086,904
171,-5008,211,1314,-2743,17,3508,-2137,1124
684,-4975,42,2353,-3232,17,3555,-1334,1043
1012,-4980,37,3231,-4044,17,2844,-654,668
943,-5074,42,3383,-3832,17,1802,-1311,204
366,-4969,17,2741,-3982,17,622,-2957,216
-380,-4289,16,1846,-4357,17,-380,-4206,233
-1272,-4176,17,970,-4681,17,-858,-4015,646
-1527,-3961,209,-93,-4788,17,-1347,-3821,715
-1594,-3663,457,-1040,-4554,17,-1757,-3540,787
-1357,-3330,404,-1391,-4261,17,-2070,-3086,1126
-1132,-3013,95,-1847,-3532,238,-2362,-2663,1121
-1218,-3019,17,-2567,-2540,576,-2664,-2225,772
-1445,-3632,17,-2927,-1697,618,-1936,-1381,1579
-809,-4035,17,-3256,-900,424,-1213,-558,1721
52,-3537,17,-3536,-118,16,-651,177,987
668,-2679,17,-3027,551,17,-196,771,158
475,-1320,17,-1633,532,17,-167,791,152
-51,304,17,-161,700,80,-29,730,293
-22,1930,17,814,230,89,167,614,276
1279,2294,17,1260,-412,17,347,530,153
1990,1022,17,908,-362,17,519,495,102
2112,-468,17,147,586,144,-569,62,206
2681,-2054,17,-753,1647,46,-1731,-393,126
3151,-3718,17,-2233,1757,17,-2710,-785,107
2340,-4755,17,-3259,461,17,-3583,-1144,93
968,-4998,17,-3751,-960,17,-4003,-1388,307
583,-4986,17,-3706,-2498,17,-3494,-1744,1019
662,-4990,17,-3026,-3835,17,-2866,-2138,1543
583,-4971,17,-3018,-4622,17,-2192,-2560,1750
290,-4763,234,-3296,-4318,17,-1577,-2946,1605
-128,-4312,651,-2752,-3950,17,-941,-3345,1104
-594,-3708,1065,-1798,-4097,17,-346,-3717,299
-1190,-2954,1127,-1026,-4643,17,145,-4037,476
-1811,-2170,825,-260,-4784,182,594,-4334,647
-2380,-1458,234,1028,-4639,409,1229,-4584,530
-3292,-1066,17,2368,-4317,396,3422,-4330,609
-3635,-1826,17,3859,-3831,149,3917,-2988,443
-2942,-2451,17,3983,-2686,68,3842,-1766,112
-1967,-2209,17,3611,-1231,17,3710,-842,133
-1074,-1817,17,3663,55,17,3986,-224,230
-154,-1306,17,3792,127,17,3962,297,208
378,-564,17,3825,660,18,3834,881,95
-133,290,17,3682,1409,17,3696,1683,93
-911,1012,17,3634,2421,22,3564,2640,93
-1647,635,17,3934,3286,99,3767,3504,92
-1187,-92,17,4027,3638,301,3901,3994,316
-588,392,17,3950,3990,199,3703,4226,372
-1038,1218,17,3549,4379,82,3402,4473,184
-1565,2153,17,2808,4804,75,2615,5005,119
-1739,3074,17,1746,5072,110,1431,4929,261
-700,4040,17,967,5009,18,1079,4178,329
698,3699,17,559,4251,17,1538,3011,273
1416,2142,17,848,2999,92,1982,1870,169
2304,921,16,1154,1831,24,2488,928,148
3413,122,17,1486,245,89,3816,216,180
3948,-1331,45,1831,-1410,17,3639,-334,623
3515,-2032,17,1810,-2843,17,3250,-863,830
3130,-1937,240,810,-4002,17,2875,-1375,691
2372,-1636,470,-140,-4533,17,1749,-1418,961
1449,-1251,375,-16,-4093,17,-240,-1044,1788
541,-896,15,-386,-3498,17,-1966,-756,1644
182,-948,17,-1190,-3998,17,-3629,-495,894
-143,-1005,17,-1780,-4621,17,-3319,-328,151
-683,-765,226,-1908,-3914,17,-2551,-215,544
-1403,-365,603,-1849,-3031,17,-1791,-105,589
-1901,556,686,-1521,-2081,17,-1582,770,152
-2333,1442,525,-1224,-1245,17,-1636,1635,422
-2816,2482,13,-1052,-255,17,-1691,2511,355
-2795,3541,17,-1355,711,17,-2115,3750,384
-2584,4555,168,-2196,1131,17,-2580,4986,157
-2019,4969,117,-2804,2005,17,-2915,4287,278
-1716,4853,17,-3320,2982,17,-3222,3582,103
-1802,4314,17,-3180,4163,109,-2908,4085,660
-1505,3578,17,-2801,5067,153,-2404,4929,1043
-1296,2778,17,-1660,4859,16,-2043,4552,959
-1691,1969,17,-398,4081,17,-1719,4039,513
-1850,966,17,286,2800,17,-1398,2941,629
-1489,288,17,54,1376,17,-1083,1785,535
-754,486,14,-610,462,17,-767,652,107
-587,1152,17,-547,-361,17,-775,1751,206
-337,2496,89,322,-501,17,-279,2738,98
490,3742,86,1375,-534,17,1418,3386,93
1785,4485,17,2355,-729,17,3033,4013,93
3283,4022,17,3381,-773,17,3794,4126,534
4077,3637,668,3574,-362,17,3952,3858,955
3896,4136,1400,3467,119,17,3963,2922,1132
3578,4462,639,3532,-85,17,3872,1404,1039
3723,3306,17,3674,-777,17,3784,-80,603
3663,1615,17,3752,-1213,129,3637,-913,110
3420,121,17,3783,-1454,56,3294,-1194,339
2975,-1549,17,3405,-1522,17,2747,-2140,578
2604,-3112,17,2750,-2397,17,2212,-3065,481
2278,-4461,17,2306,-3922,17,1699,-3945,107
1238,-5097,123,1548,-4792,17,1255,-4572,261
788,-5099,48,1028,-5066,43,861,-4953,93
300,-5008,99,621,-5075,17,969,-4093,163
-180,-4956,45,660,-4664,17,1073,-3225,117
-484,-4911,17,884,-3548,17,1193,-2218,118
-426,-4743,17,1091,-2356,17,1340,-920,95
30,-4233,17,1188,-906,99,1509,672,93
653,-3705,17,1269,692,20,1656,2057,93
1396,-3022,17,1567,2115,123,1032,1407,757
2121,-3403,17,1966,3527,65,386,678,1111
1748,-4079,17,2363,4393,17,-268,-59,1122
972,-4217,17,2821,4244,17,-900,-771,786
376,-4798,17,3239,3622,17,-1169,-1715,492
-475,-4350,17,3514,2779,17,-1010,-2942,326
-1383,-3267,101,3579,1601,17,-846,-2882,101
-2266,-2297,77,3559,251,17,-680,-1401,93
-2891,-2228,17,3134,-735,17,-672,-1144,333
-2685,-2993,171,2703,-2057,17,-771,-1695,500
-2266,-4151,150,1530,-3319,17,-875,-2322,347
-1663,-4964,19,350,-4527,17,-1025,-3822,240
-916,-4441,94,-1254,-5068,168,-393,-4231,495
-242,-3836,55,-2545,-4990,146,991,-3532,1011
712,-3427,17,-3467,-4486,101,2495,-2773,1229
1493,-2501,17,-2971,-3976,17,3933,-2048,1087
2360,-1564,30,-1989,-4112,17,3202,-1479,647
2964,-976,186,-1214,-3627,17,2227,-741,404
3240,-340,104,-691,-2764,17,1065,219,319
3503,-152,17,191,-2894,17,23,1052,169
3596,-792,80,226,-3772,17,-191,992,445
3542,-1860,85,428,-4691,17,290,222,629
3432,-2874,17,227,-5073,17,750,-514,471
2742,-3654,17,192,-5386,19,1170,-1182,141
1887,-3099,17,329,-5170,17,1458,-1623,275
1674,-1579,124,362,-5122,17,1239,-1588,106
1545,-93,25,364,-4849,17,4,-1613,181
2323,983,17,-351,-4432,17,-1115,-1639,128
3750,492,17,-1805,-4208,17,-2075,-1665,93
3727,-226,81,-2843,-3323,17,-2887,-1688,93
3297,-171,84,-3553,-1893,17,-3588,-1627,120
2836,-195,17,-3433,-304,17,-3909,97,498
2088,13,17,-3498,1154,142,-3560,1587,517
1131,-287,17,-3315,2763,288,-3223,3027,196
174,-119,17,-3019,4481,124,-2730,4170,115
-905,-123,17,-2677,5095,454,-2217,5024,150
-1795,-86,17,-2986,4675,270,-3358,4227,714
-2482,-131,17,-3472,4067,182,-3684,3191,929
-2696,429,87,-3744,3476,17,-3180,2107,750
-2873,1401,295,-3687,2305,17,-2583,1559,423
-2948,2578,268,-3449,879,17,-1387,3104,512
-3011,3820,14,-3395,-774,17,-231,4598,251
-2276,4413,17,-3394,-2466,17,425,4950,260
-1439,4292,96,-3389,-3992,17,804,5214,206
-2550,3420,230,-2902,-5042,429,804,5214,206
-3596,2600,50,-1756,-5103,865,804,5214,206
-4079,2574,363,-791,-5103,1033,804,5214,206
2048,-2560,17,256,-3840,17,0,0,93
2048,-2560,17,256,-3840,16,0,0,93
2048,-2560,17,256,-3840,16,0,0,93
2048,-2560,17,256,-3840,16,0,0,93
2048,-2560,17,256,-3840,16,0,0,93
2048,-2560,17,256,-3840,16,0,0,93
1736,-2316,17,175,-4058,17,0,0,93
782,-1599,17,28,-4172,17,0,0,93
109,-362,82,45,-3684,17,5,-37,94
298,73,81,-151,-2864,17,-1164,-477,198
523,366,17,-1073,-2937,17,-2414,-851,131
1223,457,25,-2190,-3634,17,-3441,-1179,104
2410,247,83,-3428,-4075,17,-4002,-1426,331
3507,-10,17,-3325,-4317,17,-3911,-1785,560
3952,-1280,47,-2748,-4694,17,-3506,-2923,593
3747,-2812,17,-2702,-4712,17,-3081,-4116,278
2889,-4293,17,-3088,-4559,17,-3384,-4302,383
1431,-4915,17,-3538,-4346,58,-3913,-3861,583
224,-4986,17,-3676,-3776,17,-3953,-3283,473
117,-4981,17,-3900,-2645,82,-3844,-2529,424
25,-5001,17,-3921,-1152,81,-3723,-1214,1039
-673,-4536,17,-4074,103,215,-3600,119,1322
-1277,-3499,17,-4079,1127,352,-3481,1421,1252
-1772,-2408,17,-4018,2520,100,-3364,2695,839
-2070,-1383,17,-3420,3852,17,-3227,3924,118
-1763,-323,17,-2037,4021,17,-1719,5020,132
-875,-442,17,-937,4107,49,-712,5013,658
144,-854,17,120,4492,220,291,4997,842
1208,-1139,17,1196,4890,45,1240,4981,687
2302,-1338,17,2131,4987,99,2186,4924,315
3268,-881,17,2417,4971,90,2821,4532,724
3697,47,17,2755,4576,17,3414,4167,784
3651,-83,17,3054,3970,17,3960,3780,522
3411,-758,17,2754,3229,17,3794,3268,91
3122,-1572,17,2709,1912,17,3746,2347,505
3079,-1513,17,3277,1085,17,3316,1499,501
2704,-793,17,4076,870,215,2886,652,155
1825,-1061,17,4079,362,583,1759,-244,146
756,-1030,88,4070,-882,199,1071,-885,534
58,-1131,57,3794,-2598,17,1134,-639,1345
-605,-1520,17,3186,-3961,17,1193,-405,1786
-838,-2381,17,1872,-4971,20,1253,-170,1885
-581,-3387,17,555,-4803,17,1310,54,1646
-116,-4126,17,-141,-4462,17,1367,280,1057
561,-4360,17,-299,-4332,17,1423,499,140
1180,-3832,17,-92,-4794,17,1742,586,375
1107,-3967,17,267,-5156,17,2048,670,267
1240,-3974,17,534,-5453,21,2593,627,223
1824,-4135,17,396,-5464,21,3374,457,226
2705,-4078,17,150,-5209,17,4002,178,317
3517,-4215,20,-36,-5036,17,3817,-470,887
3240,-4800,276,-282,-4882,17,3634,-1092,1092
2392,-4988,21,-131,-4901,17,3450,-1722,960
2010,-3922,17,107,-4835,17,2779,-2442,696
2344,-2747,185,132,-4789,17,2575,-2847,430
2911,-1628,115,621,-4542,17,3486,-2523,611
3107,-586,17,1471,-4109,17,3756,-2207,448
2202,-217,17,2358,-2908,49,3240,-1964,163
1499,-821,17,3161,-1543,208,2941,-1016,421
577,-440,17,3653,-36,127,2803,956,536
-963,144,17,3918,1371,33,2659,3023,307
-2604,374,17,3377,3043,17,2513,4738,211
-3949,-258,44,2602,3964,17,2343,4213,254
-3636,-1377,17,2036,3585,95,2181,3325,142
-2373,-2156,17,1451,3069,26,2021,2604,104
-1801,-3304,17,1382,2209,17,1870,2029,97
-1362,-4473,17,-2654,-4366,17,1753,1584,93
-495,-4757,17,-2636,-3997,17,2195,230,145
284,-5050,17,-3079,-3919,17,2653,-1113,102
182,-5056,17,-2708,-4345,17,3045,-2325,93
-415,-5075,17,-1744,-4455,17,3374,-3385,93
-610,-5081,17,-732,-4795,17,3629,-4254,159
-463,-5077,17,-28,-4835,17,3405,-4388,587
-148,-4971,17,124,-4168,17,2836,-4225,1196
-122,-4933,17,-876,-3286,17,2311,-4076,1442
235,-4551,250,-1601,-2304,20,1755,-3917,1354
843,-4005,567,-1028,-1148,111,1184,-3850,934
1882,-3449,851,-455,133,50,252,-4684,688
2867,-2987,821,-777,1765,17,-363,-3703,208
4008,-2487,439,-1756,3170,17,-903,-2861,335
4073,-2534,222,-2455,4541,17,-1373,-2133,289
3629,-2528,17,-3578,4358,88,-1702,-793,709
2958,-1651,69,-3468,3753,17,-1964,698,1073
1839,-495,89,-2658,4053,129,-2234,2242,1097
519,447,17,-1793,4494,87,-2493,3717,771
-788,361,17,-929,5038,27,-2706,4946,146
-2078,1060,17,-25,5403,65,-2787,4738,466
-2639,2253,17,355,5619,28,-2845,4275,483
-2400,3441,17,596,5921,106,-2819,3969,533
-1466,3437,17,840,5517,45,-2563,4071,1337
-1407,2565,17,551,4734,17,-2314,4171,1777
-2088,2616,17,-122,4181,17,-2081,4263,1866
-2038,3180,17,-988,3579,17,-1837,4360,1609
-1641,3610,17,-1862,2972,140,-1607,4451,1023
-1503,4613,185,-2544,2166,207,-1348,4641,334
-1429,5103,336,-3302,1151,89,-1858,4902,1279
-1722,5103,610,-3943,272,72,-2298,4898,1778
-2550,5103,196,-4003,9,87,-2679,4670,1853
-3216,4113,60,-3692,130,17,-3034,4456,1600
-3560,2690,85,-3516,373,17,-3394,4240,1012
-3828,1025,18,-3114,1367,201,-3742,4031,111
-3297,-443,17,-3007,2786,165,-3574,3625,473
-2030,-672,17,-3090,4113,17,-3412,3243,472
-930,-365,17,-3991,3948,175,-3254,2871,127
-244,-1082,17,-3669,2662,30,-3125,2570,239
374,-1986,17,-3217,1223,92,-3024,1481,586
525,-3002,17,-2679,-392,17,-2935,-22,848
-351,-3713,17,-1572,-1717,17,-2848,-1475,761
-1880,-3970,17,-852,-3051,17,-2763,-2911,331
-3210,-3261,137,-239,-4135,130,-3755,-3256,734
-4059,-2713,172,261,-4138,174,-3104,-2897,1252
-3825,-3113,17,720,-4130,17,-2010,-2544,1409
-3150,-3981,17,473,-4300,17,-915,-2191,1209
-1713,-4752,17,-66,-4837,17,-378,-2727,830
-313,-4158,91,-677,-5006,17,-301,-4044,252
81,-4062,102,-676,-5006,17,-1078,-4124,751
410,-3987,80,-854,-4941,17,-1835,-4171,923
671,-3887,29,-1444,-4412,17,-2601,-4218,758
789,-4134,17,-2736,-4015,17,-3333,-4263,266
1392,-4218,17,-3319,-2915,119,-3763,-4126,462
1787,-3566,17,-2643,-2441,144,-3914,-3874,624
1022,-3292,17,-1931,-2190,17,-4000,-3597,451
481,-3914,17,-1399,-2716,17,-3888,-3335,103
278,-4780,17,-733,-3425,17,-3571,-3134,93
13,-4878,17,508,-3406,17,-3038,-2890,398
-327,-4724,17,1739,-3904,17,-1703,-2960,1333
-227,-4315,17,2504,-4509,17,-398,-3028,1901
264,-4579,17,2860,-3974,117,692,-3129,1686
293,-5310,17,3363,-3404,283,1766,-3238,1045
345,-5553,25,3868,-3132,207,2820,-3343,105
1,-5790,37,3981,-2804,68,3458,-3359,596
-201,-5471,22,3406,-2810,17,3975,-3374,741
-42,-5234,17,3072,-3671,17,3609,-3395,654
-123,-5275,17,2306,-4131,17,3545,-3188,346
140,-5177,17,1317,-4409,17,3844,-2557,221
-255,-5308,17,287,-4860,17,3317,-2396,320
-96,-5260,17,-952,-4734,17,2116,-3779,895
-217,-5286,17,-2084,-4260,17,928,-4937,1115
-78,-4644,17,-3206,-3960,17,143,-4153,871
-598,-3502,189,-3703,-2537,17,-751,-4014,489
-1410,-2160,187,-4038,-1052,128,-1785,-4914,184
-2336,-711,17,-3644,414,66,-2397,-4330,228
-3552,79,17,-3318,1457,123,-2947,-3791,99
-4079,-564,275,-3109,2566,16,-3402,-3346,98
-3691,-1492,16,-2394,2939,20,-3602,-2335,278
-2998,-2667,17,-1262,3017,123,-3658,-760,315
-1551,-3300,17,-205,3188,16,-3957,495,329
-851,-2042,17,722,2696,17,-3359,1275,728
