games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
1881,2444,17,0,4484,17,0,0,93
1126,1968,17,0,3915,17,0,0,93
158,998,17,0,3008,17,0,0,93
133,-527,97,-42,2088,17,-450,-504,93
286,-2141,17,-919,1629,17,-1493,-1669,93
1306,-2754,17,-2313,981,17,-2379,-2656,93
2332,-1906,103,-3379,320,17,-3186,-3553,93
3411,-637,74,-3710,-445,17,-3744,-4184,257
3900,624,27,-3637,-1471,17,-3718,-4201,573
3549,2155,17,-3647,-3095,17,-3693,-4217,539
3451,3522,17,-3672,-4076,155,-3640,-4268,229
2784,4782,17,-3806,-4127,407,-2551,-5027,1124
1735,4467,17,-3915,-3972,408,-1513,-4881,1508
1935,3702,17,-3977,-3840,122,-487,-4737,1536
2767,3919,17,-4058,-3703,190,505,-4597,1215
3679,3813,17,-4002,-3104,84,1442,-4466,584
3823,2428,18,-3764,-2282,17,2277,-4374,335
3850,881,19,-3627,-1236,17,2918,-4335,581
3713,-829,17,-3490,-274,17,3537,-4297,486
3642,-2560,17,-2719,404,17,3725,-3916,176
3858,-4035,133,-1755,759,17,3990,-2981,204
3905,-4072,145,-1043,1446,17,3957,-2111,171
3981,-3123,65,-764,2342,17,3395,-1085,102
3743,-1514,17,-677,3431,17,2542,242,94
3465,-12,90,-377,4383,17,1805,1421,93
3118,1687,16,-94,4616,17,1132,2515,93
2323,3166,17,183,4051,17,561,3452,93
1472,4560,17,862,3059,90,1012,2586,466
776,5101,133,1480,2119,17,1768,1175,652
450,5640,114,2370,707,17,2515,-221,491
151,5828,48,3566,-247,17,3196,-1490,131
94,5145,17,4025,-1541,108,3777,-2555,284
-28,3796,100,3795,-2653,17,3819,-3375,178
-164,2307,97,3859,-3891,33,3539,-4022,140
-317,904,80,3203,-4542,20,3208,-4406,128
-490,-348,16,2815,-3955,17,2790,-4203,196
-1130,-779,17,2973,-3561,17,2444,-4012,131
-839,-1382,17,2911,-3983,17,2161,-3910,103
-94,-1160,17,2195,-3828,17,3207,-2385,93
267,-281,52,1978,-2703,17,4001,-910,383
-264,832,99,2275,-1064,17,3983,211,880
-896,2026,17,2936,368,17,3966,1333,1035
-1472,3238,17,3455,2108,17,3950,2417,845
-1369,4401,17,3273,3562,17,3935,3465,330
-423,5147,17,3655,4245,196,3782,4007,366
760,4851,17,3505,4155,177,3481,3670,471
1996,4076,17,3337,3993,32,3189,3344,241
3191,2972,103,3131,3451,17,3159,2768,386
3988,1770,96,2400,3008,17,3640,1258,893
4078,490,259,1850,2292,17,3945,-147,1026
3961,-954,51,2007,1347,17,3679,-1297,782
3525,-2329,145,1875,329,17,3343,-2412,330
3455,-3086,130,1552,-617,17,2484,-3320,414
3119,-3903,17,1551,-621,17,1625,-4229,157
2013,-4097,17,1602,-674,17,2041,-3993,796
807,-4452,17,2154,-669,17,2811,-3435,1350
-105,-3430,17,2828,-88,17,3564,-2890,1561
-270,-2029,17,3708,121,17,3825,-2400,1390
-647,-834,17,3455,-593,17,3395,-2009,817
-230,135,17,3001,-1631,143,2833,-1581,331
769,490,17,2614,-2352,117,1806,-1043,673
1390,1107,17,2066,-2869,17,743,-486,683
1090,2337,17,1755,-2177,17,-285,52,346
512,3683,17,1688,-1294,17,-419,1854,93
-358,3612,94,1607,-218,17,-426,3450,172
-1262,3293,88,1085,477,17,-1158,2881,544
-2102,2775,19,214,1051,17,-1898,2305,565
-2621,1815,254,-213,1909,17,-2427,1603,491
-3467,2487,239,-537,2942,17,-2534,526,669
-4056,2997,165,-1557,2501,17,-2639,-538,494
-3950,2416,46,-2761,1392,17,-2735,-1492,143
-3774,1124,17,-3589,-55,17,-2811,-2152,290
-3145,-130,72,-3855,-1714,19,-2883,-2783,97
-1889,-1086,94,-3142,-3154,129,-2950,-3352,139
-613,-2183,17,-2815,-4680,156,-3005,-3857,100
-985,-3638,17,-2518,-4953,122,-3055,-4316,93
-2340,-4247,17,-2335,-4880,26,-3313,-4613,349
-3415,-3117,17,-2651,-4341,17,-3601,-4218,1229
-3539,-1495,93,-2813,-3416,17,-3866,-3854,1717
-3609,235,74,-2776,-2359,17,-3574,-2676,1950
-3642,1833,17,-2562,-1253,17,-3206,-1535,1766
-3408,3519,17,-2323,11,17,-2821,-339,1225
-2509,4592,17,-2403,991,128,-2465,766,393
-1443,3918,17,-2424,1402,111,-2222,476,186
-1516,2464,17,-2288,1657,17,-2047,26,131
-1742,695,17,-2019,869,17,-1820,-390,123
-1364,-734,17,-961,9,17,-663,-691,598
-82,-1888,17,541,22,17,617,-922,970
1197,-1350,17,2307,190,17,1855,-1147,989
1418,119,17,3651,-137,17,3080,-1368,664
705,1041,17,3659,-796,17,3783,-1577,198
-347,531,17,3074,-1184,17,2977,-1747,120
-824,-570,17,2403,-1992,17,2282,-2324,189
-1090,-1810,17,1736,-3293,17,1639,-3518,161
-1072,-3049,17,1093,-4726,88,828,-5060,202
-1339,-2814,110,1074,-4262,872,726,-5208,193
-2258,-1580,35,1265,-3098,1641,726,-5208,193
-2992,-637,17,1440,-2035,1949,726,-5208,193
-3639,132,17,1614,-978,1607,726,-5208,193
-256,3840,17,2048,2560,17,0,0,93
-256,3840,17,2048,2560,17,0,0,93
-256,3840,17,2048,2560,17,0,0,93
-256,3840,17,2048,2560,17,0,0,93
-256,3840,17,2048,2560,17,0,0,93
-264,3796,17,2020,2532,17,0,0,93
-942,3425,17,1464,1932,17,0,0,93
-2134,3843,17,625,844,17,0,0,93
-3332,4131,17,-69,110,156,-151,-76,103
-3864,3211,21,-375,152,65,-486,-226,93
-3140,2751,17,-576,55,17,-789,-357,93
-2644,3286,17,-1181,17,94,-1433,1010,268
-2274,3412,115,-1978,128,24,-2219,3010,223
-2222,3208,119,-2789,-84,17,-3397,3145,127
-2090,3044,17,-3691,193,17,-3967,3042,436
-1495,2943,17,-3651,1316,17,-3836,2931,760
-625,2964,17,-3423,2375,17,-3705,2819,740
-121,3802,17,-3624,3021,17,-3578,2710,373
-174,4561,17,-3613,3112,22,-3531,2626,251
-536,4746,17,-3591,2582,237,-3998,3051,809
-786,4860,17,-3748,1821,199,-3662,3449,996
-1671,4675,17,-3882,1160,24,-3311,3850,837
-2841,4372,214,-3781,1491,17,-2976,4233,342
-3934,3998,133,-3420,2458,17,-3759,2884,575
-3761,3124,65,-2575,3727,17,-3637,1746,463
-3358,2041,94,-1228,4498,17,-3196,897,143
-2820,898,17,-163,3915,17,-3699,2190,636
-1679,940,46,-923,3705,17,-3892,3364,758
-473,1908,100,-1744,4238,17,-3611,4311,519
