games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
2048,2560,17,256,3840,17,0,0,93
1891,2440,17,236,3756,17,0,0,93
1165,1933,17,80,3162,17,0,0,93
195,963,17,30,2284,17,0,0,93
55,-133,86,0,1338,17,1198,162,116
83,-833,17,851,1030,17,3186,272,93
-592,-1283,17,1734,1958,17,3995,347,650
-1497,-1000,54,2643,3490,17,3979,397,1244
-2840,-420,89,3098,4846,87,3963,448,1505
-3873,244,21,2228,4902,16,3498,1027,1885
-3797,1806,16,1775,4317,17,2887,1777,1220
-3378,3513,17,2045,3077,89,2269,2536,192
-2261,4260,17,2474,1763,154,2518,1071,885
-1033,3187,17,2962,345,16,2957,-971,1504
-130,1718,17,3878,-408,22,3366,-2878,1744
857,283,17,3682,-1881,16,3396,-4273,1423
937,-1085,17,2819,-3157,17,2500,-4432,210
-119,-1909,17,2311,-3517,17,1846,-4469,692
-187,-2717,198,1678,-3627,137,1220,-4494,1029
1,-3697,583,709,-3946,463,587,-4520,1014
265,-4551,1091,-446,-4638,578,-18,-4544,651
353,-5048,1299,-1471,-5103,439,-593,-4567,166
260,-4996,1146,-2079,-4884,16,-1343,-3959,735
142,-4941,611,-1993,-4651,17,-2220,-3048,1111
-4,-4877,25,-2412,-4690,17,-3029,-2206,1125
-57,-4216,17,-3166,-4354,17,-3849,-1355,800
-22,-2893,17,-3903,-3850,44,-3405,-714,243
81,-1179,17,-4079,-3078,563,-2390,-215,388
-256,203,17,-4079,-2133,716,-1468,228,424
-2304,4608,26,-4079,-1189,586,-740,412,535
-2186,4363,17,-4044,-224,133,-268,168,1043
-1622,4037,17,-3311,458,17,188,-67,1194
-694,3765,17,-3292,1536,17,639,-299,999
480,3677,17,-3236,2611,17,1075,-524,472
1993,4033,17,-3132,3637,17,1849,-769,139
3423,4270,18,-2804,4558,17,2735,-962,97
3403,4637,780,-1853,4839,17,3503,-1081,93
2934,5027,730,-975,5041,25,4001,-730,349
2579,4824,15,-380,5119,17,4001,-55,699
2533,3772,110,10,5131,17,3962,781,736
2657,2691,45,91,5112,17,3915,1678,429
2170,1941,17,91,5112,17,3545,2602,109
1368,2221,17,91,5112,17,2914,3531,101
1322,2885,54,91,5112,17,2037,4004,341
1989,1945,92,-34,5145,17,1100,4163,538
2225,1268,17,-426,5021,17,256,4306,396
2134,1154,17,-758,4570,111,-549,4482,163
-256,3840,16,-1190,3487,207,-548,5211,122
-256,3840,17,-1641,2079,284,-548,5211,122
-256,3840,17,-2155,477,29,-548,5211,122
-256,3840,17,-2935,-559,17,-548,5211,122
-256,3840,17,2048,2560,19,0,0,93
-256,3840,17,2048,2560,16,0,0,93
-453,3548,17,2048,2560,16,0,0,93
-1530,3609,17,2048,2560,16,0,0,93
-2738,4050,17,2048,2560,16,0,0,93
-3535,3408,17,2048,2560,16,0,0,93
-3029,2692,17,1766,2277,17,0,0,93
-2383,3293,17,975,1341,17,0,0,93
-1928,4048,17,143,223,92,0,0,93
-1169,3776,83,26,84,76,934,-438,98
-444,3017,327,60,-61,17,1826,-799,93
133,1781,473,-307,-457,17,2625,-1104,93
644,462,326,-1201,-398,102,2100,-244,520
1235,-848,17,-2424,-303,52,1092,1031,803
2439,-1080,17,-3491,72,17,95,2292,739
3412,-270,17,-3735,1181,17,-880,3525,331
3464,1087,17,-3366,2522,17,-1642,4488,274
3170,2827,17,-2067,3367,17,-2244,4827,350
2780,4464,17,-2342,3897,17,-2694,4306,124
1654,4814,17,-2983,4142,130,-3324,4049,291
