,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,176,0.0,False,True,0,5148.872214783592,-8.630000114440918,68.16999816894531,102.47000122070312,-4241.099853515625,30543.89892578125,4347.699890136719,-142.7999973297119,87.10000038146973,-708.7999725341797,0.0,0.002142550645943878,-0.01770450937666397,-0.003574280969570462,be8c27d163b,D. Artic,10.0,21.6299991607666,-112.0999984741211,57.63999938964844,-7578.2000732421875,19907.5,2563.699951171875,3142.0999145507812,-2489.4000244140625,3765.5999755859375,255.0,253.0,,-0.05698490807127971,1.7449454337133,-0.03602165216721667,True,3,False,4,0.0,False,,76561198172758054,berou,8.0,185.1199951171875,-4061.1201171875,17.010000228881836,-2377.5,-6326.9000244140625,2.3000000417232513,-0.19999999552965164,-1.2999999523162842,2229.7000122070312,1.0,3.0,,0.009674877909550123,1.4318682924666861,0.00011459237505997254,True,False,85.0,False,False,False,,enpitsu,76561198039309853,25,-38.11000061035156,415.1099853515625,102.30999755859375,4556.600036621094,-22433.00048828125,2226.0000610351562,4607.60009765625,2283.2000732421875,1951.0000610351562,255.0,255.0,,0.3719882945075994,-1.5499094030981384,-0.01710960396723048,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,18.0,2777.780029296875,4359.56005859375,17.010000228881836,14588.800048828125,1087.2000122070312,2.3000000417232513,-0.09999999776482582,0.29999999329447746,-1895.2000427246094,255.0,0.0,0.009556233721544466,0.028091753249278154,-7.618467617335548e-05,True,22.0,False,False,False,False,,
1,177,0.0,False,False,1,5340.094834547402,12.430000305175781,-126.48999786376953,120.87000274658203,-2163.699951171875,17045.30029296875,7946.5997314453125,5717.1002197265625,1159.1000366210938,1403.6000061035156,1.0,0.02984928447974659,-0.004950708311022165,-0.1626825263208125,76561198039309853,enpitsu,25.0,38.11000061035156,-415.1099853515625,102.30999755859375,-4556.600036621094,22433.00048828125,2226.0000610351562,-4607.60009765625,-2283.2000732421875,1951.0000610351562,255.0,255.0,,-0.3719882945075994,1.5499094030981384,-0.01710960396723048,True,1,False,2,31.0,False,,bf81d8692db,games5425898691,18.0,-2922.489990234375,-4356.02978515625,17.010000228881836,-14285.10009765625,1616.3999938964844,2.3000000417232513,-0.19999999552965164,-0.09999999776482582,-2071.199951171875,255.0,0.0,,-0.009587017968760181,0.17269436903815363,-3.387202999042196e-05,True,False,22.0,False,False,False,,berou,76561198172758054,8,-185.1199951171875,4061.1201171875,17.010000228881836,2377.5,6326.9000244140625,2.3000000417232513,0.19999999552965164,1.2999999523162842,2229.7000122070312,1.0,3.0,,-0.009674877909550123,-1.4318682924666861,0.00011459237505997254,True,85.0,False,False,False,False,,D. Artic,be8c27d163b,10.0,-21.6299991607666,112.0999984741211,57.63999938964844,7578.2000732421875,-19907.5,2563.699951171875,-3142.0999145507812,2489.4000244140625,3765.5999755859375,255.0,253.0,0.05698490807127971,-1.7449454337133,-0.03602165216721667,True,0.0,False,3,False,4,,
2,178,0.0,False,False,0,5084.723551979239,-28.700000762939453,129.7899932861328,184.2100067138672,-3103.599853515625,-693.6000061035156,10913.299560546875,-764.7000122070312,-2505.2999877929688,-4588.900146484375,0.0,-0.06325225350152115,-0.22293815731294586,-0.5552511569835148,be8c27d163b,D. Artic,10.0,-30.3799991607666,0.46000000834465027,77.41999816894531,-4917.799987792969,5077.099914550781,2967.2000122070312,4085.4000854492188,-3031.9000244140625,-2089.600067138672,255.0,253.0,,-0.6147739989022372,1.7456321139058093,-0.6750977255105748,True,3,False,4,0.0,False,,76561198172758054,berou,8.0,169.6300048828125,-4126.72998046875,17.010000228881836,-661.2999725341797,-6442.19970703125,2.199999988079071,1.0999999940395355,-4.1999998688697815,1086.6999816894531,128.0,128.0,,0.009611553335517662,1.6201124535692208,-0.0001292742183606257,True,False,85.0,False,False,False,,enpitsu,76561198039309853,25,-1.6100000143051147,238.72000122070312,117.69000244140625,1597.5999450683594,-6225.8001708984375,992.9000091552734,2857.2000122070312,-1250.199966430664,-4530.199890136719,255.0,255.0,,1.091285596668013,-2.049957162314243,-0.33373545051330633,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,18.0,2922.489990234375,4356.02978515625,17.010000228881836,14285.10009765625,-1616.3999938964844,2.3000000417232513,0.19999999552965164,0.09999999776482582,-2071.199951171875,255.0,0.0,0.009587017968760181,-0.17269436903815363,-3.387202999042196e-05,True,22.0,False,False,False,False,,
3,307,4.0,False,False,0,9394.903161489201,-3526.219970703125,-3879.2099609375,136.00999450683594,-17462.2998046875,2881.0000610351562,-139.49999809265137,4791.099853515625,-2904.89990234375,-2146.199951171875,0.0,-1.0714934535798493,2.617824201628769,0.5005646864644286,76561198172758054,berou,9.0,-3407.93994140625,-3941.169921875,15.579999923706055,-5607.8997802734375,7461.6998291015625,-1455.8000183105469,336.3999938964844,-4829.2999267578125,2610.2999877929688,255.0,255.0,,0.05611556154465068,2.215120713438747,-0.07472133690444271,True,False,False,False,245.4990968524769,True,,be8c27d163b,D. Artic,10.0,-2760.5,-1141.1400146484375,17.059999465942383,11898.699951171875,-6548.599853515625,1.1999999731779099,0.5000000074505806,-0.09999999776482582,1.5999999642372131,255.0,128.0,,0.016736358041309164,-0.5028912846051542,-4.935520163481072e-05,True,6,255.0,False,6,False,,enpitsu,76561198039309853,25,-3204.969970703125,-2202.580078125,17.049999237060547,-11975.699462890625,-7389.6002197265625,3.0000001192092896,-4.900000095367432,-3.100000023841858,751.8000030517578,255.0,255.0,,0.016755867008722187,-2.5984437252114083,0.00018005737742584051,True,61.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-3104.840087890625,3935.18994140625,17.010000228881836,-16206.500244140625,-9274.89990234375,2.199999988079071,0.9000000357627869,0.7000000029802322,1543.9999389648438,255.0,224.0,0.009601768672516815,-2.586889407283479,0.00018134466031220322,True,255.0,False,4,False,4,,
4,346,6.0,False,False,0,8981.556354029148,-3791.780029296875,-3361.929931640625,802.6599731445312,15304.7998046875,5671.300048828125,2744.2999267578125,730.5999755859375,-4240.7000732421875,-3490.7998657226562,0.0,0.4550683907009976,-2.7391238991414752,-0.7259887198495445,76561198172758054,berou,8.0,-4013.4599609375,-3429.7099609375,756.0,10401.99951171875,7057.39990234375,3061.0000610351562,-2741.6000366210938,3580.2999877929688,-540.0,255.0,0.0,,-0.03773552045712568,1.5048254993038506,1.6383240545006739,True,3,False,4,213.0,False,,be8c27d163b,D. Artic,10.0,-1300.0799560546875,-2232.429931640625,17.059999465942383,2228.2000732421875,-12356.400146484375,2.7000001072883606,0.0,-0.9000000357627869,-3211.199951171875,255.0,4.0,False,0.016732605793494216,-1.602866931409178,-6.994498539906518e-05,True,6,255.0,False,6,False,,enpitsu,76561198039309853,25,-4012.14990234375,-3156.10009765625,704.52001953125,4956.300048828125,-3524.5001220703125,12418.800048828125,3005.4000854492188,-68.29999923706055,12.200000286102295,128.0,255.0,,-0.9052944703172161,-1.6105328761568403,-1.5359595982954353,True,48.55181075167912,True,4,False,3,,games5425898691,bf81d8692db,18.0,-3636.47998046875,1545.3199462890625,17.010000228881836,6268.3001708984375,-19750.10009765625,2.0999999344348907,-0.7999999821186066,4.099999964237213,2.0000000298023224,255.0,128.0,0.00957819747087428,-1.2632465368922372,0.00021844246501203125,True,223.0,False,4,False,4,,
5,437,9.0,False,True,1,3483.056693401603,-295.6400146484375,1867.1300048828125,312.0799865722656,5647.8997802734375,20041.400146484375,3310.2999877929688,1367.5,-4967.200012207031,-1953.6000061035156,1.0,0.5736463780222913,0.982762524785279,2.712089689243181,bf81d8692db,games5425898691,18.0,-397.7300109863281,1725.8900146484375,232.1699981689453,-1031.6999816894531,13921.800537109375,1588.3999633789062,2255.0,5014.200134277344,148.50000381469727,255.0,0.0,,0.7066695015360127,1.8119322918437528,0.9186154983239017,True,5,False,6,144.75644751518007,True,,76561198039309853,enpitsu,25.0,473.8399963378906,4778.009765625,17.059999465942383,-8915.599975585938,2915.7998657226562,2.3999999463558197,0.5999999865889549,-0.0,2978.0999755859375,255.0,255.0,False,-0.01671233528736385,0.16019195789630622,6.0303353229497425e-05,True,4,49.0,False,4,False,,berou,76561198172758054,8,1009.5399780273438,2603.840087890625,100.18000030517578,-2762.0001220703125,16937.7001953125,-17.40000009536743,-5095.4998779296875,2063.000030517578,170.20000457763672,255.0,66.0,,-1.0047448713609748,0.4752631625087926,1.4659848431625029,True,213.0,False,6,False,5,,D. Artic,be8c27d163b,10.0,404.3999938964844,3635.72998046875,17.059999465942383,-4355.7000732421875,8806.500244140625,2.0000000298023224,0.29999999329447746,0.09999999776482582,-2290.500030517578,140.0,5.0,-0.016799696857690505,1.1551367176516762,-2.072325257301151e-05,True,255.0,False,6,False,6,,False
6,470,10.0,False,False,0,9360.031653552247,-387.5199890136719,-4206.2099609375,242.42999267578125,-19184.300537109375,-5147.39990234375,-120.79999923706055,-861.6999816894531,319.59999084472656,5929.0997314453125,0.0,-0.5116532085098154,-0.7640313450183718,2.443210170291407,be8c27d163b,D. Artic,10.0,-248.0,-4270.0400390625,154.50999450683594,748.7999725341797,3652.9000854492188,2042.8999328613281,-5421.5997314453125,-527.2000122070312,-760.1000213623047,128.0,143.0,False,-0.9447536906105151,-1.5870088870837358,0.11207059285294184,True,7,False,8,255.0,False,,76561198172758054,berou,8.0,-680.8800048828125,-4448.89990234375,16.969999313354492,4348.299865722656,-9231.300048828125,15.700000524520874,-7.400000095367432,7.5,2036.9999694824219,255.0,255.0,,0.00981447031814515,-1.091979471865012,0.0006207446958684504,True,6,213.0,False,6,False,,enpitsu,76561198039309853,25,-322.7300109863281,-3949.320068359375,17.059999465942383,-10540.899658203125,4651.000061035156,2.0999999344348907,-0.09999999776482582,0.0,2386.3999938964844,255.0,255.0,False,0.016702906510131562,2.783520654123494,-1.2900159652802927e-05,True,80.0,False,4,False,4,,games5425898691,bf81d8692db,18.0,459.5400085449219,-3532.090087890625,112.30000305175781,397.99999237060547,-15630.699462890625,-3906.300048828125,460.09998321533203,283.1999969482422,975.2999877929688,255.0,245.0,-0.5905419460661424,-1.677881464060322,-0.18906813546229942,True,135.0,False,6,False,6,,
7,606,15.0,False,False,0,8811.533160087416,-3655.530029296875,-3228.280029296875,113.44999694824219,-5963.4002685546875,19716.400146484375,5766.099853515625,661.6999816894531,5955.2001953125,310.79999923706055,0.0,-0.017180132947205475,-2.3191712194058876,3.013283725921114,be8c27d163b,D. Artic,10.0,-3597.22998046875,-3382.320068359375,15.829999923706055,-6699.000244140625,12741.500244140625,32.10000038146973,79.89999771118164,-185.59999465942383,-935.0,255.0,128.0,,0.011195117393531476,2.0223815825486295,0.013390292676163068,True,8,False,8,255.0,False,,76561198172758054,berou,9.0,-1069.22998046875,-4724.85986328125,16.989999771118164,-6184.1998291015625,6686.6998291015625,4.600000083446503,0.19999999552965164,-0.7000000029802322,0.0,255.0,128.0,,0.009502872820022483,2.317133481193929,6.628055403704058e-05,True,6,213.0,False,6,False,,enpitsu,76561198039309853,25,-1252.989990234375,-4332.919921875,27.229999542236328,6741.199951171875,-1434.6000671386719,-1314.7999572753906,4244.4000244140625,-2458.300018310547,2488.0999755859375,128.0,128.0,,0.027025277491273876,-0.9035295605324766,-0.2999704017064571,True,,False,6,False,6,,games5425898691,bf81d8692db,18.0,-2455.580078125,-944.8800048828125,17.010000228881836,-18034.200439453125,14271.500244140625,1.899999976158142,-0.29999999329447746,0.29999999329447746,0.0,255.0,128.0,0.00959815999449369,2.4721461898712827,-4.26266732724962e-05,True,105.0,False,6,False,6,,
8,652,17.0,False,False,0,6136.181266676238,-3695.81005859375,-320.20001220703125,132.02999877929688,-2267.2000122070312,16102.39990234375,960.0,-658.7000274658203,1111.2999725341797,5301.500244140625,0.0,0.3103503749102827,-0.8408312570057493,-0.3051661829764774,be8c27d163b,D. Artic,10.0,-3608.949951171875,-374.1400146484375,16.850000381469727,-906.9999694824219,18440.10009765625,30.199999809265137,1.0999999940395355,64.20000076293945,1939.9000549316406,255.0,255.0,,0.016820515875154835,1.6807328504062593,-0.0039343223468619294,False,8,False,8,213.67354843180667,True,,76561198172758054,berou,9.0,-1676.52001953125,-2544.679931640625,16.989999771118164,-501.89998626708984,18965.400390625,2.3000000417232513,0.0,-0.3999999910593033,0.0,255.0,128.0,,0.009590355625951218,1.5972566625344953,5.058888586804549e-05,True,6,154.0,False,6,False,,enpitsu,76561198039309853,25,-345.3299865722656,-4177.02001953125,17.049999237060547,4266.000061035156,10182.000122070312,2.5999999046325684,0.19999999552965164,0.9000000357627869,10.0,255.0,128.0,False,0.016696793607349422,1.1754098572099814,-8.427430514006533e-05,True,,False,6,False,6,,games5425898691,bf81d8692db,18.0,-3934.25,2210.159912109375,38.150001525878906,-4171.000061035156,21155.50048828125,1866.9000244140625,-481.89998626708984,1761.9999694824219,128.4000015258789,255.0,128.0,-0.08334299272173712,1.7840247196342063,0.39634550610401564,True,255.0,False,6,False,6,,
9,665,17.0,False,False,0,5592.282917023933,-3865.889892578125,401.5,145.41000366210938,-863.8999938964844,14538.1005859375,2136.0000610351562,-1024.000015258789,2283.0999755859375,5453.2000732421875,0.0,0.7646270183576166,1.6216896495162305,-0.3589015742717722,be8c27d163b,D. Artic,10.0,-3922.9599609375,395.0,33.7599983215332,-6739.4000244140625,12643.599853515625,2199.199981689453,27.5,3152.2000122070312,-514.0000152587891,128.0,103.0,,-0.17772558269370803,2.0819904190835965,0.28438568900468364,False,8,False,8,202.0,False,,76561198172758054,berou,9.0,-1730.22998046875,-1614.0,16.989999771118164,-1525.0999450683594,18899.3994140625,4.399999976158142,0.0,0.0,2.8999999165534973,255.0,128.0,,0.009590452473488303,1.6517541198611367,-9.964290194874313e-07,True,6,184.0,False,6,False,,enpitsu,76561198039309853,25,-154.44000244140625,-3719.320068359375,17.049999237060547,4853.699951171875,11646.700439453125,2.5999999046325684,0.0,0.7000000029802322,0.0,255.0,255.0,False,0.01670878686625468,1.1759416449023552,-5.888630033099928e-05,True,,False,6,False,6,,games5425898691,bf81d8692db,18.0,-4011.2099609375,3151.909912109375,92.62999725341797,1868.0000305175781,12801.8994140625,-1909.4999694824219,-1327.7999877929688,-1178.7999725341797,-999.5999908447266,0.0,0.0,0.1818386215225225,1.3953305908819786,0.8102369264990186,True,255.0,False,6,False,6,,
