,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,178,0,False,False,0,5214.418126373021,-10.260000228881836,1.3600000143051147,89.66999816894531,-10574.49951171875,-9967.899780273438,-1242.699966430664,-3672.3001098632812,-1025.1000213623047,-4515.299987792969,0.0,-0.003618654643535271,-0.03870377412592348,-0.17782233900460673,76561198023840998,Westi,8.0,3.1500000953674316,-169.41000366210938,79.87000274658203,-3061.7001342773438,22572.5,3162.7999877929688,-3269.7000122070312,15.299999713897705,-2003.6000061035156,255.0,128.0,,0.13384074448497124,1.485112124646622,-0.013185374988383168,True,False,3,4,17.0,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-63.040000915527344,-3869.300048828125,17.010000228881836,593.1999969482422,5118.500061035156,2.0999999344348907,-0.5000000074505806,-1.2999999523162842,1124.1000366210938,255.0,184.0,,0.009474964290419368,1.422519537396454,0.0001531015222360702,True,61.0,False,False,False,False,,enpitsu,76561198039309853,27,24.200000762939453,228.4600067138672,126.68000030517578,-102.79999732971191,-22905.10009765625,1918.0999755859375,5495.7000732421875,78.80000114440918,-201.70000076293945,255.0,0.0,,0.988347098458206,-1.6122253095719297,-0.025061460280724687,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,17.0,3308.27001953125,3957.919921875,17.010000228881836,13606.500244140625,-9290.900268554688,2.3000000417232513,0.3999999910593033,0.0,-2007.7000427246094,255.0,0.0,,0.009580900462900367,-0.6687497405152911,-5.6126242873384386e-05,True,255.0,False,False,False,False,
1,189,0,False,False,0,5041.356270320127,-352.6499938964844,128.00999450683594,93.12999725341797,-8025.3997802734375,3284.2001342773438,0.0,330.6999969482422,-3029.7000122070312,-525.9000015258789,0.0,-0.5957593900406175,-0.6718318888967796,0.47923090807316887,76561198023840998,Westi,8.0,-219.61000061035156,-175.92999267578125,130.80999755859375,-5309.4000244140625,-366.3999938964844,-164.79999542236328,-5056.199951171875,-2163.800048828125,-44.699997901916504,255.0,255.0,,0.533653450610589,-1.1616049019623755,3.1094604784207585,True,False,3,4,17.0,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-40.22999954223633,-3581.56005859375,17.010000228881836,-492.90000915527344,8553.699951171875,2.5,-0.09999999776482582,-0.5000000074505806,2082.7000427246094,255.0,255.0,,0.009502972273818354,1.6218271221149738,0.000250158647016354,True,61.0,False,False,False,False,,enpitsu,76561198039309853,27,85.5999984741211,50.25,136.67999267578125,1663.2000732421875,-1434.4999694824219,-140.79999923706055,4736.300048828125,-2595.0,-1040.5000305175781,255.0,0.0,,-1.2267678411610639,0.5016306086676992,-2.502212067208664,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,17.0,3624.530029296875,3500.14990234375,17.010000228881836,3680.4998779296875,-14862.099609375,2.3000000417232513,0.09999999776482582,-0.09999999776482582,-2046.9000244140625,255.0,0.0,,0.00957429820539335,-1.396330546400028,-1.2779618250684464e-05,True,255.0,False,False,False,False,
2,243,2,False,False,0,4608.837894286427,-1550.3499755859375,577.8499755859375,99.19000244140625,-757.6999664306641,6810.4998779296875,2546.3999938964844,-360.6999969482422,-3643.2998657226562,-4049.5001220703125,0.0,0.7716175022679596,-1.186570923436001,-0.39739592611701924,76561198023840998,Westi,8.0,-1633.3399658203125,454.4800109863281,16.760000228881836,-3571.6000366210938,7046.099853515625,-318.99999618530273,-978.4999847412109,-254.59999084472656,-985.9999847412109,128.0,0.0,,0.02569332396154899,1.9544400245158717,0.0010882679715393344,True,False,4,4,0.0,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-2160.43994140625,-1495.550048828125,17.010000228881836,-13547.5,11477.60009765625,1.899999976158142,-0.09999999776482582,0.0,0.0,255.0,128.0,,0.00959104046474409,2.438724335434684,-2.8768959435172568e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,27,-0.5,617.4600219726562,17.049999237060547,277.90000915527344,10489.49951171875,2.5999999046325684,0.0,1.7000000178813934,-375.9000015258789,255.0,128.0,,0.01669348648208766,1.5208991705609782,0.00010234429622485616,True,31.0,False,4,False,2,,games5425898691,bf81d8692db,17.0,1823.0,3732.800048828125,17.010000228881836,-4979.4000244140625,13575.6005859375,2.0000000298023224,0.09999999776482582,-0.7999999821186066,-0.7000000029802322,255.0,128.0,,0.009587379971752274,1.9222086871701338,7.488178788898203e-05,True,232.0,False,False,False,False,
3,259,2,False,False,0,4222.528730430012,-1585.0400390625,974.0700073242188,145.02000427246094,1388.0000305175781,7289.69970703125,1008.7999725341797,116.99999809265137,-3999.4000244140625,-4111.9000244140625,0.0,0.8208366532170385,-2.1583057396037266,2.080940952597167,76561198023840998,Westi,7.0,-1640.0999755859375,948.7000122070312,16.760000228881836,2756.199951171875,7161.199951171875,5.0,1.5999999642372131,-119.30000305175781,-2033.800048828125,0.0,0.0,,0.021596921583475256,1.172830941355029,0.008059521635967803,True,False,4,4,0.0,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-2928.159912109375,-845.469970703125,17.010000228881836,-13547.5,11477.60009765625,1.899999976158142,-0.09999999776482582,0.0,0.0,255.0,128.0,,0.00959104046474409,2.438724335434684,-2.8768959435172568e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,27,49.369998931884766,1480.43994140625,99.68000030517578,966.2999725341797,15987.5,-159.60000038146973,-5481.199951171875,453.69998931884766,-6.899999976158142,128.0,128.0,,0.14912322899839905,-1.6532046359807906,-3.140270884200733,True,31.0,False,4,False,3,,games5425898691,bf81d8692db,17.0,1488.199951171875,4453.1201171875,17.010000228881836,-5091.9000244140625,6412.19970703125,2.0999999344348907,-0.9000000357627869,-0.09999999776482582,382.90000915527344,0.0,148.0,,0.009894534428723453,2.263511771541052,-8.710614371828157e-05,True,255.0,False,False,False,False,
4,282,3,False,False,0,3639.457614872593,-1488.77001953125,1549.1400146484375,115.37999725341797,2039.1000366210938,8448.099975585938,746.1000061035156,-1116.6999816894531,-2561.099853515625,-4240.4998779296875,0.0,-0.1735546676697781,-2.141261205678599,0.27591364017321934,76561198023840998,Westi,7.0,-1561.2099609375,1413.969970703125,16.989999771118164,-19.90000009536743,8244.199829101562,-15.0,62.199997901916504,-25.59999942779541,-1382.4000549316406,255.0,0.0,,0.010955695136614225,1.6003719838123707,-0.005576061219139565,True,False,4,4,,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-3409.18994140625,388.1300048828125,17.010000228881836,6438.800048828125,14735.50048828125,0.29999999329447746,1.4000000059604645,3.3000001311302185,-1055.2999877929688,255.0,128.0,,0.009586400119367396,1.090240552582868,0.000141287169349889,True,251.7991312344869,True,False,False,False,,enpitsu,76561198039309853,27,57.41999816894531,2735.199951171875,16.100000381469727,-6829.7998046875,10597.2998046875,162.09999084472656,48.80000114440918,44.40000057220459,2118.300018310547,255.0,255.0,,0.020327064715906503,2.2398146596223465,-0.0002691049616560996,True,61.0,False,4,False,4,27.0,games5425898691,bf81d8692db,17.0,1156.9599609375,4751.0400390625,17.010000228881836,-2708.2998657226562,1941.9999694824219,2.0999999344348907,-0.3999999910593033,0.0,0.0,,,,0.009633157161725981,2.519603234856385,-5.334423647207616e-05,True,255.0,False,False,False,False,
5,290,4,False,False,0,3383.5769616400066,-1425.81005859375,1798.1600341796875,112.06999969482422,3318.800048828125,9665.599975585938,-54.20000076293945,-1334.7999572753906,-3067.0001220703125,-3663.5000610351562,0.0,0.3937207379037127,2.916900231482982,0.8172115731498137,76561198023840998,Westi,7.0,-1520.6500244140625,1660.3499755859375,16.84000015258789,2346.199951171875,9512.999877929688,-100.10000228881836,-189.20000076293945,318.99999618530273,-90.69999694824219,255.0,128.0,,0.022093809699967656,1.3124106468131629,0.005962244418540577,True,False,4,4,,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-3191.97998046875,779.530029296875,17.010000228881836,9507.000122070312,15944.89990234375,-0.19999999552965164,-0.29999999329447746,-0.9000000357627869,-17.59999990463257,255.0,128.0,,0.009609864729281412,1.0307661257540184,5.5511070359071255e-05,True,226.71569896000685,True,False,False,False,,enpitsu,76561198039309853,27,-193.1999969482422,2931.2900390625,17.059999465942383,-11656.800537109375,4496.9000244140625,2.0999999344348907,0.0,0.7000000029802322,2347.899932861328,255.0,255.0,,0.016772081526714666,2.8359478008311436,-1.2350126978599063e-05,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,17.0,1081.9300537109375,4804.85986328125,17.010000228881836,-3222.6998901367188,2310.399932861328,2.0999999344348907,0.09999999776482582,0.3999999910593033,0.0,255.0,,,0.009509891350446963,2.5196035954673848,-1.3721812342135638e-05,True,255.0,False,False,False,False,
6,306,4,False,False,0,2796.5950120094776,-1224.030029296875,2362.7099609375,93.86000061035156,2997.7999877929688,8984.299926757812,395.49999237060547,-4586.400146484375,-619.1999816894531,-3743.2998657226562,0.0,0.5494004023649998,-1.3993959993889444,-1.4779313701285377,76561198023840998,Westi,7.0,-1438.9300537109375,2295.219970703125,17.049999237060547,2785.4000854492188,11550.6005859375,3.1999999284744263,0.3999999910593033,1.5999999642372131,-2262.5999450683594,255.0,0.0,,0.01673628690706942,1.2911790583718736,-0.00015171350392512558,True,False,4,4,,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-2461.280029296875,1791.6400146484375,17.010000228881836,13885.699462890625,15177.7001953125,2.199999988079071,-1.2999999523162842,-1.5999999642372131,-1288.0999755859375,255.0,0.0,,0.00959602995889912,0.8141662410209632,-0.00016881772733094247,True,213.0,False,False,False,False,,enpitsu,76561198039309853,27,-910.489990234375,2689.52001953125,92.04000091552734,-11688.00048828125,-9621.900024414062,4249.700012207031,0.0,-0.9000000357627869,1137.0999908447266,255.0,0.0,,0.016792688415207608,-2.179975475414567,-0.0011523489145396667,True,30.648576328831336,True,6,False,5,,games5425898691,bf81d8692db,17.0,783.8400268554688,4959.490234375,17.010000228881836,-8368.300170898438,1690.0,2.3000000417232513,-0.09999999776482582,-0.29999999329447746,2053.699951171875,255.0,246.0,,0.00949617740810347,2.9557040375323367,9.552949568795519e-05,True,255.0,False,False,False,False,
7,310,4,False,False,1,7558.951655721524,1252.0799560546875,-2410.56005859375,97.77999877929688,18877.900390625,13830.0,2797.5,-2889.8001098632812,4997.900085449219,1633.6000061035156,1.0,-0.20323300836711494,1.660325327271733,-1.1785484119065375,76561198039309853,enpitsu,27.0,1038.739990234375,-2592.389892578125,131.00999450683594,18441.99951171875,10063.599853515625,3589.5999145507812,-996.9000244140625,4120.899963378906,140.6999969482422,255.0,0.0,,-0.06473538398325822,2.1149507184410647,0.03653274969053659,True,False,5,6,29.0,False,,bf81d8692db,games5425898691,17.0,-619.2999877929688,-4959.580078125,17.010000228881836,9281.599731445312,1717.1000671386719,2.3000000417232513,-0.19999999552965164,-0.0,2267.100067138672,255.0,246.0,,-0.009523775565667381,2.9194442924990502,2.5418540969026888e-05,True,255.0,False,False,False,False,,SCARΣD,18624a07afe64d58aea00239724b97cf,13,2219.5,-2005.3599853515625,17.010000228881836,-16650.30029296875,-11498.499755859375,2.3000000417232513,-0.7000000029802322,-0.5000000074505806,-1923.699951171875,255.0,0.0,,-0.009578919939502243,-0.5387558524978219,-9.213292927820741e-05,True,213.0,False,False,False,False,,Westi,76561198023840998,7.0,1378.3299560546875,-2442.050048828125,17.049999237060547,-6092.7001953125,-10346.700439453125,3.1999999284744263,-0.29999999329447746,-0.19999999552965164,-2350.8999633789062,255.0,0.0,,-0.016733934500622265,-0.981637270297234,-3.033330461066756e-05,True,,False,False,4,4,
8,311,4,False,False,0,2810.9069794294996,-1282.56005859375,2355.800048828125,115.62000274658203,-2446.300048828125,-20179.89990234375,7171.199951171875,2865.7000732421875,-3846.0000610351562,-3604.89990234375,0.0,0.3687952959146837,-1.744134030919226,-0.9862938552129308,76561198023840998,Westi,7.0,-1378.3299560546875,2442.050048828125,17.049999237060547,6092.7001953125,10346.700439453125,3.1999999284744263,0.29999999329447746,0.19999999552965164,-2350.8999633789062,255.0,0.0,,0.016733934500622265,0.981637270297234,-3.033330461066756e-05,True,False,4,4,,False,,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-2162.780029296875,2041.4200439453125,17.010000228881836,17226.199951171875,10403.800048828125,2.3000000417232513,0.5000000074505806,0.5000000074505806,-1952.7000427246094,255.0,0.0,,0.009578823547357283,0.47398924811481763,-6.732078967984089e-05,True,213.0,False,False,False,False,,enpitsu,76561198039309853,27,-1195.1700439453125,2515.340087890625,164.55999755859375,-16796.600341796875,-8185.999755859375,3330.4998779296875,710.4000091552734,-5376.400146484375,-915.9999847412109,255.0,0.0,,0.5220783808769477,-2.134200837793235,0.5181690727320105,True,29.0,False,6,False,5,,games5425898691,bf81d8692db,17.0,619.2999877929688,4959.580078125,17.010000228881836,-9281.599731445312,-1717.1000671386719,2.3000000417232513,0.19999999552965164,0.0,2267.100067138672,255.0,246.0,,0.009523775565667381,-2.9194442924990502,2.5418540969026888e-05,True,255.0,False,False,False,False,
9,422,8,False,False,0,9744.293589278632,-2311.18994140625,-4500.97998046875,153.7100067138672,-15749.7998046875,-14952.2998046875,2759.8001098632812,2343.3999633789062,2675.7000732421875,-4832.0001220703125,0.0,-0.7477892013562849,-1.6642168991386075,-0.6058868369916384,18624a07afe64d58aea00239724b97cf,SCARΣD,13.0,-2088.3701171875,-4374.43017578125,61.88999938964844,-10908.199462890625,-18224.69970703125,3021.4999389648438,1809.4999694824219,-1851.6999816894531,-600.0,255.0,75.0,,0.060440831696884974,-1.9971798014508058,0.00799022433390379,True,False,5,6,245.0,False,,76561198023840998,Westi,7.0,1318.1199951171875,-2079.449951171875,17.059999465942383,9823.300170898438,-12474.100341796875,1.7000000178813934,-2.3000000417232513,2.7000001072883606,-1228.0999755859375,255.0,0.0,,0.016781528088048406,-0.9135017257798425,-0.00016172527845231263,True,31.0,False,6,False,6,,enpitsu,76561198039309853,27,-3067.139892578125,-4117.72021484375,17.049999237060547,3031.4999389648438,-9029.600219726562,3.400000035762787,-0.5000000074505806,0.7999999821186066,1804.1999816894531,0.0,128.0,,0.017313121907756496,-1.2055943418407018,6.258256432666433e-05,True,255.0,False,8,False,8,,games5425898691,bf81d8692db,18.0,545.5800170898438,-2159.580078125,17.010000228881836,15381.800537109375,-12681.99951171875,2.3000000417232513,2.7000001072883606,1.0999999940395355,-1852.1000671386719,0.0,0.0,,0.009702375618050572,-0.7605969728153795,-7.311779479853501e-05,True,131.0,False,False,False,False,
