,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,239,2,False,1,3253.2324022643957,1738.5999755859375,1997.780029296875,193.0,-19549.000244140625,24885.30029296875,3674.1000366210938,141.5999984741211,-3510.10009765625,4863.999938964844,1.0,0.01763448249918547,2.395286685679095,-1.5022820627808224,bebc58d896b,panguzz,8.0,1874.25,1767.1500244140625,149.50999450683594,1007.6999664306641,22460.50048828125,4552.300109863281,212.99999237060547,-3602.9998779296875,377.59998321533203,255.0,245.0,,-0.021164850594134484,1.4554273047242137,-0.2583054685964213,True,0.0,False,6,4,4,,76561198290519207,RaggerBoy,11.0,-2759.179931640625,130.58999633789062,94.97000122070312,-16397.7001953125,-5074.800109863281,-154.20000076293945,1866.4999389648438,-5172.1002197265625,-123.00000190734863,128.0,128.0,False,0.7625979234731202,2.8166247899451906,-3.10638645218896,True,15.0,False,8,7,False,,games5425898691,bf81d8692db,19.0,-2149.75,3161.14990234375,17.030000686645508,10363.00048828125,18726.099853515625,-4.399999976158142,0.7000000029802322,1.7000000178813934,236.49999618530273,255.0,128.0,,-0.009595517669324122,2.0505710192215743,-0.0002028060469904425,True,161.05540653710727,True,False,False,False,,enpitsu,76561198039309853,25.0,-230.41000366210938,932.9000244140625,17.059999465942383,7055.30029296875,1874.1000366210938,1.1999999731779099,-1.4000000059604645,-0.0,-80.0,255.0,255.0,,-0.016616978522829437,2.8911870498079106,0.0001285260382991603,True,0.0,False,2,False,2,
1,1430,45,False,0,3035.41615783949,1595.5999755859375,3406.31005859375,274.1700134277344,-8706.799926757812,19195.2001953125,-8532.999877929688,-2653.699951171875,-2658.800048828125,4678.399963378906,0.0,0.614320952338327,2.9219747228082076,0.15302859156147378,76561198039309853,enpitsu,25.0,1755.8499755859375,3233.14990234375,314.9800109863281,3550.7000732421875,10986.600341796875,19.700000286102295,8.399999737739563,-5099.4000244140625,-2060.2999877929688,255.0,255.0,,0.14761123701003864,2.0747951590914044,-0.9026556456497465,True,12.0,False,14,13,False,,bf81d8692db,games5425898691,20.0,1623.75,2890.010009765625,17.010000228881836,9046.599731445312,1591.7999267578125,2.0999999344348907,-0.19999999552965164,0.29999999329447746,-74.40000057220459,255.0,128.0,,0.00949657035188938,0.16657624265100082,5.112497391658123e-05,True,16.0,False,10,8,False,,panguzz,bebc58d896b,8.0,-1843.3299560546875,4304.5498046875,17.010000228881836,10270.699462890625,8263.099975585938,2.0999999344348907,0.5000000074505806,0.5000000074505806,2.7000001072883606,177.0,128.0,,0.009579892324673149,0.6779744560381258,-6.00828779781876e-05,True,255.0,False,26,8,18,32.0,RaggerBoy,76561198290519207,11.0,864.5900268554688,4346.35986328125,24.510000228881836,5664.1998291015625,-1891.7999267578125,3039.7000122070312,-2.3999999463558197,0.19999999552965164,1321.6000366210938,128.0,128.0,False,0.009468644878045916,-0.33809075919347703,0.00022829093898100474,True,38.0,False,24,False,25,
2,1703,55,False,0,2315.956329318172,-51.459999084472656,2983.52001953125,154.02999877929688,-5479.2999267578125,26574.29931640625,-431.19998931884766,2194.499969482422,-1292.2000122070312,3351.0000610351562,0.0,0.45625143449184463,0.04118100500754262,1.1079856168180802,bf81d8692db,games5425898691,20.0,-45.90999984741211,2719.679931640625,59.16999816894531,-3909.5999145507812,22495.50048828125,2749.2999267578125,-4000.7998657226562,1611.9000244140625,-2366.4999389648438,255.0,47.0,,0.07847766495006411,1.719086690654349,0.02665796692869542,True,76.0,False,14,11,False,,76561198039309853,enpitsu,25.0,2126.889892578125,-4732.990234375,17.030000686645508,-20614.69970703125,-2903.2998657226562,5.5000001192092896,-0.29999999329447746,0.0,-2034.9000549316406,255.0,128.0,,0.01678331733874573,-3.076080558934345,-4.920019238256687e-05,True,255.0,False,18,16,2,,panguzz,bebc58d896b,8.0,-633.72998046875,742.8900146484375,17.010000228881836,-6572.60009765625,16746.199951171875,1.899999976158142,0.09999999776482582,-0.7999999821186066,0.0,235.0,128.0,,0.009584709671017728,1.9447965822601108,6.645279406142442e-05,True,188.0,False,28,8,20,,RaggerBoy,76561198290519207,11.0,-381.82000732421875,3366.760009765625,149.07000732421875,15759.599609375,-8929.000244140625,3313.5000610351562,436.50001525878906,2398.3999633789062,1173.1999969482422,255.0,255.0,False,0.04409801528898053,-0.8330048862863337,-0.0099818310534399,True,63.0,False,31,4,34,
3,1831,60,False,0,5084.612066838863,3899.340087890625,3449.43994140625,950.1099853515625,-17424.3994140625,7811.500244140625,2375.800018310547,2807.0001220703125,1802.5,4987.099914550781,0.0,0.17469714805339462,2.3166423523090955,2.77315475453442,bf81d8692db,games5425898691,19.0,4015.3701171875,3411.800048828125,863.27001953125,-9469.500122070312,11924.000244140625,-1038.3999633789062,-3412.9998779296875,-907.3000335693359,-685.9999847412109,255.0,255.0,,0.2894747435555598,1.540303802360814,-1.5828933460767312,True,109.0,False,16,13,False,,76561198039309853,enpitsu,25.0,1896.3299560546875,-3265.989990234375,17.040000915527344,-672.6000213623047,11536.199951171875,3.8999998569488525,0.0,-0.7999999821186066,0.0,255.0,255.0,False,0.016698511168141354,1.6290479438070897,6.663710614770459e-05,True,255.0,False,18,16,2,,panguzz,bebc58d896b,8.0,-293.04998779296875,4172.14013671875,17.010000228881836,7007.9998779296875,-2970.7000732421875,2.3000000417232513,0.0,0.09999999776482582,2484.9000549316406,255.0,255.0,False,0.009501107133774325,-0.3824111772637163,1.6785377401900966e-06,True,192.0,False,28,8,20,,RaggerBoy,76561198290519207,10.0,3212.139892578125,3770.570068359375,17.0,-5527.5,10373.900146484375,3.4999999403953552,2.5,-4.600000083446503,-846.6999816894531,255.0,0.0,True,0.009529905598331523,2.0704653160950155,-4.069466711916672e-05,True,15.0,False,34,4,36,
4,3203,110,True,0,864.0699792465034,-225.97999572753906,4594.39013671875,104.08999633789062,-9670.10009765625,14503.900146484375,4391.700134277344,2281.7999267578125,-1561.7999267578125,-5324.7998046875,0.0,0.40394789263613695,1.9846665474275513,0.016903258094952616,bf81d8692db,games5425898691,19.0,-215.86000061035156,4421.14990234375,16.440000534057617,-17635.2001953125,10817.2998046875,-452.90000915527344,2152.2999572753906,-1898.5000610351562,392.00000762939453,255.0,0.0,,0.011827381141722161,2.485123726626356,-0.024699134627685287,True,154.34204728372637,True,28,22,False,,76561198039309853,enpitsu,25.0,119.91000366210938,-2027.989990234375,17.049999237060547,-4317.300109863281,9802.000122070312,2.5999999046325684,-0.19999999552965164,1.0000000149011612,376.19998931884766,255.0,128.0,False,0.01671676343832899,2.0218500616767847,-0.0002586343124719901,True,255.0,False,26,24,2,,panguzz,bebc58d896b,8.0,742.2999877929688,4209.52001953125,17.010000228881836,-9766.699829101562,-6508.900146484375,2.3000000417232513,0.0,0.0,-2360.399932861328,232.0,0.0,False,0.009559701700615021,-2.6168260207629492,-7.648065752459596e-06,True,26.0,False,4,False,4,,RaggerBoy,76561198290519207,11.0,1918.52001953125,4998.14990234375,26.56999969482422,-6738.4002685546875,1994.1000366210938,588.8000106811523,1019.0000152587891,279.0999984741211,-117.89999961853027,255.0,128.0,False,-0.11283048082890922,2.8104284136990274,-0.22059138911951143,True,182.0,False,58,4,58,
5,5150,172,False,0,3436.526656485435,-2000.489990234375,1885.800048828125,145.4499969482422,13954.69970703125,16502.7001953125,8851.699829101562,-2517.2999572753906,-4736.300048828125,2688.800048828125,0.0,-0.2579982595558357,-1.5524341479898571,0.1398166930103292,76561198039309853,enpitsu,25.0,-2159.199951171875,1767.9000244140625,51.630001068115234,13512.19970703125,7515.3997802734375,2703.599853515625,2860.7000732421875,3112.0999145507812,-2691.7999267578125,255.0,128.0,False,0.017937907688535135,0.7943910907344717,0.05272360128148553,True,0.0,False,6,5,False,,bf81d8692db,games5425898691,19.0,-3938.72998046875,-1811.6099853515625,40.56999969482422,2799.1000366210938,16521.800537109375,-1195.2999877929688,-221.00000381469727,-1197.699966430664,-169.79999542236328,255.0,128.0,,0.08558927569008766,1.386425957808866,0.4314245504925803,False,0.0,False,False,False,False,,panguzz,bebc58d896b,8.0,-2224.989990234375,-612.6500244140625,16.540000915527344,11127.60009765625,18595.6005859375,84.30000305175781,-54.699997901916504,-55.900001525878906,-2.0999999344348907,255.0,128.0,,0.0083259215310527,1.0334470528528938,0.005953339612720539,True,255.0,False,22,False,20,,RaggerBoy,76561198290519207,11.0,3201.929931640625,4450.66015625,15.130000114440918,-4060.10009765625,-10464.89990234375,-180.79999923706055,-442.90000915527344,787.5,-1805.0999450683594,255.0,0.0,False,-0.006036687695801095,-1.9517815450436737,0.005080133967749779,True,0.0,False,34,4,36,
6,6083,206,False,0,3637.253197717705,-617.4299926757812,1513.4300537109375,145.8699951171875,4998.599853515625,18831.400146484375,4617.699890136719,2402.7000427246094,-5151.300048828125,-1920.8999633789062,0.0,-0.42712894399564755,2.799824134913636,1.6043152238574914,bf81d8692db,games5425898691,19.0,-704.8599853515625,1372.77001953125,16.989999771118164,4475.7000732421875,22293.89892578125,5.600000023841858,0.0,-0.29999999329447746,-1704.7000122070312,255.0,0.0,,0.009600312598255757,1.3212095783320825,-8.937745050530787e-05,True,0.0,False,12,8,4,,76561198039309853,enpitsu,25.0,-139.16000366210938,-479.8299865722656,17.049999237060547,-1963.800048828125,6551.400146484375,2.5999999046325684,-0.5000000074505806,0.0,0.0,128.0,128.0,,0.016811682719703902,1.862071105977426,-9.460306759247047e-06,True,91.0,False,8,8,False,,panguzz,bebc58d896b,8.0,-915.6300048828125,3481.8701171875,16.989999771118164,1719.4000244140625,10975.400390625,4.900000095367432,0.0,-0.7000000029802322,-1836.3999938964844,233.0,0.0,True,0.009557297894761414,1.406506691465219,-0.00023567766092160892,True,240.0,False,32,False,28,,RaggerBoy,76561198290519207,11.0,3564.510009765625,-2022.27001953125,73.73999786376953,-5984.5001220703125,22117.80029296875,1951.4999389648438,-5279.0997314453125,-1542.2999572753906,-38.59999895095825,255.0,128.0,,0.6437117399450113,1.849605559329496,-0.005689590416831976,True,204.0,False,43,6,50,
7,6174,209,True,0,2413.964773692064,-1409.760009765625,2781.340087890625,100.9800033569336,7159.5001220703125,19928.499755859375,5473.4002685546875,377.90000915527344,-1350.8999633789062,-5833.599853515625,0.0,1.1760053836875666,-2.9873635591561474,1.021291136303829,76561198039309853,enpitsu,25.0,-1466.719970703125,2571.360107421875,46.25,-6679.2999267578125,17542.19970703125,3470.4998779296875,-395.60001373291016,-124.79999542236328,-2089.9000549316406,255.0,0.0,,0.025408990776578353,1.802751989023105,-0.0009189518406514783,True,0.0,False,10,9,False,,bf81d8692db,games5425898691,19.0,-2790.81005859375,4237.4599609375,17.020000457763672,-20241.99951171875,-612.2000122070312,0.9000000357627869,-2.0999999344348907,-0.29999999329447746,1187.0999908447266,255.0,255.0,,0.009563222960422812,-3.101780307941007,0.00018499783210299562,True,31.0,False,12,8,4,,panguzz,bebc58d896b,8.0,2545.139892578125,4136.080078125,16.989999771118164,-3301.400146484375,17216.8994140625,4.699999988079071,0.0,0.0,1968.3000183105469,140.0,255.0,False,0.009589242668894002,1.8315222677722083,-1.2415569347968345e-05,True,160.0,False,34,False,30,,RaggerBoy,76561198290519207,11.0,-471.5,3464.510009765625,115.41999816894531,-10813.599853515625,3627.6998901367188,2710.8999633789062,4479.5001220703125,3164.2001342773438,413.69998931884766,0.0,255.0,True,-0.3156844584360107,-3.0288649624265824,-0.5188772074499463,True,191.0,False,45,6,52,
8,7146,235,False,1,768.5637676922448,1281.0699462890625,4474.85986328125,105.72000122070312,-19840.30029296875,9398.499755859375,1015.0,5073.500061035156,-111.49999618530273,3201.0000610351562,1.0,-0.3855049770799656,1.7271575711915268,1.886922077865962,bebc58d896b,panguzz,8.0,1421.2900390625,4362.1201171875,90.2699966430664,-14698.499755859375,5139.0997314453125,2567.9998779296875,-4192.799987792969,2634.1000366210938,-2393.8999938964844,255.0,0.0,,-0.01256208737273329,0.36678443130484945,0.5642655142726191,True,27.248585172878816,True,12,9,4,,76561198290519207,RaggerBoy,11.0,1635.300048828125,2294.719970703125,17.010000228881836,1609.7999572753906,11201.800537109375,1.899999976158142,0.5000000074505806,2.5,-941.2000274658203,255.0,128.0,False,-0.009529118096241409,1.7843819005504187,0.00020617575390261876,True,255.0,False,8,6,False,,games5425898691,bf81d8692db,20.0,2629.590087890625,4803.0,16.5,-1007.5,-130.9000015258789,-356.19998931884766,-1356.0000610351562,-615.9999847412109,-497.5,255.0,128.0,,-0.01262684270617398,-0.3885543549625495,0.0042054551060811875,True,30.0,False,10,False,10,,enpitsu,76561198039309853,25.0,840.8200073242188,4803.97998046875,21.969999313354492,12668.800048828125,-9914.000244140625,2999.2001342773438,-2.0000000298023224,1.5000000596046448,-1581.7999267578125,255.0,128.0,,-0.01677459353101499,-2.4575890966416867,-0.0002851827092222808,True,172.52411189643283,True,7,False,8,
9,7449,246,True,0,2432.5401833555566,1353.8800048828125,4215.18017578125,114.20999908447266,-18924.69970703125,21465.2001953125,3490.0,-2257.5999450683594,3914.5001220703125,-3947.0001220703125,0.0,-0.2640936687751273,2.295483781293827,3.088941423577922,bf81d8692db,games5425898691,20.0,1467.7099609375,4181.830078125,15.270000457763672,-14049.000244140625,16520.0,-98.19999694824219,63.29999923706055,77.1999979019165,1234.1999816894531,255.0,255.0,,0.02299962636738359,2.365494107446732,-0.0031481182343696215,True,7.715371885607311,True,10,10,False,,76561198039309853,enpitsu,25.0,73.45999908447266,874.3900146484375,17.059999465942383,11886.199951171875,-1175.1000213623047,2.199999988079071,0.0,0.0,2579.1000366210938,255.0,255.0,False,0.016718535472265292,-0.00739710312805047,-6.723111032461622e-05,True,31.0,False,12,12,False,,panguzz,bebc58d896b,8.0,2623.179931640625,2559.909912109375,16.989999771118164,2014.4999694824219,20927.099609375,2.199999988079071,0.0,0.9000000357627869,5.099999904632568,255.0,128.0,,0.009597470086870874,1.4755017016972667,-7.57355016087939e-05,True,159.88867095721665,True,16,6,12,,RaggerBoy,76561198290519207,11.0,-2314.340087890625,3761.0,16.989999771118164,6824.2999267578125,21591.8994140625,4.300000071525574,-0.09999999776482582,-0.7999999821186066,-0.19999999552965164,255.0,128.0,,0.009574986628533908,1.2646251566935218,6.65898050989989e-05,True,163.0,False,6,4,8,
