,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,169,0,False,False,1,5225.281541972239,-6.400000095367432,-6.769999980926514,90.69000244140625,-331.6999816894531,-14026.8994140625,-2128.2000732421875,3890.10009765625,128.90000343322754,-4566.199951171875,1.0,-0.12903931598725268,-0.038273553366885024,0.004208786555610821,2535435908546018,abarneswills3,10.0,58.02000045776367,-154.72000122070312,66.80999755859375,-3532.2000122070312,345.9000015258789,1124.1999816894531,4362.200012207031,2438.8999938964844,2296.1000061035156,255.0,65.0,True,0.18822084117881654,1.21973626773058,0.2306500587427582,True,17.0,False,6,False,4,,2535471263675040,T1Anders7,10.0,-2951.8798828125,-4043.81005859375,27.670000076293945,-17523.699951171875,-3220.5999755859375,-2214.9000549316406,3856.6000366210938,1812.2999572753906,-3477.2000122070312,255.0,0.0,,-0.22321614460808697,0.20831818019403067,0.18193040519212553,True,255.0,False,4,4,False,,enpitsu,76561198039309853,30,-10.8100004196167,110.4800033569336,123.2300033569336,7364.2999267578125,-448.8999938964844,4283.0999755859375,375.6999969482422,1502.7999877929688,-5277.2998046875,255.0,128.0,,-1.2449151913501444,0.9266497620776242,-2.582534974459508,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,2903.070068359375,3982.2900390625,17.010000228881836,12005.699462890625,13290.2001953125,2.3000000417232513,-0.3999999910593033,-0.09999999776482582,1967.5999450683594,255.0,255.0,-0.009581382566831774,2.2347702868898964,2.9794171819027277e-05,True,False,False,False,0.0,False,40.0,
1,266,3,False,False,1,4919.186903725351,-2314.030029296875,1412.52001953125,93.1500015258789,-4559.700012207031,2803.9999389648438,0.0,-3072.9000854492188,-4996.9000244140625,196.00000381469727,1.0,-0.11126463513148,0.15805830472463384,-0.5999633279414005,2535471263675040,T1Anders7,10.0,-2462.590087890625,1291.780029296875,17.010000228881836,3211.7001342773438,8707.19970703125,0.09999999776482582,0.7999999821186066,1.8000000715255737,1647.5999450683594,255.0,218.0,,-0.009535980639292212,1.9408746976698663,0.00027196408798402656,True,162.70877396675849,True,4,False,4,,2535435908546018,abarneswills3,9.0,-2736.969970703125,452.6600036621094,17.010000228881836,-10857.7001953125,-6823.499755859375,2.199999988079071,-4.4999998807907104,-2.800000011920929,-1099.1000366210938,255.0,128.0,False,-0.009559388560896658,-0.5273920665619531,-0.00011812012477917133,True,0.0,False,8,8,False,,enpitsu,76561198039309853,30,3211.31005859375,-65.30000305175781,17.030000686645508,13920.400390625,2251.6000366210938,5.099999904632568,0.29999999329447746,-0.0,0.0,255.0,255.0,,-0.01677522750726326,2.981205559352315,-3.196918808237376e-05,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,257.0299987792969,4628.89990234375,17.0,-5236.099853515625,-4128.999938964844,3.3000001311302185,1.5000000596046448,2.8999999165534973,782.3999786376953,255.0,128.0,-0.009584704548571812,-0.6986398222287041,-0.0001316300890240102,True,False,False,False,246.0,False,,
2,291,4,False,True,1,3828.6091102136993,-1729.77001953125,2353.679931640625,267.0799865722656,9832.80029296875,17718.599853515625,7983.900146484375,4687.300109863281,-2509.4000244140625,-2780.4998779296875,1.0,0.38081159900890627,-0.6907358732028783,-1.272873993435749,2535471263675040,T1Anders7,10.0,-1797.0400390625,2260.43994140625,106.72000122070312,9019.600219726562,17226.600341796875,2053.6000061035156,-5396.400146484375,-886.1000061035156,585.9000015258789,255.0,201.0,,-0.5437629802564907,2.1135858429022734,-0.35382150464995155,True,136.65027954757852,True,6,False,5,,2535435908546018,abarneswills3,9.0,-3587.090087890625,-266.8399963378906,17.010000228881836,888.1999969482422,-10454.69970703125,2.8999999165534973,-0.19999999552965164,0.3999999910593033,3167.5,254.0,231.0,False,-0.009557704551493365,-1.8834872684531556,-2.2679228787444743e-05,True,255.0,False,8,8,False,,enpitsu,76561198039309853,30,3949.31005859375,953.4500122070312,46.40999984741211,-1273.7000274658203,18732.60009765625,-655.9999847412109,-67.39999771118164,1011.9000244140625,-1.8000000715255737,255.0,128.0,,-0.05552144169624679,1.5021244292868827,-0.48273719476116705,True,201.84074001927527,True,2,False,2,,games5425898691,bf81d8692db,19.0,-363.80999755859375,3989.050048828125,27.06999969482422,-7792.39990234375,-9129.89990234375,3081.099853515625,3.0000001192092896,5.199999809265137,-827.9000091552734,255.0,62.0,-0.009534285352359928,-0.8677442259384011,-0.00023811291801521388,True,False,False,3,255.0,False,,
3,361,7,False,False,0,9202.332984773082,-283.70001220703125,-4041.93994140625,144.5500030517578,28096.4990234375,15326.199951171875,6246.500244140625,-1982.4000549316406,-3297.9000854492188,4603.599853515625,0.0,0.19615771661589154,-1.7459055959752767,3.0080753168199097,76561198039309853,enpitsu,30.0,-398.79998779296875,-4079.8701171875,62.5,22217.099609375,5862.80029296875,1012.3000335693359,-3221.099853515625,4343.500061035156,1004.1000366210938,255.0,255.0,,0.2063184197177007,0.15454173922579678,-0.1466161618521929,True,135.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,1779.300048828125,-4819.52001953125,17.0,-3350.10009765625,-6942.60009765625,3.700000047683716,-0.5000000074505806,1.2999999523162842,-2365.2000427246094,255.0,0.0,,0.009609385530380024,-2.044088860601235,1.3454350859337142e-05,True,192.0,False,4,4,False,,abarneswills3,2535435908546018,11,265.07000732421875,-1539.18994140625,17.010000228881836,-17412.2998046875,4812.9998779296875,2.3000000417232513,0.29999999329447746,-0.29999999329447746,-2149.7999572753906,255.0,0.0,True,0.009574132244295012,2.7909827270173215,-4.6685385952636215e-05,True,167.0,False,8,False,8,,T1Anders7,2535471263675040,10.0,2733.840087890625,-4346.75,17.010000228881836,15241.099853515625,6624.89990234375,1.2999999523162842,-1.2999999523162842,-0.5999999865889549,1816.3999938964844,254.0,248.0,0.009601867595060723,0.4540007226036097,0.0001636796388763227,True,6,False,6,115.0,False,,
4,467,10,False,False,1,5496.469946583759,-909.6699829101562,-51.40999984741211,106.72000122070312,18495.699462890625,13274.89990234375,6592.9998779296875,5505.9002685546875,1150.6999969482422,2088.2000732421875,1.0,-1.0368623240512713,-0.6153407963562053,1.48705535511007,2535471263675040,T1Anders7,10.0,-1052.530029296875,-222.8800048828125,17.010000228881836,20229.300537109375,6396.9000244140625,0.0,-0.29999999329447746,-0.0,1981.6999816894531,255.0,255.0,,-0.009590351752812311,2.761972287764113,3.5172673226518994e-05,True,189.14381082339952,True,8,False,8,,2535435908546018,abarneswills3,10.0,-4020.47998046875,1004.0,105.41999816894531,2056.4999389648438,-4753.800048828125,-2453.800048828125,280.2000045776367,-1404.1000366210938,430.40000915527344,255.0,128.0,False,-0.4368230520052857,-1.9991217254401814,-0.8011056373573968,True,76.0,False,10,10,False,,enpitsu,76561198039309853,30,-991.5599975585938,404.739990234375,52.08000183105469,15986.500244140625,-8490.599975585938,3592.2000122070312,338.80001068115234,524.3000030517578,-1362.7000427246094,255.0,0.0,,-0.03501994302607252,-2.5290680621834207,0.0004298183358397508,True,0.0,False,6,False,5,,games5425898691,bf81d8692db,19.0,750.510009765625,1368.3299560546875,17.010000228881836,12903.00048828125,-4800.10009765625,2.3000000417232513,-0.3999999910593033,-0.0,2206.1000061035156,255.0,255.0,-0.009575109741950565,-2.851917278015834,4.813798907488028e-05,True,4,False,4,196.0,False,,
5,471,11,False,False,0,5452.492050245148,659.25,-85.9800033569336,205.39999389648438,-22971.298828125,13015.10009765625,15831.500244140625,5787.7001953125,-593.3000183105469,1466.199951171875,0.0,1.0056519175616392,0.017257032592535807,0.49027617681748636,76561198039309853,enpitsu,30.0,732.8499755859375,-184.74000549316406,101.2300033569336,-15403.599853515625,15862.5,2331.9000244140625,-5405.10009765625,217.39999771118164,-993.4999847412109,255.0,0.0,,0.60669413286985,2.4387915470608568,0.5349731187638858,True,0.0,False,6,False,5,,bf81d8692db,games5425898691,19.0,-973.7899780273438,-1331.1400146484375,17.010000228881836,-13595.2001953125,38.59999895095825,2.0999999344348907,3.1999999284744263,0.0,1680.0,255.0,148.0,,0.009573330255143748,-3.0710403167583515,-6.701312147567033e-05,True,196.0,False,4,4,False,,abarneswills3,2535435908546018,10,3985.18994140625,-931.77001953125,70.61000061035156,-3213.3999633789062,5979.1998291015625,-2621.099853515625,34.700000286102295,1847.5,-13.600000143051147,255.0,128.0,False,0.3491970474269087,2.089760978616142,-0.5942991949408266,False,76.0,False,10,False,10,,T1Anders7,2535471263675040,10.0,762.6599731445312,119.41999816894531,16.829999923706055,-19604.49951171875,-6902.1002197265625,29.500000476837158,166.10000610351562,-1.5999999642372131,-1570.5999755859375,255.0,0.0,0.0071736892163177125,-2.826219760414267,0.007275181389785694,True,8,False,8,183.0,False,,
6,561,14,False,False,0,3462.644245737479,-3926.320068359375,3464.570068359375,120.25,-13425.30029296875,14374.3994140625,11633.00048828125,-4215.899963378906,-4261.199951171875,260.0,0.0,0.7118102240388672,-2.704275926103221,-2.946832655497056,bf81d8692db,games5425898691,19.0,-3746.090087890625,3407.340087890625,76.93000030517578,-9997.999877929688,17394.100341796875,3389.2001342773438,1741.4999389648438,3040.1998901367188,4227.300109863281,255.0,255.0,,-0.11978729691932967,2.5802104911409907,0.02133999465160021,True,87.44695045614756,True,5,False,4,,76561198039309853,enpitsu,30.0,-2894.330078125,359.0,17.049999237060547,-2293.9999389648438,-7944.4000244140625,3.1999999284744263,0.0,-0.19999999552965164,-2475.8999633789062,255.0,0.0,,0.016663421679697223,-1.8756896613807559,-1.2814804711061136e-05,True,,False,6,6,False,,abarneswills3,2535435908546018,11,2506.81005859375,4936.2900390625,17.34000015258789,-15682.60009765625,14044.000244140625,252.70000457763672,1215.2999877929688,185.20000457763672,1886.6000366210938,254.0,255.0,False,-0.0029555524835860256,2.4688110918337562,-0.011214170194838646,True,248.7519226022946,True,12,False,12,,T1Anders7,2535471263675040,10.0,-2979.6298828125,3719.1298828125,17.010000228881836,-11330.0,19841.500244140625,2.3000000417232513,-0.7000000029802322,1.2999999523162842,-1701.9000244140625,255.0,0.0,0.009583700470511424,2.043366791979234,-0.00020359990548648522,True,8,False,8,87.0,False,,
7,598,15,False,False,1,9966.53301719458,3399.239990234375,-4507.0498046875,1212.47998046875,867.3999786376953,17970.2001953125,8770.800170898438,2248.000030517578,-172.60000228881836,5560.2001953125,1.0,0.019213536150293323,0.662687208598346,-1.2251514723027328,2535471263675040,T1Anders7,20.0,3315.330078125,-4724.66015625,1086.719970703125,7537.60009765625,7552.80029296875,9786.500244140625,-1504.7000122070312,1480.7000732421875,-23.80000114440918,255.0,255.0,,0.6943484613197326,2.368251130312582,-1.5614997346311479,True,207.94591816522743,True,8,False,8,,2535435908546018,abarneswills3,11.0,-792.3400268554688,-4955.75,17.010000228881836,6370.3997802734375,-6.299999952316284,2.199999988079071,0.29999999329447746,0.3999999910593033,208.1999969482422,255.0,172.0,False,-0.009459522340193285,-3.12011613756566,0.00017357012147526174,True,241.0,False,12,12,False,,enpitsu,76561198039309853,30,3615.60009765625,796.5999755859375,17.049999237060547,-5342.39990234375,12440.999755859375,3.1999999284744263,-0.19999999552965164,0.19999999552965164,2323.8999938964844,255.0,255.0,False,-0.016735145023550183,1.091404945817074,-5.695629409531011e-05,True,232.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,3977.510009765625,-3663.22998046875,67.02999877929688,-3772.9000854492188,6836.9000244140625,-3540.4998779296875,-1169.1999816894531,2962.39990234375,2030.0,255.0,255.0,-0.4051838281625091,1.0091493305838415,-0.5205998075518836,True,4,False,6,51.0,False,,
8,679,18,False,False,1,5329.216221661633,3647.080078125,575.780029296875,939.6199951171875,6464.000244140625,17316.199951171875,984.1999816894531,5094.2999267578125,1470.5000305175781,2807.9998779296875,1.0,-0.26028564849049995,1.6800693863715264,-0.9902695629710013,2535471263675040,T1Anders7,20.0,3605.860107421875,509.67999267578125,774.72998046875,-4624.5001220703125,22445.70068359375,-656.2999725341797,-2797.5,2280.0999450683594,4150.199890136719,255.0,0.0,,1.2523954724608681,0.9746508012664359,2.051500786311222,True,63.61484736524602,True,10,False,9,,2535435908546018,abarneswills3,10.0,721.3499755859375,-1761.77001953125,17.010000228881836,3857.9000854492188,13561.800537109375,2.0999999344348907,-0.0,0.7000000029802322,0.0,254.0,128.0,False,-0.009573907899475088,1.8479613799533452,-6.429585307244432e-05,True,243.9433376225092,True,12,12,False,,enpitsu,76561198039309853,30,3111.68994140625,1559.8900146484375,17.049999237060547,4902.099914550781,11949.69970703125,-1.1999999731779099,-0.19999999552965164,-0.0,2346.699981689453,255.0,128.0,False,-0.016727146956331568,1.8995661993713366,-5.9908226261802715e-06,True,127.34689886851982,True,6,False,6,,games5425898691,bf81d8692db,19.0,2238.25,-2574.219970703125,87.55999755859375,-4138.800048828125,16367.80029296875,-146.09999656677246,-5319.0997314453125,-1397.7000427246094,-55.59999942779541,255.0,128.0,0.7484441521869817,-1.8183755426817423,-3.1277548421564654,True,5,False,8,51.0,False,,
9,734,20,False,False,0,8883.071844917271,-3500.780029296875,-3352.590087890625,163.75999450683594,-7449.4000244140625,6696.5997314453125,6191.9000244140625,5186.6998291015625,1783.800048828125,-2432.100067138672,0.0,0.4556042632704442,0.5541945689584693,-2.5166752578796903,76561198039309853,enpitsu,30.0,-3389.68994140625,-3467.5400390625,141.32000732421875,-5312.0001220703125,451.19998931884766,2981.6000366210938,-4382.099914550781,-3063.9999389648438,1287.7000427246094,128.0,0.0,False,0.047877008210080826,-2.5708013048282643,0.6307011353551387,True,81.0,False,8,False,7,,bf81d8692db,games5425898691,19.0,-1315.8299560546875,-1102.8800048828125,64.73999786376953,6653.0999755859375,-20100.699462890625,-1734.1999816894531,2021.6000366210938,1433.2000732421875,282.8000068664551,255.0,128.0,,-0.5110313838949789,-1.160527851536589,0.20166271807539135,True,81.0,False,10,8,False,,abarneswills3,2535435908546018,10,-2217.31005859375,-1137.219970703125,17.010000228881836,-8286.400146484375,-14211.99951171875,2.0999999344348907,2.3999999463558197,4.399999976158142,940.1000213623047,254.0,128.0,False,0.00958895423541849,-2.0474762779382094,9.996118115658076e-06,True,254.0,False,12,False,12,,T1Anders7,2535471263675040,11.0,-2642.580078125,-4945.1298828125,41.380001068115234,4456.099853515625,-20476.500244140625,-8971.699829101562,2030.5999755859375,743.0000305175781,-2609.5999145507812,254.0,128.0,0.4126303848346266,1.9316324445337862,-0.10264837622466245,True,10,False,10,55.0,False,,
