,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,178,0.0,False,False,0,5187.47172574297,19.709999084472656,33.9900016784668,111.58000183105469,8482.2998046875,14343.1005859375,5613.699951171875,4694.5001220703125,1411.0000610351562,-3459.8001098632812,0.0,-0.08303624853622671,0.3956682384352703,0.3399458098734445,2660316210753936024,LuxuryCrazy60fps,16.0,10.319999694824219,-132.86000061035156,89.97000122070312,-962.3000335693359,20334.69970703125,1518.800048828125,-5354.1998291015625,-214.50000762939453,-1239.4000244140625,255.0,23.0,,0.7224501913040637,1.759101384143431,0.05652084749867951,True,4,3,False,2.779423695738595,True,,76561198016631766,Fatum,8.0,1880.3399658203125,-3212.669921875,17.010000228881836,12785.6005859375,-9459.099731445312,2.0999999344348907,-0.5999999865889549,0.29999999329447746,-11.90000057220459,255.0,128.0,,0.009597763682938588,-0.638728255243539,7.067296975868461e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,26,-82.5,158.75,124.8499984741211,-5824.2999267578125,-9152.5,1016.3999938964844,4668.699951171875,-787.5,2798.699951171875,255.0,0.0,,1.1788014703294005,-0.5738463038577973,1.3866394666422028,True,2,False,31.0,False,1,,games5425898691,bf81d8692db,18.0,-8.539999961853027,4186.68994140625,17.010000228881836,1910.3999328613281,-8961.500244140625,2.0999999344348907,0.29999999329447746,-1.4000000059604645,-323.80001068115234,255.0,128.0,0.009524310443998287,-1.3831541095171862,9.158529147411149e-05,True,4,False,4,116.0,False,,
1,259,2.0,False,False,1,10210.239731201089,-3315.25,-4161.31005859375,120.61000061035156,-16449.69970703125,-3717.6998901367188,806.9000244140625,303.4000015258789,-5438.2000732421875,-2516.6000366210938,1.0,-0.36105625627897936,-1.2616097110728748,-0.43186057078401596,bf81d8692db,games5425898691,19.0,-3139.0400390625,-4221.759765625,43.31999969482422,-14107.5,-6726.099853515625,3402.0001220703125,-129.7000026702881,283.1999969482422,-373.4000015258789,255.0,87.0,,-0.004420492956987431,-0.43390844368910536,-0.00018019920803965338,True,5,4,False,255.0,False,,76561198039309853,enpitsu,26.0,2886.22998046875,531.6699829101562,17.059999465942383,11961.099853515625,-7453.3001708984375,1.1999999731779099,-0.5999999865889549,0.5999999865889549,-22.000000476837158,255.0,128.0,,-0.0167574048743886,-2.5815465118540613,8.15142804499204e-05,False,31.0,False,2,2,False,,Fatum,76561198016631766,7,-2398.320068359375,3591.739990234375,17.010000228881836,-1074.4000244140625,-12605.0,2.0999999344348907,-0.0,-0.7999999821186066,273.50000381469727,248.0,128.0,False,-0.009557818949848541,-1.516672432176827,-0.0001976603637296974,True,False,False,255.0,False,False,,LuxuryCrazy60fps,2660316210753936024,16.0,-2423.81005859375,-947.1199951171875,17.059999465942383,-15669.599609375,4860.4998779296875,-3.700000047683716,2.3999999463558197,-0.9000000357627869,-1125.999984741211,255.0,68.0,-0.016766004533240963,0.30718648701152396,-0.0002754654307055643,False,4,False,4,0.0,True,,
2,341,5.0,False,False,1,9438.242648285943,-3843.47998046875,-3021.969970703125,144.24000549316406,3689.2999267578125,12959.100341796875,867.2000122070312,5168.800048828125,2265.2999877929688,2037.4000549316406,1.0,0.2693855094884569,2.5677717653181342,2.7110651934015113,bf81d8692db,games5425898691,19.0,-3877.570068359375,-3155.89990234375,22.280000686645508,-615.6000137329102,13949.7998046875,134.49999809265137,414.59999084472656,251.00000381469727,1900.2000427246094,255.0,244.0,,0.009432676246928645,1.4672973883523102,0.14062744439699026,True,6,4,False,242.47048583081974,True,,76561198039309853,enpitsu,26.0,1463.18994140625,-2550.5,17.030000686645508,-14973.1005859375,-10967.7001953125,10.800000429153442,-9.49999988079071,2.3999999463558197,499.70001220703125,255.0,128.0,,-0.01717360480994809,-0.6284015210163933,6.141991429689677e-05,True,255.0,False,4,4,False,,Fatum,76561198016631766,7,-1971.3499755859375,2682.010009765625,17.010000228881836,632.2999954223633,-10030.599975585938,2.5,0.09999999776482582,0.09999999776482582,2330.8999633789062,191.0,255.0,False,-0.009558469284456361,-1.6843728514506133,2.3754624976868136e-05,True,False,False,255.0,False,False,,LuxuryCrazy60fps,2660316210753936024,16.0,-3539.81005859375,-374.8500061035156,17.059999465942383,1973.5000610351562,-4632.5,1.1999999731779099,-2.199999988079071,4.399999976158142,796.2000274658203,255.0,128.0,-0.01664792745965024,-1.983414922403726,-0.00014044191958606614,True,4,False,4,255.0,False,,False
3,363,6.0,False,False,1,8444.126355360682,-3552.780029296875,-2037.1600341796875,114.05000305175781,8849.7998046875,4662.799987792969,2407.4000549316406,-143.4000015258789,-1699.7000122070312,-1673.9999389648438,1.0,-0.07254861945150202,2.487901511491057,0.32399183393953046,bf81d8692db,games5425898691,19.0,-3667.1201171875,-1992.989990234375,16.8700008392334,11885.999755859375,12038.00048828125,44.40000057220459,39.100000858306885,76.19999885559082,-1916.4999389648438,128.0,0.0,,-0.00802780841412101,2.4168184632589296,-0.004693380070802623,True,6,4,False,198.0,False,,76561198039309853,enpitsu,26.0,655.4600219726562,-3787.550048828125,17.049999237060547,-2614.5999145507812,-17499.7998046875,2.5999999046325684,-0.0,-1.0999999940395355,212.80000686645508,255.0,0.0,,-0.016777356258755732,-1.4446996932869367,-0.00016482477221778282,True,255.0,False,4,4,False,,Fatum,76561198016631766,7,-1555.8499755859375,2122.39990234375,17.010000228881836,9056.799926757812,-2000.0999450683594,2.5,-0.5000000074505806,-0.0,2442.7999877929688,235.0,255.0,False,-0.00953980716466339,-2.967783133464054,4.0708010707002515e-05,True,False,False,255.0,False,False,,LuxuryCrazy60fps,2660316210753936024,16.0,-3325.080078125,-796.260009765625,17.059999465942383,5852.1002197265625,-8704.299926757812,-3.8999998569488525,3.1999999284744263,-4.699999988079071,367.99999237060547,255.0,166.0,-0.016693355287262797,-2.161691890554735,-3.134103581367114e-05,True,4,False,4,223.68422371084972,True,,False
4,402,8.0,False,False,0,4957.598989776563,2421.530029296875,1456.010009765625,108.86000061035156,-3778.900146484375,8872.5,4986.400146484375,4246.099853515625,-4013.900146484375,-1363.0999755859375,0.0,0.032293177098576986,2.857004831389007,-2.125364239721096,2660316210753936024,LuxuryCrazy60fps,16.0,2419.10009765625,1294.8399658203125,16.260000228881836,-5414.6002197265625,6258.699951171875,-106.00000381469727,66.99999809265137,-49.000000953674316,-1188.7000274658203,255.0,11.0,False,0.028128705551028987,2.232863798622064,-0.007009181614024059,True,4,4,False,191.81064947958916,True,,76561198016631766,Fatum,7.0,1166.0999755859375,-3261.1298828125,17.010000228881836,2378.3999633789062,-12451.099853515625,2.0999999344348907,0.09999999776482582,-0.5999999865889549,-10.800000429153442,235.0,126.0,False,0.009570464352317773,-1.3818386090693433,-6.637111458805994e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,26,377.4700012207031,4356.0,17.049999237060547,-535.2000045776367,673.7000274658203,3.0000001192092896,-1.8000000715255737,-0.3999999910593033,-741.5000152587891,0.0,128.0,False,0.017035927352124156,-1.2363566724487431,-0.00012652159303784238,True,4,False,255.0,False,4,,games5425898691,bf81d8692db,19.0,2312.320068359375,1911.989990234375,16.989999771118164,-7928.699951171875,-8256.099853515625,4.699999988079071,-0.29999999329447746,-0.3999999910593033,1410.8999633789062,255.0,196.0,0.009549267480734841,-2.288497091746025,-0.00011059577175064369,True,4,False,6,198.0,False,,
5,447,9.0,False,True,0,3561.5702131994826,1823.800048828125,2840.550048828125,111.93000030517578,-8464.199829101562,14193.800048828125,5391.5997314453125,1607.5999450683594,-1270.5999755859375,-1507.5,0.0,-0.12296815195514067,1.7934095327498858,1.1645161018785866,2660316210753936024,LuxuryCrazy60fps,16.0,1908.719970703125,2693.659912109375,22.010000228881836,-5953.3001708984375,12333.199462890625,2990.4000854492188,-5.199999809265137,11.59999966621399,908.7999725341797,255.0,188.0,False,0.01672874293734844,2.0218279934071677,0.000166636035830626,True,5,4,False,135.7109592781272,True,,76561198016631766,Fatum,7.0,926.260009765625,-3679.739990234375,17.010000228881836,2475.0999450683594,8613.499755859375,2.0999999344348907,-0.09999999776482582,-0.9000000357627869,-23.80000114440918,255.0,128.0,False,0.009530477794596688,1.2871362641433475,8.803564917631141e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,26,375.8500061035156,4729.72021484375,17.049999237060547,4139.2999267578125,6398.599853515625,3.3000001311302185,0.0,0.0,-2291.9000244140625,0.0,255.0,False,0.016893696991716334,-2.3696691932744907,-9.754643998738624e-07,True,4,False,255.0,False,4,,games5425898691,bf81d8692db,19.0,3380.14990234375,850.8699951171875,16.989999771118164,13375.400390625,10536.600341796875,2.5,-0.29999999329447746,0.0,1751.3999938964844,255.0,239.0,0.009574109878099753,0.7263055986369186,3.122147471373136e-05,True,4,False,6,167.12298480926023,True,,
6,463,10.0,True,True,0,2654.1182777690046,1322.719970703125,3683.419921875,316.1499938964844,-11840.30029296875,22171.39892578125,3515.2999877929688,5119.700012207031,792.3000335693359,-2284.7000122070312,0.0,-1.1547528045481186,1.2636573111668852,0.39739254383376266,2660316210753936024,LuxuryCrazy60fps,16.0,1484.2900390625,3416.090087890625,212.14999389648438,-12284.000244140625,19215.699462890625,2976.0000610351562,-1786.6999816894531,-1596.9999694824219,39.20000076293945,255.0,60.0,False,-0.3384641222241817,2.767485878929248,-0.21969107896415455,True,6,5,False,86.08487741665175,True,,76561198016631766,Fatum,7.0,927.3499755859375,-3083.610107421875,17.010000228881836,-978.0000305175781,11706.700439453125,2.0999999344348907,0.0,0.7999999821186066,1.4000000059604645,255.0,128.0,False,0.009555840106732967,1.6544383099672053,-7.357117329679334e-05,True,255.0,False,False,False,False,,enpitsu,76561198039309853,26,760.4199829101562,4902.35009765625,17.049999237060547,3102.2000122070312,405.09998321533203,2.7000001072883606,0.7000000029802322,-2.8999999165534973,0.0,0.0,255.0,False,0.016491979414061355,-3.0122542138939563,3.5437369825898434e-05,True,5,False,245.6829332792631,True,4,,games5425898691,bf81d8692db,19.0,3786.25,1833.469970703125,16.989999771118164,108.69999885559082,21430.80078125,2.199999988079071,0.0,0.5999999865889549,241.39999389648438,255.0,128.0,0.009592176883534859,1.5911924540060314,-0.0001463304517564568,True,4,False,6,117.49690294778475,True,,
7,737,11.0,False,False,0,5203.357771504179,-4.110000133514404,13.649999618530273,93.5,-5893.599853515625,27017.2998046875,2873.0999755859375,1422.8999328613281,307.5,2158.2000732421875,0.0,0.002466449939113209,0.01800687931164893,0.011885923667151794,76561198016631766,Fatum,7.0,35.869998931884766,-215.99000549316406,37.47999954223633,696.3999938964844,22925.6005859375,-1711.199951171875,474.50000762939453,-4021.9000244140625,513.4000015258789,255.0,255.0,True,-0.07988062383032239,1.9882333404889536,-0.31502716205883036,True,4,4,False,5.213729186724592,True,,2660316210753936024,LuxuryCrazy60fps,15.0,3156.64990234375,-3967.93994140625,16.979999542236328,15683.399658203125,13924.300537109375,12.999999523162842,4.699999988079071,-2.7000001072883606,2015.0999450683594,255.0,255.0,,0.017041979339940113,0.7968295741740803,-9.054923902264795e-05,True,241.0,False,4,4,False,,enpitsu,76561198039309853,26,4.159999847412109,642.3699951171875,81.5999984741211,995.2999877929688,-22841.39892578125,2493.2000732421875,5262.80029296875,298.1999969482422,60.300002098083496,255.0,0.0,,0.20750563501695737,-1.511873206119434,0.00038176451310690054,True,2,False,31.0,False,1,,games5425898691,bf81d8692db,19.0,0.0,5039.8701171875,17.010000228881836,0.0,-3033.900146484375,2.0999999344348907,0.7999999821186066,0.0,0.0,255.0,,0.009391819022345399,-1.5707878295104034,3.9981008938747724e-08,True,False,False,False,116.0,False,,
8,739,11.0,False,False,1,5453.796169121826,76.93000030517578,-251.94000244140625,128.80999755859375,21331.4990234375,7449.6002197265625,9107.80029296875,3385.4998779296875,39.80000019073486,-4953.299865722656,1.0,-0.02852885285282789,-0.06005862825557636,0.03961026486201414,76561198039309853,enpitsu,26.0,-12.460000038146973,-451.79998779296875,99.79000091552734,-997.6999664306641,22889.3994140625,1925.8999633789062,-5480.5999755859375,-423.1999969482422,-181.5999984741211,255.0,0.0,,-0.8083905722099359,1.528330836166208,-0.009729270770534058,True,2,1,False,31.0,False,,bf81d8692db,games5425898691,19.0,-0.0,-5009.7900390625,17.010000228881836,-0.0,4066.4999389648438,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,,,-0.009407078266615514,1.5707879012257133,3.964947833289374e-08,True,116.0,False,False,False,False,,Fatum,76561198016631766,7,-40.2400016784668,73.02999877929688,27.8799991607666,-597.9000091552734,-20717.099609375,-484.70001220703125,579.5999908447266,-2260.399932861328,-578.3000183105469,255.0,255.0,True,0.16790138420025846,-1.9729739766068548,-0.4345810562306686,True,4,False,0.0,True,4,,LuxuryCrazy60fps,2660316210753936024,15.0,-3275.25,3841.8701171875,17.049999237060547,-12978.499755859375,-16057.7001953125,4.099999964237213,-1.1999999731779099,0.19999999552965164,2046.6999816894531,255.0,255.0,-0.016836902393105587,-0.9663636829016323,-3.0616496172264834e-05,True,4,False,4,241.0,False,,
9,830,14.0,False,False,0,7158.461993549467,-2484.10009765625,-1840.0799560546875,256.5199890136719,569.5000076293945,16496.600341796875,3944.8001098632812,536.1999893188477,1449.4999694824219,-5797.5,0.0,0.8729124143043502,-0.1490293886419015,2.270064201157831,2660316210753936024,LuxuryCrazy60fps,15.0,-2417.590087890625,-2041.6800537109375,181.13999938964844,-21232.60009765625,8522.5,2354.199981689453,-3364.5001220703125,1761.0000610351562,3978.3999633789062,255.0,59.0,True,-0.3825865775855613,2.815071091487793,1.8120794823553428,True,6,5,False,199.60039571536487,True,,76561198016631766,Fatum,7.0,-3781.320068359375,-245.2899932861328,17.010000228881836,-9632.60009765625,-14251.300048828125,2.199999988079071,0.0,0.19999999552965164,1931.4999389648438,255.0,255.0,False,0.009584130990405148,-2.101476667758317,3.6175019677841217e-05,True,247.0,False,6,6,False,,enpitsu,76561198039309853,26,-982.3200073242188,99.83999633789062,17.049999237060547,-11781.400146484375,-3964.1000366210938,3.6000001430511475,-1.0999999940395355,-0.09999999776482582,-2798.2998657226562,255.0,0.0,False,0.016742053359966643,-2.9332337306445195,-7.746473903450997e-05,True,2,False,61.0,False,2,,games5425898691,bf81d8692db,19.0,-2001.8399658203125,109.18000030517578,16.989999771118164,6200.10009765625,-22063.20068359375,4.699999988079071,0.0,-0.09999999776482582,-1465.5999755859375,255.0,0.0,0.009590554839501731,-1.3251768193929951,-0.00022301064739793696,True,4,False,4,68.0,False,,
