,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,173,0,False,False,0,5230.74132972478,46.81999969482422,-5.070000171661377,116.73999786376953,6714.6002197265625,2857.2000122070312,-328.10001373291016,1286.0000610351562,-769.1999816894531,-3208.900146484375,0.0,-0.012486156506998903,-0.4161498089469484,0.22730710234534005,bf81d8692db,games5425898691,18.0,16.639999389648438,-136.24000549316406,99.37999725341797,582.0000076293945,1044.1000366210938,212.5,-3222.60009765625,-191.49999618530273,-4452.799987792969,255.0,106.0,1.4678680679258966,-3.0841771513126828,1.6743215514942726,True,4,0.0,False,3,False,,76561198039309853,enpitsu,31.0,-3089.719970703125,-4160.91015625,17.049999237060547,-1714.6000671386719,-3113.3999633789062,2.5,0.5000000074505806,-0.09999999776482582,0.0,255.0,128.0,,0.01630435759119011,1.067403708625222,-9.603695720859848e-06,True,False,251.67688595351353,True,False,False,,?????,76561198068380175,5.0,-31.0,158.91000366210938,92.56999969482422,10150.2001953125,-20582.099609375,291.299991607666,4975.10009765625,2344.7000122070312,-5.0,255.0,128.0,,1.2661760829290394,-1.1332929247150338,-0.0030247982175219262,True,0.0,False,4,3,False,,FrérotTuEsCringe,b05002d674b,12.0,3326.320068359375,4357.9599609375,17.770000457763672,10868.499755859375,5927.9998779296875,372.2999954223633,1050.5000305175781,-1018.3000183105469,-2992.5,255.0,0.0,False,-0.017268826945997923,0.32940163215230844,0.01804905276987008,True,4,4,255.0,False,False,,
1,223,1,False,False,1,5259.555491645621,-1120.4000244140625,282.32000732421875,98.91999816894531,-2392.4000549316406,14909.300537109375,3661.300048828125,2946.9000244140625,-5173.4002685546875,742.2000122070312,1.0,-0.7995334988834324,3.117151445702841,-2.1115402187583534,76561198068380175,?????,5.0,-1146.31005859375,87.58999633789062,17.049999237060547,-1564.7000122070312,11901.600341796875,-2.0999999344348907,-0.3999999910593033,2.5,-666.9999694824219,255.0,128.0,-0.01671669929905403,1.4860073854264004,0.00034258427875593695,False,4,12.208542021371985,True,4,False,,b05002d674b,FrérotTuEsCringe,12.0,-3185.97998046875,-2374.97998046875,16.989999771118164,6570.9002685546875,14342.60009765625,4.399999976158142,0.09999999776482582,0.09999999776482582,0.0,244.0,128.0,False,-0.009608563832270768,2.0004033657972244,-1.9131140588732137e-05,True,4,205.0,False,4,False,,games5425898691,bf81d8692db,18.0,-549.2999877929688,371.17999267578125,17.010000228881836,-5832.19970703125,7411.300048828125,2.0999999344348907,-1.8000000715255737,2.800000011920929,-725.8999633789062,255.0,128.0,,-0.00953950229318587,0.9491232693649123,0.000163701224545304,True,0.0,False,4,4,False,,enpitsu,76561198039309853,31.0,1309.239990234375,4428.27978515625,17.049999237060547,-12166.400146484375,9233.499755859375,2.5999999046325684,0.5999999865889549,-0.29999999329447746,-100.9000015258789,255.0,128.0,,-0.01679186448796359,0.6605581270863498,8.881428625800347e-05,True,False,False,204.0,False,False,,
2,254,2,False,False,1,3914.5031012786185,-1391.239990234375,1963.22998046875,94.81999969482422,-2601.9000244140625,12319.100341796875,2167.2999572753906,-2730.8999633789062,-4372.200012207031,742.2000122070312,1.0,-0.262689070554298,2.929868618558298,-1.942064011914865,76561198068380175,?????,5.0,-1519.9300537109375,1664.050048828125,17.030000686645508,-4073.3999633789062,13500.400390625,5.099999904632568,-0.0,-0.0,1.5999999642372131,255.0,128.0,-0.01677499291733578,1.2775178629632773,-5.689325595494807e-06,False,4,0.0,False,4,False,,b05002d674b,FrérotTuEsCringe,12.0,-2599.090087890625,-622.5399780273438,16.989999771118164,2931.7001342773438,15354.100341796875,4.600000083446503,-0.0,0.5000000074505806,0.0,239.0,128.0,False,-0.009596215765303734,1.7594466215146976,-6.48750414303767e-05,True,4,205.0,False,4,False,,games5425898691,bf81d8692db,18.0,-1241.3399658203125,1796.2900390625,92.69000244140625,-6957.7001953125,15140.10009765625,-141.00000381469727,-4989.100036621094,-2310.0,-148.29999923706055,255.0,128.0,,1.220692537211869,-1.9304247786809259,-3.062787645249374,True,0.0,False,6,5,False,,enpitsu,76561198039309853,31.0,68.98999786376953,5099.56982421875,17.049999237060547,-2386.1000061035156,-1365.5999755859375,2.5,-0.7000000029802322,0.5999999865889549,636.8999862670898,255.0,0.0,False,-0.016918736322767844,-0.7732383709394557,-0.00016607056027957533,True,False,False,204.0,False,False,,
3,273,3,False,False,0,8335.493415258556,1577.469970703125,-2820.050048828125,95.86000061035156,2813.5000610351562,-10970.699462890625,1143.7000274658203,5024.5001220703125,3221.7001342773438,611.8999862670898,0.0,0.37129371351186735,-1.3243194167887464,1.1031656518102524,bf81d8692db,games5425898691,18.0,1553.800048828125,-2577.169921875,46.439998626708984,3706.400146484375,-9903.300170898438,-350.2000045776367,3979.2999267578125,3790.4000854492188,-218.29999923706055,255.0,129.0,-1.2824413955637903,-0.8052934680990711,0.051485351311993534,True,6,0.0,False,6,False,,76561198039309853,enpitsu,31.0,183.7100067138672,-4997.31982421875,17.049999237060547,3468.900146484375,1002.5,2.5999999046325684,-0.5999999865889549,0.09999999776482582,-3.100000023841858,128.0,128.0,False,0.01682311259037213,0.2806571162303006,4.9909244017834746e-05,True,False,204.0,False,False,False,,?????,76561198068380175,5.0,1794.0,-2570.97998046875,17.030000686645508,4591.9000244140625,-15327.60009765625,1.0000000149011612,-0.19999999552965164,1.0999999940395355,-88.90000343322754,255.0,98.0,,0.016774988298659817,-1.2784051418293412,-1.3131972175697145e-05,False,12.0,False,4,4,False,,FrérotTuEsCringe,b05002d674b,12.0,2411.2099609375,-363.05999755859375,16.989999771118164,-2931.4999389648438,-15354.100341796875,4.600000083446503,0.0,-0.5000000074505806,0.0,230.0,128.0,False,0.009596215765303734,-1.7594466215146976,-6.48750414303767e-05,True,4,4,205.0,False,False,,
4,285,4,False,True,1,3190.286325091285,-1689.260009765625,3270.679931640625,98.76000213623047,7202.19970703125,9607.5,4196.199951171875,-2048.300018310547,-3457.60009765625,-4455.199890136719,1.0,-0.3104789214414112,-2.4018314090175044,-2.038559037219846,76561198068380175,?????,5.0,-1829.8599853515625,3236.60009765625,17.030000686645508,4720.799865722656,14589.000244140625,5.5000001192092896,-0.5999999865889549,0.5999999865889549,-2046.9000244140625,128.0,0.0,-0.016766499118836303,1.948483499774322,-1.9662519614133536e-05,,4,12.0,False,4,False,,b05002d674b,FrérotTuEsCringe,12.0,-2234.830078125,999.6099853515625,16.989999771118164,6224.000244140625,14199.49951171875,4.600000083446503,-0.3999999910593033,-1.1999999731779099,-837.3000335693359,229.0,54.0,,-0.009596903836445828,2.002031122126131,-8.781308318498512e-06,True,4,205.0,False,4,False,,games5425898691,bf81d8692db,18.0,-1705.8599853515625,2989.919921875,16.899999618530273,-474.0999984741211,10875.699462890625,25.69999933242798,12.100000381469727,-11.100000143051147,-2325.5999755859375,255.0,0.0,,-0.010194191585779555,1.5740139418142682,0.0007846974742936047,True,,False,6,6,False,,enpitsu,76561198039309853,31.0,-283.54998779296875,4968.5498046875,17.049999237060547,-1364.7000122070312,-393.3000183105469,2.5999999046325684,0.5999999865889549,-0.09999999776482582,0.0,,,,-0.016823115470949945,-0.28054815266856314,4.8992618078445326e-05,True,False,False,204.0,False,False,,
5,307,4,True,True,1,2317.188167142984,-1130.0400390625,4015.489990234375,233.85000610351562,9157.899780273438,11572.099609375,6537.2998046875,-2928.2000732421875,-3032.0999145507812,-4269.800109863281,1.0,-1.111396306334538,1.9450261012989731,-1.1458941230474455,76561198068380175,?????,5.0,-1171.9000244140625,3970.219970703125,110.75,9350.499877929688,5594.6002197265625,4619.100036621094,-2687.6998901367188,1449.1999816894531,-462.09999084472656,128.0,128.0,-0.056339557741145116,2.7988516041153035,-0.032111638282062344,,6,12.0,False,4,4,,b05002d674b,FrérotTuEsCringe,12.0,-1429.9000244140625,2014.0799560546875,16.989999771118164,11694.89990234375,9650.599975585938,4.600000083446503,2.5999999046325684,2.3000000417232513,-794.7000122070312,230.0,126.0,,-0.009580825446208419,2.4947328736510443,1.9501360017682816e-05,True,4,205.0,False,4,False,,games5425898691,bf81d8692db,18.0,-1322.5799560546875,3973.610107421875,116.0199966430664,8789.000244140625,15353.900146484375,1450.8000183105469,-3686.0000610351562,4077.3001098632812,-194.89999771118164,255.0,128.0,,-1.1378661958741514,2.3818009232641675,0.01043847180567192,True,,False,8,7,False,,enpitsu,76561198039309853,31.0,-259.4800109863281,4971.89990234375,17.049999237060547,2598.3999633789062,946.6000366210938,2.5,0.7999999821186066,2.5999999046325684,397.5,128.0,128.0,,-0.016842282468122152,-0.4321106372078889,-0.00010897457764148791,True,1,False,185.29090762907458,True,False,,
6,589,6,False,False,0,5204.159440178196,2.440000057220459,13.979999542236328,93.0999984741211,8111.400146484375,22034.3994140625,208.09999465942383,1672.5999450683594,-266.70000076293945,5755.9002685546875,0.0,-0.005262936723216405,0.08896780396445098,0.025660374856827685,76561198039309853,enpitsu,31.0,-65.16000366210938,-138.02000427246094,127.87999725341797,10544.000244140625,20404.89990234375,83.50000381469727,-5085.7000732421875,-610.9000015258789,2003.0000305175781,255.0,255.0,1.0972491569611884,0.2790161013145132,-1.410166373253387,True,2,0.0,False,1,False,,bf81d8692db,games5425898691,18.0,2241.6298828125,-3817.080078125,17.010000228881836,18310.699462890625,-9961.799926757812,1.899999976158142,-0.5000000074505806,0.29999999329447746,-2.5,255.0,128.0,,0.00959509201852834,-0.49862414339516464,5.6554233760143926e-05,True,False,0.0,False,False,False,,?????,76561198068380175,5.0,94.5199966430664,237.41000366210938,76.95999908447266,-9739.500122070312,-20743.701171875,1911.0000610351562,5412.9998779296875,-921.3999938964844,316.5999984741211,255.0,198.0,,0.6857128074388317,-1.9898883423654963,-0.148842456926701,True,0.0,False,4,3,False,,FrérotTuEsCringe,b05002d674b,12.0,0.0,2501.52001953125,16.8700008392334,-0.3999999910593033,-14235.6005859375,35.999999046325684,-24.40000057220459,0.0,0.0,128.0,128.0,,0.01105504824596325,-1.5708573640579955,-3.37356157238724e-07,True,4,4,104.0,False,False,,
7,590,6,False,False,1,5236.0251610259265,23.799999237060547,-22.8700008392334,113.63999938964844,6731.199951171875,3234.7000122070312,1591.300048828125,2122.100067138672,-1714.4000244140625,778.0000305175781,1.0,-0.25289457482684524,-0.4664136267680507,-0.23274606476080573,76561198068380175,?????,5.0,-30.459999084472656,-129.91000366210938,77.23999786376953,2791.7999267578125,-1619.1999816894531,-575.9999847412109,-555.0,4107.39990234375,-3615.2999877929688,255.0,199.0,-1.426546736066493,2.4629730402522405,-0.3497821690997254,True,4,0.0,False,3,False,,b05002d674b,FrérotTuEsCringe,12.0,-0.0,-2501.52001953125,16.8700008392334,0.3999999910593033,14235.6005859375,35.999999046325684,24.40000057220459,-0.0,0.0,128.0,128.0,,-0.01105504824596325,1.5708573640579955,-3.37356157238724e-07,True,4,104.0,False,4,False,,games5425898691,bf81d8692db,18.0,-2241.6298828125,3817.080078125,17.010000228881836,-18310.699462890625,9961.799926757812,1.899999976158142,0.5000000074505806,-0.29999999329447746,-2.5,255.0,128.0,,-0.00959509201852834,0.49862414339516464,5.6554233760143926e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,31.0,65.16000366210938,138.02000427246094,127.87999725341797,-10544.000244140625,-20404.89990234375,83.50000381469727,5085.7000732421875,610.9000015258789,2003.0000305175781,255.0,255.0,,-1.0972491569611884,-0.2790161013145132,-1.410166373253387,True,2,1,0.0,False,False,,
8,641,7,False,False,1,5081.745177244367,825.0599975585938,58.75,93.1500015258789,3504.5001220703125,261.200008392334,0.0,-286.299991607666,3840.5999755859375,298.799991607666,1.0,-0.05587210817235133,-3.0163313147271014,2.302488597395603,76561198068380175,?????,5.0,697.8599853515625,-67.55000305175781,17.049999237060547,8267.19970703125,4386.400146484375,3.100000023841858,-0.3999999910593033,-0.0,-1507.2000122070312,255.0,15.0,-0.01666629412216628,2.647254934974764,-0.00022909735807081033,True,4,0.0,False,4,False,,b05002d674b,FrérotTuEsCringe,12.0,924.47998046875,-214.1199951171875,17.010000228881836,1703.3999633789062,9665.0,2.3999999463558197,-0.09999999776482582,-1.2999999523162842,2119.499969482422,230.0,238.0,,-0.009554788230780296,1.7056601608423096,5.822984851222601e-05,False,4,69.89062372330696,True,4,False,,games5425898691,bf81d8692db,18.0,-3160.949951171875,2377.110107421875,17.0,18175.2001953125,-3028.900146484375,1.2999999523162842,-0.19999999552965164,-0.0,1973.0999755859375,255.0,255.0,,-0.0095883112356359,-3.046515447248564,3.532530716131074e-05,True,211.14664945551147,True,False,False,False,,enpitsu,76561198039309853,31.0,-752.5499877929688,307.95001220703125,17.020000457763672,-70.0,4340.7000732421875,11.59999966621399,-0.7999999821186066,-0.09999999776482582,-22.200000286102295,255.0,0.0,,-0.016517819486146747,1.5662611338772217,2.2197510211470147e-05,True,2,2,0.0,False,False,,False
9,645,8,False,False,1,5002.470055432596,949.8699951171875,137.82000732421875,117.54000091552734,9276.599731445312,15156.400146484375,5585.999755859375,3679.7000122070312,1480.2000427246094,238.29999923706055,1.0,-0.10759804354812884,3.0545127588326513,2.5178176691183105,b05002d674b,FrérotTuEsCringe,12.0,929.5700073242188,-28.739999771118164,17.010000228881836,9707.60009765625,14055.50048828125,1852.8999328613281,-59.49999809265137,705.1999664306641,838.6000061035156,255.0,99.0,-0.009239142407990262,1.4281730622084536,0.006220751559282119,False,4,87.5672602115139,True,4,False,17.0,76561198068380175,?????,5.0,812.7899780273438,-5.619999885559082,20.59000015258789,4564.4000244140625,9948.699951171875,2176.999969482422,10.59999942779541,-272.60000228881836,-5139.0997314453125,255.0,0.0,False,-0.004347004628175237,2.9645779108883175,-0.004981520576542191,True,4,0.0,False,4,False,,games5425898691,bf81d8692db,18.0,-2829.830078125,2382.639892578125,17.0,19232.7001953125,3483.5000610351562,1.2999999523162842,-0.19999999552965164,-0.0,1992.7000427246094,255.0,255.0,,-0.009573429655403276,2.8895624749657287,2.1915201733987973e-05,True,198.5678621133169,True,False,False,False,,enpitsu,76561198039309853,31.0,-752.1500244140625,385.8599853515625,17.049999237060547,383.80001068115234,5835.9002685546875,3.6000001430511475,-0.9000000357627869,-5.699999928474426,-961.6000366210938,255.0,0.0,,-0.016577913294187292,1.588655777340031,-0.00019382398531146534,True,2,2,0.0,False,False,,
