,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,177,0.0,False,1,5197.365752428398,0.17000000178813934,20.420000076293945,99.05000305175781,-763.0000305175781,29422.60009765625,8035.8001708984375,720.5999755859375,-5.799999833106995,-0.09999999776482582,1.0,-5.9358688728865724e-05,-5.216612999087762e-06,-0.006004417197887885,bf81d8692db,games5425898691,24.0,6.46999979019165,-225.77999877929688,19.479999542236328,179.3000030517578,21954.3994140625,2958.699951171875,-0.0,-0.3999999910593033,0.0,255.0,128.0,,-0.009598077617407,1.5789657013793563,4.4719171181238967e-05,True,3,False,False,11.0,False,,76561198039309853,enpitsu,27.0,-2928.56005859375,-4084.510009765625,17.049999237060547,-14381.099853515625,-2990.0,3.1999999284744263,1.5999999642372131,0.19999999552965164,-1534.7000122070312,255.0,0.0,False,-0.01676349757761644,-0.19583064859429916,-0.00029941421690628955,True,255.0,False,False,False,False,,DevlLCrowns,b354952201a640039bb37f5232cc3bd4,7.0,-256.0,3840.0,17.010000228881836,-0.0,-0.0,2.0999999344348907,0.5999999865889549,-0.0,0.0,,,,-0.009544408615608195,-1.570788551888575,-3.701008606201032e-08,True,False,False,False,85.0,False,,Necrotixc,fe7d83eb2d5d42f79249957bd9305910,7.0,2961.360107421875,4188.31982421875,17.010000228881836,14943.699951171875,-6131.199951171875,3.0000001192092896,0.7999999821186066,-0.29999999329447746,-3370.4000854492188,128.0,0.0,False,-0.00961930209321047,-2.415436815532548,-9.384182288820301e-05,False,False,False,True,255.0,False,40.0
1,668,8.0,False,0,6822.741699715598,491.010009765625,-1540.27001953125,134.24000549316406,-1193.499984741211,26528.5009765625,5775.2001953125,3816.099853515625,-4433.0999755859375,1335.5999755859375,0.0,0.3691545561977549,2.0155453670041465,-1.7890082074896632,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,6.0,460.5,-1790.9000244140625,16.989999771118164,471.89998626708984,22995.10009765625,2.3000000417232513,0.0,0.3999999910593033,-1567.1000671386719,255.0,0.0,,0.009595992015050701,1.5149640576832573,-0.00019926231300446153,True,False,False,False,88.98585806610767,True,,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,888.6900024414062,-2218.93994140625,16.989999771118164,-10528.199462890625,15258.00048828125,4.4999998807907104,0.0,0.19999999552965164,-1068.499984741211,255.0,76.0,,0.009619843539613463,2.142038482760504,-2.17927610054221e-05,True,206.0,False,6,6,False,,enpitsu,76561198039309853,27.0,252.5399932861328,65.12999725341797,54.65999984741211,-5526.5997314453125,12574.89990234375,3307.39990234375,-670.8999633789062,-277.60000228881836,-62.800002098083496,0.0,255.0,,-0.007361424815692881,-1.1826050610835501,0.0005045936827008128,True,3,False,4,31.0,False,,games5425898691,bf81d8692db,24.0,-1901.8499755859375,-2352.43994140625,17.0,5714.2999267578125,19859.7998046875,0.9000000357627869,0.0,-0.5000000074505806,-405.9000015258789,255.0,101.0,,0.009599588412090796,1.280656166888777,8.308380924482146e-07,False,False,False,True,203.89555264288379,True,11.0
2,1949,46.0,True,0,1815.8465912575189,333.70001220703125,3803.909912109375,100.72000122070312,-1238.3000183105469,24466.4990234375,7226.400146484375,1712.7999877929688,-2313.000030517578,141.8000030517578,0.0,-0.30217201784496517,-1.1873549840586277,-0.5722265702492271,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,6.0,333.5400085449219,3621.39990234375,46.150001525878906,215.20000457763672,17792.7001953125,3460.5999755859375,-68.60000133514404,5.699999928474426,-1607.1000671386719,216.0,248.0,False,0.010436285167655036,1.4349029730079912,-0.0003660890208540044,True,17,10,False,107.0,False,,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,503.9100036621094,4744.64013671875,170.92999267578125,-12312.5,-2130.5999755859375,-881.6999816894531,1420.0,1201.6000366210938,1663.5000610351562,255.0,128.0,,-0.3734758279462995,2.6278507546757006,-0.03551351130413718,True,79.0,False,16,10,6,,enpitsu,76561198039309853,27.0,222.75,5445.39013671875,20.229999542236328,-5565.7000732421875,9545.2001953125,417.59998321533203,-37.200000286102295,-101.80000305175781,2326.3999938964844,128.0,255.0,False,-0.02015855119670261,2.1677051072332834,-0.023763936771805202,True,4,False,4,114.0,False,,games5425898691,bf81d8692db,24.0,526.25,4303.68994140625,85.83000183105469,-3718.5000610351562,-11794.89990234375,-312.5,1904.4999694824219,-855.2999877929688,610.2000045776367,255.0,0.0,,-0.17621320850370217,-1.7907493161341694,0.38847028358024344,12,False,12,True,148.81132916481266,True,
3,2218,46.0,False,0,5138.802578301165,-13.050000190734863,77.62000274658203,96.19000244140625,-3684.5001220703125,26297.60009765625,1217.2000122070312,-2337.7999877929688,-486.50001525878906,-5504.2999267578125,0.0,-0.025240961568847906,-0.19463435524275566,-0.0808518232135517,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,6.0,-18.790000915527344,-126.94999694824219,77.55000305175781,-12026.800537109375,15027.900390625,3110.7998657226562,4276.099853515625,423.80001068115234,-3142.7999877929688,175.0,0.0,,-0.08918385986569152,2.0777693789476435,-0.07237953846866747,True,6,4,False,0.0,False,,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,-3042.68994140625,-4111.009765625,17.010000228881836,-3543.599853515625,-5919.7998046875,2.0000000298023224,0.5000000074505806,-0.29999999329447746,0.0,255.0,128.0,,0.009308523575390424,1.0314099089490498,-5.82113376151022e-07,True,255.0,False,False,False,False,,enpitsu,76561198039309853,27.0,3283.6298828125,4313.2998046875,30.889999389648438,7758.4002685546875,11163.499755859375,-2832.9000854492188,-2276.0000610351562,1580.0,-1.5000000596046448,255.0,128.0,,0.21064765517756792,-2.178061903155287,5.78997323206988e-05,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,24.0,-126.06999969482422,471.25,55.41999816894531,2966.7999267578125,-22628.40087890625,2801.199951171875,2586.9000244140625,-93.59999656677246,-1395.7000732421875,128.0,128.0,,0.05578425313712283,-1.5837262785295696,0.007752648235766385,4,False,3,True,0.0,False,
4,2537,58.0,True,1,696.44660477762,350.25,4707.33984375,122.47000122070312,-3749.5001220703125,20310.50048828125,1883.3999633789062,1107.9000091552734,4420.4998779296875,-3902.6998901367188,1.0,-0.0037740443232383886,0.963324881687661,2.7385960578564803,76561198039309853,enpitsu,27.0,444.5299987792969,4442.72998046875,92.91000366210938,869.4999694824219,14172.099609375,3168.0999755859375,-3029.8001098632812,-1052.300033569336,4235.400085449219,255.0,255.0,,-0.20141696809640067,1.4623317774602191,0.02858028514717218,True,8,7,False,234.0,False,,bf81d8692db,games5425898691,24.0,718.7100219726562,3645.0400390625,17.010000228881836,3074.8001098632812,22772.60009765625,1.899999976158142,-0.0,-0.7000000029802322,-40.900001525878906,255.0,128.0,,-0.009603742501258783,1.7100110045781145,7.992640569174373e-05,True,0.0,False,10,10,False,,DevlLCrowns,b354952201a640039bb37f5232cc3bd4,7.0,-2269.77001953125,5096.080078125,127.0999984741211,-12024.7998046875,-42.60000228881836,-154.399995803833,-102.60000228881836,-30.999999046325684,-13.600000143051147,202.0,128.0,False,0.005304629452682443,0.01989110289753722,-1.344628024446777,True,12,False,12,190.0,False,,Necrotixc,fe7d83eb2d5d42f79249957bd9305910,7.0,-3319.110107421875,2916.280029296875,17.020000457763672,15490.50048828125,17001.199951171875,-2.199999988079071,-1.2999999523162842,-1.5999999642372131,-139.7000026702881,255.0,128.0,,-0.00959247882619425,2.3256504962641196,0.00012021150806976161,6,4,4,True,60.91931210282028,True,
5,3022,66.0,False,0,5829.669948562131,-476.9599914550781,-674.5900268554688,176.1699981689453,1648.0999755859375,23018.20068359375,2114.199981689453,344.3000030517578,-1448.9999389648438,232.29999542236328,0.0,0.5882082898117085,-1.5497894209368472,-0.8261806160812953,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,6.0,-524.0,-736.760009765625,59.290000915527344,1535.3999328613281,22754.7998046875,2976.400146484375,-2132.7000427246094,1015.1000213623047,-1491.199951171875,169.0,90.0,,0.26326187387963146,1.3449433638892965,0.1263761764133814,False,5,4,False,59.45122582168991,True,,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,-1804.8900146484375,-1478.31005859375,17.010000228881836,-6506.5997314453125,12199.000244140625,2.0999999344348907,0.7999999821186066,-1.899999976158142,-280.0,255.0,99.0,,0.00956677251536133,2.0557918927407224,5.5834067112527464e-05,True,225.0,False,8,8,False,,enpitsu,76561198039309853,28.0,1054.4100341796875,1984.510009765625,17.049999237060547,-10392.2998046875,9167.7001953125,2.5999999046325684,-0.5999999865889549,0.09999999776482582,0.0,255.0,128.0,False,0.016723169916198422,2.418719079772611,-5.2825187639690234e-05,True,2,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,-525.489990234375,-1017.2100219726562,16.989999771118164,-6288.800048828125,21421.99951171875,4.699999988079071,0.0,0.29999999329447746,-1901.300048828125,255.0,0.0,,0.009612354668906788,1.787540753526166,-3.628754223031067e-05,4,False,4,True,0.0,False,
6,3028,66.0,False,0,5367.620509924016,-439.1099853515625,-208.13999938964844,210.80999755859375,6501.099853515625,28189.19921875,4652.099914550781,831.6999816894531,-4174.200134277344,2793.3999633789062,0.0,0.6506530269295391,-1.284382609194547,-0.4423496100571772,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,6.0,-477.4200134277344,-281.3500061035156,97.94000244140625,7849.6002197265625,21447.5,498.4000015258789,-4000.5999755859375,1510.5999755859375,-3458.599853515625,178.0,74.0,,0.9402024196955875,0.7596272742762563,-0.08140780416415595,False,6,5,False,40.67530318485796,True,,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,-1886.050048828125,-1287.1400146484375,17.010000228881836,-4092.6998901367188,13259.69970703125,2.3000000417232513,-0.19999999552965164,1.0000000149011612,-2030.0,255.0,30.0,,0.009579118415974135,1.8263874641731623,-0.00013832711396490543,True,225.0,False,8,8,False,,enpitsu,76561198039309853,28.0,870.719970703125,2146.56005859375,17.049999237060547,-10558.499755859375,9314.400024414062,2.5999999046325684,-0.5999999865889549,0.0,0.0,255.0,128.0,False,0.016726984702788772,2.4187190691059723,-4.27322135751302e-05,True,2,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,-572.22998046875,-654.5800170898438,16.989999771118164,-34.100000858306885,21795.0,4.4999998807907104,0.0,2.8999999165534973,-698.7999725341797,255.0,154.0,,0.009592351018390559,1.5091081163027844,0.00016965624805145813,4,False,4,True,0.0,False,
7,3717,92.0,False,1,5231.944391672563,2236.6201171875,82.7300033569336,472.6600036621094,-10807.60009765625,20352.60009765625,6157.9998779296875,3500.7998657226562,-410.49999237060547,-388.80001068115234,1.0,-0.2667532238066839,0.7165339306170858,1.6296085513634053,76561198039309853,enpitsu,27.0,2314.8701171875,-41.970001220703125,299.9599914550781,-10789.300537109375,17898.599853515625,3642.5,429.90001678466797,131.00000381469727,386.89998626708984,255.0,128.0,False,0.7558036404056112,0.32401373552510043,-0.2884359049889118,True,10,9,False,127.0,False,,bf81d8692db,games5425898691,24.0,-2156.06005859375,1090.8900146484375,17.010000228881836,-757.9000091552734,19318.499755859375,2.3000000417232513,-0.0,1.0000000149011612,-1862.2999572753906,255.0,0.0,,-0.009604806814980337,1.5883517384936177,-0.00011483003857205755,True,249.0,False,16,14,False,,DevlLCrowns,b354952201a640039bb37f5232cc3bd4,6.0,-657.02001953125,939.0399780273438,17.020000457763672,3090.2999877929688,22332.60009765625,0.7000000029802322,-0.0,0.29999999329447746,0.0,223.0,128.0,False,-0.009602371507067317,1.7082948026267624,-4.175179677351349e-05,True,18,False,18,170.0,False,,Necrotixc,fe7d83eb2d5d42f79249957bd9305910,7.0,2220.050048828125,453.6400146484375,340.9100036621094,-2850.4000854492188,-13261.300048828125,3789.2001342773438,659.3000030517578,-18.799999952316284,18.300000429153442,255.0,128.0,False,0.7791265382067847,-1.5145341935187984,-0.07608678373726631,18,False,16,True,192.19466655485093,True,
8,4059,104.0,True,0,3054.026022268694,-1968.030029296875,2280.31005859375,205.0800018310547,15732.5,24149.49951171875,527.2999954223633,-18.600000143051147,5120.5999755859375,-2758.599853515625,0.0,-0.03695189619988845,-1.3130353751218546,1.5696673802260632,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,-2039.1700439453125,2086.7099609375,184.0399932861328,15774.69970703125,16498.299560546875,2821.4999389648438,-2206.199951171875,4875.10009765625,1270.999984741211,255.0,116.0,,0.0890657381230693,0.9573721345446782,0.342656303455291,True,22,21,False,28.430993610812795,True,,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,7.0,-3033.260009765625,1344.31005859375,16.979999542236328,10654.200439453125,-4505.899963378906,14.800000190734863,-18.40000033378601,9.200000166893005,2310.7000732421875,175.0,249.0,,0.009513208995262782,-0.3418197699213111,0.0011008532041916447,True,141.0,False,24,22,False,,enpitsu,76561198039309853,27.0,-3331.449951171875,1707.5,17.059999465942383,4381.300048828125,11763.199462890625,2.0999999344348907,-0.19999999552965164,0.0,2345.399932861328,255.0,255.0,False,0.016705948657908653,1.277087406551337,4.580131930624628e-06,True,12,False,12,65.0,False,,games5425898691,bf81d8692db,24.0,-885.1799926757812,4656.419921875,17.010000228881836,2289.2999267578125,6442.7001953125,2.0999999344348907,-0.7999999821186066,0.09999999776482582,0.0,0.0,128.0,,0.009760820363163293,-1.9122407051633097,-1.0502109769980188e-05,18,False,16,True,159.0,False,
9,4685,117.0,True,0,5406.210282303914,853.0800170898438,24.549999237060547,151.1300048828125,-182.60000228881836,28731.4990234375,2644.8001098632812,-4815.899963378906,738.7999725341797,-1432.1000671386719,0.0,0.45191982852353657,1.8235445831768513,2.2523416848235773,fe7d83eb2d5d42f79249957bd9305910,Necrotixc,7.0,863.7000122070312,-203.8699951171875,108.77999877929688,1415.2000427246094,22217.80029296875,5776.099853515625,1853.800048828125,-168.4000015258789,-85.10000228881836,243.0,128.0,False,-0.25245220369106414,1.4670015079411762,0.0026639699190463308,True,4,False,3,7.25146683313514,True,,b354952201a640039bb37f5232cc3bd4,DevlLCrowns,8.0,-103.6500015258789,-1756.0999755859375,17.010000228881836,-3938.599853515625,9115.700073242188,2.3999999463558197,-0.5000000074505806,1.0999999940395355,-2332.4000549316406,255.0,3.0,False,0.009537938665519744,1.9414898469755622,-0.000113430671343038,True,242.0,False,12,12,False,,enpitsu,76561198039309853,27.0,3719.510009765625,1121.5400390625,17.030000686645508,-3763.2998657226562,22423.60107421875,5.099999904632568,0.0,0.19999999552965164,27.699999809265137,255.0,128.0,,0.016785926765515807,1.7400044285272167,-2.3653423876656945e-05,True,2,False,4,156.0,False,,games5425898691,bf81d8692db,24.0,1003.0,587.8200073242188,165.1300048828125,-1603.0000305175781,136.5999984741211,3316.300048828125,-142.39999771118164,-1543.6000061035156,335.9000015258789,255.0,114.0,,-0.5549923018925835,0.04239412244646289,-0.0320121166911539,6,False,4,True,213.89184525705156,True,
