,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,169,0,False,False,1,5199.982571135272,6.559999942779541,16.649999618530273,90.8499984741211,5208.0999755859375,24584.09912109375,-1261.8000030517578,-4224.5001220703125,532.9000091552734,954.0000152587891,1.0,0.004579295717520024,-0.007878004040622921,0.035196152475020476,5390056680315292618,TFB_Xotik,9.0,10.579999923706055,-109.27999877929688,92.33000183105469,12213.699951171875,15950.50048828125,2097.2000122070312,-468.69998931884766,1956.6999816894531,5118.699951171875,255.0,128.0,,-1.2416097424739063,-1.8826818896181736,-2.649355855109252,True,4,3,False,0.0,False,,3050927307804883347,TFB_Zenst,8.0,-0.0,-1736.949951171875,58.15999984741211,-0.0,18135.0,-2706.199951171875,-1633.800048828125,-0.0,0.0,255.0,,,0.0320907295921724,1.5707181770711123,6.377110187149309e-06,True,90.0,False,4,4,False,,enpitsu,76561198039309853,24.0,-0.0,2152.469970703125,17.049999237060547,-0.19999999552965164,-13300.799560546875,2.8999999165534973,-0.7000000029802322,-0.0,0.0,255.0,255.0,,-0.01679255404775989,-1.5707447270582853,-4.924762413541953e-07,True,2,False,2,114.0,False,,games5425898691,bf81d8692db,19.0,55.79999923706055,578.1699829101562,64.37000274658203,1473.8999938964844,-22111.8994140625,2969.1000366210938,2621.7001342773438,2200.0,1257.5,128.0,179.0,,-0.08317951443795278,-1.6725813423911626,-0.0696063836829521,True,31.0,False,4,False,3,
1,171,0,False,True,0,5353.083395272082,-41.97999954223633,-144.52000427246094,103.4000015258789,554.0999984741211,26074.49951171875,6421.5997314453125,5951.199951171875,-761.2999725341797,-54.699997901916504,0.0,-0.09961901354490584,0.04159744434644198,0.5404076368625103,bf81d8692db,games5425898691,19.0,-68.0999984741211,-393.8699951171875,86.62000274658203,-1473.8999938964844,22111.8994140625,2427.100067138672,-4470.5999755859375,-3202.2000122070312,-94.60000038146973,128.0,166.0,,0.5900263140504881,1.596025285926639,-0.3938120472324222,True,4,3,False,31.0,False,,76561198039309853,enpitsu,24.0,0.0,-2040.77001953125,17.049999237060547,0.19999999552965164,13486.500244140625,2.8999999165534973,0.5000000074505806,0.0,0.0,255.0,255.0,,0.01679255404775989,1.5707447270582853,-4.924762413541953e-07,True,114.0,False,2,2,False,,TFB_Xotik,5390056680315292618,9.0,-112.26000213623047,-22.979999542236328,107.26000213623047,-12218.00048828125,-15924.7998046875,1506.4999389648438,5282.60009765625,-641.3999938964844,1390.0,255.0,128.0,,0.8052891551784762,1.7031333306174483,3.13653096808238,True,4,False,3,0.0,False,,TFB_Zenst,3050927307804883347,8.0,0.0,1585.5699462890625,33.11000061035156,0.0,-18190.0,-3248.800048828125,1281.4999389648438,0.0,0.0,255.0,,,0.08733878128204962,-1.570718852518086,1.1019362915371216e-05,True,90.0,False,4,False,4,
2,303,4,False,False,0,4638.54179671903,3658.9599609375,4263.41015625,379.8999938964844,-16494.200439453125,8426.199951171875,-1965.2999877929688,2439.2999267578125,5135.8001708984375,1916.3999938964844,0.0,0.21345405055613562,-2.3646341939513995,0.4880209424488641,76561198039309853,enpitsu,24.0,3823.889892578125,4220.60009765625,326.5199890136719,-11198.699951171875,11490.0,-8883.099975585938,-1676.3999938964844,-1143.7000274658203,1112.7999877929688,255.0,255.0,,0.5155003347097326,2.3515743534766465,-1.5769944166878018,True,2,2,False,15.0,False,,bf81d8692db,games5425898691,19.0,3601.780029296875,-1190.4599609375,93.22000122070312,-6503.900146484375,-18091.800537109375,2120.500030517578,5290.8001708984375,-1500.2999877929688,75.50000190734863,255.0,128.0,,0.9993816043916414,-1.8412309429646774,0.011498413713388871,,,False,7,8,False,,TFB_Xotik,5390056680315292618,9.0,-1969.449951171875,2822.860107421875,50.40999984741211,13571.600341796875,17914.599609375,-2215.7000732421875,-508.80001068115234,1453.9999389648438,-515.4000091552734,255.0,128.0,,-0.19242684110386954,0.9621751410788922,-0.49739939575182807,True,6,False,6,214.0,False,,TFB_Zenst,3050927307804883347,7.0,565.5999755859375,4887.10009765625,17.049999237060547,14113.399658203125,3335.4000854492188,2.800000011920929,-1.2999999523162842,0.0,-89.79999542236328,155.0,123.0,,0.01675982051108913,0.22548775204946414,0.00010050856313535751,True,119.0,False,6,False,6,
3,331,5,False,False,1,10604.249484140966,-2159.360107421875,-5014.5498046875,181.64999389648438,-21528.9990234375,-623.4999847412109,4450.4998779296875,1593.699951171875,1155.0,-3009.4000244140625,1.0,0.17682633331635383,1.1519084514669462,-2.514640135436595,3050927307804883347,TFB_Zenst,7.0,-2003.300048828125,-4977.31005859375,148.8800048828125,-11476.199951171875,3168.5000610351562,3776.300048828125,855.6999969482422,2938.2000732421875,4569.89990234375,255.0,128.0,,0.10522762780226207,-0.09485542076269862,0.5988188008596692,True,8,6,3,119.0,False,,5390056680315292618,TFB_Xotik,9.0,701.469970703125,-4473.64013671875,17.049999237060547,-12250.999755859375,-9553.800048828125,3.0000001192092896,1.5999999642372131,4.300000071525574,-767.6999664306641,128.0,64.0,,-0.01699862707098431,-0.6439297056045628,3.435124798678164e-05,True,214.0,False,6,6,False,,enpitsu,76561198039309853,24.0,-2441.360107421875,-4302.77978515625,17.049999237060547,13626.300048828125,-6772.19970703125,3.3000001311302185,0.09999999776482582,0.09999999776482582,-2100.8999633789062,255.0,255.0,False,-0.01676040509629211,-2.611683160701412,-1.4239718339914074e-05,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,19.0,-2967.02001953125,3023.260009765625,15.699999809265137,2294.1000366210938,18190.999755859375,-661.6000366210938,-1552.7999877929688,783.4999847412109,111.70000076293945,255.0,255.0,,-0.010361066769197047,1.6473591173993332,-0.0037791802964118764,,,False,8,False,8,
4,407,8,False,False,1,8874.118938803538,-3738.070068359375,-2428.050048828125,93.1500015258789,2052.2000122070312,8121.5997314453125,0.0,-5250.4998779296875,1326.1000061035156,2583.2000732421875,1.0,-0.46739447844535287,-0.24536077087136343,-1.2142350637876786,5390056680315292618,TFB_Xotik,9.0,-3525.6201171875,-2582.5,17.049999237060547,-15852.900390625,16663.800048828125,-0.7000000029802322,0.29999999329447746,-0.09999999776482582,-107.10000038146973,255.0,127.0,,-0.016791881297964432,0.8191600673300815,5.586942424097273e-05,True,6,6,False,180.7363614548919,True,26.0,3050927307804883347,TFB_Zenst,7.0,-4074.97998046875,-3681.06005859375,570.1099853515625,-1342.1000671386719,15363.699951171875,-3124.4000244140625,24.700000286102295,-247.29999542236328,-1632.2999572753906,255.0,128.0,False,-0.1796786876496087,1.459098200013537,1.57664411465938,True,12.371492624282872,True,6,8,4,,enpitsu,76561198039309853,24.0,-3410.679931640625,-2399.840087890625,80.05999755859375,-21768.20068359375,6261.300048828125,3992.0999145507812,1.4000000059604645,-0.5000000074505806,-606.8000030517578,128.0,128.0,False,-0.016885114415456003,0.3998473159766105,-0.00036645100435617444,True,4,False,2,131.0,False,,games5425898691,bf81d8692db,19.0,-2474.0400390625,2415.719970703125,17.010000228881836,-19201.8994140625,-10280.50048828125,2.3000000417232513,-1.2999999523162842,-0.5999999865889549,499.00001525878906,255.0,215.0,,-0.009597319176271834,-0.49089066163928285,0.00011831368189899195,True,163.0,False,8,False,8,
5,408,8,False,False,0,5393.869026402512,3747.5,2395.60009765625,91.87000274658203,25953.5009765625,3827.3001098632812,-497.90000915527344,1226.2000274658203,4061.7001342773438,4242.39990234375,0.0,0.38454792093152723,0.5109264404654913,-0.9620204272398066,76561198039309853,enpitsu,24.0,3588.639892578125,2346.409912109375,112.95999908447266,19002.2998046875,-7252.9998779296875,3710.1998901367188,-49.20000076293945,59.099998474121094,-3736.6000366210938,128.0,128.0,False,0.016099889173837596,-0.4746645717843152,0.00012965367144449175,True,4,2,False,131.0,False,,bf81d8692db,games5425898691,19.0,2631.070068359375,-2325.330078125,17.010000228881836,18428.800048828125,11475.899658203125,2.5,-0.3999999910593033,-0.19999999552965164,1573.5000610351562,255.0,255.0,,0.009586171498594354,0.5906401415008434,0.00020394095082558128,True,163.0,False,8,8,False,,TFB_Xotik,5390056680315292618,9.0,3525.6201171875,2582.5,17.049999237060547,15852.900390625,-16663.800048828125,-0.7000000029802322,-0.29999999329447746,0.09999999776482582,-107.10000038146973,255.0,127.0,,0.016791881297964432,-0.8191600673300815,5.586942424097273e-05,True,6,False,6,177.69297200633633,True,,TFB_Zenst,3050927307804883347,7.0,4080.580078125,3548.639892578125,543.3300170898438,185.20000457763672,-16317.099609375,-3267.9000854492188,-35.49999952316284,177.60000228881836,-784.4000244140625,255.0,128.0,False,0.17768324250453024,-1.5550069807196607,1.5715564938405175,True,9.328103175727305,True,8,4,6,
6,515,12,False,False,0,4995.39796035874,3667.919921875,3109.080078125,612.530029296875,-18449.89990234375,17853.299560546875,6155.9002685546875,2383.8999938964844,3565.5999755859375,2611.0000610351562,0.0,-0.7676971416560151,1.3757843322578858,-2.3234849934079547,bf81d8692db,games5425898691,19.0,3811.889892578125,2955.2900390625,446.6000061035156,-6673.2000732421875,17463.599853515625,4145.5999755859375,1053.3000183105469,-4172.900085449219,-3424.5001220703125,255.0,255.0,,-0.682408543275722,1.9211758033962993,-0.8633364048193759,True,10,9,False,173.5128602930294,True,,76561198039309853,enpitsu,24.0,3863.409912109375,848.6199951171875,17.790000915527344,-10452.5,-8006.500244140625,-1233.8999938964844,686.8000030517578,3152.0999145507812,171.10000610351562,255.0,0.0,False,0.08499485388485566,-2.4949599279824763,0.07731580934181759,True,131.0,False,2,4,False,,TFB_Xotik,5390056680315292618,9.0,622.9000244140625,3421.679931640625,17.040000915527344,-10402.7001953125,13637.099609375,8.299999833106995,2.5,-3.8999998569488525,-78.4000015258789,255.0,126.0,False,0.016750700761090705,2.217164040319286,0.000315909970156052,False,8,False,8,202.0,False,,TFB_Zenst,3050927307804883347,8.0,1492.1199951171875,4255.0,17.059999465942383,-562.9999923706055,8667.7001953125,2.5,3.400000035762787,-0.7000000029802322,-1911.4999389648438,128.0,4.0,False,0.017260762393571945,1.602891747937117,-3.589035127920585e-05,True,0.0,False,10,4,8,
7,664,18,False,False,1,6922.780657307307,2032.5899658203125,-1688.8399658203125,101.11000061035156,521.5000152587891,14963.199462890625,1070.4000091552734,-501.50001525878906,2189.4000244140625,3855.10009765625,1.0,-0.2500632570782707,0.08108191557203659,2.6157929640065403,5390056680315292618,TFB_Xotik,9.0,2116.449951171875,-1799.47998046875,16.020000457763672,4388.800048828125,13168.800048828125,17.300000190734863,156.899995803833,50.300002098083496,1286.9999694824219,255.0,251.0,,-0.03048509714765235,1.8595487128484138,-0.006205909372288719,True,10,10,False,172.70141087039823,True,,3050927307804883347,TFB_Zenst,7.0,-140.92999267578125,-3364.739990234375,17.059999465942383,14079.000244140625,-794.4999694824219,1.5999999642372131,-0.0,0.5999999865889549,0.0,255.0,128.0,,-0.016725340201151802,-3.0852235919018303,-1.981523047185906e-06,True,31.0,False,8,10,4,,enpitsu,76561198039309853,24.0,2831.659912109375,-4605.9599609375,17.049999237060547,8545.30029296875,11097.80029296875,3.1999999284744263,0.7000000029802322,4.300000071525574,567.599983215332,255.0,255.0,,-0.016638275862376723,2.232620898896422,0.0002457085304059261,True,6,2,2,0.0,False,,games5425898691,bf81d8692db,20.0,2619.2900390625,-573.1500244140625,16.989999771118164,20589.7998046875,10043.499755859375,4.799999892711639,0.09999999776482582,-0.0,4.900000095367432,255.0,128.0,,-0.009611614914992718,2.687116690730918,-2.004075007335393e-05,True,63.0,False,12,False,12,
8,678,18,False,False,1,6168.741793116359,2054.820068359375,-918.9199829101562,101.0,-4362.799987792969,15479.300537109375,1862.8999328613281,-1686.4999389648438,2307.899932861328,5275.30029296875,1.0,0.683372664515685,-2.3516809125009637,1.7935526831902362,5390056680315292618,TFB_Xotik,9.0,2184.81005859375,-979.0499877929688,16.729999542236328,-2051.0000610351562,18275.50048828125,-135.2999973297119,-402.00000762939453,69.80000019073486,1217.7999877929688,255.0,254.0,,-0.02469885464692325,1.405548571700464,0.0031249831609194913,True,10,10,False,161.84078270389188,True,20.0,3050927307804883347,TFB_Zenst,7.0,574.75,-3400.7900390625,17.059999465942383,14064.300537109375,30.499999523162842,2.0000000298023224,2.199999988079071,0.29999999329447746,1313.3000183105469,255.0,243.0,,-0.01671838384579896,3.138563915260441,0.0002573030512104273,True,31.0,False,8,10,4,,enpitsu,76561198039309853,24.0,3095.800048828125,-3943.389892578125,17.049999237060547,3731.7001342773438,14617.5,-1.5999999642372131,0.09999999776482582,0.7999999821186066,12.5,255.0,128.0,,-0.01679348773949022,1.8191980719460321,-5.1301187646401105e-05,True,6,2,2,229.91411592370721,True,,games5425898691,bf81d8692db,20.0,3557.85009765625,-37.29999923706055,16.989999771118164,17006.99951171875,14856.99951171875,4.900000095367432,1.8000000715255737,1.5000000596046448,1250.199966430664,255.0,255.0,,-0.009608174032370305,2.3829131533423484,-2.0225625229616107e-05,True,255.0,False,12,False,12,
9,717,19,False,False,1,4032.7620472568688,1052.6099853515625,1110.280029296875,136.1199951171875,4603.0999755859375,13046.800537109375,5166.6998291015625,523.4000015258789,-5905.3997802734375,-730.4000091552734,1.0,0.12690354060906764,1.576247349671689,0.24767511933962014,5390056680315292618,TFB_Xotik,9.0,939.0900268554688,1059.97998046875,17.049999237060547,3350.1998901367188,16776.99951171875,2.800000011920929,-0.3999999910593033,-2.0000000298023224,-883.7999725341797,255.0,87.0,,-0.016775053202747393,1.812995953854795,0.0001644360730120014,False,10,10,False,145.0,False,,3050927307804883347,TFB_Zenst,7.0,1355.8599853515625,-1862.8900146484375,17.059999465942383,-1089.3000030517578,14009.89990234375,1.7000000178813934,-0.0,-0.5999999865889549,1333.8999938964844,237.0,187.0,,-0.016766798944956262,1.4632860550192237,7.699595015414387e-05,True,61.0,False,8,10,4,,enpitsu,76561198039309853,24.0,2893.469970703125,-1079.0400390625,75.08000183105469,-10665.50048828125,20310.400390625,1652.2000122070312,-4510.199890136719,-3146.400146484375,85.29999732971191,255.0,128.0,,-0.6026214682364163,0.9513256038528395,0.006097183896607476,True,8,2,3,171.0,False,,games5425898691,bf81d8692db,20.0,2982.639892578125,2837.179931640625,17.010000228881836,-8612.899780273438,20906.0009765625,2.5,-0.3999999910593033,0.7999999821186066,-1875.2000427246094,255.0,0.0,,-0.009582366338120173,1.2454978410105997,-0.0001130048457808784,True,193.0,False,12,False,12,
