,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,172,0,False,True,1,5192.631653800017,-2.190000057220459,25.639999389648438,93.5,-312.2999954223633,31536.99951171875,3200.5999755859375,-907.6000213623047,-119.39999580383301,1428.3000183105469,1.0,-0.0009529537077578101,-0.01191008151293578,0.007574727411136499,bf81d8692db,games5425898691,19.0,6.670000076293945,-253.2100067138672,59.099998474121094,-3342.9000854492188,22608.798828125,2575.7000732421875,-2058.3999633789062,-1362.7999877929688,1421.300048828125,255.0,212.0,,-0.05524931503888162,1.5497038527199611,-0.009553463948830061,True,22.0,False,3,False,4,,76561198039309853,enpitsu,26.0,-40.45000076293945,-3466.239990234375,17.049999237060547,-438.80001068115234,10755.899658203125,2.7000001072883606,-0.5000000074505806,0.29999999329447746,0.0,255.0,0.0,False,-0.016651693072425405,1.5299875411379509,-3.410812837590525e-05,True,116.0,False,False,False,False,,Mano Bailas,76561198321707891,30,-2906.510009765625,3940.159912109375,17.010000228881836,-10759.3994140625,9474.69970703125,2.7000001072883606,-0.5999999865889549,0.3999999910593033,-2963.2000732421875,128.0,0.0,False,-0.009613615812272715,0.9607022059809004,-0.0001244022714306186,True,False,False,False,255.0,False,,MinPi ✘,76561198444516599,22.0,677.5700073242188,1089.9100341796875,17.010000228881836,-11652.099609375,-14570.799560546875,1.899999976158142,-0.0,-0.5999999865889549,2.3000000417232513,128.0,,,-0.009619563683301616,-0.8965966345524893,-4.87354963657849e-05,True,0.0,False,False,False,False,
1,473,1,False,False,1,5244.149791757267,22.440000534057617,-30.8799991607666,98.76000213623047,5886.099853515625,-21515.0,179.89999771118164,5109.200134277344,-2668.699951171875,1665.0999450683594,1.0,-0.19647309181768624,0.05274053096188032,-0.31368313294574274,76561198039309853,enpitsu,26.0,-55.119998931884766,-122.37000274658203,95.87999725341797,9901.500244140625,9415.599975585938,332.40001678466797,-4652.9998779296875,2674.2999267578125,-1202.9000091552734,255.0,128.0,,-1.1789594860191506,2.342753833120228,-0.15642551179670156,True,0.0,False,1,False,2,,bf81d8692db,games5425898691,19.0,-2784.89990234375,-4047.93994140625,17.010000228881836,-16329.300537109375,-1906.300048828125,2.3000000417232513,-0.29999999329447746,-0.0,-1931.3999938964844,128.0,0.0,,-0.009634194921567855,-0.05145638040208048,-4.888846865485881e-05,True,0.0,False,False,False,False,,Mano Bailas,76561198321707891,24,19.030000686645508,113.94999694824219,98.79000091552734,-10540.2001953125,-16568.800048828125,2424.2999267578125,-1958.6000061035156,2435.800018310547,-3943.2998657226562,255.0,255.0,,-0.7497348331200858,0.40127532222782136,-2.0996733344868828,True,4,3,False,0.0,False,,MinPi ✘,76561198444516599,17.0,-15.819999694824219,1921.8299560546875,17.010000228881836,-881.3999938964844,-13670.799560546875,2.0999999344348907,-0.0,-0.7000000029802322,0.0,255.0,128.0,,-0.009562572278777479,-1.5063985238806288,-6.374314793357655e-05,True,116.0,False,False,False,False,
2,551,4,False,False,0,6197.78484237161,-3982.699951171875,-234.4600067138672,541.0700073242188,7439.5001220703125,13035.999755859375,9995.10009765625,-2026.9000244140625,-1910.3999328613281,-4157.60009765625,0.0,0.7921459181860292,2.3127915491182383,0.27786019363803716,76561198444516599,MinPi ✘,17.0,-4082.43994140625,-433.7200012207031,371.30999755859375,569.5000076293945,7334.1998291015625,14800.0,-1728.0000305175781,-435.60001373291016,-145.20000457763672,255.0,0.0,,-1.0877917484503654,1.5380777580635208,1.6322899723001343,True,58.0,False,False,False,False,,76561198321707891,Mano Bailas,24.0,1820.800048828125,1060.31005859375,17.010000228881836,9449.000244140625,-4492.699890136719,2.199999988079071,-0.09999999776482582,0.0,-2892.5,0.0,255.0,True,0.009619059506362208,2.0742893367006423,-6.257996939914503e-05,False,0.0,False,4,False,4,,enpitsu,76561198039309853,26,-3098.300048828125,-112.7699966430664,17.049999237060547,-14263.399658203125,-162.5,3.0000001192092896,-0.5999999865889549,-0.19999999552965164,-1660.8999633789062,255.0,0.0,,0.01675059885987964,3.1373877182544887,-0.00026720336742997597,True,2,2,False,0.0,False,,games5425898691,bf81d8692db,19.0,1574.8800048828125,3395.830078125,17.010000228881836,-7795.999755859375,11728.00048828125,2.0999999344348907,-0.3999999910593033,0.5999999865889549,-314.6999931335449,255.0,128.0,,0.009594122494390471,2.1300827812418026,0.00011978543673989003,True,255.0,False,False,False,False,
3,644,8,False,False,1,9169.74091709054,1571.719970703125,-4004.81005859375,132.4199981689453,-5958.699951171875,-19261.8994140625,-573.3000183105469,4450.4998779296875,3563.5000610351562,-1869.1000366210938,1.0,-0.06745149478070289,2.6091381995666034,-0.1834034568239749,76561198039309853,enpitsu,26.0,1557.010009765625,-3902.659912109375,16.190000534057617,-14278.199462890625,-2934.5999145507812,-1030.6999969482422,5160.30029296875,1870.0,350.99998474121094,128.0,255.0,,-0.008210476367716138,-0.19436374309833448,-0.05522716101250891,True,217.0,False,2,False,2,,bf81d8692db,games5425898691,19.0,348.260009765625,-5041.56005859375,17.010000228881836,2824.7000122070312,2067.100067138672,2.0000000298023224,-0.7000000029802322,0.9000000357627869,0.0,0.0,128.0,,-0.009874567919705047,2.509735081564612,2.0989227845725683e-05,True,255.0,False,False,False,False,,Mano Bailas,76561198321707891,24,-2353.530029296875,-192.19000244140625,17.010000228881836,7127.7001953125,-15760.799560546875,1.5000000596046448,1.7000000178813934,-4.000000059604645,-1157.300033569336,255.0,128.0,False,-0.009591914389757206,-1.9543392048116592,-0.00012726534239742177,True,4,4,False,191.0,False,,MinPi ✘,76561198444516599,17.0,1843.949951171875,-3926.760009765625,252.33999633789062,-8966.900024414062,-13289.69970703125,-9911.099853515625,2183.000030517578,1371.0000610351562,-4436.600036621094,128.0,0.0,False,-0.9589829492862494,-0.45499865220934094,-1.2960747915186899,True,0.0,False,4,False,False,
4,723,10,False,False,1,9714.207926588439,478.69000244140625,-4565.240234375,762.989990234375,-2334.1000366210938,11581.800537109375,1092.6000213623047,501.8000030517578,-4345.199890136719,4106.9000244140625,1.0,0.8300867156273973,2.5943830842843325,-2.256121872405987,bf81d8692db,games5425898691,19.0,470.0799865722656,-4685.02978515625,685.9199829101562,1828.5000610351562,7828.599853515625,4947.900085449219,-1272.6000213623047,3606.4999389648438,-3952.60009765625,255.0,183.0,,0.14935480073906696,2.852616026581883,-0.9049733748458173,True,154.7553119095423,True,3,False,4,,76561198039309853,enpitsu,26.0,-378.3699951171875,-5022.9599609375,123.44000244140625,5064.599914550781,5756.9000244140625,3996.4999389648438,1507.2999572753906,-1140.0,-657.3999786376953,128.0,128.0,False,0.2838783422908885,2.316283581401688,0.009190831103087932,True,160.30869701088113,True,4,False,2,,Mano Bailas,76561198321707891,24,-352.44000244140625,-3647.739990234375,500.2200012207031,14530.400390625,-14415.699462890625,610.0,-594.0999984741211,-410.0,-1001.6999816894531,0.0,128.0,False,0.17640176691412834,-1.9262401543412324,0.09016585893285829,True,6,4,4,106.1458065535433,True,,MinPi ✘,76561198444516599,22.0,1820.27001953125,-4433.7099609375,103.18000030517578,14574.000244140625,4469.200134277344,-166.29999160766602,-1208.7999725341797,5365.3997802734375,-20.69999933242798,255.0,128.0,False,-1.1595895877049058,-0.23026934626942222,-3.1321192237960234,True,0.0,False,6,False,3,
5,813,14,False,False,1,6706.782271782421,-341.8999938964844,-1451.550048828125,123.0,-6771.7999267578125,18158.399658203125,922.5,326.6999816894531,2490.0,1842.7999877929688,1.0,0.3779841928971015,1.0285857939099292,0.9201164544901502,76561198039309853,enpitsu,26.0,-282.3999938964844,-1633.1500244140625,17.030000686645508,-8950.800170898438,14024.89990234375,1.0999999940395355,3.8999998569488525,-6.299999952316284,-936.9999694824219,255.0,128.0,False,-0.016777663930095114,1.0225922289516571,5.7430172015855936e-05,True,68.02148801024241,True,4,False,4,,bf81d8692db,games5425898691,19.0,308.489990234375,-1879.72998046875,70.08000183105469,-13952.2998046875,18283.399658203125,-218.60000610351562,-115.60000419616699,95.69999694824219,42.5,255.0,255.0,,-0.06643956770743713,1.0608856253749634,0.14663887256791677,True,34.90656316408548,True,4,False,4,,Mano Bailas,76561198321707891,24,410.510009765625,-2196.840087890625,17.0,-10631.800537109375,11866.99951171875,5.099999904632568,4.1999998688697815,-6.600000262260437,-1462.5,255.0,0.0,False,-0.00951792035491047,0.8520759301619075,0.00017705978785950035,True,6,4,4,0.0,False,,MinPi ✘,76561198444516599,22.0,2389.989990234375,311.6000061035156,93.0,-9789.199829101562,20719.49951171875,1808.0999755859375,-4812.5,-2662.5,17.300000190734863,255.0,128.0,False,-0.9548874906260236,1.0610160735502592,0.004420253629106657,False,214.0,False,10,False,7,
6,827,14,False,False,1,5918.679959763442,-671.3499755859375,-567.3800048828125,94.33000183105469,-6128.900146484375,16787.5,1238.1999969482422,-2686.400146484375,1008.3999633789062,1842.7999877929688,1.0,1.1619876843559012,1.2172926523102159,2.3804247759509796,76561198039309853,enpitsu,26.0,-583.3099975585938,-784.1699829101562,17.020000457763672,-9472.999877929688,17505.699462890625,2.199999988079071,2.0999999344348907,-4.099999964237213,993.7999725341797,255.0,0.0,False,-0.016771036377258575,1.01340060422989,-0.00012117945367594768,True,24.273393500235763,True,4,False,4,,bf81d8692db,games5425898691,19.0,-448.9700012207031,-949.5399780273438,16.770000457763672,-14831.700439453125,17130.999755859375,50.10000228881836,-34.50000047683716,31.80000066757202,-26.400001049041748,255.0,230.0,,-0.009316872670020173,0.8881414342374881,-0.002706079500555216,True,34.0,False,4,False,4,,Mano Bailas,76561198321707891,24,101.47000122070312,-1479.3699951171875,17.0,-3097.60009765625,15062.60009765625,3.400000035762787,-0.3999999910593033,2.0999999344348907,-370.0,255.0,128.0,False,-0.009593730393889832,1.3936556071660393,4.0047891285445416e-05,True,6,4,4,0.0,False,,MinPi ✘,76561198444516599,22.0,1876.31005859375,1398.9300537109375,90.52999877929688,-9775.499877929688,20694.69970703125,-154.7000026702881,-4810.299987792969,-2666.400146484375,15.0,128.0,128.0,False,1.529920246410649,1.1325519088711853,0.06794478917321405,True,245.0,False,10,False,7,
7,845,15,False,False,1,5013.475850167701,-1057.6800537109375,522.8499755859375,96.29000091552734,1967.2000122070312,16145.899658203125,2105.0999450683594,-2389.499969482422,-1708.6000061035156,-4072.0001220703125,1.0,-0.6587992411946257,0.49095248242642187,-2.0694735199958534,76561198039309853,enpitsu,26.0,-1174.18994140625,473.20001220703125,17.030000686645508,-1625.0999450683594,22485.6005859375,5.699999928474426,-0.0,0.29999999329447746,-2001.300048828125,0.0,0.0,False,-0.01677730861674225,1.5730750972472307,-4.96344115700994e-05,True,22.0,False,4,False,4,,bf81d8692db,games5425898691,19.0,-1431.8800048828125,39.72999954223633,17.010000228881836,-11542.099609375,19894.100341796875,0.0,-0.19999999552965164,-0.0,-1934.1999816894531,255.0,0.0,,-0.009573321901360963,1.1179925778483646,-2.610280934882363e-05,True,5.830984918020103,True,4,False,4,,Mano Bailas,76561198321707891,24,0.6600000262260437,-322.45001220703125,101.2699966430664,-863.0000305175781,20452.5,-125.39999961853027,-5499.6002197265625,-62.800002098083496,-7.5,255.0,128.0,False,-1.5208792798450022,-1.6096503570266747,-3.11412905266553,True,8,5,4,31.0,False,,MinPi ✘,76561198444516599,20.0,1308.719970703125,2683.1201171875,16.770000457763672,-5364.1998291015625,21763.701171875,55.19999980926514,22.200000286102295,25.399999618530273,-901.9999694824219,128.0,255.0,False,-0.011209897804982721,1.3955518558401039,-0.0004933985928935781,True,245.0,False,10,False,8,
8,852,15,False,False,1,4628.686588396598,-1005.489990234375,919.9199829101562,131.13999938964844,4730.4998779296875,11080.999755859375,3283.9999389648438,-2772.3001098632812,-2972.60009765625,-4413.299865722656,1.0,-1.3571606324471772,1.8734853869295314,-2.4044843013209247,76561198039309853,enpitsu,26.0,-1079.97998046875,939.8200073242188,17.020000457763672,8469.400024414062,16130.6005859375,-3.400000035762787,-22.999999523162842,36.19999885559082,-1839.7999572753906,128.0,128.0,False,-0.017370308079658947,2.1523285419186746,-0.0007143688339976474,True,22.0,False,4,False,4,,bf81d8692db,games5425898691,19.0,-1585.719970703125,698.5,17.010000228881836,1299.6000671386719,22350.30029296875,2.199999988079071,-0.0,0.19999999552965164,-1988.699951171875,255.0,0.0,,-0.009581107121974825,1.7085668134466394,-1.864769574470733e-05,True,0.0,False,4,False,4,,Mano Bailas,76561198321707891,24,-19.5,153.7899932861328,97.47000122070312,-860.1999664306641,20346.400146484375,-154.7000026702881,-5498.2000732421875,-57.89999961853027,127.10000038146973,255.0,0.0,False,0.16723031222422352,-1.585262067925883,-3.1405158697031705,True,8,5,4,31.0,False,,MinPi ✘,76561198444516599,20.0,1149.8900146484375,3208.919921875,17.010000228881836,-7708.599853515625,14637.80029296875,2.5,1.899999976158142,0.19999999552965164,1862.5999450683594,128.0,255.0,False,-0.009771165970885808,1.0274812335286805,9.229936737918196e-05,True,245.0,False,10,False,8,
9,872,16,False,False,1,3770.509935044119,-661.4199829101562,1706.1700439453125,206.6199951171875,12648.699951171875,13068.599853515625,7511.199951171875,-3050.0,-4696.199951171875,-2154.499969482422,1.0,-0.22262283881757067,-0.062067670777670704,-2.1050790339548704,bf81d8692db,games5425898691,19.0,-717.010009765625,1674.800048828125,74.70999908447266,5118.999938964844,5190.5999755859375,2942.7999877929688,-2607.2000122070312,-3212.9998779296875,-366.3999938964844,255.0,123.0,,0.06388958107113599,3.1149660173660565,-0.09702179694614714,True,,False,5,False,6,,76561198039309853,enpitsu,26.0,-469.739990234375,1664.0699462890625,17.049999237060547,7904.1998291015625,8594.400024414062,2.5999999046325684,0.29999999329447746,-0.19999999552965164,0.0,128.0,,,-0.01675252623710896,2.314379310571801,-5.5661259970016925e-06,True,22.0,False,4,False,4,,Mano Bailas,76561198321707891,24,-89.94000244140625,1669.5699462890625,16.020000457763672,-2187.899932861328,19424.69970703125,133.29999923706055,54.099998474121094,-13.799999952316284,1562.2999572753906,128.0,255.0,,-0.01322186187530135,1.4296897897308416,0.001332136302432005,True,8,6,4,61.0,False,,MinPi ✘,76561198444516599,20.0,415.5400085449219,3520.8701171875,17.010000228881836,-10680.2001953125,-5527.7001953125,0.09999999776482582,-0.0,-0.09999999776482582,2366.4999389648438,255.0,255.0,,-0.009536947852268813,-0.5368089342798419,1.0118139016868128e-05,True,239.43902788623686,True,10,False,8,
