,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,169,0,False,False,1,5157.115005467672,17.100000381469727,58.33000183105469,93.23999786376953,7098.0999755859375,26783.9990234375,441.3999938964844,-4358.399963378906,1009.1000366210938,3076.7999267578125,1.0,0.026342228524752737,-0.07571544153438634,0.09732255042394405,76561198039309853,enpitsu,27.0,18.75,-101.94999694824219,98.27999877929688,14086.800537109375,14676.8994140625,217.29999542236328,-2746.099853515625,3242.5,3492.0001220703125,255.0,128.0,,-1.261369229131793,-0.8511770378715663,2.9668786879081317,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,2374.739990234375,-3532.909912109375,17.010000228881836,20156.600341796875,-6872.80029296875,2.0999999344348907,-3.8999998569488525,1.0999999940395355,-639.0999984741211,255.0,3.0,-0.009600747961584468,-2.812450773903537,-4.678081023823427e-05,True,False,False,False,0.0,False,,Markelio Neibol,b22a5f48e7b,17.0,227.00999450683594,376.010009765625,78.83000183105469,-13351.199951171875,-18572.19970703125,2264.1000366210938,3909.5999145507812,-3866.4999389648438,-120.69999694824219,255.0,128.0,,-0.6836202485694052,-0.7731535817219467,-0.014862113504546555,True,4,9.0,False,3,False,,ru63n28,b09992df59b,10,-0.0,2702.699951171875,17.010000228881836,-0.0,-11616.600341796875,2.0999999344348907,0.7000000029802322,-0.0,0.0,128.0,,,-0.009590185467852546,-1.5707887708715014,-3.637918141942189e-08,True,False,146.0,False,False,False,,
1,170,0,False,False,0,5324.999267785483,-10.8100004196167,-110.91000366210938,102.5,23168.60107421875,13014.69970703125,6541.199951171875,4150.299987792969,-1386.0000610351562,-4105.199890136719,0.0,-0.10767862969801852,0.036651896189006314,0.30328238746930036,b22a5f48e7b,Markelio Neibol,17.0,-115.63999938964844,-221.13999938964844,91.22000122070312,13373.699951171875,18593.800048828125,202.5,-3874.5999145507812,3902.6998901367188,-73.60000133514404,255.0,128.0,,1.2862486124258752,0.7359447235142275,-0.04702488453956976,True,9.0,False,4,False,3,,b09992df59b,ru63n28,10.0,0.0,-2607.909912109375,17.010000228881836,0.0,11178.599853515625,2.0999999344348907,-0.7000000029802322,0.0,0.0,128.0,,0.009590185467852546,1.5707887708715014,-3.637918141942189e-08,True,False,False,False,146.0,False,,games5425898691,bf81d8692db,18.0,-2374.739990234375,3532.909912109375,17.010000228881836,-20156.600341796875,6872.80029296875,2.0999999344348907,3.8999998569488525,-1.0999999940395355,-639.0999984741211,255.0,3.0,,0.009600747961584468,2.812450773903537,-4.678081023823427e-05,True,False,0.0,False,False,False,,enpitsu,76561198039309853,27,-42.22999954223633,77.48999786376953,98.48999786376953,-14084.300537109375,-14674.100341796875,98.4000015258789,3874.5999145507812,-3245.8999633789062,2168.0999755859375,255.0,128.0,,1.158014064593351,0.8935015913636403,2.9567093068957218,True,1,0.0,False,2,False,,
2,259,3,False,False,0,3504.2749833393245,2197.10009765625,3492.97998046875,147.8300018310547,-12472.19970703125,2955.5999755859375,11347.2998046875,-1609.2999267578125,-5485.4998779296875,-1821.6999816894531,0.0,0.8188366588821362,-0.7143529771871123,0.17347261200283268,b22a5f48e7b,Markelio Neibol,16.0,2254.18994140625,3504.590087890625,18.6200008392334,13010.30029296875,1257.3999786376953,2127.7999877929688,-429.00001525878906,-5240.999755859375,-1611.4999389648438,255.0,128.0,,-0.040394619728364126,0.04692231430440102,-0.006426356742045505,True,9.0,False,5,False,4,,b09992df59b,ru63n28,10.0,3465.3798828125,-138.77000427246094,17.010000228881836,8315.0,8801.599731445312,2.3999999463558197,-0.5999999865889549,-0.7999999821186066,2276.699981689453,255.0,255.0,0.009559510912841625,0.8655228076843048,0.00010775192175708493,True,4,False,4,177.0,False,190.0,games5425898691,bf81d8692db,18.0,1312.6500244140625,4117.4501953125,17.0,19882.7001953125,-11561.300048828125,3.0000001192092896,-0.5000000074505806,0.0,-0.7999999821186066,255.0,128.0,,0.009618229888359312,-0.5268225758992507,4.908883690916226e-05,True,False,150.0,False,False,False,,enpitsu,76561198039309853,27,-3617.3701171875,746.239990234375,72.63999938964844,4149.2999267578125,15359.300537109375,2922.6998901367188,-1352.7999877929688,533.8000106811523,-589.3000030517578,255.0,128.0,,0.10773125771847523,1.1621665956617468,-0.0001842634941812241,True,3,255.0,False,4,False,,
3,353,6,False,False,1,9649.366735419295,1889.260009765625,-4458.10986328125,136.57000732421875,17228.499755859375,-4663.800048828125,1636.199951171875,3756.199951171875,4468.0999755859375,-1387.8999328613281,1.0,0.6660789233085408,1.3124129520899541,1.2309487905170495,76561198039309853,enpitsu,27.0,1805.219970703125,-4455.419921875,17.049999237060547,4781.7999267578125,6613.3001708984375,3.4999999403953552,-3.400000035762787,-4.900000095367432,-1348.9999389648438,255.0,0.0,False,-0.016659399560228338,2.177471660229484,-0.00010581610286974552,True,230.0,False,4,False,4,,bf81d8692db,games5425898691,18.0,-2977.830078125,-4031.659912109375,16.989999771118164,14346.199951171875,-15578.199462890625,2.3999999463558197,-0.9000000357627869,1.0000000149011612,1566.199951171875,255.0,252.0,-0.009597083655443758,-2.3428876773795597,0.00027701315056534394,True,False,False,4,37.077969889487015,True,,Markelio Neibol,b22a5f48e7b,16.0,-2572.639892578125,-3428.35009765625,17.010000228881836,9572.7001953125,15450.6005859375,-0.29999999329447746,0.09999999776482582,0.7000000029802322,20.59999942779541,255.0,128.0,False,-0.009582870491352534,2.122686908213332,-4.1365801329561125e-05,True,6,207.94886026331176,True,4,False,,ru63n28,b09992df59b,10,881.2899780273438,-1473.3199462890625,17.010000228881836,14428.299560546875,-5085.899963378906,2.0999999344348907,-0.5999999865889549,-0.0,-0.7999999821186066,255.0,128.0,,-0.009604614214110367,-2.8025157439969295,5.805900278723835e-05,True,4,229.0,False,4,False,,
4,417,9,False,False,1,9790.538779789902,3629.340087890625,-4261.25,672.4299926757812,2522.7999877929688,10215.2001953125,-4046.7999267578125,1329.4000244140625,5850.8001708984375,15.700000524520874,1.0,0.44117398994137547,2.8403871235013063,3.1210442209074625,76561198039309853,enpitsu,27.0,3641.0400390625,-4399.2998046875,783.3699951171875,7389.2999267578125,7183.900146484375,-4544.700012207031,-2636.6000366210938,1624.1000366210938,148.50000381469727,255.0,255.0,False,-0.45068431245898305,2.3807825838292946,-1.600000052337801,True,190.0,False,4,False,4,,bf81d8692db,games5425898691,18.0,1389.81005859375,-3998.760009765625,16.989999771118164,18005.999755859375,-3804.7000122070312,4.4999998807907104,-1.0000000149011612,-0.0,-54.40000057220459,255.0,106.0,-0.009620303556866517,-2.933379137954704,3.084684045880597e-05,True,False,False,4,64.0,False,,Markelio Neibol,b22a5f48e7b,16.0,-57.72999954223633,665.8099975585938,17.010000228881836,10294.49951171875,16764.599609375,1.899999976158142,-0.0,0.19999999552965164,0.0,255.0,128.0,False,-0.009601726730410931,2.121487715146146,-2.5084119845396206e-05,True,6,192.0,False,4,False,,ru63n28,b09992df59b,10,3272.030029296875,-630.780029296875,17.010000228881836,9930.800170898438,-3422.3001098632812,0.29999999329447746,0.29999999329447746,-0.19999999552965164,-2871.0000610351562,255.0,0.0,False,-0.009550075502903963,-2.6625846616475535,6.144401215431468e-05,True,4,207.05652470998865,True,4,False,,
5,442,9,False,False,1,9016.09322589254,3848.010009765625,-3379.1298828125,106.4000015258789,2175.2000427246094,6760.7000732421875,5863.800048828125,-5549.1998291015625,2213.300018310547,-554.0999984741211,1.0,0.937352980270574,1.753550064379981,1.7299610307685425,76561198039309853,enpitsu,27.0,3930.280029296875,-3565.489990234375,47.650001525878906,-3020.10009765625,17683.399658203125,-843.3999633789062,1573.800048828125,3468.599853515625,-118.00000190734863,255.0,128.0,False,0.014564531321661817,1.405969912795812,-0.25547946273399547,True,152.0,False,6,False,6,,bf81d8692db,games5425898691,18.0,2456.239990234375,-4976.2998046875,20.649999618530273,-673.6000061035156,-14711.400146484375,1737.2999572753906,-5140.999755859375,216.00000381469727,-1942.4000549316406,255.0,0.0,0.11513783914573163,-1.4590252666263803,0.01367377328758847,True,False,False,4,95.0,False,,Markelio Neibol,b22a5f48e7b,16.0,1273.18994140625,1736.3199462890625,17.010000228881836,18294.599609375,879.7000122070312,2.3000000417232513,0.29999999329447746,0.09999999776482582,-1960.2000427246094,243.0,0.0,False,-0.00957600379347375,-3.120298589783042,-3.182351266186956e-05,True,6,223.0,False,4,False,,ru63n28,b09992df59b,10,3586.929931640625,-1447.47998046875,17.010000228881836,-169.20000076293945,-1382.5,2.0999999344348907,-2.5999999046325684,1.1999999731779099,-25.499999523162842,128.0,128.0,False,-0.009862390619431715,-1.4351460543702077,7.946166670105349e-05,True,4,174.0,False,4,False,,
6,525,12,False,False,1,3710.7351378712847,2963.239990234375,2058.429931640625,259.0799865722656,-14225.30029296875,23487.7001953125,4588.500061035156,-1280.3999328613281,5701.5997314453125,-1105.199966430664,1.0,0.024116278988959617,-3.0000064455758295,1.3680039693565136,76561198039309853,enpitsu,27.0,3138.969970703125,1848.3499755859375,158.41000366210938,-12257.2998046875,19226.400146484375,2854.2001342773438,1721.9999694824219,-5049.2999267578125,-1337.4000549316406,128.0,255.0,False,0.3268276182954155,1.3728654161089562,-0.11057007379207605,True,31.0,False,8,False,7,,bf81d8692db,games5425898691,18.0,2829.840087890625,-4206.5498046875,17.010000228881836,8832.19970703125,9257.999877929688,2.199999988079071,1.2999999523162842,1.5999999642372131,-1580.2999877929688,255.0,25.0,-0.00955289088864178,2.3263582813166686,-0.00041741125787544194,True,False,False,4,95.0,False,,Markelio Neibol,b22a5f48e7b,17.0,3148.10009765625,3732.64990234375,17.010000228881836,-7460.30029296875,11590.6005859375,2.0999999344348907,-0.0,0.3999999910593033,2.3000000417232513,215.0,128.0,False,-0.00960435655867436,0.9984848765895595,-4.506773438159758e-05,True,6,253.0,False,4,False,,ru63n28,b09992df59b,10,3463.580078125,1104.3199462890625,17.010000228881836,-2156.999969482422,2393.6000061035156,2.0000000298023224,-0.09999999776482582,0.09999999776482582,-1732.8999328613281,255.0,0.0,False,-0.009504793131323953,0.7157894831863609,-0.00010469897221624338,True,4,174.0,False,4,False,,
7,612,16,False,False,0,8131.738868703721,338.0199890136719,-2897.56005859375,123.54000091552734,14064.300537109375,19324.3994140625,1643.3000183105469,-2907.7999877929688,318.0999946594238,5238.599853515625,0.0,-1.4143106865166584,0.01394599495286087,-3.0190515054922473,b09992df59b,ru63n28,10.0,143.77000427246094,-3061.929931640625,51.130001068115234,22653.60107421875,2032.7000427246094,3417.6998901367188,8.00000011920929,1.4000000059604645,2364.499969482422,255.0,255.0,,0.009572100369085436,0.2826679402116359,0.0003974466818974563,True,58.24640028707449,True,5,False,4,,b22a5f48e7b,Markelio Neibol,15.0,,,,,,,,,,,,,,,True,,,,,,,games5425898691,bf81d8692db,18.0,322.6499938964844,-816.8599853515625,16.989999771118164,20006.099853515625,-9730.10009765625,4.799999892711639,-0.19999999552965164,0.0,1933.0999755859375,255.0,255.0,,0.009593988619019254,-0.3787959800278579,4.4989255869438795e-05,True,6,162.0,False,4,False,,enpitsu,76561198039309853,27,604.25,-5603.16015625,84.16000366210938,10233.599853515625,-3489.2999267578125,-589.5999908447266,-3513.2000732421875,3011.7999267578125,-960.1999664306641,255.0,128.0,,0.15406061586451641,-2.197037997477404,2.8831128217416246,True,8,37.0,False,8,False,,
8,647,17,False,False,1,5392.621124180315,-2011.7099609375,598.4600219726562,103.33999633789062,-16839.3994140625,664.3000030517578,6251.400146484375,3746.7001342773438,-2430.800018310547,4006.4999389648438,1.0,0.10849592567748757,-1.991390239684093,2.0125972985430947,bf81d8692db,games5425898691,18.0,-1936.31005859375,498.760009765625,16.989999771118164,-2906.300048828125,-724.3000030517578,2.7000001072883606,2.0000000298023224,1.5000000596046448,-1061.3999938964844,255.0,0.0,,-0.00954217845215842,-0.3479903942192854,-0.00015771763475867448,True,152.66467951702816,True,6,False,4,,76561198039309853,enpitsu,27.0,-664.280029296875,5977.5,273.3599853515625,5798.3001708984375,511.30001068115234,-5264.7998046875,-2273.000030517578,2366.1000061035156,519.7000122070312,255.0,0.0,-0.7577085746768121,3.1089816726203807,1.6958869083886636,True,8,False,8,37.0,False,,Markelio Neibol,b22a5f48e7b,15.0,,,,,,,,,,,,,,,,True,,,,,,,ru63n28,b09992df59b,10,-3016.93994140625,2709.1298828125,113.94000244140625,-22543.60107421875,-2829.89990234375,-3574.2999267578125,139.20000076293945,150.600004196167,773.1999969482422,128.0,128.0,,-0.26057912477042167,2.1667664291410365,-0.008630097810025519,True,4,51.0,False,6,False,,False
9,713,19,False,False,0,7047.096561387279,2949.77001953125,-765.219970703125,190.17999267578125,-4323.900146484375,26456.4990234375,8352.899780273438,5306.400146484375,-2752.3001098632812,-515.6999969482422,0.0,0.5980820436055841,-2.136762795603064,0.8570333818573391,b09992df59b,ru63n28,10.0,2966.760009765625,-1002.4400024414062,103.27999877929688,-6668.599853515625,21124.599609375,3587.2000122070312,-3812.9000854492188,1107.7999877929688,-614.0999984741211,255.0,0.0,,0.0423735360510153,2.137595912948488,0.03744302952696882,True,0.0,False,8,False,5,,b22a5f48e7b,Markelio Neibol,16.0,3010.219970703125,-3981.340087890625,17.010000228881836,3080.7000732421875,12014.49951171875,1.0999999940395355,-0.19999999552965164,-1.0000000149011612,2273.5000610351562,255.0,255.0,0.009547861287908441,1.3723508358451744,9.99121734586511e-05,True,False,False,False,240.64665808472583,True,,games5425898691,bf81d8692db,18.0,3652.610107421875,1675.5799560546875,16.979999542236328,-3276.300048828125,20840.90087890625,5.699999928474426,0.0,-0.5000000074505806,0.0,255.0,128.0,,0.00958529664517331,1.72673820495741,4.484739057519671e-05,True,6,204.0,False,4,False,,enpitsu,76561198039309853,27,67.4000015258789,-2787.830078125,88.62000274658203,845.1999664306641,21321.0009765625,2357.7000427246094,-5494.1998291015625,251.00000381469727,-4.600000083446503,255.0,128.0,False,0.5812383914218476,1.5245758828015394,-0.00039665483315571914,True,9,31.0,False,10,False,,False
