Record (in one game)         	Value          	First Replay
Most shots                   	17             	https://ballchasing.com/replay/f35ada26-ed12-465c-b655-b92bc030775d#watch
Least shots                  	8              	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Most goals                   	9              	https://ballchasing.com/replay/f35ada26-ed12-465c-b655-b92bc030775d#watch
Most xG                      	8.3            	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Least xG                     	3.27           	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Most saves                   	8              	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Most assists                 	5              	https://ballchasing.com/replay/f35ada26-ed12-465c-b655-b92bc030775d#watch
Highest scores               	2401           	https://ballchasing.com/replay/f35ada26-ed12-465c-b655-b92bc030775d#watch
Lowest scores                	1143           	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Most hits                    	169            	https://ballchasing.com/replay/39b74e08-c9b0-4f98-b84e-99872bbabad0#watch
Least hits                   	66             	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Biggest xG overperformance   	6G from 3.27 xG	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Biggest xG overperformance % 	84.0%          	https://ballchasing.com/replay/1fc62848-d02f-4ed1-b33c-60a786592b75#watch
Biggest xG underperformance  	5G from 8.3 xG 	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Biggest xG underperformance %	-40.0%         	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Most demos                   	4              	https://ballchasing.com/replay/97ba6e79-0117-4056-94e6-014182a0b829#watch
Most passes                  	27             	https://ballchasing.com/replay/fa08ee12-a762-47d8-a212-a53894ad5f6f#watch
Most dribbles                	39             	https://ballchasing.com/replay/39b74e08-c9b0-4f98-b84e-99872bbabad0#watch
Most clears                  	21             	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Most aerials                 	27             	https://ballchasing.com/replay/feb84f06-3c88-459c-9411-fe79918f966a#watch
Most balls won               	39             	https://ballchasing.com/replay/39b74e08-c9b0-4f98-b84e-99872bbabad0#watch
