Stat             	  Allan	  Sertalp
Goals            	     18	       25
Shot Goals       	     17	       19
Non-shot Goals   	      1	        5
Other Goals      	      0	        1
xG               	     21	       19
Shot xG          	     10	       11
Non-shot xG      	     11	        8
GfS/Shot Ratio   	    0.4	     0.45
GfS/Shot xG Ratio	   1.69	     1.78
Shots            	     43	       42
Misses           	     26	       23
Assists          	     11	        8
Saves            	     17	        7
Demos            	     12	       12
Demoed           	      6	        7
Score            	   5759	     5562
Passes           	     49	       41
Clears           	     43	       39
Touches          	    348	      342
Goal Distance    	   2227	     2209
Miss Distance    	   3917	     3819
Shot Distance    	   3249	     3091
Won Ball         	     79	       67
Lost Ball        	     66	       87
Dribbles         	     81	       63
Aerials          	     59	       32
MVPs             	      3	        3
