Record                                                    	Allan         	Sertalp        	Allan's First Replay                                                               	Sertalp's First Replay
Most goals scored in one game                             	3             	4              	https://ballchasing.com/replay/8486ba61-4380-4576-a58c-2c24edb2effb#watch          	https://ballchasing.com/replay/be085d08-1cce-4551-b2ac-fe5e7afd898b#watch
Most consecutive games scored in                          	3             	8              	-                                                                                  	-
Most consecutive games failed to scored in                	2             	1              	-                                                                                  	-
Most shots in one game                                    	10            	5              	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch          	https://ballchasing.com/replay/ec0eaf16-2f9c-4d61-b30b-0a3f64008893#watch
Most consecutive games shot in                            	10            	11             	-                                                                                  	-
Most consecutive games failed to shoot in                 	1             	0              	-                                                                                  	-
Most assists in one game                                  	3             	2              	https://ballchasing.com/replay/5f047d76-0454-412d-ba93-e0bf9818d2d6#watch          	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch
Most consecutive games assisted in                        	5             	2              	-                                                                                  	-
Most consecutive games failed to assist in                	2             	4              	-                                                                                  	-
Most saves in one game                                    	8             	4              	https://ballchasing.com/replay/8486ba61-4380-4576-a58c-2c24edb2effb#watch          	https://ballchasing.com/replay/fd14a1b1-b374-4e89-a5a0-c4a26a064061#watch
Most consecutive games saved in                           	5             	5              	-                                                                                  	-
Most consecutive games failed to save in                  	1             	1              	-                                                                                  	-
Highest score in one game                                 	1088          	665            	https://ballchasing.com/replay/8486ba61-4380-4576-a58c-2c24edb2effb#watch          	https://ballchasing.com/replay/fb15c166-63f7-4358-8944-8ef096aee6bf#watch
Lowest score in one game                                  	175           	162            	https://ballchasing.com/replay/1b75c35f-62b1-41aa-8774-53291e0d1bed#watch          	https://ballchasing.com/replay/1b75c35f-62b1-41aa-8774-53291e0d1bed#watch
Highest xG in one game                                    	3.98          	3.89           	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch          	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch
Highest xG without scoring in one game (only shot-goals)  	1.27          	0.79           	https://ballchasing.com/replay/6d59359f-e428-4363-bbea-b3c6539b0289#watch          	https://ballchasing.com/replay/1b75c35f-62b1-41aa-8774-53291e0d1bed#watch
Highest shot xG in one game                               	2.49          	2.14           	https://ballchasing.com/replay/ec0eaf16-2f9c-4d61-b30b-0a3f64008893#watch          	https://ballchasing.com/replay/fb15c166-63f7-4358-8944-8ef096aee6bf#watch
Highest non-shot xG in one game                           	1.91          	2.09           	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch          	https://ballchasing.com/replay/ec8b6b32-d14c-47fc-93c0-efa2bc4791c6#watch
