  xGF	  xGC	  GF	  GC	  HF	  HC	  xGD	  GD	  HD	Replay ID                           	  P(Win)	  P(Result)	  P(Score)	  Luck %	Outcome  	  StartTime
 2.68	 2.89	   3	   2	  70	  76	-0.21	   1	  -6	14812ebc-f248-4562-b507-ce2ef0ab83fb	   45.72	      45.72	      8.43	   54.28	W        	 1624395716
 1.98	 2.09	   4	   1	  53	  79	-0.11	   3	 -26	419f531f-52e4-4fbf-a700-8b61d669542b	   47.27	      47.27	      2.76	   52.73	W        	 1624396132
 4.71	 2.64	   2	   3	  83	  86	 2.07	  -1	  -3	236b6ed5-707e-440a-97c3-8fff9d92acae	   83.46	      16.54	      2.58	  -83.46	L        	 1624396560
 2.43	 1.33	   4	   1	  52	  56	 1.11	   3	  -4	c887b785-4a5a-4023-988d-72a26c5b0a5e	   77.92	      77.92	      6.81	   22.08	W        	 1624396881
 2.73	 1.43	   2	   0	  57	  88	 1.3 	   2	 -31	62fda587-14f3-4bf8-a723-3cf91fefdbbc	   77.05	      77.05	      7.34	   22.95	W        	 1624397225
 1.41	 4.01	   4	   7	  57	  97	-2.6 	  -3	 -40	6701e2f5-e862-41b3-87d7-8fd869154a56	    8.52	      91.48	      0.13	   -8.52	L        	 1624397780
 4.21	 2.11	   6	   4	  81	  84	 2.11	   2	  -3	af365b42-64ce-4789-b178-db0a11d3eb61	   84.36	      84.36	      1.31	   15.64	W        	 1624398485
 2.63	 1.85	   4	   0	  79	  68	 0.78	   4	  11	f0f97697-8363-48c2-9e79-c2e89e6681e7	   66.18	      66.18	      2.45	   33.82	W        	 1624398864
 1.43	 1.94	   1	   0	  64	  73	-0.5 	   1	  -9	fa495612-d842-495b-9486-bfb3eeff4553	   36.97	      36.97	      3.69	   63.03	W        	 1624399235
 3.59	 2.56	   4	   2	  63	  76	 1.03	   2	 -13	1a857ba0-7e6b-4724-b952-90fc9bbdafc9	   68.66	      68.66	      8.08	   31.34	W        	 1624399690
 3.04	 4.71	   3	   5	  62	  81	-1.67	  -2	 -19	6d0621cc-2f41-475f-b1fe-7d317dc9b9b0	   22.97	      77.03	      7.6 	  -22.97	L        	 1624400169
 3.71	 2.91	   4	   3	  66	 102	 0.79	   1	 -36	3e662cc8-3293-4d56-908c-32a023dc04f6	   66.04	      66.04	      9.76	   33.96	W*       	 1624400677
 3.55	 2.15	   2	   6	  69	  72	 1.4 	  -4	  -3	38bec57c-6247-432b-8414-4cd1029b4931	   75.97	      24.03	      0.14	  -75.97	L        	 1624401281
 2.11	 5.7 	   2	   3	  79	  69	-3.59	  -1	  10	4be14891-230f-4b16-a4d9-8cb614dc7767	    4.94	      95.06	      2.51	   -4.94	L        	 1624401732
 4.57	 1.06	   5	   0	  53	  40	 3.5 	   5	  13	57259770-ebcc-4230-80e5-570459f0a551	   97.62	      97.62	      7.26	    2.38	W        	 1624402031
 1.84	 2.9 	   3	   1	  69	  70	-1.06	   2	  -1	9d1f2044-0d10-400c-b16d-83d19bf5e064	   27.71	      27.71	      2.57	   72.29	W        	 1624402488
