Stat             	  Us	  Them
Goals            	  19	    23
Shot Goals       	  14	    22
Non-shot Goals   	   4	     1
Other Goals      	   1	     0
xG               	  19	    19
Shot xG          	  10	     9
Non-shot xG      	   9	    10
GfS/Shot Ratio   	 0.4	  0.44
GfS/Shot xG Ratio	 1.4	  2.33
Shots            	  35	    50
Misses           	  21	    28
Assists          	   7	     9
Saves            	  18	    14
Demos            	  14	     4
Score            	5715	  6009
Passes           	  57	    56
Clears           	  43	    33
Touches          	 387	   463
Goal Distance    	2427	  3090
Miss Distance    	3586	  3594
Shot Distance    	3122	  3372
Won Ball         	  81	   102
Dribbles         	  69	   113
Aerials          	  53	    73
MVPs             	   2	     4
