Stat             	  Allan	  Sertalp
Goals            	    718	      651
Shot Goals       	    618	      552
Non-shot Goals   	     83	       83
Other Goals      	     17	       16
xG               	    925	      926
Shot xG          	    422	      420
Non-shot xG      	    503	      506
GfS/Shot Ratio   	   0.45	     0.42
GfS/Shot xG Ratio	   1.47	     1.31
Shots            	   1380	     1303
Misses           	    762	      751
Assists          	    332	      315
Saves            	    765	      571
Demos            	    515	      322
Demoed           	    214	      237
Score            	 228806	   195984
Passes           	   2069	     2210
Clears           	   1954	     1657
Touches          	  15289	    14568
Goal Distance    	   2602	     2561
Miss Distance    	   3822	     3566
Shot Distance    	   3276	     3140
Won Ball         	   3439	     3284
Lost Ball        	   3675	     3485
Dribbles         	   3192	     2896
Aerials          	   2620	     1213
MVPs             	    140	       76
