Stat             	    Us	  Them
Goals            	   936	   866
Shot Goals       	   801	   757
Non-shot Goals   	   112	   103
Other Goals      	    23	     6
xG               	  1332	  1292
Shot xG          	   596	   636
Non-shot xG      	   736	   655
GfS/Shot Ratio   	  0.44	  0.35
GfS/Shot xG Ratio	  1.34	  1.19
Shots            	  1840	  2144
Misses           	  1039	  1387
Assists          	   438	   429
Saves            	   931	   814
Demos            	   653	   363
Score            	291364	279939
Passes           	  2857	  3103
Clears           	  2490	  2469
Touches          	 20505	 23456
Goal Distance    	  2621	  2602
Miss Distance    	  3658	  3559
Shot Distance    	  3207	  3221
Won Ball         	  4621	  4867
Dribbles         	  4262	  5547
Aerials          	  2631	  3745
MVPs             	   156	   142
Hits             	 20505	 23456
