,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,172,0,False,0,5119.100486848176,10.15999984741211,101.73999786376953,117.06999969482422,3512.60009765625,30138.20068359375,6927.7001953125,1187.7999877929688,-87.20000267028809,113.80000114440918,0.0,-0.0029609182664492354,0.0037454802064556237,0.03957894217461779,2535455613549804,HudraRl,11.0,-24.299999237060547,-122.29000091552734,41.59000015258789,-70.39999961853027,19786.700439453125,2194.7999572753906,2225.2000427246094,2625.1998901367188,-4110.400085449219,194.0,0.0,True,0.010174121507526454,1.456910855508427,0.05067231234947911,True,4,6,False,17.0,False,,2535417791076367,Akasha4967,10.0,-2449.669921875,-4180.7001953125,17.049999237060547,-22921.39892578125,-1898.6000061035156,-1.0000000149011612,3.100000023841858,0.7999999821186066,-1097.2000122070312,255.0,19.0,,0.016806224666877406,-3.0669810977335605,-0.00029591006874568805,True,5.0,False,False,False,False,,enpitsu,76561198039309853,29,0.0,3968.610107421875,17.049999237060547,0.0,-8867.999877929688,3.1999999284744263,0.7999999821186066,0.0,0.0,255.0,,,0.016594242522762655,-1.5708191125145916,-1.88860490600322e-07,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,2.440000057220459,570.6599731445312,60.959999084472656,-925.5999755859375,-22809.09912109375,2754.2999267578125,2763.5000610351562,-326.89998626708984,-665.0,128.0,128.0,0.07202871510710122,-1.6830840483584426,0.004078211602274424,True,31.0,False,4,False,3,,
1,1023,31,False,0,2556.7961148488685,-3211.360107421875,4055.419921875,707.4000244140625,595.6000137329102,24030.70068359375,471.19998931884766,-3619.1000366210938,1726.300048828125,1786.9999694824219,0.0,-0.9377331850286659,-0.10245416636059333,2.7974907460750513,2535455613549804,HudraRl,13.0,-3268.68994140625,3869.5400390625,602.1400146484375,125.79999923706055,16768.399658203125,2042.2999572753906,403.3000183105469,4021.6000366210938,2670.4998779296875,128.0,0.0,False,-0.45889773235801495,0.9400458041984331,1.2018047004190604,True,12,16,6,53.0,False,,2535417791076367,Akasha4967,9.0,2688.0,-4604.47998046875,23.8700008392334,0.0,891.5000152587891,-1367.7999877929688,-65.99999904632568,0.0,0.0,255.0,,,0.0005493163973880784,1.5707962015260981,7.629359728657993e-06,True,85.0,False,False,False,False,,enpitsu,76561198039309853,29,-2783.31005859375,4515.18017578125,17.059999465942383,956.5000152587891,227.70000457763672,1.899999976158142,-0.7000000029802322,1.7000000178813934,3.0000001192092896,0.0,128.0,False,0.017139391526211654,-2.9094152265405717,-2.7243866978048343e-05,True,44.0,False,10,False,10,,games5425898691,bf81d8692db,19.0,-2023.219970703125,5049.93994140625,52.61000061035156,8981.900024414062,555.6000137329102,473.69998931884766,833.6000061035156,1603.9999389648438,-1649.1000366210938,128.0,0.0,-0.013777308619860056,0.04625604938412771,0.7200718545334988,True,255.0,False,6,False,6,,
2,2097,70,False,1,2252.1521254943577,3119.199951171875,4780.0400390625,954.72998046875,-9921.300048828125,1108.8999938964844,4090.1998901367188,-4109.200134277344,1616.9000244140625,4061.9000244140625,1.0,-0.24792974542144283,-2.0953525634949703,-2.2442906334325414,bf81d8692db,games5425898691,19.0,3320.510009765625,4719.919921875,934.47998046875,-3374.7000122070312,3915.1998901367188,7128.3001708984375,-1655.2000427246094,-4820.7000732421875,353.1999969482422,128.0,255.0,,0.2502414515480186,0.7872272752941583,-1.5877633846843668,True,14,14,False,255.0,False,,76561198039309853,enpitsu,29.0,2914.75,1775.4300537109375,17.049999237060547,-15015.6005859375,9907.60009765625,3.1999999284744263,0.19999999552965164,-0.5000000074505806,0.29999999329447746,255.0,128.0,False,-0.016759235891152247,0.583202437028309,4.46032767806074e-05,True,212.0,False,20,16,False,,Akasha4967,2535417791076367,9,-1802.97998046875,5103.740234375,246.6999969482422,6123.0999755859375,-141.5999984741211,8278.900146484375,-265.9000015258789,-2008.3999633789062,-48.89999866485596,255.0,133.0,,1.014894588200473,3.1390945111844157,1.5822392979956947,True,255.0,False,16,False,16,,HudraRl,2535455613549804,12.0,,,,,,,,,,,,,,,True,,,,,,,
3,2873,98,False,0,2539.1575571014887,676.5900268554688,3146.43994140625,396.9700012207031,-10166.900024414062,19955.400390625,-2659.5999145507812,3455.7000732421875,3821.099853515625,3075.10009765625,0.0,0.21416726712113088,0.8031793839888148,-1.0077184771587575,2535455613549804,HudraRl,11.0,726.9099731445312,3023.3701171875,255.9499969482422,-11400.30029296875,18723.800048828125,-5761.099853515625,327.5,-867.5,122.79999732971191,128.0,128.0,True,-0.7462351098042634,2.1306632577872353,2.5981384092777624,True,4,6,False,0.0,False,,2535417791076367,Akasha4967,9.0,797.510009765625,3096.510009765625,186.00999450683594,-10569.7998046875,18081.700439453125,-1331.300048828125,-2668.2000732421875,-4774.89990234375,575.2000045776367,128.0,16.0,,0.8533041119933495,2.981778549736415,0.43436528933656543,True,223.67513143888084,True,26,23,False,,enpitsu,76561198039309853,29,103.88999938964844,3791.429931640625,24.559999465942383,1280.7000732421875,3849.4000244140625,3035.8999633789062,1.8000000715255737,-0.3999999910593033,-0.3999999910593033,128.0,0.0,,0.016881484154256103,1.2494401051240505,7.738114026456835e-06,True,78.0,False,28,False,22,,games5425898691,bf81d8692db,19.0,1006.9600219726562,4350.419921875,17.010000228881836,-13799.100341796875,5020.299987792969,2.800000011920929,0.0,0.0,2075.399932861328,255.0,255.0,0.00957340542662813,2.859133661429003,-4.290395427537653e-06,True,152.0,False,26,False,24,,
4,3657,126,False,1,4731.627289729337,-3739.739990234375,4192.259765625,301.6499938964844,10191.500244140625,9946.500244140625,2160.0,-1959.4999694824219,-118.4000015258789,5669.69970703125,1.0,0.4892993096392905,-2.1126424137786017,-1.1276672793400193,76561198039309853,enpitsu,29.0,-3918.320068359375,4100.509765625,209.89999389648438,7559.1998291015625,15091.300048828125,9112.39990234375,2572.2000122070312,3603.9999389648438,-937.6000213623047,255.0,0.0,False,0.5284450808435125,2.0882410032406145,1.361984632386223,True,28,32,False,67.0,False,,bf81d8692db,games5425898691,19.0,-1670.5400390625,-978.4600219726562,16.989999771118164,7267.7001953125,21792.19970703125,5.099999904632568,0.09999999776482582,0.29999999329447746,-861.2999725341797,255.0,64.0,,-0.009598488082132692,1.9129546401663273,-0.00010207957024340128,True,126.0,False,36,32,False,,Akasha4967,2535417791076367,8,-2810.139892578125,4551.2099609375,17.059999465942383,-8115.2001953125,14915.0,2.3000000417232513,0.3999999910593033,-0.5000000074505806,1926.9000244140625,250.0,194.0,False,-0.01679098958673994,1.0159913532349787,9.288106683236978e-05,True,173.0,False,32,False,30,,HudraRl,2535455613549804,11.0,-1105.22998046875,2371.3701171875,17.010000228881836,17698.00048828125,7201.300048828125,2.5,4.300000071525574,1.5000000596046448,-1286.4999389648438,255.0,128.0,-0.00956872998895873,2.8155132356061396,-3.880551949840596e-05,False,0.0,False,20,False,14,,False
5,4601,161,False,1,871.253071452652,145.9199981689453,4696.759765625,135.47000122070312,14925.2001953125,20543.60107421875,16881.300048828125,2545.500030517578,-4702.200012207031,2721.9000244140625,1.0,0.2259699262184521,1.6806325702849798,-0.042798406878165586,bf81d8692db,games5425898691,19.0,-47.5099983215332,4525.14013671875,19.450000762939453,17482.39990234375,14657.5,2919.2001342773438,-2.0999999344348907,-1.8000000715255737,-1250.5999755859375,255.0,0.0,,-0.009590417532857077,2.460254529232362,-0.00023487970546489222,True,50,57,False,7.5026924225591625,True,,76561198039309853,enpitsu,29.0,536.72998046875,4807.830078125,122.41999816894531,-18193.199462890625,3706.9000244140625,-154.49999809265137,4668.0999755859375,-2887.5,346.89998626708984,128.0,255.0,,-0.10180017260940963,0.5492495241939261,-3.0206716737699058,True,31.0,False,46,39,False,,Akasha4967,2535417791076367,8,2775.830078125,4436.75,17.059999465942383,-12254.49951171875,17735.2001953125,2.3000000417232513,0.19999999552965164,-0.29999999329447746,2005.8000183105469,254.0,255.0,,-0.01677683294393357,0.8936867485727292,4.306288184996222e-05,True,255.0,False,46,4,42,,HudraRl,2535455613549804,11.0,268.760009765625,4807.64013671875,19.420000076293945,-22369.49951171875,-2603.0999755859375,2962.0001220703125,17.5,-159.20000076293945,793.3000183105469,255.0,255.0,-0.0013686404953217287,-0.12743090031576176,-1.5387805409957755e-05,True,114.01782365255461,True,33,6,18,,False
6,5051,177,False,0,2131.8271343791066,-276.7300109863281,3100.10009765625,138.3000030517578,3098.5000610351562,23461.69921875,-7710.3997802734375,-1567.2999572753906,-514.0000152587891,5768.800048828125,0.0,0.43129661815236264,-2.9958954550497165,-1.0811842967684022,2535455613549804,HudraRl,11.0,-250.22999572753906,2904.659912109375,150.50999450683594,13763.499755859375,18426.99951171875,100.29999732971191,-3936.300048828125,3791.7999267578125,613.6999893188477,128.0,19.0,True,0.08506131355257472,1.9708373022439882,0.1099351169692818,True,23,38,6,136.8782366193751,True,,2535417791076367,Akasha4967,9.0,879.9400024414062,4483.56005859375,17.049999237060547,10311.199951171875,-9549.7998046875,3.6000001430511475,-0.29999999329447746,0.19999999552965164,1617.7000427246094,255.0,239.0,False,0.016764799582921056,-0.7372865815719098,0.0002960804336491246,True,44.0,False,50,46,4,,enpitsu,76561198039309853,29,-520.719970703125,5170.91015625,132.02999877929688,4865.0,876.1000061035156,-4310.400085449219,-222.80000686645508,-39.90000009536743,-588.8999938964844,128.0,128.0,False,0.05903093170964199,0.24369783892963273,0.845198781997191,True,210.0,False,48,False,42,,games5425898691,bf81d8692db,19.0,1452.9599609375,4315.10009765625,98.83000183105469,17471.8994140625,-10782.60009765625,-774.4000244140625,166.49999618530273,-642.7999877929688,2027.4000549316406,255.0,171.0,0.1008007273611385,2.3047581868342815,-0.0687376458253826,True,255.0,False,66,False,58,,
7,6441,228,True,1,1267.7208006559172,-354.25,4930.259765625,162.24000549316406,-14393.299560546875,9909.199829101562,3000.7000732421875,3510.0,1204.5999908447266,-2071.199951171875,1.0,-0.5332674960356161,2.6514124757677275,0.5916410510959537,bf81d8692db,games5425898691,19.0,-294.6199951171875,4839.64013671875,113.16000366210938,-13282.099609375,5883.4002685546875,522.599983215332,-3606.300048828125,-3975.2999877929688,-1200.2999877929688,255.0,58.0,,-1.1890027886037156,0.07757846976987685,0.619292358722821,True,69,80,False,0.0,False,,76561198039309853,enpitsu,29.0,599.280029296875,5683.2998046875,124.9800033569336,-3063.699951171875,-3147.9000854492188,-4129.89990234375,158.00000190734863,1097.3999786376953,-187.09999084472656,128.0,128.0,False,0.561105749932376,-2.788098917083307,-0.4038020759453903,True,194.0,False,64,56,False,,Akasha4967,2535417791076367,8,1757.719970703125,4966.81005859375,18.6200008392334,-19865.10009765625,-3137.7999877929688,-384.90001678466797,-1656.3999938964844,-181.49999618530273,-1786.3999938964844,254.0,9.0,False,-0.03306319405900136,-0.13306564934388543,-0.07545201217598561,True,181.0,False,64,8,58,,HudraRl,2535455613549804,10.0,712.3499755859375,5374.43017578125,18.020000457763672,-2323.6000061035156,2123.9999389648438,63.60000133514404,135.10000228881836,-130.9000015258789,2005.0,254.0,234.0,0.007988442541310188,0.5757378377922721,-0.0213728953586929,True,176.0,False,50,6,34,,False
8,6697,228,False,0,5181.454224644176,-0.25,36.560001373291016,102.47000122070312,721.6999816894531,25795.400390625,6162.80029296875,1976.6999816894531,1751.4999389648438,-5387.39990234375,0.0,0.046160127037404276,-0.13149591896159316,0.045663375710191294,2535455613549804,HudraRl,10.0,-52.7400016784668,-102.47000122070312,39.720001220703125,-12479.69970703125,16232.80029296875,2002.7999877929688,261.70000076293945,-1537.5999450683594,-1436.4999389648438,255.0,0.0,True,0.12424583739756938,2.1236945950667283,-0.07412042053521979,True,4,6,False,0.0,False,,2535417791076367,Akasha4967,8.0,-2110.97998046875,-3767.659912109375,17.049999237060547,-16851.500244140625,-7735.0,3.0000001192092896,-0.29999999329447746,0.0,0.5999999865889549,254.0,128.0,,0.01678760012793496,-2.711171499996782,-2.4686518105747345e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,29,-9.300000190734863,3725.02001953125,17.049999237060547,93.10000419616699,-9353.699951171875,3.100000023841858,0.3999999910593033,-0.29999999329447746,0.0,255.0,128.0,False,0.01663263561683628,-1.5608042102569943,-3.1346235419253334e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-30.56999969482422,810.0800170898438,17.010000228881836,3410.1998901367188,-18347.39990234375,1.1999999731779099,0.19999999552965164,0.0,-1989.4000244140625,255.0,0.0,0.009581768239514541,-1.4600130124799564,4.054389684592095e-06,True,21.612137381748486,True,False,False,False,,
9,7301,241,False,0,5044.28589033579,2105.8798828125,1086.1700439453125,107.51000213623047,-13397.7001953125,29644.19921875,762.3999786376953,-1707.8999328613281,-4432.60009765625,3665.2999877929688,0.0,1.2539440656034295,-1.379377806396792,2.6095579491015273,2535417791076367,Akasha4967,9.0,2164.85009765625,817.2899780273438,45.68000030517578,-3149.5001220703125,22539.09912109375,3326.7001342773438,-410.0,-56.70000076293945,1081.6000366210938,254.0,128.0,,0.0253303884689151,1.7748766899982114,0.001742444975615541,True,10,12,False,49.31341077691765,True,,2535455613549804,HudraRl,10.0,1203.81005859375,819.3900146484375,17.0,-8270.599975585938,15880.799560546875,3.8999998569488525,0.0,0.0,2015.8999633789062,254.0,255.0,False,0.009567079686201537,2.123304746509095,1.6062785911967723e-05,True,155.0,False,8,8,False,,enpitsu,76561198039309853,29,-520.3900146484375,-5206.89990234375,17.049999237060547,-656.3999938964844,2674.5999145507812,3.1999999284744263,-1.7000000178813934,3.3000001311302185,-317.5,255.0,128.0,False,0.016700724830388165,2.7748320418274735,-9.607294576738369e-05,False,0.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-1484.010009765625,3052.989990234375,17.010000228881836,4571.7999267578125,21376.4990234375,2.800000011920929,0.19999999552965164,1.0000000149011612,-1680.8999633789062,255.0,23.0,0.00958707039476076,1.2980698407072644,-6.024012742070998e-05,True,101.0,False,6,False,6,,
