,shot_taker_name,is_orange,time,xg,shot,goal
0,chickenlegpeice_,1,0,0.00027000922,False,False
1,chickenlegpeice_,1,4,0.024723506,False,False
2,games5425898691,0,8,0.008027691,False,False
3,games5425898691,0,14,0.2043786,True,False
4,max_stetsun,1,15,0.0003780877,False,False
5,max_stetsun,1,17,0.0040859543,False,False
6,games5425898691,0,22,0.0022325644,False,False
7,games5425898691,0,25,0.050183408,False,False
8,enpitsu,0,27,0.09799141,False,False
9,max_stetsun,1,31,0.0009816053,False,False
10,max_stetsun,1,32,0.004159851,False,False
11,max_stetsun,1,33,0.002248628,False,False
12,max_stetsun,1,33,0.0031838787,False,False
13,max_stetsun,1,33,0.0024841712,False,False
14,max_stetsun,1,34,0.005051886,False,False
15,max_stetsun,1,34,0.0132131325,False,False
16,max_stetsun,1,34,0.01714618,False,False
17,max_stetsun,1,35,0.019270105,False,False
18,games5425898691,0,40,0.06584275,False,False
19,max_stetsun,1,41,0.0048196185,False,False
20,enpitsu,0,43,0.07615718,False,False
21,chickenlegpeice_,1,45,0.00022469235,False,False
22,enpitsu,0,48,0.17693299,False,False
23,max_stetsun,1,49,0.0005036279,False,False
24,max_stetsun,1,51,0.04079664,False,False
25,max_stetsun,1,53,0.12265189,True,False
26,games5425898691,0,54,0.0010902149,False,False
27,games5425898691,0,57,0.0057785064,False,False
28,chickenlegpeice_,1,61,0.00021335369,False,False
29,chickenlegpeice_,1,64,0.0005198271,False,False
30,enpitsu,0,66,0.0018108401,False,False
31,chickenlegpeice_,1,66,0.0008421976,False,False
32,chickenlegpeice_,1,69,0.0011822168,False,False
33,games5425898691,0,69,0.00731614,False,False
34,max_stetsun,1,71,8.674166e-05,False,False
35,max_stetsun,1,72,7.545227e-05,False,False
36,max_stetsun,1,73,0.00017315324,False,False
37,games5425898691,0,76,0.0013814929,False,False
38,enpitsu,0,76,0.012051667,False,False
39,chickenlegpeice_,1,77,0.0015899418,False,False
40,games5425898691,0,79,0.04511262,False,False
41,max_stetsun,1,83,0.00014784481,False,False
42,max_stetsun,1,83,6.585183e-05,False,False
43,chickenlegpeice_,1,87,0.001547494,False,False
44,enpitsu,0,88,0.002448583,False,False
45,max_stetsun,1,91,0.009675634,False,False
46,games5425898691,0,94,0.0006685583,False,False
47,enpitsu,0,97,0.017544726,False,False
48,enpitsu,0,99,0.76620287,False,True
49,enpitsu,0,101,0.0029032722,False,False
50,chickenlegpeice_,1,103,9.1789276e-05,False,False
51,chickenlegpeice_,1,105,0.0007933136,False,False
52,chickenlegpeice_,1,108,0.0022630696,False,False
53,enpitsu,0,112,0.73890394,True,True
54,chickenlegpeice_,1,113,0.0018186754,False,False
55,games5425898691,0,113,0.010913069,False,False
56,max_stetsun,1,116,0.00022822102,False,False
57,games5425898691,0,120,0.013701562,False,False
58,games5425898691,0,121,0.010783942,False,False
59,max_stetsun,1,122,0.002052037,False,False
60,games5425898691,0,123,0.23364183,True,True
61,enpitsu,0,124,0.0017764659,False,False
62,max_stetsun,1,124,0.0061626746,False,False
63,games5425898691,0,127,0.00011164958,False,False
64,chickenlegpeice_,1,129,0.5224952,False,False
65,enpitsu,0,130,0.0047813314,False,True
66,max_stetsun,1,132,0.00010415819,False,False
