,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,NiveyK,1,0,0.016266424,False,False,169
1,Queu deter,1,3,0.6591969,True,False,273
2,NiveyK,1,3,0.105489925,True,False,276
3,NiveyK,1,10,0.014089861,False,False,469
4,games5425898691,0,13,0.002454479,False,False,535
5,NiveyK,1,16,0.0008693537,False,False,629
6,NiveyK,1,18,0.011754584,False,False,677
7,NiveyK,1,19,0.44399956,False,False,710
8,Queu deter,1,21,0.32922152,True,False,753
9,games5425898691,0,21,0.009329393,False,False,754
10,Queu deter,1,21,0.26194283,False,False,756
11,NiveyK,1,27,0.0013300717,False,False,936
12,NiveyK,1,29,0.0128394775,False,False,989
13,enpitsu,0,31,0.0021872772,False,False,1035
14,enpitsu,0,33,0.09445166,False,False,1088
15,Queu deter,1,33,0.13379516,False,False,1089
16,games5425898691,0,37,0.00551616,False,False,1206
17,games5425898691,0,41,0.048738535,False,False,1302
18,NiveyK,1,42,9.691605e-05,False,False,1347
19,NiveyK,1,44,0.004517006,False,False,1392
20,enpitsu,0,47,0.00013371026,False,False,1477
21,Queu deter,1,49,0.008665677,False,False,1538
22,Queu deter,1,52,0.84289896,True,True,1613
23,Queu deter,1,52,0.00082319934,False,False,1871
24,enpitsu,0,56,0.08103798,False,False,1966
25,Queu deter,1,61,0.0017096357,False,False,2109
26,games5425898691,0,63,0.011817156,False,False,2179
27,NiveyK,1,64,0.0004351524,False,False,2180
28,enpitsu,0,67,0.0010245729,False,False,2283
29,Queu deter,1,67,0.009627953,False,False,2285
30,NiveyK,1,71,0.00090385793,False,False,2372
31,NiveyK,1,76,0.019644316,False,False,2518
32,NiveyK,1,77,0.26824367,False,False,2539
33,enpitsu,0,78,0.0018450158,False,False,2581
34,Queu deter,1,81,0.00094560825,False,False,2645
35,Queu deter,1,83,0.051993083,False,False,2702
36,Queu deter,1,83,0.03283955,False,False,2725
37,NiveyK,1,85,0.7469493,True,True,2777
38,Queu deter,1,86,0.0030794747,True,False,3038
39,NiveyK,1,90,0.053447433,False,False,3173
40,enpitsu,0,93,0.0663507,False,False,3235
41,Queu deter,1,94,0.032729674,False,False,3275
42,Queu deter,1,96,0.5035814,True,True,3333
43,NiveyK,1,98,0.008926971,False,False,3626
44,games5425898691,0,100,0.00014739916,False,False,3676
45,NiveyK,1,105,0.014076176,False,False,3820
46,enpitsu,0,107,0.0077362442,False,False,3884
47,Queu deter,1,111,0.00025211027,False,False,3985
48,NiveyK,1,113,0.0016164513,False,False,4055
49,games5425898691,0,115,0.008056438,False,False,4102
50,NiveyK,1,118,0.004192257,False,False,4169
51,enpitsu,0,121,0.007658587,False,False,4261
52,NiveyK,1,123,0.00040459645,False,False,4310
53,NiveyK,1,123,0.0030169324,False,False,4325
54,games5425898691,0,124,0.029774424,False,False,4351
55,games5425898691,0,126,0.086485706,False,False,4413
56,Queu deter,1,129,0.002852328,False,False,4512
57,enpitsu,0,134,0.010900795,False,False,4611
58,Queu deter,1,137,0.0020141485,False,False,4703
59,enpitsu,0,142,0.004545799,False,False,4841
60,enpitsu,0,145,0.13635334,False,False,4935
61,NiveyK,1,148,0.0015104028,False,False,5007
62,Queu deter,1,152,0.124420926,False,False,5123
63,Queu deter,1,154,0.5696278,True,False,5162
64,Queu deter,1,154,0.5756257,True,True,5175
65,Queu deter,1,155,0.0028905168,False,False,5456
66,NiveyK,1,158,0.0020207933,False,False,5543
67,Queu deter,1,160,0.00070667727,False,False,5582
68,NiveyK,1,161,0.012366156,False,False,5608
69,NiveyK,1,164,0.89287907,True,True,5699
70,NiveyK,1,164,0.009488783,False,False,5963
71,enpitsu,0,164,0.0033559212,False,False,5965
72,NiveyK,1,165,0.013319375,False,False,5966
73,games5425898691,0,167,0.006861899,False,False,6024
74,games5425898691,0,169,0.008352346,False,False,6098
75,enpitsu,0,173,0.8158206,True,True,6192
76,Queu deter,1,175,0.0006443798,False,False,6497
77,games5425898691,0,175,0.012676641,False,False,6501
78,NiveyK,1,178,0.00064801186,False,False,6574
79,Queu deter,1,181,0.0008298742,False,False,6675
80,Queu deter,1,182,0.0052830954,False,False,6705
81,games5425898691,0,184,0.002968027,False,False,6767
82,Queu deter,1,187,0.027927915,False,False,6848
83,games5425898691,0,189,0.19600686,False,False,6896
84,games5425898691,0,193,0.5846367,True,False,7006
85,games5425898691,0,196,0.6113591,True,False,7079
86,NiveyK,1,197,0.0004881388,False,False,7123
87,Queu deter,1,201,0.0022788828,False,False,7225
88,games5425898691,0,203,0.0013515255,False,False,7270
89,Queu deter,1,203,0.056900483,False,False,7272
90,NiveyK,1,205,0.009682165,False,False,7318
91,games5425898691,0,206,0.00051705114,False,False,7364
92,enpitsu,0,206,0.0035058232,False,False,7366
93,Queu deter,1,210,0.0048432904,True,False,7477
94,Queu deter,1,213,0.3791598,False,False,7563
95,NiveyK,1,217,0.17532295,False,False,7651
96,Queu deter,1,222,0.00066568644,False,False,7801
97,NiveyK,1,225,0.008183411,False,False,7876
98,NiveyK,1,227,0.012394876,False,False,7924
99,enpitsu,0,230,0.003937174,False,False,8007
100,enpitsu,0,231,0.00084298925,False,False,8031
101,enpitsu,0,231,0.0046621766,False,False,8047
102,NiveyK,1,234,0.00036910846,False,False,8134
103,games5425898691,0,236,0.006567126,False,False,8189
104,enpitsu,0,237,0.00029252574,False,False,8200
105,NiveyK,1,237,0.008253686,False,False,8205
106,enpitsu,0,239,0.0019733957,False,False,8263
107,Queu deter,1,240,0.0070039346,False,False,8302
108,NiveyK,1,242,0.0064940476,False,False,8358
109,NiveyK,1,243,0.0376917,False,False,8369
110,Queu deter,1,243,0.0029826686,False,False,8376
111,NiveyK,1,243,0.09318248,False,False,8377
112,games5425898691,0,250,0.001816472,False,False,8566
113,NiveyK,1,250,0.037218004,False,False,8567
114,NiveyK,1,257,0.0022620438,False,False,8767
115,NiveyK,1,260,0.083729796,False,False,8843
116,NiveyK,1,261,0.009207455,False,False,8881
117,NiveyK,1,265,0.010068159,False,False,8977
118,games5425898691,0,267,0.00030233082,False,False,9029
119,Queu deter,1,270,0.007875749,False,False,9107
120,Queu deter,1,272,0.013096898,False,False,9175
121,Queu deter,1,275,6.269262e-05,False,False,9258
122,games5425898691,0,278,0.044355355,False,False,9322
123,Queu deter,1,282,0.001234217,False,False,9455
124,Queu deter,1,284,0.0003225438,False,False,9502
125,Queu deter,1,287,0.0075123874,False,False,9583
126,NiveyK,1,288,0.20728585,False,False,9616
127,NiveyK,1,291,0.8237165,True,True,9706
128,games5425898691,0,292,0.036898933,False,False,9967
129,Queu deter,1,296,0.004201815,False,False,10084
130,Queu deter,1,298,0.016637057,False,False,10142
131,games5425898691,0,300,0.008176638,False,False,10188
