,shot_taker_name,is_orange,time,xg,goal
0,dodi06031998,0,0.0,0.0057637705,False
1,Anus da Guarda,0,13.0,0.44400772,True
2,enpitsu,1,47.0,0.39976043,False
3,games5425898691,1,80.0,0.31597567,False
4,games5425898691,1,127.0,0.1642107,False
5,games5425898691,1,128.0,0.60128754,False
6,enpitsu,1,149.0,0.0044264845,False
7,enpitsu,1,186.0,0.23396815,False
8,games5425898691,1,220.0,0.61676604,True
9,enpitsu,1,231.0,0.2925278,False
10,Anus da Guarda,0,275.0,0.8010947,True
11,Anus da Guarda,0,281.0,0.33386552,False
12,enpitsu,1,300.0,0.849779,True
