,shot_taker_name,is_orange,time,xg,shot,goal
0,Charter-Svein,1,0.0,0.0004170489,False,False
1,games5425898691,0,0.0,0.0003966098,False,False
2,quentin.jcq,1,0.0,0.0019294452,False,False
3,enpitsu,0,3.0,6.687092e-05,False,False
4,enpitsu,0,5.0,0.025317295,False,False
5,enpitsu,0,8.0,0.009383792,True,False
6,Charter-Svein,1,8.0,1.4079476e-05,False,False
7,Charter-Svein,1,11.0,0.005409852,False,False
8,quentin.jcq,1,14.0,0.006303707,False,False
9,quentin.jcq,1,14.0,0.0006820386,False,False
10,Charter-Svein,1,16.0,0.001134819,False,False
11,enpitsu,0,21.0,0.0002703157,False,False
12,games5425898691,0,23.0,0.0014376149,False,False
13,quentin.jcq,1,25.0,0.002336924,False,False
14,enpitsu,0,26.0,5.4808093e-05,False,False
15,quentin.jcq,1,29.0,0.10926543,False,False
16,Charter-Svein,1,31.0,0.34013107,False,False
17,games5425898691,0,33.0,0.002469129,False,False
18,quentin.jcq,1,35.0,0.00087673025,False,False
19,enpitsu,0,43.0,0.012884673,False,False
20,Charter-Svein,1,45.0,8.042313e-05,False,False
21,games5425898691,0,47.0,0.0008370242,False,False
22,games5425898691,0,49.0,0.023970446,False,False
23,games5425898691,0,50.0,0.09294164,False,False
24,quentin.jcq,1,51.0,4.0295163e-05,False,False
25,quentin.jcq,1,53.0,0.00018963116,False,False
26,enpitsu,0,54.0,0.033508107,False,False
27,games5425898691,0,57.0,0.10280866,False,False
28,quentin.jcq,1,62.0,0.0010307614,False,False
29,enpitsu,0,64.0,0.010338105,False,False
30,enpitsu,0,68.0,0.46488783,False,False
31,games5425898691,0,70.0,0.0019576252,False,False
32,Charter-Svein,1,73.0,0.00087492313,False,False
33,quentin.jcq,1,73.0,0.00085502764,False,False
34,enpitsu,0,75.0,0.07977283,True,True
35,Charter-Svein,1,76.0,0.0003975639,True,False
36,games5425898691,0,76.0,0.0002613809,False,False
37,quentin.jcq,1,83.0,0.00039953043,False,False
38,quentin.jcq,1,84.0,0.00051545457,False,False
