,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,33,0.37732467,True
1,enpitsu,0,43,0.6348514,False
2,Annabelle,1,104,0.21828674,False
3,games5425898691,0,110,0.59387136,True
4,Annabelle,1,134,0.23721837,False
5,Annabelle,1,135,0.12427696,False
6,Annabelle,1,142,0.84220713,True
7,khaledali0907,1,158,0.07003452,False
8,khaledali0907,1,163,0.32235873,False
9,Annabelle,1,196,0.8643053,True
10,games5425898691,0,262,0.0021287096,False
11,khaledali0907,1,279,0.23342769,False
12,Annabelle,1,372,0.42136225,False
13,games5425898691,0,386,0.3153913,False
