,shot_taker_name,is_orange,time,xg,shot,goal
0,fvbio._,1,0,0.0039543007,False,False
1,games5425898691,0,3,0.005199831,False,False
2,goldenhaz,1,6,0.0007743432,False,False
3,goldenhaz,1,9,0.0024570837,False,False
4,fvbio._,1,12,0.0017749859,False,False
5,fvbio._,1,15,0.01512187,False,True
6,games5425898691,0,15,0.00071615935,False,False
7,fvbio._,1,16,0.0018770902,False,False
8,enpitsu,0,16,0.010365437,False,False
9,enpitsu,0,20,0.46567902,True,True
10,games5425898691,0,20,0.0002889131,False,False
11,goldenhaz,1,20,0.00020124216,False,False
12,goldenhaz,1,21,0.000571426,False,False
13,goldenhaz,1,21,0.0003203456,False,False
14,goldenhaz,1,22,0.0014438371,False,False
15,goldenhaz,1,23,0.0013287473,False,False
16,goldenhaz,1,23,0.00017316396,False,False
17,enpitsu,0,23,0.0052750027,False,False
18,goldenhaz,1,23,0.0025388254,False,False
19,fvbio._,1,28,0.0052620675,True,False
20,games5425898691,0,30,0.00011976531,False,False
21,fvbio._,1,32,0.0017494947,False,False
22,games5425898691,0,34,0.096560605,False,False
23,fvbio._,1,38,6.790448e-05,False,False
24,fvbio._,1,40,0.0035075364,False,False
25,goldenhaz,1,44,0.0014741704,False,False
26,games5425898691,0,46,0.001181892,False,False
27,fvbio._,1,48,0.011877775,False,False
28,games5425898691,0,48,0.07614926,False,False
29,goldenhaz,1,52,0.052272063,False,False
30,enpitsu,0,53,0.00021484593,False,False
31,enpitsu,0,57,0.03098986,False,False
32,goldenhaz,1,59,0.0012777981,False,False
33,goldenhaz,1,62,0.004320081,False,False
34,goldenhaz,1,66,0.06017039,False,False
35,enpitsu,0,68,0.00016137752,False,False
36,fvbio._,1,72,0.037862815,False,False
37,games5425898691,0,75,4.0033177e-05,False,False
38,games5425898691,0,78,0.0022654298,False,False
39,games5425898691,0,79,0.013008387,False,False
40,games5425898691,0,79,0.17599793,True,False
41,games5425898691,0,85,0.0020267833,False,False
42,fvbio._,1,85,0.055170137,False,False
