,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,expert en brique,1,0.0,0.0023808607,False,False,170
1,games5425898691,0,0.0,0.019517044,False,False,171
2,Nosix,1,3.0,0.0023061552,False,False,274
3,games5425898691,0,7.0,0.0070182295,False,False,366
4,expert en brique,1,9.0,0.005693536,False,False,429
5,enpitsu,0,11.0,0.03363441,False,False,489
6,expert en brique,1,15.0,0.00032520786,False,False,596
7,expert en brique,1,17.0,0.0061417087,False,False,639
8,expert en brique,1,18.0,0.016463373,False,False,681
9,expert en brique,1,20.0,0.047033552,False,False,732
10,enpitsu,0,21.0,0.0035148405,False,False,759
11,Nosix,1,26.0,0.025920177,False,False,895
12,enpitsu,0,26.0,0.0153689915,False,False,897
13,enpitsu,0,28.0,0.015539605,False,False,963
14,expert en brique,1,30.0,0.0015157394,False,False,1005
15,games5425898691,0,31.0,0.0052805,False,False,1044
16,expert en brique,1,33.0,0.010827535,False,False,1091
17,games5425898691,0,35.0,0.0001896722,False,False,1149
18,games5425898691,0,36.0,0.000112484384,False,False,1160
19,games5425898691,0,36.0,0.00017077604,False,False,1177
20,games5425898691,0,36.0,0.00013010995,False,False,1181
21,games5425898691,0,39.0,0.0004951547,False,False,1244
22,games5425898691,0,40.0,0.0003923654,False,False,1280
23,games5425898691,0,41.0,0.00048447837,False,False,1302
24,enpitsu,0,42.0,0.0032042982,False,False,1348
25,expert en brique,1,45.0,0.0020004401,False,False,1427
26,games5425898691,0,48.0,0.00056050584,False,False,1514
27,Nosix,1,54.0,0.03437141,False,False,1656
28,games5425898691,0,56.0,0.00087916845,False,False,1727
29,games5425898691,0,57.0,0.26336122,False,False,1755
30,expert en brique,1,59.0,0.004851076,False,False,1804
31,expert en brique,1,62.0,0.26446918,True,False,1879
32,enpitsu,0,63.0,0.0009529219,False,False,1907
33,games5425898691,0,66.0,0.21471022,False,False,1983
34,games5425898691,0,69.0,0.40952986,False,False,2070
35,enpitsu,0,70.0,0.496893,False,False,2117
36,Nosix,1,72.0,0.020394616,False,False,2171
37,Nosix,1,75.0,0.45758334,True,False,2249
38,Nosix,1,76.0,0.33553532,True,False,2268
39,Nosix,1,76.0,0.2587377,True,False,2270
40,games5425898691,0,76.0,0.000140693,False,False,2277
41,games5425898691,0,80.0,0.0032776634,False,False,2376
42,Nosix,1,80.0,0.0075884084,False,False,2378
43,games5425898691,0,80.0,0.0011842602,False,False,2380
44,Nosix,1,80.0,0.0026291157,False,False,2387
45,expert en brique,1,83.0,0.016726892,False,False,2449
46,enpitsu,0,83.0,0.095517,False,False,2453
