,shot_taker_name,is_orange,time,xg,goal
0,Doritjoes,1,9,0.051914226,False
1,Doritjoes,1,18,0.16268435,False
2,Mogzy,1,24,0.08674591,False
3,Mogzy,1,97,0.22066277,False
4,enpitsu,0,110,0.4351361,False
5,enpitsu,0,112,0.72619,True
6,enpitsu,0,119,0.7991849,True
7,games5425898691,0,127,0.2560268,False
8,games5425898691,0,143,0.2989319,False
9,Mogzy,1,150,0.116655506,False
10,Mogzy,1,150,0.1400425,False
11,Mogzy,1,150,0.046859875,False
12,Mogzy,1,151,0.16944517,False
13,Mogzy,1,151,0.35120577,False
14,Mogzy,1,151,0.623147,True
15,Doritjoes,1,152,0.008952307,False
16,Doritjoes,1,214,0.1277043,False
17,games5425898691,0,249,0.2087128,True
18,Doritjoes,1,251,0.0028115097,False
19,enpitsu,0,278,0.20848824,False
20,enpitsu,0,278,0.35477182,False
21,Doritjoes,1,285,0.16826689,False
