,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,vicente98agu,0,0.0,0.00058193575,False,False,175
1,vicente98agu,0,0.0,0.00029015032,False,False,180
2,enpitsu,1,3.0,0.0044558635,False,False,254
3,vicente98agu,0,3.0,0.0002399601,False,False,259
4,Baguette,0,5.0,0.0054276125,False,False,314
5,Baguette,0,7.0,0.20770489,False,False,370
6,games5425898691,1,9.0,0.014319219,False,False,427
7,games5425898691,1,14.0,0.04941005,False,False,558
8,enpitsu,1,16.0,0.0037988203,False,False,629
9,Baguette,0,20.0,0.07339287,False,False,724
10,games5425898691,1,23.0,0.000510988,False,False,825
11,vicente98agu,0,26.0,0.009058461,False,False,886
12,games5425898691,1,28.0,0.00037771103,False,False,947
13,Baguette,0,30.0,0.006622532,False,False,1000
14,Baguette,0,33.0,0.058841605,False,False,1077
15,games5425898691,1,38.0,0.037943594,False,False,1217
16,Baguette,0,40.0,0.025370272,False,False,1294
17,Baguette,0,45.0,0.0058811717,False,False,1415
18,games5425898691,1,50.0,0.0002889988,False,False,1546
19,games5425898691,1,54.0,0.00050383,False,False,1668
20,Baguette,0,56.0,0.00866229,False,False,1713
21,enpitsu,1,59.0,0.0016762216,False,False,1796
22,games5425898691,1,61.0,0.0019446115,False,False,1853
23,Baguette,0,61.0,0.16386345,False,False,1854
24,vicente98agu,0,65.0,3.617279e-05,False,False,1972
25,Baguette,0,70.0,0.00022156505,False,False,2107
26,Baguette,0,73.0,0.0009640657,False,False,2179
27,Baguette,0,73.0,0.0042206855,False,False,2199
28,Baguette,0,75.0,0.026094964,False,False,2235
29,Baguette,0,76.0,0.5357744,True,False,2273
30,enpitsu,1,77.0,0.00082146924,False,False,2303
31,vicente98agu,0,80.0,0.11529234,False,False,2379
32,vicente98agu,0,82.0,0.027679881,False,False,2436
33,games5425898691,1,85.0,0.00056366436,False,False,2509
34,games5425898691,1,88.0,0.0058385986,False,False,2600
35,Baguette,0,90.0,0.0040873126,False,False,2649
36,enpitsu,1,96.0,5.3466392e-05,False,False,2812
37,enpitsu,1,98.0,0.0065916386,False,False,2881
38,vicente98agu,0,98.0,0.0011402777,False,False,2884
39,Baguette,0,100.0,0.030131342,False,False,2922
40,Baguette,0,103.0,0.004807829,False,False,3013
41,vicente98agu,0,107.0,0.004524676,False,False,3106
42,enpitsu,1,108.0,0.0133805,False,False,3155
43,Baguette,0,112.0,0.0006749266,False,False,3250
44,enpitsu,1,112.0,0.014289884,False,False,3251
45,Baguette,0,112.0,0.0002715344,False,False,3252
46,Baguette,0,115.0,0.0023355968,False,False,3331
47,enpitsu,1,117.0,0.0024015468,False,False,3384
48,enpitsu,1,118.0,0.21928178,False,False,3409
49,enpitsu,1,121.0,0.023757298,False,False,3491
50,Baguette,0,122.0,0.0023485324,False,False,3520
51,Baguette,0,124.0,0.13312536,False,False,3577
52,games5425898691,1,125.0,0.00011933486,False,False,3615
53,Baguette,0,129.0,0.0012443205,False,False,3709
54,Baguette,0,130.0,0.0014221917,False,False,3738
55,vicente98agu,0,132.0,0.10853059,False,False,3800
56,games5425898691,1,134.0,0.10220022,False,False,3854
57,games5425898691,1,137.0,0.4315583,True,False,3939
58,games5425898691,1,137.0,0.6672846,True,True,3951
59,vicente98agu,0,138.0,0.00034509375,False,False,4220
60,Baguette,0,140.0,0.017391458,False,False,4272
61,enpitsu,1,140.0,0.02091854,False,False,4275
62,games5425898691,1,145.0,0.0013973707,False,False,4419
63,Baguette,0,147.0,0.0004460436,False,False,4462
64,games5425898691,1,149.0,0.31920812,True,True,4520
65,Baguette,0,149.0,0.00440312,False,False,4789
66,enpitsu,1,154.0,0.0013870437,False,False,4926
67,Baguette,0,159.0,0.000882328,False,False,5049
68,Baguette,0,161.0,0.037632365,False,False,5112
69,games5425898691,1,164.0,0.009338706,False,False,5192
70,enpitsu,1,170.0,0.0017086505,True,False,5345
71,Baguette,0,172.0,0.0005612117,False,False,5422
72,Baguette,0,175.0,0.10560376,True,True,5496
73,vicente98agu,0,178.0,0.00029371484,False,False,5822
