,shot_taker_name,is_orange,time,xg,shot,goal
0,DuBzAcid,1,0,0.0017147566,False,False
1,games5425898691,0,0,0.005763825,False,False
2,enpitsu,0,5,0.0025688966,False,False
3,rrapstar,1,5,0.007908283,False,False
4,games5425898691,0,7,0.027062899,False,False
5,games5425898691,0,10,0.016130466,False,False
6,DuBzAcid,1,10,0.000254864,False,False
7,rrapstar,1,12,8.346826e-05,False,False
8,DuBzAcid,1,14,0.00064999337,False,False
9,rrapstar,1,19,0.0009300644,False,False
10,enpitsu,0,21,0.0009713808,False,False
11,games5425898691,0,24,0.010580517,False,False
12,enpitsu,0,28,0.8210454,True,True
13,rrapstar,1,28,0.0026470667,False,False
14,enpitsu,0,34,0.00029165467,False,False
15,rrapstar,1,35,0.056396037,False,False
16,games5425898691,0,37,0.00095537596,False,False
17,DuBzAcid,1,38,0.5423358,True,False
18,enpitsu,0,39,0.00035188213,False,False
19,enpitsu,0,43,0.0012731234,False,False
20,games5425898691,0,45,0.008629047,False,False
21,DuBzAcid,1,47,0.00020127074,False,False
22,DuBzAcid,1,49,0.00030201278,False,False
23,DuBzAcid,1,51,0.00024309376,False,False
24,DuBzAcid,1,52,0.0003231523,False,False
25,DuBzAcid,1,52,0.005521844,False,False
26,enpitsu,0,54,0.00058817473,False,False
27,games5425898691,0,56,0.008895697,False,False
28,games5425898691,0,59,0.01395342,True,False
29,games5425898691,0,61,0.5133317,False,False
30,DuBzAcid,1,63,0.00017213819,False,False
31,DuBzAcid,1,64,0.0079977,False,False
32,DuBzAcid,1,65,0.008566702,False,False
33,games5425898691,0,67,0.00032090803,False,False
34,games5425898691,0,71,0.0005136504,False,False
35,enpitsu,0,75,0.017264243,False,False
36,enpitsu,0,77,0.017816843,False,False
37,DuBzAcid,1,77,0.0028903214,False,False
38,rrapstar,1,83,0.00040157387,False,False
39,enpitsu,0,83,0.002303438,False,False
40,rrapstar,1,83,0.00037156232,False,False
41,DuBzAcid,1,86,0.010514898,False,False
42,games5425898691,0,86,0.13907011,False,False
43,enpitsu,0,90,0.062226765,False,False
44,games5425898691,0,92,0.6483465,False,False
45,rrapstar,1,92,0.00023755895,False,False
46,DuBzAcid,1,97,0.003533293,False,False
47,games5425898691,0,101,6.782469e-05,False,False
48,games5425898691,0,103,0.0029304815,False,True
49,rrapstar,1,106,0.0016854672,False,False
50,enpitsu,0,106,0.0013072478,False,False
51,games5425898691,0,109,0.12217059,False,False
52,DuBzAcid,1,112,0.0007645539,False,False
53,enpitsu,0,114,6.507072e-05,False,False
54,rrapstar,1,114,0.006764216,False,False
55,rrapstar,1,117,0.11276262,False,True
56,games5425898691,0,117,0.00019289454,False,False
57,rrapstar,1,117,0.001016582,False,False
58,enpitsu,0,117,0.0038230345,False,False
59,DuBzAcid,1,125,0.04376766,False,False
60,DuBzAcid,1,129,0.025321819,False,False
61,games5425898691,0,131,0.020885386,False,False
62,rrapstar,1,136,0.00021610656,False,False
63,enpitsu,0,140,0.0052353414,False,False
64,rrapstar,1,142,0.00059245556,False,False
65,games5425898691,0,142,0.14833514,False,False
66,games5425898691,0,146,0.0029584498,False,False
67,games5425898691,0,152,0.4265066,True,False
68,rrapstar,1,154,0.00083347765,False,False
69,rrapstar,1,157,0.2358535,False,False
70,enpitsu,0,162,0.043648403,False,False
71,rrapstar,1,164,0.00034994,False,False
72,DuBzAcid,1,166,0.044188783,False,False
73,enpitsu,0,168,0.00036722544,False,False
74,enpitsu,0,175,0.0058867587,False,False
75,rrapstar,1,176,0.016425326,True,True
76,games5425898691,0,179,0.00018001805,False,False
77,rrapstar,1,182,0.010952374,False,False
78,rrapstar,1,183,0.056783933,False,False
79,rrapstar,1,186,0.31204724,True,True
80,DuBzAcid,1,187,0.004858517,False,False
81,games5425898691,0,187,0.0018483854,False,False
82,DuBzAcid,1,190,0.00011347574,False,False
83,DuBzAcid,1,192,0.00088487566,False,False
84,enpitsu,0,196,0.0026173051,False,False
85,enpitsu,0,198,0.021184124,False,False
86,rrapstar,1,201,0.00019671574,False,False
87,rrapstar,1,203,0.0035769478,False,False
88,DuBzAcid,1,204,0.00066877913,False,False
89,rrapstar,1,207,0.0033433358,False,False
90,rrapstar,1,208,0.072112955,True,False
91,rrapstar,1,208,0.1383281,True,False
92,rrapstar,1,209,0.18010443,True,False
93,rrapstar,1,209,0.3336942,True,False
94,rrapstar,1,210,0.4724608,True,True
95,rrapstar,1,210,0.0020087336,False,False
96,games5425898691,0,210,0.00412203,False,False
97,enpitsu,0,213,0.0006666429,False,False
98,enpitsu,0,215,0.042865515,False,False
99,rrapstar,1,217,6.106042e-05,False,False
100,enpitsu,0,219,0.0019875567,False,False
101,DuBzAcid,1,221,0.006153004,False,False
102,DuBzAcid,1,223,0.3268405,True,True
103,rrapstar,1,225,0.0014038306,False,False
104,enpitsu,0,225,0.0063981167,False,False
105,games5425898691,0,228,0.00344548,False,False
106,DuBzAcid,1,230,0.004744441,False,False
107,enpitsu,0,232,0.074980095,True,False
108,rrapstar,1,234,0.0010858207,False,False
109,games5425898691,0,237,0.00048912386,False,False
110,rrapstar,1,239,0.0024811742,False,False
111,DuBzAcid,1,241,0.0021332696,False,False
112,enpitsu,0,242,0.008343401,False,False
113,enpitsu,0,244,0.0005890151,False,False
114,rrapstar,1,245,0.00019716867,False,False
115,enpitsu,0,246,0.15324725,False,False
116,rrapstar,1,249,0.00074213615,False,False
117,DuBzAcid,1,251,0.060921855,False,False
118,games5425898691,0,254,0.00021855108,False,False
119,games5425898691,0,255,0.00016554998,False,False
120,games5425898691,0,255,0.0009492216,False,False
121,DuBzAcid,1,256,0.28208175,False,False
122,enpitsu,0,258,0.0002346118,False,False
123,DuBzAcid,1,258,0.066901766,False,False
