,shot_taker_name,is_orange,time,xg,goal
0,PtHenk,1,0.0,0.0009947182,False
1,games5425898691,0,6.0,0.48416835,True
2,a_couchinho,1,26.0,0.30040643,False
3,enpitsu,0,40.0,0.42967206,True
4,games5425898691,0,46.0,0.099027455,False
5,games5425898691,0,60.0,0.67405075,True
6,a_couchinho,1,74.0,0.26955616,False
7,PtHenk,1,94.0,0.2549791,False
8,enpitsu,0,107.0,0.3514744,False
9,PtHenk,1,181.0,0.054812834,True
10,PtHenk,1,190.0,0.11126341,True
11,PtHenk,1,225.0,0.30890742,False
12,PtHenk,1,225.0,0.24108732,False
13,PtHenk,1,226.0,0.7296962,False
14,PtHenk,1,227.0,0.9054942,True
15,a_couchinho,1,254.0,0.49734896,False
16,games5425898691,0,286.0,0.2654452,True
17,a_couchinho,1,288.0,0.0100123705,False
18,PtHenk,1,293.0,0.5698459,False
