,shot_taker_name,is_orange,time,xg,goal
0,TheMightyB,1,19,0.32900187,False
1,enpitsu,0,54,0.64623874,True
2,TheMightyB,1,82,0.0838172,False
3,enpitsu,0,142,0.14069489,True
4,MightBeGoose,0,165,0.05729995,False
5,enpitsu,0,169,0.03708486,True
6,A Very Hip Opotamus ヅ,1,183,0.9084044,False
7,TheMightyB,1,203,0.7971675,True
8,A Very Hip Opotamus ヅ,1,246,0.086778745,True
9,MightBeGoose,0,249,0.020216111,True
10,A Very Hip Opotamus ヅ,1,271,0.74056774,True
11,TheMightyB,1,279,0.17800564,False
12,TheMightyB,1,279,0.016674997,False
13,TheMightyB,1,280,0.10731775,False
14,enpitsu,0,290,0.14877374,False
15,enpitsu,0,290,0.03210049,False
16,enpitsu,0,291,0.93509007,True
17,A Very Hip Opotamus ヅ,1,299,0.7553413,False
