,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,blablaxx,1,0.0,0.0010840772,False,False,170
1,enpitsu,0,0.0,0.016474856,False,False,171
2,games5425898691,0,4.0,0.13110596,False,False,288
3,blablaxx,1,11.0,0.00015549957,False,False,495
4,blablaxx,1,12.0,0.0001806932,False,False,517
5,games5425898691,0,14.0,0.005953264,False,False,570
6,games5425898691,0,15.0,0.002890415,False,False,588
7,games5425898691,0,15.0,0.011176392,False,False,601
8,blablaxx,1,17.0,0.0016546967,False,False,657
9,enpitsu,0,20.0,0.00049840997,False,False,719
10,enpitsu,0,22.0,0.021684922,False,False,799
11,blablaxx,1,22.0,0.0007221375,False,False,800
12,games5425898691,0,24.0,0.022017905,True,False,853
13,blablaxx,1,26.0,0.0030660378,False,False,886
14,enpitsu,0,28.0,0.0005673692,False,False,959
15,YM3159,1,32.0,0.010256533,False,False,1067
16,games5425898691,0,34.0,0.015906861,False,False,1118
17,blablaxx,1,36.0,0.0029905888,False,False,1168
18,enpitsu,0,38.0,0.08023908,False,False,1215
19,blablaxx,1,38.0,0.0050785355,False,False,1216
20,blablaxx,1,41.0,0.17500094,True,True,1309
21,YM3159,1,42.0,0.0030195438,False,False,1588
22,games5425898691,0,42.0,0.0017953055,False,False,1590
23,blablaxx,1,47.0,0.24181938,True,False,1717
24,enpitsu,0,47.0,0.006370222,False,False,1722
25,YM3159,1,54.0,0.0024232194,False,False,1915
26,games5425898691,0,55.0,0.00072641246,False,False,1957
27,games5425898691,0,59.0,0.009686839,False,False,2055
28,blablaxx,1,60.0,0.010729589,False,False,2085
29,YM3159,1,63.0,0.0006551504,False,False,2162
30,blablaxx,1,65.0,0.15823236,False,False,2217
31,blablaxx,1,68.0,0.0044017658,False,False,2290
32,games5425898691,0,69.0,0.031433508,False,True,2322
33,blablaxx,1,72.0,0.0023575816,False,False,2676
34,YM3159,1,79.0,0.009433357,False,False,2846
35,games5425898691,0,80.0,0.0094392,False,False,2890
36,games5425898691,0,84.0,0.0072504287,False,False,2982
37,games5425898691,0,87.0,0.007908268,False,False,3082
38,YM3159,1,89.0,0.00033309867,False,False,3127
39,YM3159,1,92.0,0.003016439,False,False,3222
40,YM3159,1,93.0,0.00040602157,False,False,3240
41,YM3159,1,93.0,0.00020571022,False,False,3251
42,enpitsu,0,94.0,0.0386245,True,False,3275
43,YM3159,1,94.0,0.030290477,False,False,3277
