,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0.0,0.0011157586,False,False,169
1,max_stetsun,0,0.0,0.0049647437,False,False,171
2,enpitsu,1,0.0,0.0005261593,False,False,172
3,max_stetsun,0,0.0,0.00039547266,False,False,176
4,enpitsu,1,1.0,0.002089679,False,False,212
5,enpitsu,1,2.0,0.009701987,False,False,235
6,max_stetsun,0,2.0,0.00039754098,False,False,240
7,enpitsu,1,2.0,0.044151306,False,False,242
8,enpitsu,1,6.0,0.024031427,False,False,360
9,games5425898691,1,9.0,0.28624442,False,False,440
10,chickenlegpeice_,0,10.0,0.0003087287,False,False,446
11,max_stetsun,0,11.0,0.0002485979,False,False,487
12,games5425898691,1,12.0,0.002099595,False,False,512
13,games5425898691,1,14.0,0.46443957,False,False,579
14,enpitsu,1,15.0,0.73704153,True,True,589
15,games5425898691,1,15.0,0.0058087083,True,False,858
16,games5425898691,1,16.0,0.09505303,True,False,889
17,games5425898691,1,17.0,0.29864508,False,False,900
18,enpitsu,1,20.0,0.6871387,False,False,987
19,games5425898691,1,22.0,0.09828083,False,False,1058
20,chickenlegpeice_,0,22.0,0.00031205185,False,False,1059
21,games5425898691,1,22.0,0.039158095,False,False,1060
22,chickenlegpeice_,0,25.0,0.10205796,False,False,1135
23,max_stetsun,0,28.0,0.119322844,True,False,1225
24,games5425898691,1,29.0,0.0016280775,False,False,1247
25,chickenlegpeice_,0,30.0,0.60700935,True,True,1277
26,chickenlegpeice_,0,32.0,0.0023747864,False,False,1572
27,max_stetsun,0,37.0,0.0026056897,False,False,1717
28,games5425898691,1,37.0,0.004286313,False,False,1726
29,chickenlegpeice_,0,39.0,0.00051866646,False,False,1758
30,chickenlegpeice_,0,40.0,0.006650475,False,False,1785
31,enpitsu,1,41.0,0.005292847,False,False,1810
32,max_stetsun,0,45.0,0.0038973542,False,False,1936
33,chickenlegpeice_,0,50.0,0.0065355795,False,False,2079
34,enpitsu,1,51.0,0.007128317,False,False,2103
35,enpitsu,1,54.0,0.02466267,False,False,2193
36,enpitsu,1,57.0,0.001903618,False,False,2271
37,max_stetsun,0,60.0,0.00030949875,False,False,2341
38,enpitsu,1,62.0,0.0077198264,False,False,2396
39,chickenlegpeice_,0,64.0,0.0030844647,False,False,2448
40,games5425898691,1,69.0,0.0032077453,False,False,2604
41,games5425898691,1,71.0,0.29096538,False,False,2648
42,enpitsu,1,74.0,0.0017538879,False,False,2741
43,games5425898691,1,79.0,0.023411434,False,False,2876
44,chickenlegpeice_,0,82.0,0.0008373783,False,False,2962
45,chickenlegpeice_,0,85.0,0.014483391,False,False,3028
46,enpitsu,1,85.0,0.0033526628,False,False,3031
47,max_stetsun,0,87.0,0.00010469652,False,False,3087
48,max_stetsun,0,90.0,0.006788337,False,False,3166
49,max_stetsun,0,90.0,0.010070787,False,False,3174
50,max_stetsun,0,91.0,0.022183012,False,False,3194
51,max_stetsun,0,91.0,0.017221725,False,False,3198
52,max_stetsun,0,92.0,0.45020217,True,False,3212
