,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,0,8,0.01784299,False
1,Rike Prinse,1,13,0.03292451,True
2,Rike Prinse,1,18,0.5346884,True
3,Rike Prinse,1,22,0.7745838,False
4,games5425898691,0,30,0.14151858,False
5,games5425898691,0,32,0.9103999,True
6,games5425898691,0,45,0.25615305,False
7,games5425898691,0,45,0.35818237,False
8,games5425898691,0,46,0.3117777,False
9,games5425898691,0,46,0.304685,False
10,games5425898691,0,46,0.21712834,True
11,enpitsu,0,47,0.3003159,False
12,enpitsu,0,48,0.34105733,False
13,enpitsu,0,48,0.341344,False
14,enpitsu,0,52,0.63052595,True
15,Rike Prinse,1,87,0.15833564,False
16,funtobedavid,1,96,0.9687321,False
17,games5425898691,0,128,0.25735894,False
18,games5425898691,0,170,0.37010136,True
19,Rike Prinse,1,224,0.502692,True
20,enpitsu,0,235,0.8955453,True
