,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,JohnyKinny,0,0,0.0009880922,False,False,170
1,games5425898691,1,2,0.03910824,False,False,248
2,enpitsu,1,6,0.020069275,False,False,362
3,Tigas007TGS,0,9,0.002235265,False,False,426
4,Tigas007TGS,0,13,0.27153593,False,False,532
5,JohnyKinny,0,16,0.0056014247,False,False,613
6,Tigas007TGS,0,20,0.24469127,False,False,733
7,games5425898691,1,20,0.00038683173,False,False,734
8,games5425898691,1,24,0.008700783,False,False,835
9,games5425898691,1,28,0.15359078,True,False,946
10,JohnyKinny,0,29,0.0004966905,False,False,971
11,Tigas007TGS,0,30,0.001032741,False,False,1013
12,Tigas007TGS,0,31,0.00043309754,False,False,1037
13,JohnyKinny,0,34,0.30631202,False,False,1119
14,games5425898691,1,38,0.000387049,False,False,1226
15,Tigas007TGS,0,41,0.008248443,False,False,1321
16,games5425898691,1,42,0.03833976,False,False,1323
17,JohnyKinny,0,45,0.00022862304,False,False,1412
18,Tigas007TGS,0,50,0.10774269,False,False,1562
19,Tigas007TGS,0,54,0.016254928,False,False,1673
20,Tigas007TGS,0,54,0.008981994,False,False,1677
21,games5425898691,1,56,0.008623155,False,False,1726
22,JohnyKinny,0,59,0.0013441484,False,False,1817
23,JohnyKinny,0,66,0.0029956417,False,False,1994
24,JohnyKinny,0,67,0.001690041,False,False,2010
25,enpitsu,1,70,0.06298824,False,False,2119
26,games5425898691,1,73,0.1347831,True,True,2198
27,JohnyKinny,0,75,0.0012234371,True,False,2504
28,enpitsu,1,75,0.0009899815,False,False,2505
29,Tigas007TGS,0,78,0.0017457387,False,False,2591
30,games5425898691,1,81,0.0011398136,False,False,2659
31,JohnyKinny,0,83,0.0024334383,False,False,2735
32,JohnyKinny,0,84,0.0010840488,False,False,2754
33,games5425898691,1,84,0.0014595232,False,False,2756
34,enpitsu,1,91,0.00027662065,False,False,2930
35,games5425898691,1,93,0.004310617,False,False,2991
36,JohnyKinny,0,95,0.0003865449,False,False,3049
37,enpitsu,1,96,0.55042744,True,True,3090
38,enpitsu,1,97,0.0010164508,False,False,3368
39,JohnyKinny,0,97,0.0006650089,False,False,3369
40,Tigas007TGS,0,99,0.1483581,True,False,3428
41,games5425898691,1,101,0.00055347744,False,False,3469
42,JohnyKinny,0,108,0.0032792604,False,False,3657
43,games5425898691,1,111,0.00055355264,False,False,3740
44,games5425898691,1,113,0.03721926,False,False,3815
45,JohnyKinny,0,116,0.0003673207,False,False,3897
46,enpitsu,1,121,0.0395055,False,False,4027
47,games5425898691,1,123,0.39330348,True,True,4088
48,Tigas007TGS,0,124,0.00277589,True,False,4351
49,games5425898691,1,124,0.0019137803,False,False,4353
50,JohnyKinny,0,126,0.0015632637,False,False,4425
51,JohnyKinny,0,130,0.0048162187,False,False,4526
52,games5425898691,1,133,0.00043023768,False,False,4606
53,Tigas007TGS,0,135,0.009123594,False,False,4652
54,Tigas007TGS,0,137,0.051475625,True,True,4708
55,enpitsu,1,138,0.0015748373,False,False,5000
56,JohnyKinny,0,138,0.0007361191,False,False,5001
57,Tigas007TGS,0,142,0.0009356135,False,False,5093
58,enpitsu,1,145,0.017705273,False,False,5194
59,Tigas007TGS,0,147,5.3807296e-05,False,False,5249
60,JohnyKinny,0,150,0.0042735636,False,False,5328
61,enpitsu,1,153,0.024276018,False,False,5412
62,enpitsu,1,156,0.22973318,False,False,5503
63,Tigas007TGS,0,158,0.18826202,False,False,5555
64,Tigas007TGS,0,160,0.017719079,False,False,5594
65,Tigas007TGS,0,161,0.01965334,False,False,5625
66,Tigas007TGS,0,161,0.0068940925,False,False,5633
67,Tigas007TGS,0,162,0.005291642,False,False,5642
68,Tigas007TGS,0,163,0.27150717,False,False,5671
69,Tigas007TGS,0,163,0.28510305,False,False,5676
70,games5425898691,1,163,0.0001028576,False,False,5686
71,games5425898691,1,165,0.00035969718,False,False,5725
72,games5425898691,1,165,0.00010493129,False,False,5731
73,JohnyKinny,0,167,0.00019673018,False,False,5805
74,JohnyKinny,0,168,9.162077e-05,False,False,5821
75,JohnyKinny,0,169,0.0003295565,False,False,5840
76,enpitsu,1,169,0.027332561,False,False,5846
77,enpitsu,1,173,0.83378744,True,True,5951
78,JohnyKinny,0,173,0.010618147,False,False,6221
79,enpitsu,1,173,0.000989409,False,False,6222
80,Tigas007TGS,0,175,0.0030604883,False,False,6268
81,Tigas007TGS,0,179,0.0008334892,False,False,6372
82,Tigas007TGS,0,179,0.001142041,False,False,6384
83,Tigas007TGS,0,180,0.0024866397,False,False,6404
84,enpitsu,1,181,0.0020573186,False,False,6417
85,enpitsu,1,186,0.19789721,True,False,6574
86,JohnyKinny,0,187,0.00046083363,False,False,6588
87,JohnyKinny,0,189,0.0026314713,False,False,6652
88,JohnyKinny,0,191,0.0005901277,False,False,6693
89,enpitsu,1,191,0.001553676,False,False,6696
90,JohnyKinny,0,193,0.00044532324,False,False,6765
91,JohnyKinny,0,194,0.0016493582,False,False,6795
92,JohnyKinny,0,195,0.0006513247,False,False,6804
93,JohnyKinny,0,195,0.0012504833,False,False,6819
94,JohnyKinny,0,196,0.00019153392,False,False,6834
95,JohnyKinny,0,196,0.0012492428,False,False,6843
96,JohnyKinny,0,196,0.0006504956,False,False,6851
97,JohnyKinny,0,197,0.0013171171,False,False,6868
98,JohnyKinny,0,197,0.0009062885,False,False,6877
99,JohnyKinny,0,197,0.0018668682,False,False,6881
100,JohnyKinny,0,200,0.014964865,False,False,6943
101,games5425898691,1,203,0.0005016257,False,False,7048
102,enpitsu,1,209,0.0010447477,False,False,7187
103,enpitsu,1,213,0.020538481,False,False,7301
104,JohnyKinny,0,213,0.00022945179,False,False,7315
105,JohnyKinny,0,214,0.00019559373,False,False,7327
106,games5425898691,1,214,0.26875088,True,True,7341
