,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0,0.02205746,False,False,178
1,games5425898691,1,1,0.030228278,False,False,223
2,FullSpectrum,0,8,0.002162506,False,False,405
3,enpitsu,1,9,0.2813158,True,False,434
4,BoofBung,0,12,0.003882999,False,False,513
5,enpitsu,1,13,0.0012042434,False,False,546
6,enpitsu,1,15,0.0042349524,False,False,599
7,FullSpectrum,0,18,0.00015470952,False,False,676
8,FullSpectrum,0,20,8.052167e-05,False,False,728
9,FullSpectrum,0,21,0.020375762,False,False,781
10,games5425898691,1,23,0.001219259,False,False,824
11,BoofBung,0,25,0.00061432936,False,False,882
12,enpitsu,1,27,0.011398232,False,False,927
13,BoofBung,0,30,0.00029348783,False,False,1006
14,games5425898691,1,33,0.29511553,True,True,1107
15,BoofBung,0,34,0.0060645486,False,False,1399
16,BoofBung,0,35,0.0014726305,False,False,1409
17,enpitsu,1,36,0.069335416,True,True,1434
18,BoofBung,0,38,0.0022108795,False,False,1742
19,FullSpectrum,0,44,0.002912318,False,False,1915
20,BoofBung,0,47,0.023538567,False,False,1997
21,games5425898691,1,47,0.0005477614,False,False,1998
22,BoofBung,0,50,0.01635307,False,False,2068
23,FullSpectrum,0,52,0.0027676418,False,False,2122
24,FullSpectrum,0,53,0.0009321612,True,False,2151
25,games5425898691,1,53,0.0035617356,False,False,2157
26,BoofBung,0,58,0.0055379164,False,False,2292
27,enpitsu,1,60,0.08017825,False,False,2341
28,BoofBung,0,61,7.383596e-05,False,False,2367
29,BoofBung,0,61,8.0005266e-05,False,False,2383
30,FullSpectrum,0,62,0.0021494718,False,False,2419
31,games5425898691,1,68,0.0006150295,False,False,2572
32,games5425898691,1,71,0.0030726825,False,False,2647
33,enpitsu,1,74,0.0069411458,False,False,2734
34,FullSpectrum,0,74,0.008899641,False,False,2739
35,enpitsu,1,74,0.0013799223,False,False,2740
36,BoofBung,0,77,0.0006012878,False,False,2824
37,BoofBung,0,78,0.049084596,False,False,2859
38,games5425898691,1,79,0.07076214,False,False,2869
39,games5425898691,1,81,0.4982063,False,False,2936
40,enpitsu,1,84,0.10886429,False,False,3007
41,games5425898691,1,85,0.099279255,False,False,3037
42,games5425898691,1,85,0.04503782,False,False,3048
43,games5425898691,1,86,0.018774888,False,False,3059
44,FullSpectrum,0,86,0.00018269589,False,False,3067
45,games5425898691,1,86,0.09894786,False,False,3072
46,enpitsu,1,89,0.42073658,True,True,3140
47,enpitsu,1,89,0.0062441225,False,False,3403
48,FullSpectrum,0,89,0.024602633,False,False,3407
49,games5425898691,1,93,0.0009757525,False,False,3502
50,BoofBung,0,95,0.0044658966,False,False,3573
51,games5425898691,1,98,0.004856952,False,False,3640
52,FullSpectrum,0,102,0.0006398183,False,False,3744
53,FullSpectrum,0,104,0.019738846,False,False,3819
54,enpitsu,1,106,0.003659379,False,False,3869
55,BoofBung,0,106,0.36705908,False,False,3870
56,enpitsu,1,106,4.3161064e-05,False,False,3871
57,enpitsu,1,112,0.010676645,False,False,4029
58,enpitsu,1,113,0.0113510825,False,False,4049
59,enpitsu,1,113,0.020185526,False,False,4066
60,FullSpectrum,0,114,0.014140935,False,False,4074
61,BoofBung,0,117,0.012297022,False,False,4160
62,games5425898691,1,117,0.0007104093,False,False,4162
63,FullSpectrum,0,120,0.53493094,True,False,4246
64,enpitsu,1,124,0.32460016,True,True,4374
65,FullSpectrum,0,127,0.0009954158,False,False,4710
66,enpitsu,1,128,0.003935235,False,False,4712
67,FullSpectrum,0,128,0.0005186605,False,False,4714
68,BoofBung,0,129,0.00083235657,False,False,4745
69,BoofBung,0,129,0.0014246209,False,False,4761
70,BoofBung,0,130,0.05508945,False,False,4773
71,FullSpectrum,0,134,0.0126537625,False,False,4877
72,FullSpectrum,0,135,0.043456677,False,False,4920
73,FullSpectrum,0,140,0.22280565,True,False,5049
74,BoofBung,0,141,0.8499516,True,True,5085
75,FullSpectrum,0,141,0.0037594978,True,False,5353
76,enpitsu,1,141,0.0016964653,False,False,5354
77,BoofBung,0,144,0.0012572836,False,False,5419
78,enpitsu,1,145,0.00771439,False,False,5461
79,games5425898691,1,148,0.007150879,False,False,5528
80,games5425898691,1,150,0.026823044,False,False,5577
81,BoofBung,0,154,0.002057161,False,False,5690
82,FullSpectrum,0,156,0.21854831,True,True,5764
83,games5425898691,1,159,0.0006737078,False,False,6095
84,BoofBung,0,159,0.0011957757,False,False,6096
85,BoofBung,0,159,0.0056219767,False,False,6108
86,BoofBung,0,160,0.000622828,False,False,6126
87,games5425898691,1,160,0.28219533,True,True,6130
88,BoofBung,0,162,0.0043076673,False,False,6436
89,games5425898691,1,162,0.006517857,False,False,6437
90,BoofBung,0,162,0.0005346941,False,False,6440
91,games5425898691,1,162,0.001450677,False,False,6441
92,FullSpectrum,0,164,0.0076601314,False,False,6483
93,FullSpectrum,0,166,0.0700148,False,False,6551
94,games5425898691,1,169,0.0005892579,False,False,6615
95,BoofBung,0,169,0.11756568,False,False,6626
96,games5425898691,1,169,0.0029266845,False,False,6628
97,games5425898691,1,172,0.21885876,False,False,6704
98,games5425898691,1,174,0.4980353,False,False,6770
99,FullSpectrum,0,175,0.00026703614,False,False,6793
100,FullSpectrum,0,177,0.09429977,False,False,6855
101,games5425898691,1,178,0.0022140036,False,False,6861
102,BoofBung,0,179,0.0015991048,False,False,6891
103,BoofBung,0,181,0.010327841,False,False,6956
104,games5425898691,1,182,0.0016116159,False,False,6990
105,games5425898691,1,185,0.0005860782,False,False,7060
106,FullSpectrum,0,187,0.0042391852,False,False,7114
107,FullSpectrum,0,188,0.0034846691,False,False,7154
108,BoofBung,0,190,0.0012163157,False,False,7200
109,games5425898691,1,192,0.0005089442,False,False,7261
110,games5425898691,1,197,0.001598805,False,False,7380
111,games5425898691,1,198,0.0072723827,False,False,7421
112,FullSpectrum,0,198,0.002699969,False,False,7425
113,enpitsu,1,201,0.35574237,True,False,7506
114,games5425898691,1,202,0.41035733,False,False,7530
115,FullSpectrum,0,207,0.10456763,False,False,7660
116,games5425898691,1,208,0.00080679177,False,False,7706
117,BoofBung,0,212,0.002052277,False,False,7803
118,BoofBung,0,215,0.0012547086,False,False,7886
119,games5425898691,1,215,0.001445362,False,False,7897
120,FullSpectrum,0,219,0.01698398,False,False,7997
121,FullSpectrum,0,222,0.00075282354,False,False,8075
122,BoofBung,0,224,0.016532077,False,False,8126
123,enpitsu,1,224,0.02035695,False,False,8129
124,BoofBung,0,226,0.0011646881,False,False,8197
125,games5425898691,1,228,0.0032986996,False,False,8241
126,games5425898691,1,229,0.0060774824,False,False,8259
127,games5425898691,1,229,0.005569415,False,False,8270
128,games5425898691,1,229,0.0045342823,False,False,8283
129,games5425898691,1,230,0.018100968,False,False,8300
130,games5425898691,1,231,0.024285264,False,False,8314
131,enpitsu,1,231,0.012673228,False,False,8317
132,games5425898691,1,231,0.026432095,False,False,8318
133,enpitsu,1,231,0.0054553435,False,False,8320
134,FullSpectrum,0,232,0.010533672,False,False,8356
135,games5425898691,1,232,0.038453974,False,False,8357
136,FullSpectrum,0,232,0.0016543115,False,True,8358
137,enpitsu,1,236,0.0041715694,False,False,8453
138,BoofBung,0,237,0.008102597,True,False,8498
139,enpitsu,1,239,0.01289475,False,False,8795
140,enpitsu,1,243,0.08851318,False,False,8897
141,BoofBung,0,243,0.0002509711,False,False,8900
142,BoofBung,0,245,0.00029111045,False,False,8960
143,enpitsu,1,245,0.0044293622,False,False,8962
144,BoofBung,0,245,0.00033516315,False,False,8964
145,enpitsu,1,245,0.000457974,False,False,8967
146,enpitsu,1,246,0.00083511975,False,False,8979
147,games5425898691,1,246,0.01664102,False,False,8999
148,FullSpectrum,0,248,0.0018560374,False,False,9052
149,enpitsu,1,251,0.006369688,False,False,9126
150,FullSpectrum,0,252,0.00715456,False,False,9153
151,games5425898691,1,254,0.008172733,False,False,9204
152,enpitsu,1,256,0.4235384,True,True,9258
153,enpitsu,1,257,0.0031216668,False,False,9543
154,FullSpectrum,0,257,0.0004455742,False,False,9546
155,enpitsu,1,257,0.00161763,False,False,9547
156,BoofBung,0,258,0.045518868,True,False,9571
157,games5425898691,1,260,0.0006121782,False,False,9632
158,games5425898691,1,264,0.08127293,False,False,9724
159,FullSpectrum,0,266,0.0125592295,False,False,9779
160,FullSpectrum,0,268,0.4322213,False,False,9840
161,enpitsu,1,268,0.00010224104,False,False,9859
162,BoofBung,0,271,0.00025858096,False,False,9924
163,enpitsu,1,273,0.00018873716,False,False,9984
164,BoofBung,0,273,0.0024099697,False,False,9995
165,games5425898691,1,274,0.0052540717,False,False,10017
166,games5425898691,1,276,0.046251804,False,False,10065
167,FullSpectrum,0,277,0.067882456,False,False,10080
168,enpitsu,1,280,0.012881877,False,False,10172
169,BoofBung,0,282,0.00057063217,False,False,10225
170,games5425898691,1,284,0.14521469,True,True,10275
171,FullSpectrum,0,286,0.0001863238,False,False,10335
172,FullSpectrum,0,286,0.00081721647,False,False,10612
173,BoofBung,0,290,0.0020936423,False,False,10701
174,games5425898691,1,292,0.0013486153,False,False,10752
175,FullSpectrum,0,294,0.33257905,False,False,10806
176,BoofBung,0,297,0.0017016634,False,False,10901
177,BoofBung,0,298,0.007085333,False,False,10928
