,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,Banana_Party06,0,0.0,0.0039925645,False,False,169
1,enpitsu,1,0.0,0.000765923,False,False,170
2,enpitsu,1,0.0,0.00045733034,False,False,181
3,enpitsu,1,2.0,0.0017350642,False,False,231
4,enpitsu,1,4.0,0.049041893,True,False,285
5,Freisterr_,0,4.0,0.0011576826,False,False,300
6,games5425898691,1,8.0,0.0017546045,False,False,408
7,enpitsu,1,11.0,0.13896525,False,False,483
8,Banana_Party06,0,14.0,0.00025339713,False,False,578
9,games5425898691,1,16.0,0.20339084,False,False,635
10,Freisterr_,0,20.0,0.07483347,True,True,726
11,Freisterr_,0,23.0,0.0005294073,False,False,1066
12,Banana_Party06,0,25.0,0.0017220064,False,False,1120
13,games5425898691,1,25.0,0.045692585,False,False,1121
14,Freisterr_,0,28.0,0.000619031,False,False,1201
15,games5425898691,1,31.0,0.00053062127,False,False,1302
16,games5425898691,1,33.0,0.12067095,True,False,1360
17,games5425898691,1,35.0,0.077839434,True,False,1391
18,Banana_Party06,0,35.0,0.0024634441,False,False,1402
19,enpitsu,1,38.0,0.029077886,True,False,1484
20,Banana_Party06,0,40.0,0.0034581905,False,False,1544
21,Banana_Party06,0,48.0,8.140514e-05,False,False,1759
22,Banana_Party06,0,50.0,0.0153661,False,False,1813
23,enpitsu,1,52.0,0.00013286229,False,False,1862
24,games5425898691,1,56.0,0.015003355,False,False,1991
25,games5425898691,1,59.0,0.010998705,False,False,2069
26,Freisterr_,0,62.0,0.00035785843,False,False,2146
27,Freisterr_,0,64.0,0.0011232547,False,False,2214
28,Freisterr_,0,68.0,0.004606178,False,False,2307
29,games5425898691,1,68.0,0.0010350513,False,False,2315
30,games5425898691,1,74.0,0.00016373224,False,False,2483
31,Banana_Party06,0,75.0,0.0028608236,False,False,2516
32,Banana_Party06,0,78.0,0.014823764,False,False,2588
33,enpitsu,1,81.0,0.00015950289,False,False,2656
34,games5425898691,1,82.0,0.00030955186,False,False,2699
35,games5425898691,1,85.0,0.025666198,False,False,2790
36,games5425898691,1,89.0,0.004843008,False,False,2880
37,Freisterr_,0,90.0,0.00013124863,False,False,2926
38,games5425898691,1,92.0,0.0032186436,False,False,2984
39,Banana_Party06,0,95.0,0.0015847606,False,False,3055
40,games5425898691,1,96.0,0.00017223226,False,False,3091
41,Banana_Party06,0,97.0,0.047673725,False,False,3095
42,enpitsu,1,100.0,0.00012397295,False,False,3195
43,Banana_Party06,0,102.0,0.01249464,False,False,3248
44,games5425898691,1,106.0,0.00028941047,False,False,3341
45,Banana_Party06,0,109.0,0.1559244,False,False,3429
46,enpitsu,1,110.0,0.000476696,False,False,3465
47,games5425898691,1,113.0,0.045159023,False,False,3536
48,Freisterr_,0,116.0,0.00013339164,False,False,3633
49,Freisterr_,0,119.0,0.009696312,False,False,3722
50,enpitsu,1,121.0,0.0021669103,False,False,3778
51,enpitsu,1,125.0,0.07913344,False,False,3887
52,games5425898691,1,128.0,0.38489056,True,False,3950
53,Freisterr_,0,131.0,0.000101563375,False,False,4043
54,Freisterr_,0,132.0,0.00021545232,False,False,4063
55,Freisterr_,0,133.0,0.0012047011,False,False,4082
56,Banana_Party06,0,136.0,0.035195347,True,False,4171
57,games5425898691,1,138.0,0.0013703085,False,False,4234
58,games5425898691,1,141.0,0.0027849148,False,False,4314
59,Freisterr_,0,145.0,0.004406338,False,False,4422
60,Freisterr_,0,149.0,0.0014643896,False,False,4542
61,Freisterr_,0,151.0,0.15757427,True,True,4581
62,enpitsu,1,152.0,0.00027043093,False,False,4613
63,Freisterr_,0,152.0,0.0014175659,True,False,4868
64,games5425898691,1,152.0,0.0052060997,False,False,4870
65,Banana_Party06,0,155.0,0.015103254,False,False,4965
66,enpitsu,1,157.0,0.020961383,False,False,5017
67,Freisterr_,0,159.0,0.00253834,False,False,5063
68,games5425898691,1,164.0,0.00054291385,False,False,5199
69,games5425898691,1,164.0,0.004475674,False,False,5211
