,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,0,0,0.0005459298,False,False
1,tranetyk123,1,0,0.0004142729,False,False
2,enpitsu,0,5,0.00027334195,False,False
3,enpitsu,0,6,0.0012292718,False,False
4,enpitsu,0,8,0.060457412,False,False
5,PostMandPer.,1,8,0.012568552,False,False
6,games5425898691,0,10,0.0001271925,False,False
7,games5425898691,0,12,5.071528e-05,False,False
8,PostMandPer.,1,13,0.112307616,True,True
9,PostMandPer.,1,14,0.0006952122,True,False
10,games5425898691,0,14,0.003921648,False,False
11,tranetyk123,1,19,0.00018459825,False,False
12,games5425898691,0,21,0.0020905333,False,False
13,PostMandPer.,1,24,0.0008174112,False,False
14,enpitsu,0,24,0.011703886,False,False
15,games5425898691,0,26,0.0029006025,False,False
16,PostMandPer.,1,27,0.0005078812,False,False
17,games5425898691,0,29,0.4311797,True,False
18,tranetyk123,1,29,3.942495e-05,False,False
19,games5425898691,0,32,0.0018961655,False,False
20,PostMandPer.,1,36,9.541628e-05,False,False
21,PostMandPer.,1,38,0.0006903602,False,False
22,PostMandPer.,1,38,5.7083907e-05,False,False
23,PostMandPer.,1,41,0.0031515905,False,False
24,games5425898691,0,44,0.05328215,True,False
25,tranetyk123,1,45,0.0005410366,False,False
26,games5425898691,0,48,0.009529256,False,False
27,enpitsu,0,50,0.003831397,False,False
28,enpitsu,0,52,0.031521566,False,False
29,tranetyk123,1,55,0.0042614467,False,False
30,tranetyk123,1,57,0.0023189986,False,False
31,tranetyk123,1,59,0.003132488,False,False
32,tranetyk123,1,60,0.015013104,False,False
33,tranetyk123,1,60,0.03477047,False,False
34,games5425898691,0,60,0.00043318034,False,False
35,games5425898691,0,62,0.00013479058,False,False
36,games5425898691,0,65,0.032162543,False,False
37,tranetyk123,1,72,8.823791e-06,False,False
38,enpitsu,0,74,0.007995412,False,False
39,enpitsu,0,76,0.0149226105,False,False
40,enpitsu,0,77,0.056035813,False,False
41,games5425898691,0,78,0.25503072,True,True
42,enpitsu,0,78,0.00980859,False,False
43,tranetyk123,1,78,0.00020929935,False,False
44,enpitsu,0,78,0.00081870443,False,False
45,PostMandPer.,1,80,0.0002153256,False,False
46,PostMandPer.,1,81,0.002028443,False,False
47,enpitsu,0,84,0.0001792531,False,False
48,games5425898691,0,85,4.0195413e-05,False,False
49,enpitsu,0,89,9.6948024e-05,False,False
50,enpitsu,0,92,0.0064335656,False,False
51,tranetyk123,1,92,0.0012293503,False,False
52,games5425898691,0,94,0.0028525246,False,False
53,games5425898691,0,96,0.0059482376,False,False
54,tranetyk123,1,97,4.0382794e-05,False,False
55,games5425898691,0,99,0.0014452712,False,False
56,games5425898691,0,101,0.11009237,False,False
57,PostMandPer.,1,103,4.989411e-05,False,False
58,PostMandPer.,1,103,4.3857493e-05,False,False
59,games5425898691,0,104,0.00089398416,False,False
60,PostMandPer.,1,108,0.010915437,False,False
61,PostMandPer.,1,109,0.5032964,True,True
62,tranetyk123,1,110,0.0045603304,False,False
63,PostMandPer.,1,113,0.00014604405,False,False
64,games5425898691,0,116,0.0008621131,False,False
65,games5425898691,0,121,0.0057556494,False,False
66,PostMandPer.,1,121,0.0011031674,False,False
67,games5425898691,0,123,0.024004372,False,False
68,PostMandPer.,1,124,2.2358376e-05,False,False
69,PostMandPer.,1,129,0.001640532,False,False
70,games5425898691,0,131,8.240823e-05,False,False
71,enpitsu,0,135,0.02754221,False,False
72,tranetyk123,1,137,0.00051235803,False,False
73,PostMandPer.,1,139,0.0067370846,False,False
74,PostMandPer.,1,140,0.010080556,False,False
75,PostMandPer.,1,140,0.026382737,False,False
76,PostMandPer.,1,141,0.11587625,False,False
77,PostMandPer.,1,141,0.89492786,True,False
78,PostMandPer.,1,142,0.89343995,True,True
79,PostMandPer.,1,142,0.000773386,True,False
80,games5425898691,0,142,0.0032713574,False,False
81,tranetyk123,1,146,0.00010882902,False,False
82,PostMandPer.,1,151,0.0033313024,True,True
83,enpitsu,0,153,0.00053510995,False,False
84,games5425898691,0,157,0.004620803,False,False
85,games5425898691,0,159,0.015272491,False,False
86,PostMandPer.,1,159,0.009026821,False,False
87,PostMandPer.,1,163,0.007370384,False,False
88,PostMandPer.,1,164,0.00019819026,False,False
89,games5425898691,0,165,0.0021319035,False,False
90,tranetyk123,1,167,0.47936332,False,False
91,enpitsu,0,168,0.00018815984,False,False
92,enpitsu,0,170,0.25678918,False,False
93,PostMandPer.,1,170,0.0016364199,False,False
94,PostMandPer.,1,173,0.006430381,False,False
95,PostMandPer.,1,175,0.07450878,False,False
96,enpitsu,0,180,0.0010849708,False,False
97,PostMandPer.,1,183,6.9189824e-05,False,False
98,PostMandPer.,1,186,2.5104322e-05,False,False
99,tranetyk123,1,189,5.0654617e-05,False,False
100,enpitsu,0,190,0.00064629473,False,False
101,tranetyk123,1,190,0.005586716,False,False
102,games5425898691,0,194,8.960839e-05,False,False
103,tranetyk123,1,194,0.14259565,False,False
104,games5425898691,0,197,4.7534915e-05,False,False
105,PostMandPer.,1,202,0.003899932,False,False
106,enpitsu,0,204,1.1772423e-05,False,False
107,PostMandPer.,1,205,0.0032688163,False,False
108,PostMandPer.,1,207,0.020367688,True,False
109,games5425898691,0,208,9.271145e-05,False,False
110,PostMandPer.,1,208,0.0188635,False,False
111,tranetyk123,1,209,0.22587897,False,False
112,games5425898691,0,213,0.0019231765,False,False
